comment,id,date,num_likes
Wear a shirt when grinding! The girls are not watching this for your naked chest!,Douglas Ashby,2021-04-28T05:11:02Z,0
As a fellow american I can tell you the metric system is better for all measurements big and small. So much simpler,Arthran,2021-04-27T12:49:15Z,0
Yeah.. I was thinking those break lines looks like corroded!!! Awesome Im excited to see the end product of your project!!! Im jealous!!,happy feet,2021-04-27T00:12:34Z,0
The homemade table saw may be the maddest thing I’ve seen in a while. Haven’t you watched Walk the Line?,Andy Channelle,2021-04-25T11:00:57Z,0
"I love the build! You&#39;re a great inspiration! However, you said you partly do this to become more environment-friendly so I have a pro environmental tip for you: Don&#39;t degrease your car in the street. Do it somewhere where they can separate the oil/grease from the water. In Sweden, what you did just there is illegal.",Carl Palmstierna,2021-04-20T21:17:34Z,0
100% Agree! Metric system &gt; Imperial system<br /><br />Loving these vids bro!,Ben O'Meara,2021-04-20T10:38:59Z,0
High-five on the metrics system there =),Richard Schalander,2021-04-17T21:14:22Z,0
With an electric motor do you really need a clutch??,Thomas Beaver,2021-04-14T15:11:58Z,0
"You need to learn to wear protective clothing, too.",Vogel,2021-04-11T23:40:20Z,0
"<a href=""https://www.youtube.com/watch?v=HVgupwmZoy0&amp;t=15m07s"">15:07</a> I see you want that aluminum plate to slice you in half... Table saw kickback is a real thing.",Harvie,2021-04-10T14:52:24Z,0
"Building an environmentally friendly electric car? So where is all that oily grim water going at <a href=""https://www.youtube.com/watch?v=HVgupwmZoy0&amp;t=10m24s"">10:24</a>? :D<br />Fun fact: In Germany, doing that is actually illegal.",1unisol1,2021-04-07T18:48:12Z,0
"Put on a shirt, man!",Kalle Navnsen,2021-04-06T09:57:53Z,0
yes inches are stupind,ChrisK,2021-04-05T18:01:05Z,0
"and jesa jaehuyn got some skills , love him 2",ChrisK,2021-04-05T18:04:35Z,0
a small aluminum break would make the box so much easier to build,Blue Nose,2021-04-01T07:35:52Z,0
"I have to stop watching, or I&#39;m gonna be doing the <a href=""http://same.to/"">same.to</a> my jeep tj.     Joking this is a great watch",jamie walker,2021-03-16T15:21:05Z,0
Here in France some of our  proverb says &quot;on est reçu selon l&#39;habit et reconduit selon l&#39;esprit&quot; that means in english &quot;we are accepted by our clothes (apparence) and rejected by our spirit &quot;(intelligence mind corresponds better)  this sounds better in french of course and by extention concerns at least what you discovered : why safety clothes are so important. showing muscles serves only your ego be smarter man use your brain to preserve your health and body. thanks for this very instructive vidéo,regis toulouse,2021-03-12T17:51:24Z,0
"Dude. If I had your body I&#39;d be showing it off too....But Jesus, put some clothes on you&#39;re gonna hurt yourself!!",TheColourWhite Productions,2021-03-11T03:53:58Z,0
Try plasma cutter next time... :),Keep up speak,2021-03-07T10:56:26Z,0
<i>cuts sheet metal without shirt or PPE</i><br />&quot;this really hurts&quot;<br /><i>continues to cut sheet metal without shirt</i>,Lashan,2021-02-25T12:44:29Z,0
Nice projetct. Is there a link for the batteries...?,Tim B.,2021-02-24T23:24:15Z,0
"first time watching this channel. Is it practical to do dirty work shirtless? or this is for a few girls, who&#39;s learning how to build a van,.... ?",Sasha Ming Live,2021-02-23T14:32:06Z,0
I’ve laughed twice now when you first give it some and the tyres screech 😂😂😂,brooksieluke,2021-02-21T09:33:00Z,0
"Brilliant business model. Like Korean bbq, you pay someone a huge amount of money to do the work yourself! 😂",Explore Around Us,2021-02-20T15:12:09Z,0
That table saw is a really bad idea. I am really glad you made thru that unscathed!,Eric Velasquez,2021-02-19T07:50:33Z,0
I work for OSHA... I just.... can&#39;t. But I love the videos man!,Christopher,2021-02-18T00:33:59Z,0
Dang that saw attack. Bites back,Oilerua Aiarag,2021-02-17T21:28:06Z,0
"<a href=""https://www.youtube.com/watch?v=HVgupwmZoy0&amp;t=15m53s"">15:53</a> - I kept wondering why you don&#39;t use overalls and I kept thinking I&#39;d want to mention that they can save you all the grease and issues... but clearly... you like pain.  🤣 Thing about learning about new things... is to <b>learn</b> and not continue to make the same mistake over and over. 😉",Dunc P,2021-02-16T17:11:11Z,0
tüv sagt nein,oOAimeDOo,2021-02-12T20:50:41Z,0
That death saw though,Guarana Beast,2021-02-11T03:20:56Z,0
"Dude, put on a shirt when you&#39;re sawing metal, lol. It&#39;s like it didn&#39;t even occur to you!",Nick Harper,2021-02-11T01:04:13Z,0
Did you just remove a structural part of the frame in the middle?,zatranslate,2021-02-10T08:44:56Z,0
When in the workshop - shirt on. When on the beach - shirt off. U numpty! 😂,Jens Larsson,2021-02-09T18:51:53Z,0
I have a 71 vw transporter bus.    the problem they say is my frame has a lot of rust.  I have driven it about 50 miles straight. but a few holes in the floor board. do I need to have the frame repaired first?,mechelle neunsinger,2021-02-07T14:25:08Z,0
"That was f-in dangerous! Don’t try this at home, kids ...",Dasaxyfonplayr,2021-02-07T12:26:13Z,0
You built your own table saw? Pretty darn cool. Aluminum is hard to say!,Tucker Pearce,2021-02-07T05:06:44Z,0
Aluminum brazing you need to remove the oxide layer with a stainless steel brush on the joint you want to make. Someone didn&#39;t bother to read the instructions I think.,Fuzzy Electronics,2021-02-03T20:38:36Z,0
Did anyone ask why you needed to rerun the clutch cable?,Rytis Petrauskas,2021-01-25T19:21:34Z,0
Got to love CAD - Cardboard Aided Design.,vdubster,2021-01-25T00:30:18Z,1
"Oooh man that aluminum cutting was painful. Gear bro, or at least a shirt lol",Katya Mattel,2021-01-22T02:00:06Z,0
put on a shirt   this aint a calvin klein ad.... hahahahah  hot metal hurts!,Half a White Guy,2021-01-06T17:06:51Z,0
for the boxes.. nextime you should go to a professional man who can cant you these boxes. This technique increases the strength!,SecondTNT,2021-01-05T19:06:18Z,0
double the boxes is a great idea but maybe you make sure that they are fixed during driving etc,SecondTNT,2021-01-05T19:01:38Z,0
YESSSS,Kiley Mac,2021-01-05T00:47:59Z,0
"Sorry , but from Germany it looks really unprofessional..  you‘d rather cary on camping ;)",ᴋᴀᴀ,2021-01-04T00:43:12Z,0
"Very cool!  I love watching rebuilds like these.  Just a thought though - Maybe put on your shirt when sawing through aluminum??  Yes, we are all impressed with the body, but dude?! Come on!  Lol",Ryan Armishaw,2021-01-03T16:20:26Z,0
Does removing the metal beams underneath your van not hurt its structural integrity? How did you know which ones you could remove?,Mx199D,2021-01-03T12:57:44Z,0
"Hey Louis, what are you going to use as heating in the van on colder days/trips?",Jut Chaplin,2020-12-31T10:50:56Z,0
Loving the process buddy .thanks for giving me something good to watch.,Chris Hatswell,2020-12-30T18:30:36Z,0
Cool build man but. Whats not cool is dumping oil on the road.,beduiini,2020-12-30T01:31:48Z,0
There are so many reason why this &quot;table saw&quot; and your usage is absolutely dangerous.,DerEchteGambi,2020-12-30T01:06:07Z,1
I’ll never be watching anything this d-bag does again...,FOSSO,2020-12-30T01:01:38Z,0
"Dude, I love looking at your abs, but please wear clothes for your safety :D",Daniel Kao,2020-12-29T16:02:59Z,0
"Louis, prolly too late, but why not just measure in cm and convert into inches using google. I love what you&#39;re doing, by theway\",Sean Kennedy,2020-12-29T12:51:39Z,0
dude can u get a girl too marry me ill come over bring my bus home,neil thorne,2020-12-29T10:37:09Z,0
claims being sustainable with an electric vehicle and dumps his motor grease on the streets. way to go mate.,xsersx,2020-12-27T22:24:52Z,10
Sexy man,Armor Shaft,2020-12-27T20:48:18Z,0
When will the USA catch up to the rest of the world and use the metric system 🙄,Steve Don,2020-12-27T13:06:08Z,1
The metric system is as great as your project😎,Юрій Ломпарт - TrueElectro,2020-12-27T08:57:40Z,0
Why did that door of the other van in the previous video open in corners? Sure not because you downgraded a once structually sound van in to a bowl of jelly........,Chili Fan,2020-12-27T02:11:47Z,6
"Loving this build 💕💕💕 <br />Please wear a long sleeve shirt and PPE? You have a hot bod, look after it😉",Raymond Mumford,2020-12-27T01:58:31Z,0
I don’t know why u needed a clutch cable as electric motors don’t have gears,Trek Fuel,2020-12-26T23:29:16Z,3
They still use existing gearbox,zatranslate,2021-02-10T08:49:27Z,1
"Great videos and I love the idea, but your safety is shocking, just wear a T-shirt at least and your so lucky the table saw didn’t give you serious injuries! 😮 😱",Matthew Barrett,2020-12-26T23:19:18Z,0
no shirt on and has the nerve to put on gloves ......,The WiggleRoom,2020-12-26T20:39:39Z,0
"watching dude stand directly behind the power saw to table saw conversion without a riving knife definitely had me anxious, especially after watching a sheet of aluminum catch the blade exactly where a riving knife would have prevented that from happening.",Zero Cool,2020-12-26T19:29:51Z,1
What is the Jay’s Youtube channel ? ... what a amazing project Man !!,Erly Serrano,2020-12-26T17:56:47Z,1
Safety measures:<br />1) always work at night with nobody around  to help you <br />2) no t-shirts allowed,onlinebk,2020-12-26T04:14:11Z,9
3) longterm safeness: cut out all Your structural parts from underneath.<br />4) do the same to Your brake-lines,manfred schmalbach,2021-04-03T09:29:07Z,0
He should of used all the cardboard scraps to make  a shirt and  sent all the alum to a shop to be cut professionally.,woodenman1954,2020-12-25T23:34:34Z,0
As an autobody tech this is the most terrifyingly Anti-OSHA video ive ever seen.,Noah Alby,2020-12-25T18:48:29Z,21
Boatbuilder here. I wouldn&#39;t go down the driveway to the lot&#39;s boundary in that thing.,manfred schmalbach,2021-04-03T09:27:05Z,0
"Man, what a great project. Regards from Bulli-Comback in German, Ralph",Oldtimer-Rescue,2020-12-25T15:59:28Z,1
Hat,Ronald Tuman,2020-12-25T15:13:08Z,0
Working with the tablesaw like this is dangerous. Use a metal plate behind the saw!!,Gorrits,2020-12-25T08:15:19Z,0
"that tow plate is on the wrong end. VWs get towed, they don&#39;t tow :) Can&#39;t wait to see this thing get modernized.",Chris Zimmer,2020-12-24T21:51:40Z,1
What will you need a new clutch pedal for?,Bruce W Randol,2020-12-24T20:24:58Z,1
Ever hear of OSHA? Hahaha dude I’m reporting you to them! Hahaha protect yourself!,ShaneyB,2020-12-24T18:22:55Z,1
Dude! You should reduce the height of that blade to 5mm above your material you are cutting.<br />I’ve just found you on YouTube. Great series so far. I’d love to do the same to a late bay.,MrBLUEDEVILUK,2020-12-24T15:42:11Z,1
"I love it, but I’m just genuinely worried about the aluminum boxes. Aluminum just doesn’t have structural integrity, especially regarding off-roading skid plates and things like that. If those batteries cost you 10k, you’d really want to protect that investment (in my opinion). It’s also quite dangerous as you stated if the batteries get punctured.",Anna Reaper,2020-12-23T23:24:33Z,3
"So, is protective work-gear more expensive than medical treatment in the U.S.? Looks like it.",Energie Wender,2020-12-23T20:36:38Z,8
@Jimmy Yurko big brain time of urs,Gabriel Baruck,2021-02-19T21:07:55Z,0
