comment,id,date,num_likes
This was all filmed before COVID-19,FunForLouis,2020-12-13T13:54:10Z,312
(Only) WHO cares! Live your life homie.,Too Daft,2021-04-13T04:00:36Z,0
Any EV conversion for year 2008 honda City. I want that ludicrous mode grin,Chee woh Chaw,2021-02-14T05:47:13Z,0
California is a sad state now.   Dont âgree with electric conversion; batteries are filthy.,Halcyon,2021-02-12T07:48:38Z,0
"I have a pre smog chevy that I need to convert, any words of wisdom?",Bear Gillium,2021-01-18T09:50:04Z,0
I liked and I haven’t even watched yet. Lol.<br /><br />VW will surely be knocking to say hi can you join us.,Ru Be,2021-01-06T04:25:23Z,0
Im so jealous! VW bus is my dream car too!! Its a bit hard to find a nice looking car like that..,happy feet,2021-04-27T00:02:44Z,0
omg I used to watch Jehu all the time!,Savi You,2021-04-24T12:45:37Z,0
"The electric VW Camper is beautiful. HOWEVER, if you think you&#39;re saving the environment by using electric your crazy.  The only difference is the pollution is out of sight so you feel better about yourself.",perfectpitchtodd,2021-04-24T00:17:15Z,0
It’s funny cus I was like “of course his name is Louis with an accent like that...he reminds me of this other dude I use to watch when I was a kid that use to eat spide..... wait this is him!”<br />Lmfao it’s cool to see you still going strong!! I swear the first time I saw your videos I had to be like 11... I’m 21 😂,JayxSolo,2021-04-21T23:44:32Z,0
Either Tesla or Prius will make the first all electric camper van and whoever does it first is going to own the market.,Donna Thedead,2021-04-19T05:53:44Z,0
You stole my idea to &quot;pimp&quot; my VW T1 ;),Snowflamerider,2021-04-16T14:54:00Z,0
I feel sorry for you . Worked so hard on this van .,Paul Stottman,2021-04-16T07:09:57Z,0
Awesome vedio. Any email to get information from u. Brgds sanjeev pereira from india mumbai,SANJEEV PEREIRA,2021-04-14T18:49:36Z,0
"And the cost of the conversion?<br />3hrs charge...VW’s are a slow lane cruise, even slower in electric..<br />EV isn’t advanced enough for long range journeys in camper vans, even in the UK. <br />I’ve had one for 26 years, build my own engines that are reliable, do work and are a lot cheaper DIY than via a 3rd party engine builder. <br />When VW’s weren’t jumped on by investors or fashionistas parts and dubs were far more realistically priced.",Jay Day,2021-04-13T09:28:37Z,0
Truly I’d love my London Routemaster double decker motorhome EV converted but the cost is still too insane!,Jay Day,2021-04-13T09:29:55Z,0
Lithiumpowered?,Larty Danceoff,2021-04-10T13:13:05Z,0
"Unless you have your own solar, wind, or microhydro farm, or have access to one, you are still using fossil fuels to charge the batteries.",Steve Spence,2021-04-10T07:39:23Z,0
jehu using EV West motor electric..... wow,andisuf,2021-04-09T14:31:43Z,0
الرجل رقم واحد,mohamed Tarib,2021-04-09T13:38:05Z,0
This made my day !!! Thanks a lot Louis for this great idea  !!! i will convert my dream VW in an electric one !!! all the best from Vienna !,Rio Lillebekk,2021-04-06T09:57:10Z,0
Looking forward to watching this build. I used to have a Splitty before it was stolen 😡Now have a T25 which I would love to make electric especially as I won’t be able to drive it to work with the ULEZ coming in October🤨,Bigsmokeandthemonster,2021-04-03T22:43:17Z,0
"<a href=""https://www.youtube.com/watch?v=Kg1TLvYyG6Q&amp;t=3m40s"">3:40</a> You have a Pretty Car!^^<br />Let&#39;s drive with me^^",DEFFENDING SLOT,2021-04-03T09:30:15Z,0
Star - Craft에 엔트리한 Artanis하고 비슷하네욤^^,DEFFENDING SLOT,2021-04-03T09:26:32Z,0
