comment,id,date,num_likes
"If your mailing address has changed since you backed the Kickstarter campaign or you pre-ordered, please email us at beyondborders@<a href=""http://livetheadventure.club/"">livetheadventure.club</a> with your info!",FunForLouis,2020-12-03T19:43:51Z,53
Finally I got a email today from Fly beyond borders that says order is on the way 👍🏻<br />( signed USB Stick ) <br />Someone else ? <br />Thanks to Louis and JP 👍🏻👍🏻,Oliver Heyer,2021-02-18T07:05:58Z,1
Is it a case of the film being viewed on Discovery stream before the people who raised the funds get their copy of the film. Curious.,Connie Sinclair,2021-01-05T13:57:20Z,2
Haven&#39;t gotten a reply :(,Joel Haasnoot,2020-12-11T16:45:15Z,3
I pre ordered a signed USB Stick while you guys flew around the world - will they delevered aswell ?,Oliver Heyer,2020-12-10T15:34:17Z,2
My teacher knows u miss Hawkins lol,Matt Phelan,2020-12-07T11:54:34Z,1
Well that&#39;s 90 minutes of my life I&#39;ll never get back. How JP made it to the end with you is a miracle. Who was the mystery producer? A pretty concise summary of the look at me generation. Vacuous.,Gary Fryett,2021-04-13T21:00:18Z,0
I did not participate in the kickstarter but you took most of the risk so wait,Andreas Schaffner,2021-02-28T06:02:24Z,0
I just went to look for the video and it’s telling me it’s unavailable,Sacred,2021-02-18T00:21:29Z,0
Its only available for the US and Canada :((((,Sir Ninso,2021-02-14T11:22:49Z,0
❤️,amorrossa,2021-01-29T06:20:54Z,0
"Hey Louis. <br />I’ve watched your vlogs for a few years now. Loved watching you guys fly around the world. I’ve bought Discovery+ for 12 months, mainly so I could watch the documentary. <br />But it’s not listed? <br />I’m in UK. When will it be available to stream?<br />Thanks! 😊",Jon Warburton,2021-01-26T00:45:31Z,0
I got mine today! Can’t wait to watch it. Pretty excited to have an actual signed copy! Thank you.,Fred Schutte,2021-01-15T02:45:34Z,1
"@Fred Schutte if you don&#39;t mind me asking, do you live in the United States? I live in the US and still haven&#39;t received mine...",Hunter Bailey,2021-01-31T21:43:22Z,1
I have a feeling it’s gonna be worth the wait after watching every episode on your YouTube channel now twice 🤦🏻‍♂️🤣,Fred Schutte,2021-01-15T02:47:16Z,0
Such great news! :),Sofia,2021-01-06T13:15:15Z,0
CONGRATS!!!!!,Meghan Soto,2020-12-30T05:42:38Z,0
Do not release it to kick starter. Those guys can wait. If you release it it will hit the internet and you wont be able to sale it. As long as the kick starter guys get their copy youre not doing anything wrong,Joshua Poche,2020-12-30T01:06:14Z,1
YESSSSS congrats!! 👏👏,Philip Sebastian,2020-12-26T20:45:20Z,0
WHY ARE YOU SO CHEESY MAN,Muzza,2020-12-23T13:35:28Z,1
Bravo,stephenallington,2020-12-22T10:11:35Z,0
"No problem Louis, totally understandable, cant wait for the final product!!!",Daniel Kruger,2020-12-22T06:14:46Z,0
Congrats!,marek swoboda,2020-12-21T18:36:33Z,0
A &quot;new streaming platform&quot; will never have enough reach  ..you need a big platform,Relaxing Nature,2020-12-21T16:08:13Z,1
"I just watched it! Great job, enjoyed the whole thing 👏",Julian Greene,2020-12-19T05:04:25Z,0
Fantastic news! Nice work!,Anand Kumar,2020-12-18T17:35:00Z,0
I hope to one day meet you or talk to you because I plan to fly around the world in a year in a half and your vlogs have kept my motivation alive!,drift bosa,2020-12-17T21:09:47Z,0
"Is this streaming channel free?  So tired to signing up on streaming channels.  I really want to see it, I followed you on your journey!!!  Congratulations!!!",Laura Hykes,2020-12-17T20:14:17Z,0
How can we watch it in Germany? Discovery + will not come here to us in the nearer future!,P Aviation,2020-12-17T09:02:01Z,0
"I&#39;ve never watched a series on YouTube with so much pleasure as the world flight. It was fascinating and I couldn&#39;t wait for the next video. I&#39;ll be buying this documentary for sure. You, JP and all who collaborated in making it, well done and thank you.",Andrew O Neill,2020-12-16T18:47:20Z,0
Absolutely fantastic news.  Was beginning to worry the whole thing would be shelved indefinitely.  It&#39;s quite apparent you put your heart and soul into this.  Thanks for being straight with us and making this video.  No apologies needed!,scott a,2020-12-16T09:16:38Z,0
Congratulations 🎉🎈🎊!!!!!,thisisreem. . . .,2020-12-16T08:58:20Z,0
did you keep the plane and learn to fly,2008 dru,2020-12-15T17:32:29Z,0
Woww!! This is amazing I never thought watching all those vlogs you would reach a streaming platform (even though your videography is amazing) and it’s great to see you’re just growing and growing. It just shows that YouTube does have longevity if you create what you love and reach the right people 👏🏾✨ so excited to see the film and your future endeavours,The Emporer's Tarot,2020-12-15T11:55:34Z,0
"What a great story! My flight instructor mentioned your around the world flight and I&#39;m totally hooked.  I&#39;m a new YouTuber, pilot, and spent the last 7 years touring the USA in my rock band making small videos along the way.  It would be a real honor to meet you, or have you check out any of my videos! Love your stuff, Louis!!",AV8Nate,2020-12-15T05:21:05Z,0
"Super happy that you are over that hump, and I&#39;m TRULY looking forward to the doc!!! THANK YOU!!!",Dan Cartlidge,2020-12-15T00:23:27Z,0
