comment,id,date,num_likes
Mark here nice seeing you Sedona Arizona keep up it up,Mark Schuster,2021-04-21T02:07:15Z,0
Atta boy Louis,Nick Barnes,2021-03-30T18:45:34Z,0
Great couple,Izdislav Storato,2021-03-28T17:58:18Z,0
So happy for you guys!! CONGRATS!!!,LIFT & INSPIRE,2021-03-27T17:44:30Z,0
So cute! I wish u all the best!,Sebastiaan Kramer,2021-03-19T19:38:56Z,0
Aww soo soo excited for this next chapter :) huge congrats guys!,Flying The Nest,2021-03-10T11:14:59Z,0
I thought you already proposed to her like 3 years ago haha,Anthrows,2021-03-09T07:17:44Z,0
Took you long enough.,John Ratcliffe,2021-03-07T01:27:39Z,0
Aaahh! I&#39;m SOOO happy for you two! You two are perfect together and I was always secretly hoping deep down that you two get married. I just never commented it because I didn&#39;t want to sound like a pushy grandma. 😂,R K,2021-03-06T17:33:04Z,0
Aaaaaw! I was waiting for this!,Chevas Samuels,2021-03-01T06:43:38Z,0
your so so lucky she is very beautiful x,MYSTERIOUS 53,2021-02-26T13:31:53Z,0
Congrats Louis,heynad,2021-02-25T05:19:17Z,0
&#39;bout time...,Hawk Moe,2021-02-22T05:35:42Z,0
Congrats! I love rewatching your guys&#39; safari videos. Love from Seattle,Jack Pendleton,2021-02-21T18:13:55Z,0
"It&#39;s about time, man!",intervibist,2021-02-20T05:16:15Z,0
"Remember when we were all guessing who Louis was dating as he was seen with several different girls in his videos, then there were thoughts he might be gay, haha oh where did those 6 years go!!  Congrats guys!",RunLikeSheeka,2021-02-19T09:11:57Z,0
FINALLLY,Laure S,2021-02-17T06:21:00Z,0
Only took a few years. FINALLY!!,I'm not sure Why,2021-02-16T15:15:40Z,0
Awesome!!!!!!!!❤️🌹🙏😃,RedPat,2021-02-14T23:04:42Z,0
I WAS WAITING FOR THIS DAY FOR SO LONG!!!,Micallef Productions,2021-02-12T16:12:24Z,0
so happy this is happening.. congrats!!!,Archee Booking Agent,2021-02-11T22:36:48Z,0
i stumbled upon your videos during middle school and i decided to search for ur channel again today after a few years - this is the first video i see!! congratulations! i’m in my second year of uni now and it’s crazy to see how much time has passed since you’ve met raya 💜 will definitely be watching more videos from now on,tomo,2021-02-11T06:46:00Z,0
CUTE!,MADMAX FILM,2021-02-10T15:36:39Z,0
Congratulations 👏🏼,Mathilde L.,2021-02-10T07:46:28Z,0
"I heared a &quot;NO&quot;, didn&#39;t I? Or maybe it was the advertisement break...",س.,2021-02-10T02:25:35Z,0
Congratulations,elizabeth melas,2021-02-09T19:53:34Z,0
Get ya hair cut and I will marry ya ....LOL,M Gee,2021-02-06T09:15:11Z,0
Congratulations!,Danielle Britton,2021-02-05T17:52:13Z,0
Omg congrats. Yaaasss🙌🏼. You’ve finally tied the knot❤️❤️,Georgie Gibbs,2021-02-05T09:48:18Z,0
CONGRATS,I AM OD,2021-02-05T01:31:18Z,0
Congrats 🎈🎊😱🙏🏽👏🏽👏🏽,Sandy Goulding,2021-02-04T04:31:29Z,0
Congratulations!!!  My family and have enjoyed your videos.,Sean McNulty,2021-02-03T21:56:43Z,0
Massive congratulations guys!! 😍😍😍❤💃💃,Narda Fowler,2021-02-03T20:32:45Z,0
GET IT BOI!!!,Micah,2021-02-03T20:31:36Z,0
A massive congratulations to you two ❤️ Such awesome news seeing this pop up! Sending you both so much love &amp; happiness for your exciting adventure going forward,Nicole Eddy,2021-02-03T19:13:45Z,0
Finally!,Leroy,2021-02-03T16:39:56Z,0
Congratulations!,Dora Shrive,2021-02-03T15:29:21Z,0
Raya means celebration in malay language.. &quot;hari raya&quot; day of celebration,All15 Lov3,2021-02-03T11:49:18Z,0
my guy,mack,2021-02-03T08:49:16Z,0
Congratulations both of you. This is what I needed to make me smile this morning ☺️,Mousechiefmanaged_,2021-02-03T08:41:05Z,0
So happy for you both! Congratulations!! 🎉,Cindy,2021-02-03T05:17:37Z,0
Finally!!,Jenifer Covarrubias,2021-02-03T03:35:39Z,0
CONGRATS!!❤️❤️,Energie system,2021-02-03T02:10:27Z,0
Yay!!!!,blaquewidow,2021-02-02T23:21:20Z,0
“okay close your eyes🤗” too cute I’m crying,Nessiah,2021-02-02T20:54:18Z,2
Here comes the next Mrs. Cole! :-D,Danny Danny,2021-02-02T20:52:15Z,0
Yayyyyyy  I was waiting for this!!! You guys are so perfect for each other!,KJ Gulyban,2021-02-02T20:07:22Z,0
"Perfect, as I knew it would be &lt;3 Love you two!",Lily Lane,2021-02-02T19:56:05Z,1
Yaaaaaa congrats to you both !!!!!,TheTominator,2021-02-02T19:53:34Z,0
I waiting so long for this 😍😍😍,Janine Niedlich,2021-02-02T18:58:29Z,0
congratulations from long time lurker!,DatBoyGuru,2021-02-02T18:40:27Z,0
Congratulations guys! Watched you for over 10 years now Louis so this is so lovely to see 😊,Tamara Davies,2021-02-02T18:03:01Z,0
congrats,fanus grobler,2021-02-02T17:50:17Z,0
finally!!! &lt;3 congratssss guys,Muznah N,2021-02-02T17:36:23Z,0
6 years omg I feel like I just saw you guys announcing your relationship.....congratulations!!,Sophie: C,2021-02-02T17:18:38Z,0
"I&#39;m so happy for you both! I&#39;ve watched you from the very beginning of your journey, since I was a teenager.  I&#39;ve seen you grow, flourish and develop in every single aspect of your lives (or at least, what it&#39;s shown through the screen). You&#39;re a role model for a lot of us in the internet. You&#39;ve literally made me cry of happiness. &lt;3 Wish you the best of luck! Hope you enjoy your marriage!",Aimé Recinos,2021-02-02T16:54:17Z,0
"The first couple I ever shipped, congrats! &lt;3",TheJachi97,2021-02-02T16:33:04Z,0
So sweet...congratulations!!!!!,Brenda Benoît Dudley,2021-02-02T16:26:29Z,0
oyeee! best video in my feed. Congratulations Loooeeeii and Rayaaa!,JackyVivid,2021-02-02T15:14:39Z,0
This is too cute! Congratulations to the beautiful couple!❤️,Bejna Yildiz,2021-02-02T13:43:42Z,0
Congrats to you both!,dizseal,2021-02-02T13:25:29Z,0
"CONGRATUALIONS, I REMEMEBER WHEN YOU WENT TO VISIT HER APARTMENT AND GOT LIKE CAKES OR MUFFINS OR SOMETHING",Waves,2021-02-02T13:23:10Z,1
Really? Now?  Why I have the impression you did this before?,Valentin Stefan,2021-02-02T11:25:35Z,1
Congratulations!,SA Q,2021-02-02T09:46:25Z,0
OMG CONGRATULATIONS GUYS!,Nadine Elena,2021-02-02T09:40:50Z,0
OMG Guys!!! I wanna film your wedding 😍,João Pedro Reis,2021-02-02T09:25:25Z,0
About time...Congratulations to you both,Herbert Cammock,2021-02-02T09:10:34Z,0
"@FunForLouis @RayaWasHere Louis &amp; Raya, CONGRATULATIONS! As we say in Spanish, ¡Felicidades!",Henry Martinez,2021-02-02T06:23:19Z,0
So happy and excited for you guys! Beautiful people and beautiful couple!,Katie Latta,2021-02-02T05:32:56Z,0
I LOVE YOU!! Can’t wait to marry you ☺️❤️,RayaWasHere,2021-02-02T05:10:56Z,236
