comment,id,date,num_likes
OMG he changed the genital&#39;s just like tht....,Angel Roldan,2021-04-19T18:01:03Z,0
Skills are definitely getting better - Fun to watch... Thanks for sharing... Louis you are very brave!,Ben Andrews,2021-04-12T10:24:04Z,0
"This is absolutely epic, you&#39;re a maniac.",dove492,2021-04-10T21:27:24Z,0
"this is not a TESLA powered van, that is wrong...  is a Netgain Powered van  /Tesla energized",Conversiones a Auto Eléctrico en México,2021-03-14T07:25:53Z,0
"You and your friend should sell or list your parts for van e conversion kits, I would imagine each van transmission torque conversion would need a different coupler for connecting. Say like for ram , ford , vw, so on you guys could open a mobile company. Could you list all or make parts.",David Wright,2021-03-02T15:44:55Z,0
"<a href=""https://www.youtube.com/watch?v=aMBOGCAG5ZM&amp;t=10m50s"">10:50</a> too many Ugga Duggas",Locky,2021-02-25T12:50:04Z,0
What ev motor did you use..,stuey pinnock,2021-02-22T20:07:32Z,0
man you deserve a gold medal what a great job you have done and made some great learning videos  along the way keep up the good work thanks steve,Stephen Tracy,2021-02-18T01:19:04Z,0
Jehu!!!  The man the legend.,Oilerua Aiarag,2021-02-17T20:54:02Z,0
That was the worst battery monitor placement location.,DittoGod,2021-02-17T17:17:05Z,0
Would it be too much heat to melt the welding of the tin (between the connecting wires) for the high current charging ?,ka fai Lo,2021-02-15T17:18:53Z,0
does the electric engine only hangs on 4 boulds?,mike opheij,2021-02-14T17:41:16Z,0
"This whole season reminds me of the time I motorized my longboard, just on steroids, but probably equally frustrating at times. 😅 Well done Louis, can&#39;t wait to see it up and running! Any plans on where you&#39;re heading first?",Fernweh Chronicles,2021-02-14T04:36:38Z,0
"I think it&#39;s not much more expensive to buy the Volkswagen buzz and it has a much bigger range.... still,  I love your video😊",Masira Admiraal,2021-02-13T18:18:44Z,0
SKID PLATE HOLMES,reign orshine,2021-02-13T14:31:35Z,0
Rest in pieces axels and transmission,jambo shiz,2021-02-12T23:17:56Z,1
When can we expect the next viddy to upload?! Discovered this today and back to back watched all episodes!,Andy Fanner,2021-02-12T21:47:54Z,0
X2,Nulo,2021-02-14T11:59:34Z,0
So is the VW done? I don&#39;t see any other videos of completed work.,Charlez Richard,2021-02-12T11:42:40Z,0
Is it difficult to add 50kw CCS?,Frank RenewablesCheap,2021-02-11T23:15:00Z,0
"How do you keep the stock transmission and axles and such in one piece with all the extra power? Is it in the controller and how it delivers the power, or just skinny tires so they spin before too much force is put on everything?",Eric H,2021-02-11T19:29:39Z,0
Why is everything a problem and not a challenge with you?,Too Tall,2021-02-11T05:30:22Z,0
I cringed watching him drill a hole in the dash instead of using the non existent clock space already in the dash.,Gabriel Penix,2021-02-11T01:17:44Z,0
Where&#39;s ep 7 have you finished it? Lol,Out and About with Christie,2021-02-11T00:26:35Z,0
awesome build....aren&#39;t you worried about waterproofing? i thought the batteries were sealed in a tesla but yours look exposed.,Rob Hamilton,2021-02-11T00:13:26Z,0
When is the next episode,SeanMrRight,2021-02-10T19:51:39Z,0
needs bigger tires and a skid plate for sure,Ricer.Elantra,2021-02-10T17:27:55Z,0
"This guy has a really fun life, how lovely!",Will Monnoyer,2021-02-10T16:03:29Z,0
I think the hardness of those bolts are suspect if you broke one with the impact..,Skater Stimm,2021-02-10T15:21:26Z,0
This series is a perfect example of how NOT to do things. Awful. Literally everything is done wrongly.,dirk bomans,2021-02-10T08:37:17Z,0
We&#39;ll keep watching and see what it looks like at the end,Richard D'Crus,2021-02-11T12:46:00Z,0
Why not putting a lift kit on it? After all it is a camper and it could use the extra ground clearance when driving to the camping sites.,Jonas,2021-02-10T08:16:04Z,0
So what has he done with the VW since him and Rays are going to live in Costa Rica? 🤔🤔,screamofan0496,2021-02-10T05:16:43Z,0
Watching you replace the petrol thingy with charging outlet thingy was so satisfying!!!  A mark of a clean future 💯💕,Lily Mae,2021-02-09T22:05:34Z,11
clean 😆,MySHARE,2021-02-11T16:30:07Z,2
My god I just binged all of this - cant afford a bus but I might just start tinkering with my bike,Geert Buis,2021-02-09T20:39:35Z,0
