comment,id,date,num_likes
Cutting down on carbon footprint + flying regularly 🤔,spare,2021-04-28T19:10:49Z,0
Check out “Route del sol” theyre driving a van off 100%solar,Emil d,2021-04-28T08:25:34Z,0
take it to a dyno shop and run it on the dyno it will tell you everything you need to know!!!!,Malios,2021-04-28T07:17:37Z,0
0-60 test? on ramp for highways.... easy :),Alexandre Albergaria,2021-04-27T16:31:34Z,0
Thinking about this for one of our next projects! Great info and a joy to watch the entire progression.,Superstruct Builds,2021-04-27T16:00:28Z,0
I loved the turn of this channel. From eating weird things to cars..my 2 favorite things to do ;),SlazerFis,2021-04-27T12:37:46Z,0
Swap the manual gearbox for an automatic gearbox.,Quobobled.co.uk,2021-04-27T10:24:34Z,0
Speed test. Drag strip,Quobobled.co.uk,2021-04-27T10:22:54Z,0
"I have the same high top VW bus. But it drives super smooth over bumps etc. Maybe look at the wheels, tires and suspension?",IGM Infographicmedia,2021-04-26T15:19:13Z,0
"Unfortunately 90% of the electricity ⚡️ in California is produced with coal, natural gas and oil... that means you might be contributing with essentially nothing... taking in consideration that maybe less than 0.00000001% contributing for your carbon footprint and driving an old uncomfortable and dangerous car... sorry if that is not a really positive comment just being honest about 👍",Guilty Pleasures Keto Kitchen,2021-04-26T10:01:35Z,0
Good on you Louis! This is an amazing conversion and clearly you don&#39;t take the easiest route. Can&#39;t get better than recycling the battery and recycling the van. Nothing new is manufactured.,Ivan,2021-04-26T07:22:51Z,0
&quot;...0-60 speed test....&quot; <b>Tesla slowly rolls up behind</b>,Dekuramen,2021-04-25T21:54:29Z,0
Long time my friend I really miss your program,Soji Ogunade,2021-04-25T20:50:55Z,0
Monetization from this whole van build series should cover his $25k he spent on converting the bus.,Savi You,2021-04-25T12:17:34Z,0
Mic positioning &gt; proper seatbelt safety,Broncksea,2021-04-25T12:09:43Z,1
"Louis, is pretty ripped 💪 for a skinny guy 😁👏",Mr and Mrs Living Life,2021-04-25T11:26:24Z,0
"Around town, regen braking should give you ~25% more range, just from my personal EV calculations",bombaypapi,2021-04-25T00:10:53Z,0
Look into &quot;The Sherp ATV&quot; maybe it&#39;s possible to convert ? Those are something else!,Nick Cervantes,2021-04-24T23:25:34Z,0
"You could go to mission blvd in Riverside, which is like 40 mins from LA, its always empty over there on weekends or later in the day.",Nick Cervantes,2021-04-24T23:19:20Z,0
Did you ever think about adding solar panels to the roof,Anthony Conner,2021-04-24T21:38:57Z,1
"Yes he did, have a look at the video at <a href=""https://www.youtube.com/watch?v=jtnBf3qptGM&amp;t=23m00s"">23:00</a> 😉",Yves Colin,2021-04-29T00:40:30Z,0
"Congratulations on the Van Conversion, all in all it looks like it was a worthwhile adventure. Now best of luck with the Happiness Bus👍😎👍",phynx2006,2021-04-24T19:40:11Z,1
"My dad converted an old truck to run on Vegi oil. It always smelled like french fries when we drove. He got all of his oil for free from restaurants. Typically they have to pay to get it removed for disposal, so they were more than happy to give it to him. There was a process of cleaning the oil, it wasn&#39;t that complicated though.",Jen O'Hogan,2021-04-24T19:35:04Z,1
Pack the Roof with Solar Panels!,Florian Schmidt,2021-04-24T19:22:43Z,0
"Have a look at the video at <a href=""https://www.youtube.com/watch?v=jtnBf3qptGM&amp;t=23m00s"">23:00</a> 😉",Yves Colin,2021-04-29T00:36:37Z,0
NGO&#39;s are a facade and a scam,Jos Broersma,2021-04-24T18:30:09Z,0
Over engineered white elephant... admire your patience.,iZac Stein,2021-04-24T17:01:49Z,0
Hay gente que bota su dinero,abelsain valladares,2021-04-24T14:14:27Z,0
Enjoyed watching the build process but the irony of flying &quot;regularly&quot; to and from Costa.... any carbon footprint you saved you just lobbed it out the window even quicker.... <br /><br />Your living a lifestyle not reducing your carbon foot print and once you said flying well take a deep look at the carbon impact and given the pandemic is still a major issue in most of the world... stay local !!,Graeme Darling,2021-04-24T09:56:55Z,2
So rad man! I want one now lol,limjahey,2021-04-24T02:42:08Z,0
Take the van to thunder road like John Travolta in Grease! 😎,Gagi Getaways,2021-04-23T22:48:16Z,0
"You are correct: WVO (Waste Vegetable Oil) is not as nice as an electric propulsion system, but it is a lot nicer than burning Diesel. Also, the challenges of figuring out the fuel filtering and conditioning is not such a difficult task, and not too expensive. Good choice for a nice big old bus.",Milton Miller,2021-04-23T20:31:23Z,0
"Hey Louis, It would be fun to meet up as you travel through the south west. I am in Durango Colorado and have a skoolie (snowshoethebus), VW bus projects (BUSARU), and play with EV’s a lot (Regen EVs). I have a decent amount of experience with WVO veggie oil as well. Kindred spirits as my wife and I have dreamt about relocating to CR as well - glad I found your channel, keep up the good work!",BUSARU,2021-04-23T17:30:03Z,2
you&#39;re going to be flying back regularly to do your podcasts?  Ahem carbon footprint?,allen kiely,2021-04-23T17:13:41Z,0
the useless safty belt ever seen,MugiwaraCRX,2021-04-23T17:11:10Z,1
watching u after 5 years since the black bus and the hot tub on the top,KS V,2021-04-23T15:42:24Z,0
"<a href=""https://www.youtube.com/watch?v=jtnBf3qptGM&amp;t=22m05s"">22:05</a><br />Keep an eye out for CCS fast charging add-on kits for you orion bms system, that&#39;ll get you like, 80kw charge speeds and will work with any old rapid charge point. In LA that hugely reduces range anxiety since you can get a 15-20mim full charge anywhere",Ryukachoo,2021-04-23T10:16:55Z,1
"Please look into co2 offset programs for all your flying around, otherwise converting the bus to electric becomes kind of meaningless",Ryukachoo,2021-04-23T09:20:59Z,1
"I&#39;m a simple man, I see an electric vehicle, I dislike",Lumed7,2021-04-23T08:59:30Z,2
1000 miles is what? 60 gallons? that is no $25000,Homieguerneville,2021-04-23T07:56:43Z,0
Imagine your some well off dude cruising around LA in his BMW M3 and a VW bus rolls up driven by a dude in full dreads and proceeded to dust you at the next light whilst making no noise at all,Max Tintle,2021-04-23T06:46:55Z,7
Just buy toyota prius.,Tivo Kenevil,2021-04-23T05:39:17Z,0
"I still think you should do the trip in the wv and just embrace the fact that you are limited on range. There are a things to see every where you go, it&#39;s about the journey not about the destination.",Frost,2021-04-23T05:38:45Z,0
"The irony, electric cars can&#39;t exist with out carbon. basically what you&#39;ve done is emit carbon at the coal, natural gas power plants instead of at the car.",Billy,2021-04-23T03:03:09Z,2
"@RyukachooWrong, but god job regurgitating the lithium, cobalt and ev manufacturer propaganda.",Billy,2021-04-23T10:38:43Z,0
"This is known as the long tailpipe fallcy. Even in the dirtiest grids of the country like new jersey, you still emit less co2 than a 40mpg car by driving electric.<br />In places like california where the grid is much cleaner, it&#39;s more like 120mpg<br /><br />And don&#39;t forget the ENORMOUS carbon footprint of extracting and refining and transporting gasoline! That counts too",Ryukachoo,2021-04-23T09:18:40Z,2
You can go to irwindale speedway I think on Thursdays and it&#39;s only $30,Nate Bury,2021-04-23T01:53:41Z,0
"For a UK conversion  there&#39;s this...<a href=""https://www.youtube.com/watch?v=dvLjVVhegK0"">https://www.youtube.com/watch?v=dvLjVVhegK0</a>  And I&#39;m sure others.",chris young,2021-04-23T01:37:11Z,0
"you could try Dyno testing, i am sure there are some youtubers that would do colab on that",Ota Šimek,2021-04-22T23:33:38Z,0
"You should be able to increase your range by shifting into 4th any time you can. The volt consumption is basically based on how many revolutions the motor makes... same as when it was a gas engine... the higher your RPMs the higher your gas mileage. Thus, if you were in 4th at all times the RPMs of the electric motor would be lower and therefore you would get more miles per volt. I’d try 3rd off the line, then into 4th as soon as you are in the 20mph zone.",Eric Dickerson,2021-04-22T22:57:01Z,1
Test and tune night at a drag strip...or contact Hoonigan lol (check out their YouTube channel),lexi0207,2021-04-22T22:15:00Z,0
You could convert the big bus to LPG.,Tony,2021-04-22T22:06:17Z,0
Cool project! My 1974 T2 is looking forward to his conversion some day!,Jeff R. Allen,2021-04-22T21:13:46Z,1
"<a href=""https://www.youtube.com/watch?v=jtnBf3qptGM&amp;t=21m15s"">21:15</a> Louis, &quot;There is nothing intelligent about this van.&quot;   Except the driver, Louis 😊",mikeb55,2021-04-22T21:05:08Z,0
"As much as I care about the Earth and the way it is managed I for one could not make a statement about reducing my carbon footprint to the tune of $25,000. That kind of money should, (what on a per person basis?) would have to be raised over a long time by Governments&#39; taxation. How many watching this could afford 25k to do this?",mikeb55,2021-04-22T20:44:01Z,0
<b>Luxury or no luxury always be proud of your brand and try working to improve. I love luxurious lifestyles. All thanks to crypto I just got my first Lamborghini 💝. My advice to y&#39;all invest in cryptocurrency or gold.</b>,Anna Jones,2021-04-22T20:37:24Z,1
Re 0-60 maybe get hold of Matt Farrah @thesmokingtyre he’s an la based car<br />Channel and he tests all his cars in the canyons,Soul_Critical,2021-04-22T20:20:57Z,0
Over $40k for a 1970s vehicle....not up my street but it clearly makes you happy.,Malia Legros,2021-04-22T20:10:27Z,0
here they use airport runways at nights,frode eriksen,2021-04-22T19:15:53Z,0
0-60 in 3 hours.............................................................................................,wildatart,2021-04-22T18:32:17Z,0
"The way to make your batteries last longer is to not charge them up to full each time you charge them. The lower your top them to, the longer they will last. If you stop at 75% most of the time and only go over that when you really need the full range, they&#39;ll last a long, long time.",Jupiter065,2021-04-22T17:29:25Z,18
"100% true.  If you can run it 75% -&gt; 25%, technically, that&#39;s optimal I think for longevity.",Joseph Ulbrich,2021-04-28T06:11:30Z,1
"the same is true for discharge, don&#39;t go to 0, they will last even longer",Pierre Lezan,2021-04-23T07:32:49Z,4
How much carbon went into producing the batteries and how carbon efficient is the electricity you’re using?,Jason S,2021-04-22T17:22:54Z,1
"Somewhere there are a couple of good videos about this, and the upshot is it is more friendly to drive an electric vehicle, even if your local power station is coal fired (the dirtiest stuff). Also, the carbon footprint of an electric vehicle is less after something like two years. Just search Youtube for &quot;electric vehicle carbon emissions&quot; and see Engineering Explained,  Donut Media, etc.",Douger Rohmer,2021-04-23T04:08:22Z,0
People will definitely be kicking themselves in regret for missing the opportunity to buy and invest in cryptocurrency,Brown J. Humphrey,2021-04-22T17:18:02Z,22
Believe me he&#39;s the best when it comes to crypto investment your profit is assured,Smollett Wammy,2021-04-22T21:54:17Z,0
"Seeing alot of successstories, he must be honest and trustworthy for people to talk this good about him",Robert Garcia,2021-04-22T21:49:53Z,0
I&#39;m so happy for taking the bold step in working and investing $2000 with mr George Anderson after a week I received $6468 to my bank,Angie Halstead,2021-04-22T21:46:20Z,0
"@Juanita Gilliam Thanks , placing my trade with Mr George Anderson.",Candy Halbig,2021-04-22T20:38:37Z,0
@Candy Halbig his availability is on Whats-App ☝️,Juanita Gilliam,2021-04-22T20:29:02Z,0
Jax Austin (doesn&#39;t post anymore) did a Vegoil Conversion on his bus 2 years ago.,Jeffrey A. Smith,2021-04-22T16:13:42Z,2
Great project! Well done! I have a 71 VW camper van and a 66 Meyer Max dune buggy <br />Both need motors! <br />And I&#39;m looking at doing similar builts !<br />Plus I live in a 41ft 8.3 Diesel pusher bus that I&#39;m thinking doing the veggie oil conversion!<br />Great to see some folks  doing this stuff!!! Instead of just talking bout it!,david c smith,2021-04-22T15:38:16Z,0
Never stop exploring so that we can enjoy these wonderful videos of yours........enjoy the little things!!!!<br />Thanks for sharing...,Reel Happy Travellers,2021-04-22T15:22:45Z,0
Just go to a test and tune night at a drag strip. It&#39;s usually $25-50 to get in for the night,Brady Page,2021-04-22T14:59:24Z,21
You should check out PowerFilm solar for flexible solar panels. Incredible tech and would be a great addition to trickle charge the batteries while it’s parked! I used to work for them so let me know if you have any questions,Ben Ellefson,2021-04-22T14:47:35Z,1
That Potcast is just smoking 🔥hot 😉,Lars Stougaard,2021-04-22T14:42:35Z,1
Couldn&#39;t deal with all the squeaking,Matthew Anderson,2021-04-22T14:26:16Z,0
"Hi, just wondering if the word &quot;environmental&quot; for the PROS is that accurate.,  based on the united states electrical energy source, most part of the generation is by burning gas, isnt it?",Mariano Orts,2021-04-22T14:18:41Z,0
"Hey Louis you do not have to do much to run SVO or straight vegi oil in any diesel. On your bus, change out fuel lines with ones that can handle vegi oil since original ones will melt and go bad quickly. Second, add another fuel holding tank for the vegi oil because you need to heat up the vegi oil before it gets pumped to engine, You always start the bus with regular diesel and then you switch over to SVO system and run from there. You will need to change out fuel filter more often the first few times you run on SVO as it cleans out the lines and fuel system. Good look!",GreenTechFusion Renewable Energy,2021-04-22T14:12:11Z,0
"I have some questions,, is your vw van OK to drive in poring down with rain wet weather, through puddles etc on the roads??<br />And wonder what you do for work, to  be able to afford all these projects??<br />Should be awesome fun travelling through America, I seen lots of you tube and docos on grey nomads travelling around living in groups in the desert areas.. I&#39;m from Perth WA  ..<br />Cheers from Christie",Out and About with Christie,2021-04-22T14:07:47Z,0
"@FunForLouis - Irwindale Speedway has a dragstrip, and do open drag nights.",Dophoto_Au,2021-04-22T14:03:49Z,2
"Love your enthusiasm Louis and the fact you have a crack at anything.  Just a quick question, how eco is it flying back to do podcasts?  1.2 Tonnes of Co2 / trip!  I&#39;m afraid flying anywhere is very bad for the environment, and something were all going to find difficult giving up or moderating.",Dave Barton,2021-04-22T13:51:36Z,16
