comment,id,date,num_likes
"I literally flew the Mavic mini, in a harbour which was a &#39;no fly zone&#39;, had to enter my details and mobile number and log in but was all sweet 👌. Obviously not doing anything silly, just wanted golden hour footage",James Otto,2021-03-26T11:07:03Z,0
Wonderful review. Thanks very much indeed for sharing. I was torn between the DJI Mini &amp; The Holy Stone HS720-E....I&#39;m going for the DJI Mini....I think....😯 Which would you recommend please.,"Head The Ball,",2021-02-02T00:47:52Z,0
"I’m so glad I got this drone! I purchased some range antennas for it also as I live in the U.K. and we don’t have no way near as much broadcasting power than the USA so I was suffering from poor range and was lucky to get to 500m with the mavic mini.... now with the range extenders I can get 5,000m 👌🏼",Marco Giovanni,2021-01-15T04:34:20Z,0
I got the mini why I got? Because I broke my bank account that my dad gave me sooooo uhmmm dad I’m sorry,Lazer,2020-12-22T22:12:12Z,0
Like the spark’s cam,Alien Slayer,2020-12-19T15:12:26Z,0
yesterday mavic mini 2  released,Tomi Muwuh,2020-11-06T08:17:29Z,0
Shame no follow me,Bikepacking,2020-10-01T08:21:56Z,0
I started luvin mavic mini &lt;3 Awesome :),Austin Corpuz,2020-09-24T18:22:58Z,0
You energy is unmatched. Like your attitude.,Islamabadian,2020-09-22T03:08:09Z,0
Did he say phone or fan? 😂,Islamabadian,2020-09-22T03:00:57Z,0
But mavic mini only have single sensor at lower,PakDie,2020-09-20T10:51:09Z,0
Wow amazing 😉,ETC VLOGS OF JAPAN,2020-09-08T10:21:29Z,0
I&#39;m for 2m Subscriber,Tangkong Ta Vines,2020-09-07T00:03:22Z,0
"For the same price at the mini, I can buy the air 1 or pro 1 second hand. Having problems deciding on which to buy as my first drone. :(",Screaming Seagull,2020-09-01T19:50:10Z,0
Thanks bro your video made me buy DJI MAVRIC MINI!,DeepsEmo,2020-09-01T09:53:03Z,0
Friggin great run down man. Thanks for making this!,Soupcan13,2020-08-11T18:07:06Z,0
I cannot get over the way he is saying &quot;the mavic aee&quot;,T G,2020-08-07T18:46:07Z,1
It was convincing and positive!<br />Cheers mate,Talabun,2020-07-19T09:52:11Z,0
I like drone but I have no money to buy 😔,King Ry,2020-07-19T02:29:10Z,0
very helpful! thanks! :),Czar Rayray,2020-07-15T14:14:20Z,0
