comment,id,date,num_likes
"<a href=""https://www.youtube.com/watch?v=tV7P4AdOduo&amp;t=0m05s"">0:05</a> oof",David k Meekis,2021-03-10T15:30:45Z,0
Nice! Very good!,João Marcos Okiyama,2020-09-20T23:31:06Z,0
What I need to know is how you get the video from the MAX with all the 360 effects to export to Youtube or other social media. I also need to know how user can interact with the video (the same way you can within the GoPro app) after exporting up to social media.,David Kurtz,2020-08-30T15:49:10Z,0
"I absolutely love my go pro max,absolutely insane camera🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🦎",AXOLOTL'S,2020-06-13T16:51:58Z,0
"I thought my monitor is yellowish for a second &#39;coz of your lighting <br />hehe. anyway, great review",Jay Mayuga,2020-05-29T15:00:07Z,0
Those fas moving transitions are very tiring on the eyes.,adsertheblade,2020-05-04T21:54:15Z,0
the 360 ​​degree video with the music gives such an INCREDIBLY BEAUTIFUL effect,Daniël XL,2020-04-30T20:10:51Z,0
thank you,kairat nurlanov,2020-04-28T12:02:00Z,0
Just ordered mines today!!!! Super excited!!!!,Kamakazi TV,2020-04-06T23:36:13Z,0
🙌🏻,FunForLouis,2020-04-07T09:46:06Z,0
Are you Jason David Frank the white Power Ranger?? :D,Riff Zilla,2020-03-06T18:09:29Z,0
Can you post 360 videos of this GO PRO MAX. Thanks.,Ennovaa International,2020-02-08T19:18:56Z,0
the footage was so bad when those guys doin the acrobatic flips...,Rahman Shoeschemers,2020-01-22T00:41:16Z,0
What selfie stick did you use?  Length?,Mike Burns,2020-01-11T02:27:27Z,0
"The Go pro max not only serves as a fantastic action camera from what I can tell but also has other amazing uses, it has limitless uses outside of action, if you take into account those who want to sing and dance and can only do it out in there backyard, just take a tripod and slap it into the middle of the yard and you can do your dance videos without it being cut off screen.",YamiAnubisZX,2019-12-31T05:19:06Z,0
Screen cover*,AssPhyxiation,2019-12-29T23:29:57Z,0
Sexy video,Mr Adhikari The Reviewer,2019-12-29T14:26:51Z,0
"Ya, these upgraded GoPro Lens Protectors make removal easy when you&#39;re ready to shoot - <a href=""https://navarrekayakfishing.com/shop/gopro-max-lens-covers/"">https://navarrekayakfishing.com/shop/gopro-max-lens-covers/</a>",Navarre Kayak Fishing | Florida Kayak Fishing,2019-12-26T17:16:23Z,0
