comment,id,date,num_likes
&lt;3 Final Cut still not handling pngs. Couldn&#39;t re-render this one because 8K took an eternity to export 😅,Marques Brownlee,2020-01-06T00:49:43Z,11298
Tried it in 8K framerate suckt,Viner Lives,2021-03-21T09:52:07Z,1
HỢP TÁC QUỐC TẾ NGUỒN REN. DA VÀNG. DA NÂU. DA ĐEN. DA TRẮNG ? 2(M)-1.50-1.80-1.65 ?,HIEU LE NGO TRAN,2021-01-19T11:46:28Z,0
@Dhruv Bhat . FE. nấu THAN ĐÁ. KHẮC. BẢNG IN. mạ CR-KÍNH HIỂN VI,HIEU LE NGO TRAN,2021-01-19T11:44:49Z,0
That explains. lol,Dhruv Bhat,2021-01-19T10:47:10Z,1
"Funny story, last time I went to the eye doctor, they said my eyes had actually gotten better. And I&#39;m pretty sure I was at least 2020 for the prior appointment.",Rufus Mainwaring,2020-12-30T06:53:17Z,0
I AM WATCHING IN 8K,Hyperdynamite,2021-04-22T08:15:41Z,0
"Damn, 8k looks really good on a 1080p monitor",BM365,2021-04-15T03:07:08Z,0
TFW your new fibre connection can handle 8K but your iGPU can&#39;t.,Swaraj S. Aggarwal,2021-03-16T10:19:12Z,0
What if you had a second channel dedicated to 8k video?,PhantomPanic,2021-03-03T09:07:26Z,0
phantom 👍🏾,trevor chikotosa,2021-02-18T13:19:45Z,0
"So my internet can handle the 8K footage, but my MacBook Pro can&#39;t. lol, funny how that works.",Eshu Marneedi,2021-02-14T06:14:59Z,0
"I don’t know why, but to me you look like jaden smith on that lego portrait 😅",Justine Layug,2021-01-21T17:57:29Z,1
Me switching the video to 8K - and i oop.,Dhruv Bhat,2021-01-19T10:42:21Z,0
Hit like if you see the green screen,Qaiser Iqbal,2021-01-16T22:50:27Z,0
"The poised vermicelli thoracically miss because faucet conceivably stop until a clumsy swan. wretched, icky message",John Carry,2021-01-11T16:45:11Z,0
me: switches to 8k<br />my family trying to use the internet:,Julian Walsh,2021-01-10T09:48:16Z,0
2021?,SMBO6,2021-01-06T23:21:09Z,0
"<a href=""https://www.youtube.com/watch?v=NbzpwG4n6Vs&amp;t=10m14s"">10:14</a> seeing 2020  by 2020🤣🤣🤣,  and here iam from 2021 telling you we didn&#39;t see anything except my room for the whole year",Abdo AlG0hary,2021-01-06T17:57:33Z,0
Watching this video again but now on 8K!!!!!!!!!!!!!!!!!!!,akshat negi,2021-01-06T09:33:06Z,0
Watching this in 4320p lol,namcicle,2021-01-06T08:41:42Z,0
I watched it in 8k on a 1080p monitor,Yash Patel,2021-01-05T18:36:39Z,0
Watching almost exactly 1 year later,Capalot Cuh,2021-01-04T15:00:56Z,0
