comment,id,date,num_likes
My Dream phone😪,Rahul Aj,2021-05-03T03:37:22Z,0
I want tis wallpaper can anyone provide me a link,purnaabhinav abhi,2021-04-27T11:57:54Z,0
Would it be a good purchase for 499$ in 2021?,Mohamad Wahba,2021-04-19T23:03:59Z,0
Never heard of this guy before. His net worth is 2mil!,DogofW0r,2021-04-19T15:04:32Z,0
A $2mn net worth is meh in 2021.,Tom Stevens,2021-04-19T17:25:16Z,0
"pixel 3a camera &gt; oneplus 8. Well done oneplus, next time remove completely the camera",ampalos95,2021-04-10T13:08:42Z,0
how is that a surprise? the pixel 5 camera is also better than the 1500 dollar s21,Ye,2021-04-25T16:30:10Z,0
I need a phone. Please give me a phone.,Umme Arabi,2021-04-08T18:27:36Z,0
"I bought 3 motnhs ago and its broken, I dont recommend this if you think to buy",Mehmet Yener Yilmaz,2021-04-04T13:39:12Z,0
Most underrated phone of Oneplus.,Techy Rockz,2021-03-26T09:19:33Z,0
Having a glass back without wireless charging is like using a condom that doesn&#39;t prevent pregnancy. Why even pay to have glass back if you don&#39;t have wireless charging?,Jerb Sherb,2021-03-25T01:12:00Z,1
Thats fair enough. I would rather have a plastic back if it doesnt have wireless charging.,namcicle,2021-03-29T12:45:23Z,0
Marques saying <b>fast charger included in the box</b> hits different now.,Vinayak Gupta,2021-03-23T06:10:01Z,1
Its $499 now,Jiahe Ai,2021-03-23T02:03:52Z,0
"The slippery gas steadily cry because scorpion eventually kick till a internal hawk. wealthy, robust debt",Pawit Ninnabodee,2021-03-22T18:47:45Z,0
"The disillusioned temper focally bat because cheque certainly divide towards a insidious kitten. physical, animated vegetarian",Joan McGarity,2021-03-22T17:32:17Z,0
Watching on my oneplus 8. Loving it,JJ The Ronin,2021-03-20T18:26:55Z,4
It 400+ in my Country,The -PoliteX,2021-03-15T13:22:25Z,1
"Just looked at a bifold android phone for $2000. Nice review. I ended up buying Oneplus 8 5g UW locked to Verizon. The price was half what verizon was charging. Like new condition on Amazon for $375. Proud of the savings! Solid review here. I&#39;m going to put the camera to the test. I&#39;m excited about warp charge. Coming from Essential Phone Ph-1, everything is an upgrade",Edward Tredo,2021-03-14T00:56:41Z,0
Thanks for the clip. I am returning my one plus 8 today. It&#39;s a rubbish phone.,creatives,2021-03-12T10:06:03Z,0
What&#39;s wrong with it ?,tgl cam,2021-03-20T10:54:58Z,0
"I am still using my OnePlus 6 and I still love it,  OnePlus phones are anything but rubbish! You are clearly a hater",Arnab Kar,2021-03-12T10:51:53Z,0
Anyone else hit the app drawer instead of recent apps on gesture control? It&#39;s so annoying,James Stones,2021-03-08T05:14:03Z,0
I highly doubt he can&#39;t tell the difference between 90 and 120 he sounds like such a prick saying that,art ibarra,2021-03-07T04:56:47Z,0
"<a href=""https://www.youtube.com/watch?v=OHP1rLwR6r8&amp;t=7m50s"">7:50</a> marques: Cheapest 5G phone for 700$<br />Oneplus Nord: Allow me to  introduce myself.",Alexandre Lacroix,2021-03-06T16:11:19Z,12
haha!,Ali Farag,2021-04-26T10:47:28Z,0
Anyone knows what&#39;s the version IN2010 and what&#39;s the deference with the IN2013?? Because in my country (Greece) I&#39;ve found a version of OP 8 interstellar Glow that comes with 125GB &amp; 8 Ram.(and obviously it is cheaper) but this versions does not exist in the official site and I&#39;m kinda confused about what&#39;s going on ..,Maria Pnk,2021-03-04T14:06:56Z,0
Different versions are sold in different regions,tgl cam,2021-03-20T10:55:30Z,0
"I&#39;m on this phone rn 😌 I love it, but yes, GET A CASE BECAUSE FINGERPRINTS ARE YOUR ENEMIES!",Julian Kushman,2021-02-26T19:35:21Z,1
My brother bought a One Plus 8 and he didn&#39;t know that it had WIFI 6 and when I told him that he was VERY IMPRESSED just because I heard from you! Thanks so much Marques Brownlee!,Ranveer Bhavsar,2021-02-24T21:02:59Z,1
"my family is very poor. need a mobile phone because to read online. If I study get a job, I will be able to take care of the people in my house. help me, i live in Bangladesh.",أحمد رياز أولاد,2021-02-23T04:39:09Z,0
"just bought this today for $367 , can&#39;t beat it",Ken Guidry,2021-02-18T19:25:38Z,1
A 6.2 display 4k phone with fast processor 120hz<br />Nowadays phones are tooo big <br />Could somebody please do that,Khalid Almohammed,2021-02-15T20:38:31Z,1
"The cluttered money cumulatively arrest because thistle amazingly kiss toward a shaggy dirt. hard, squalid comparison",Bill Nalder,2021-02-15T11:32:36Z,0
you have a big hand...,Adriana Bahia,2021-02-11T20:03:17Z,1
He&#39;s tall af,Marcus Meeks,2021-03-08T14:57:09Z,0
That special phone comment 🤔,M Gapps,2021-02-05T19:45:33Z,0
9 months later..... Flagship which still doesn&#39;t support 5g in Switzerland because oneplus isn&#39;t unable to release the correct firmware in order to make it happen on all three swiss carrier. Additionally sms does not work correctly so forget any banking or two steps verification as you will receive your sms 10 min late..... Swiss customer be warned!,pristavni,2021-01-26T16:55:23Z,0
"My biggest complain about the phone is the screen. Its too narrow for me wich makes it hard to type correctly + the touch near the edges of the phone are less responsive. I thought this was some issue they could fix with an update, but is seems like it&#39;s gonna be this way. This is the most annoying oneplus i&#39;ve owned, after op 5, op 6, op 7 and now 8.",Nicho Wins,2021-01-20T10:52:44Z,0
Wireless charge is useless to me,iSSA VIBEZ,2021-01-18T01:40:47Z,0
Iphones trash,iSSA VIBEZ,2021-01-18T01:38:11Z,0
Camera wise samsung is better,iSSA VIBEZ,2021-01-18T01:37:41Z,0
DO NOT BUY THIS PHONE FROM T-MOBILE,Fmbr,2021-01-14T22:54:03Z,0
i did lol,EpicVids,2021-03-11T21:37:06Z,0
Never heard of this phone I swear 😭😭😭but it looks good,Anthony,2021-01-14T20:36:07Z,0
"So what, you didn&#39;t say if it&#39;s worth it or not, A review is to say if a product is worth it or not, you didn&#39;t do that",sami houmaira,2021-01-11T16:18:28Z,0
"Bad camera, poor wifi connectivity, software issues also battery life is bad. worst experience after 6 month of usage.please don&#39;t recommend.",Avinash Varma,2021-01-08T21:18:42Z,0
"@Raghav Gupta don&#39;t know man, bad luck for me.",Avinash Varma,2021-01-22T13:24:07Z,0
Dude you have a faulty phone...🙄 Nothing has happened to mine...,Raghav Gupta,2021-01-22T13:14:46Z,1
Honestly I keep my 7 pro at Full HD instead of quad HD just to keep the 90 hrz battery drain not noticeable. Warp charge 30 is crazy to me and kiss in the box 🤷.  I&#39;m so happy I got it for$445 new.,Cornelius Smith,2021-01-05T01:22:03Z,0
When we go to heaven.<br /><br />Marques: So I’ve been in heaven for a week and you guys will love it.,Mostafa Azadegan,2021-01-04T17:18:33Z,5
You can get the 7 Pro with almost the same specs and experience with a lesser price. Really should have looked have out for OnePlus differentiating themselves...,Asad Farraj,2021-01-04T08:53:07Z,0
"Thanks for info,  got my sub bro 👍",BNE Exotics,2020-12-30T08:18:43Z,1
"Knowing how much of a joker and sarcasm masters my friends are, I can already imagine a conversation scenario. <br /><br />Friend: what phone are you using?<br /><br />Me: Oneplus 8<br /><br />Friend: 9",Imagine Wagons,2020-12-27T16:39:45Z,0
"I only like OnePlus just because of their software, it&#39;s much better than those unoptimised,buggy UI of Xiaomi,vivo,oppo,samsung",VINOD KUMAR,2020-12-24T20:33:33Z,0
If OnePlus removed that curve screen and macro camera then add a flat screen and a telephoto camera I would be great,VINOD KUMAR,2020-12-24T20:25:08Z,1
Which is the intro song?,Shaheel Mohamed,2020-12-23T15:57:25Z,0
"Please explain me, why do people need/like wireless charging, because I don&#39;t get it. With a simple wire you can use it while you are laying in a bed and etc, but with wireless it needs to sit on some device and it&#39;s slower.",theGipper,2020-12-23T13:46:50Z,1
Would you guys take this? A pixel 5? Or the older 7tpromc,Godz Gift,2020-12-22T18:24:05Z,0
"<a href=""https://www.youtube.com/watch?v=OHP1rLwR6r8&amp;t=0m38s"">0:38</a><br />Phone price starts at 699$<br /><a href=""https://www.youtube.com/watch?v=OHP1rLwR6r8&amp;t=0m52s"">0:52</a> <br />Showing apple wheels cost 699$ <br />Perfect comparison 😂😂😂",Harsha Adithya,2020-12-21T11:43:08Z,0
"I have iphone se 2020, i hope its a good phone",Juan Garcia,2020-12-20T17:38:46Z,1
"I bought  my oneplus 8 back in July, it was functioning really  well, but all of a sudden today while I was using  the screen, it went black. When I took it to the store they told that there might be a display issue which costs half the price of the phone :( truly disappointed",Lakshithan Ravikumar,2020-12-17T16:05:20Z,0
"Worst camera, battery life and wifi connectivity.",Avinash Varma,2020-12-16T19:29:37Z,0
Honorable mention to the king of the Safeway’s to transit to our sponsor -Linus,TMZ BrriingBroo,2020-12-15T06:31:11Z,0
"Another one is that, each company could have different prices in different countries. 1+s r rly expensive here. For example, 8pro has the same price that S20 Ultra has !",Moein Mirjalili,2020-12-12T08:00:08Z,0
