comment,id,date,num_likes
who else watching this on the 2020 MacBook air,Tyler Short,2021-05-08T20:45:47Z,0
Just bought a new MacBook Air a few minutes ago after my beloved 2015 MacBook Air started dying on meh—so excited😂🙈,Samira Raposo,2021-05-06T04:21:50Z,0
So lucky,Nyah,2021-05-08T14:03:28Z,0
You&#39;re shortlisted among the winners today whatapp+1 7 2 4 2 0 0 2 8 6 5 now,Margues Brownlee,2021-05-06T13:04:56Z,0
"Owned a MacBook Air during college, loved it. Bought the updated M1 10 years later, loved it more. Honestly the Air is all I need. Also butterfly keys are trash.",J M,2021-05-02T20:34:18Z,1
its cool,cortin zelaznog,2021-05-01T14:27:17Z,0
"Ok so this is late but I absolutely love the MacBook Air, I like to browse a lot as well as watch movies and personally for me it’s perfect for customizing everyday things, plus it’s lighter then the pro so when ever I go to classes I don’t have a much handler to take with me. Truly one of the best computers to come out of 2020.",Nicel Diquit,2021-04-29T11:36:54Z,0
Only if it&#39;s M1. i3 sucks.,Akaki Peikrishvili,2021-05-03T11:24:56Z,0
I want one so bad 🥺,Bowen,2021-04-29T00:30:33Z,0
Hmm i have 2018 model should i upgrade🤔🤔👀,Snownu TT,2021-04-28T23:46:32Z,0
Is this the M1 model?,Ahsun Khan,2021-04-27T05:55:10Z,0
@Michael huge L to whoever bought this one,Cormac Donnelly,2021-05-01T00:29:52Z,0
nope,Michael,2021-04-27T18:18:00Z,1
"Is it just me or do you guys see that the sky outside looks magnificent <a href=""https://www.youtube.com/watch?v=koPg_DZUfOc&amp;t=1m49s"">1:49</a>",Jaineel Patel,2021-04-26T17:22:43Z,1
For that price you can build your own computer and it be better and still save $300 LMAO,Sven,2021-04-25T22:45:52Z,0
Lol he says &quot;quarantine content&quot; without knowing that quarantine content just became content 🤣,Marcos,2021-04-19T18:45:13Z,0
I got mine with the help of braintech_202__ on IG<br />After paying shipping fee...,VoskCoin,2021-04-15T23:25:06Z,0
"Hello, I&#39;m a student. I want to buy a macbbok air M1 laptop. Is it good decision for me?",Ismail Mia,2021-04-12T05:39:09Z,1
@Ismail Mia yes,U2BE,2021-04-25T17:15:10Z,0
@U2BE macbook air M1 is good for a students??,Ismail Mia,2021-04-25T13:31:03Z,0
you wont find anything better for 900 bucks (w/student discount)<br />source: I&#39;m typing this on the m1 MacBook air<br />btw this video is a review of the intel MacBook not the m1 check his newer MacBook review video,U2BE,2021-04-25T01:06:01Z,1
I got mine with the help of braintech_202__ on IG<br />After paying shipping fee...,VoskCoin,2021-04-15T23:24:23Z,0
Mine came with a flat battery. 0% is this normal?,Sara.C,2021-04-10T13:44:42Z,0
I got mine with the help of braintech_202__ on IG<br />After paying shipping fee...,VoskCoin,2021-04-15T23:24:49Z,0
