comment,id,date,num_likes
"Thanks for the video. I am still using my iMac purchased in 2013. It’s the late 2012 iMac. Works well. I do feel bad to just replace it. It works and works very well. Sure it’s a bit slow in some aspects but all my work is getting done on it since 2013. Suppose at 47 yrs old, I grew up in a world where you look after your belongings and didn’t have the luxury of buying every new gadget that comes out. If I were to get a new iMac this existing IMac would just sit there……..doing nothing. For me it’s a waste. Thanks for doing another great video.",Distant Light Productions,2021-05-06T22:16:09Z,0
Who&#39;s here after m1 imacs ?,Some one,2021-04-27T15:37:48Z,0
Can you review the new Mac mini???  Please!,Ashley Clarke,2021-04-16T16:36:37Z,0
Gl,Moein Mirjalili,2021-04-06T05:37:43Z,0
Has anyone brought one and if so should I go for it?,Kalena Warren,2021-03-22T19:23:37Z,0
I really wanna buy this but is it worth it because it is pretty expensive,Kalena Warren,2021-03-22T19:22:56Z,0
my imac i am using now is 8 years old and counting.,Elie,2021-03-18T12:43:29Z,0
I plan to buy a Mac Pro in April 2021 - should I wait for the new Apple Silicone Pro in 2022/23 or do you think I will be able to just upgrade to the new M1X/M2 chip since the Mac Pro seems to be built that way with all its modular pieces?,Alex Tucker,2021-03-08T10:53:54Z,0
&quot;A lot of those people probably don&#39;t care about apple silicone&quot; I do care I&#39;m just ✨ poor ✨,lick lick lick lick,2021-03-07T00:49:37Z,3
"I&#39;m using a late 2013 27&quot; with 1TB HD and 24GB ram. It works fine for web browsing, email, YouTube, etc. but if I want to get into photo?video (hint, I do) then I think taking the plunge now makes sense rather than wait",gatorcellman,2021-03-03T19:23:55Z,0
Solid advice. I have been going back and forth with which Mac to get--and was about to pull the trigger on this iMac so I&#39;m glad I caught your video before I did that. I am exactly that demographic you spoke of. I want to keep my computer for many years.,Elaine Yvette,2021-03-03T11:57:38Z,0
It&#39;s FEB and still nothing....,Samuel Ramos,2021-02-23T21:50:36Z,0
I have my IMac pro 5k i9 that i get it about 3 years ago now i&#39;m not going to change this quick plus mine is space grey i love the color i&#39;m not going to change for a throwback when in 2 years my Imac would still looks great and if there is a redesign more future proof then yes!,Bat Lightyear,2021-02-21T15:52:19Z,0
Hello mkbhd in 2026 I will go to you to work with you,almohammad hasan,2021-02-21T10:29:47Z,0
Can you please tell me if it&#39;s good for gaming please.,znaw2004,2021-02-15T02:54:57Z,0
Nano texture is NOT worth 500 bucks extra!,lenny moore,2021-02-12T19:12:00Z,1
"Of course, get in now since it&#39;s the last one that can run Windows too. It has enough power for video, music (or whatever) production for another 5-7 years.",russianvoodoo,2021-02-01T09:59:08Z,0
Obsolescence or not. I bought this Current model yesterday and it’s going to be delivered on Tuesday. Thank you for the great review!,Gordon Green,2021-01-29T21:07:12Z,1
1 month update: Turns out it is AWESOME!,Gordon Green,2021-03-18T20:40:04Z,2
Killer review as always man!  I&#39;m in the boat for a new iMac due to my 2012 iMac thunderports not working anymore as of 2 weeks ago. They randomly stopped working.  And I fall into that group where I use them for 10 years but only got 8 years out of this one.  But hey I did sale it for 650 with broken thunderbolt ports.  Not to shabby. That being said I think the smart thing for me to do is to get the iMac 2020 instead of the new M1 iMac that will come out this later this year/early next year.  There is definitely more pros than cons for me to get the iMac 2020 i7 for my recording studio.  There are just to many third party plugins that I don&#39;t have time to wait for compatibility. The new M1 iMac would be fun but stability is always most important to me.  I&#39;ll still have a crazy fast and fun computer to make music with!!!  Thanks for the pondering thoughts.  Hoping to put my order in this coming week!  🤘,Chris,2021-01-26T21:47:36Z,0
"Why people care so much about bezel? It just block more backlight if anything lol (I mean on a desktop device, on a small phone or something like that i can understand)",DNdavidsonsnation,2021-01-13T07:50:56Z,0
Intel suck and hold back Apple from his total potential. Change my mind.,DNdavidsonsnation,2021-01-13T07:47:59Z,0
My 2011 still  works and looks brand new. If you put it up to a new iMac you wouldn’t be able to tell the difference.  I put a 1TB SSD and put more Ram.  Now apple stopped making software updates for it.  This makes no sense.,A Team,2021-01-08T11:57:33Z,0
futureproof it its a joke,Colin M,2021-01-04T00:31:31Z,0
I have my first macbook...2008 plugged in for my sister to use.  It is so slow plus the picture with no retina display is mind blowing.  I could never use it for anything except google or you tube music which is perfect for her.  I have my 2015 macbook  plus my 2018 I Pd.,Debbie J.,2021-01-02T20:14:51Z,0
So would the last intel mac cost significantly less than the new Apple Silicon one?,Mac Kenzie,2020-12-27T05:54:35Z,1
Best,Pintu Mintu. Com,2020-12-21T12:15:08Z,0
i can live with the bezels and other dated aesthetic stuff with imacs... but bring back target display mode and let us pop the screen off to at least clean dust out from inside.,senor frog,2020-12-21T01:35:40Z,0
"<a href=""https://www.youtube.com/watch?v=6kAvCSMkYEI&amp;t=8m15s"">8:15</a>-<a href=""https://www.youtube.com/watch?v=6kAvCSMkYEI&amp;t=8m39s"">8:39</a> he just described boomers.",Kaden Rivera,2020-12-18T20:22:00Z,0
"I’m honestly really on the wall about getting this IMac. I’d go with the 10 core and just max out the ram on my own. It’s quite an amazing deal all around and I also fear that when they only come with the “M2”, they won’t let you upgrade the ram on your own.",Jorgie WTF,2020-12-17T07:10:01Z,0
Actually I have 12 years with my computer... And I need to change it this year cuz I need more power   😅,Erika Nohemi Rivera Cortes,2020-12-08T01:58:59Z,0
"M,m",N Vs A Challenges,2020-12-06T12:17:47Z,0
Whats wrong with the Fusion Drive?,GF R,2020-11-29T23:57:46Z,0
Some good insight as always. ✌🏼🤔,Bayer-Z28,2020-11-29T23:20:39Z,0
Like the T shirt..,Yvonne Graves,2020-11-26T23:10:15Z,0
"Apple makes one of the best smartphone cameras, like, the iPhone 12 Pro Max. Why aren&#39;t they on the iMacs and MacBooks?",ッΛCE,2020-11-23T14:49:28Z,1
@Matthew Cachia Fearne pretty sure Apple can figure something out with their R&amp;D,ッΛCE,2020-11-24T14:38:26Z,0
Because MacBooks require a very small camera module due to the thickness of the screen,Matthew Cachia Fearne,2020-11-24T10:58:26Z,0
"The fusion drive is fckn stupid. I hat a 3TB Fusion Drive that just fried only to realize a &quot;Fusion Drive&quot; is actually 2 Drives; one being a PCI 120GB SSD type card, and the second one that&#39;s a 3TB was a FREAKING 2.5in LAPTOP DISC DRIVE! COME ON APPLE!! I lost all my files, my business-related stuff, everything. My fault for not backing anything up, ill take that. But come on man. HDDs&#39; should&#39;ve been done in 2010 damnit.",ッΛCE,2020-11-23T14:46:54Z,1
"Im just waiting for an affordable Apple monitor like the one they had back then for $999... (affordable, yes. For me. $7K is ridiculous)",ッΛCE,2020-11-23T14:42:58Z,1
"New iMacs almost certainly leave the door open for easy RAM upgrades like now, meaning we&#39;ll have to spend $250k to get 32gb.",John Adkins,2020-11-20T09:53:44Z,0
Me who still has a 2007 iMac,AK 17OOO,2020-11-18T04:12:36Z,1
