comment,id,date,num_likes
"At first I thought &quot;glad I saw this after I finally bought one&quot;...but I&#39;m upgrading from a Series 3, and given the woes of trying to upgrade watchOS on it lately, I think I made a good call lol",Alexander Kahrs,2021-05-09T04:57:37Z,0
,realnskalsi,2021-05-08T05:22:11Z,0
"I have an Apple Watch I don’t wear and pay £20 per month for it. I’m ok paying it to finish the contract off. However if I delete the plan from the watch, would I be able to give the watch to my gf for her to add her own plan to it. I would obviously still pay off my subscription.",Robert Durham Music,2021-05-07T03:56:34Z,0
"Today introduce New Apple watch 6.<br />We have lots of option have been released. The First option is Case type. We have Aluminum/stainless steel/titanium. And The second option is The size of case. We have 42mm and 44mm. I personally felt uncomfortable using a small device while using a large Apple Watch. The Third option is color. Now Apple is pursuing casual colors. So, New Apple watch6 have New color. Blue and (PRODUCT)Red. I got Blue one. Next Fourth option is GPS and Celluar. Celluar modal is not good👎 Will be introduce performance. <br />The most innovative feature is Automatic Mac unlocking. But New IOS14.5, It also supports unlocking the iPhone. And new Apple watch supports ECD. But I was putting other Koreans, including some countries the health authorities is unavailable not obtain a license.<br />I pray for the approval of some national health authorities as soon.<br />And next new Apple watch band. We have lots of band. It also supports the Hermès Band a luxury brand, and Nike band for comfortable exercise. <br />This Applewatch can use, IPhone user and wants casual watch.<br />We have question. Why we can use apple watch6? Because Accurate heart rate. <br />Protect your healthy.<br /><br />This watch is expensive and nice. The price starts at 399 US dollars and ranges from 950. If you add it again and again when you buy it, the price becomes very expensive. This is Apple&#39;s plan. Thanks for Reading.<br /><br /><br /><br />If you have lots money, You got it",이상준,2021-05-07T01:06:41Z,0
"THANKS APPLE WATCH! I have more oxygen without my mask when running/walking/driving alone in my vehicle/mowing my lawn than I do with it on. Who knew? (Hint: rational, critical thinking people knew, that&#39;s who🧠)",CuriouSteve,2021-05-06T13:55:09Z,0
"I’ve noticed my Fitbit Charge 3 has better sleep analysis (light sleep, awake etc) than Apple. What are the best 3rd party apps on Apple Watch for sleep monitoring?",numb15,2021-05-06T12:09:25Z,0
“Idk about you but I sleep laying down” lmao 😂,Mr. Smith,2021-05-06T11:27:49Z,0
Hi Marcus which watch should be great for new user SE or 6?,Koushik Kulkarni,2021-05-05T14:12:48Z,0
What wireless charging dock is he using ?,h00ps,2021-05-05T12:48:50Z,0
where is the review for SE watches dude,Arslan Annamyradov,2021-05-05T08:28:58Z,0
Why would you sleep with a watch anyway? Just charge it at nights.,Ser Arthur Dayne,2021-05-03T10:20:53Z,0
Does the SE have a S6 chip?,Nabeel Malik,2021-05-03T01:31:52Z,0
main was unlôcked by a trustworthy hacker..<br /><b>JOINEDCYBER</b> on Instagram,Andy Larry,2021-05-02T20:58:09Z,1
This will be my first Apple Watch only reason I got it was because bestbuy had it on sale for a day and I had some gift cards so it only really cost me like $120,Damir Chesney,2021-05-02T18:00:30Z,0
"Don&#39;t mind me ,just watching some quality tech videos",Sanjay Palanisamy,2021-05-02T16:38:16Z,0
should i get airpods pro or apple watch series 3 please help me decide,Youssef Hani,2021-05-02T15:22:29Z,0
<b>JOINEDCYBER</b> on !G got my watch fixed up,Oyebanke Hassan,2021-05-02T13:18:38Z,0
<b>JOINEDCYBER</b> on !G got my watch fixed up,Oyebanke Hassan,2021-05-02T13:18:16Z,0
marques brownie sleeps stood up paranormal activity style!!!!!,D. B. Cooper,2021-05-02T11:34:48Z,0
"Watching this video, even i know i cannot buy this watch!!",Rapneedweed,2021-05-02T05:39:30Z,0
"To be honest, the Apple Watch SE is by far the better choice IMO. When you consider price, performance and features the series 6 just isn&#39;t worth the premium price compared to the SE. The extra cost isn&#39;t worth the 2-3 extra features you get with the 6. I bought the space grey SE and it&#39;s been an excellent purchase, I&#39;m so happy with it. I honestly feel that for 95 percent of people, the SE is by far the better choice if you want an Apple Watch.",PJV1990,2021-05-02T02:42:29Z,0
The screen is too small. There is nothing wrong with having a bigger one. We have been here with phone and finally we have different options in terms of scale.,erfan,2021-05-01T20:30:32Z,0
which size do you wear marques?,Brandon Mendoza,2021-05-01T17:17:05Z,0
"&quot;i dunno about you but, i sleep lying down&quot; cracked me up. love that.",Adrian Czyżewski,2021-05-01T13:48:00Z,2
What&#39;s broken is the horrific battery life. Charging twice a day just to make it is ridiculous.,Richard A,2021-05-01T02:33:12Z,0
Never thought I could use my iwatch again until I met <b>JOINEDCYBER</b> ôn IG,Nafiu Halliru,2021-05-01T00:16:24Z,3
"my apple watch gen 1 (series 0) won’t even last all day anymore, the series 6 is on sale for 379 at bestbuy and i jumped on that discounted 50 dollars off, do you think that was a good decision? I waited long enough lmaoo",liamplqys,2021-04-30T22:31:05Z,0
I ♥︎ ,DiveInsideTech,2021-04-30T19:55:17Z,0
"🤣I sleep. lying down. <a href=""https://www.youtube.com/watch?v=XDamqi_3Aro&amp;t=5m31s"">5:31</a>",Adedoyin Akande,2021-04-30T12:07:17Z,0
,Rain Ramblers,2021-04-30T04:50:16Z,0
"Plot twist, he is a sleepwalker",Mr Breiart,2021-04-30T00:56:31Z,0
I’ve never had an Apple Watch and no reviews ever take that into account.,Techn9cian123,2021-04-29T20:54:17Z,0
sticking to my fitbit lol. thank you!,Jessica Smithers,2021-04-29T14:09:06Z,0
"at <a href=""https://www.youtube.com/watch?v=XDamqi_3Aro&amp;t=6m11s"">6:11</a>, you mentioned that you had a morning routine. Why havent you posted it yet?",hamzah,2021-04-29T12:55:43Z,0
Sleep tracking.. is this new for Apple? One more reason I never had one😂,Cosmo 82,2021-04-29T10:22:04Z,0
I laughed a lil when he said 25$ for oxy meter. I had to buy one for my family and due to the severe shortage I had to pay around 6000 which is roughly 80$ so I guess it would have been better if I had an apple watch,Danish Singh,2021-04-29T05:26:53Z,0
Is apple watch series 6 worth it in 2021?,Brian Lynaugh,2021-04-28T12:26:37Z,1
maybe it is,Brian Lynaugh,2021-05-06T17:18:35Z,0
&quot;I slept it with it .... on&quot; 😏,Abood byxapn,2021-04-28T10:02:40Z,0
I can never use a smartwatch because I like the classy analogue ones too much,Ved Aryan,2021-04-28T07:34:17Z,0
Make a video on samsung watch 3,Srikar Vedula,2021-04-27T16:22:25Z,0
"<a href=""https://www.youtube.com/watch?v=XDamqi_3Aro&amp;t=2m47s"">2:47</a> Who knew the &quot;Oximeter&quot; would go on to become famous and successful in life 😆 (at least in India)",Tech Nuttiez,2021-04-27T12:03:39Z,0
yho that opening,david mtungwazi,2021-04-27T10:56:40Z,0
“Everything” Mmmm<br />Does it count Strokes??? 🙂,VISHAL MIDYA,2021-04-27T07:53:00Z,0
what about the apple watch se review??,V.S. Chacko,2021-04-27T06:14:26Z,0
Can’t stand you,Navi H,2021-04-27T03:49:26Z,1
"PLEASE READ IF YOU HAVE GLITCHES STREAMING SPOTIFY ON  Apple Watch WITH THE Nike Run Club app<br /><br />Praying this gets acknowledged because its a serious problem I AND OTHERS have experienced while running with the Apple Watch (I&#39;m series 4 but my friend had series 5) streaming spotify. before you skip I&#39;ve been working with and sending logs to a team at nike (who are doing a great job staying in contact) and it seems that streaming spotify while using the NRC app causes frequent crashes. I&#39;ll leave at 85% battery and stream Spotify, watch dies 30 mins in, comes back on for a minute, and dies until I charge it at home. Then after 10 mins on the charger it goes from 65% to 75%?? not sure if this is a &quot;spotify issue&quot; but I&#39;ve gone on runs with downloaded MP3&#39;s with no issue, have 80% battery capacity on my watch health, and no issues streaming Apple Music in the past.<br /><br />Pretty disappointed apple hasn&#39;t fixed this since they sell a Nike Apple Watch with the Run Club App LITERALLY pre-installed. I&#39;ll try Apple Music again for a month and see if it &quot;solves the issue&quot;. I&#39;ll keep you all updated. I&#39;ve checked plenty of forums and others have experienced the same issue. thank you for reading this, thumbs up to spread the word!!",Jared,2021-04-27T03:29:27Z,1
Maybe you’re sleepwalking!!,Colm Magner,2021-04-27T00:09:29Z,0
I got my bait,OTW,2021-04-26T22:48:54Z,0
Where’d you get that T-Shirt?,Michael Roland,2021-04-26T15:44:17Z,0
My apple watch thinks I say “hey siri” whenever I wash my hands<br />thank you apple for pausing my headphones so I can hear the sound of my sink,Youtube Pizzer,2021-04-26T08:04:42Z,0
"Awesome video,thanks !",Edward Brogan,2021-04-25T23:35:57Z,0
