comment,id,date,num_likes
"For the Color Wow Dream Coat Supernatural Spray, can you describe the scent? thanks!",Jessica A,2020-05-22T20:37:59Z,0
YOU ARE 🔥 FIRE GURL!! <br />You are the first beauty influencer i ever started watching! You are my go to!! I appreciate your educated opinion. As a hairstylist you do really well recommending hair products and you beauty tips tricks and skills are bomb!  Love you to pieces Ma’am! Many blessings to you🙏🏻 Love + Light to you and Jeremy💕,Brenna Slone,2020-04-27T16:49:07Z,0
Have you ever heard of Farmasi makeup products? I’d love to send you some makeup and skincare and have you do a review.,Chloe Elizabeth,2020-04-12T02:46:23Z,0
Sis!!! Where did you get your necklace? Ive been looking for one for the longest!,Emily Chavez,2020-04-04T23:20:21Z,0
i stumbled upon your channel couple days back and not to sound creepy but i love your videos!!! New fav youtuber!,Martha Morales,2020-04-03T21:02:47Z,0
makeu tutorial on this look please,Brenda Teran,2020-03-29T23:10:22Z,0
Still watching babe xoxo 😘,Lorna Brooks,2020-03-27T11:24:21Z,0
Does the Pat McGrath foundation rub off on clothes? Does it pass the white shirt test? Thank you!! :-),Skippy S,2020-03-24T00:17:43Z,0
hi i ADORE this video style. like showing us your before “routine” before an official looking video. this felt so personal. ur so innovative w your video style that’s why i keep coming baaaack💞💞💞💞💞,percyuwu,2020-03-24T00:17:30Z,0
I just want to know how she edits her videos,Sonia Cevallos,2020-03-23T21:42:51Z,0
Question I see that you said the anti humidity spray needs heat to activate could I put it in after my hair is dry and straighten it or does it have to go in wet hair and blow dried after ?,Jessica Brusnahan,2020-03-23T19:59:46Z,0
What do you do the do to get your teeth so white?,joeysan77,2020-03-22T20:09:06Z,0
Fair skin? Girl please,tania0874,2020-03-21T20:46:11Z,0
"Look at that skin hunty, GLOWING!!😍",Asya Ervin,2020-03-20T00:50:49Z,0
You’re so pretty. I love you. Lol.,Deana Perez,2020-03-19T18:25:55Z,0
I think the dupe for that color wow is the newer L’Oréal sleek it. It’s heat protection and for straightening. It claims to keep your hair straight for three days and it does. I LUV that stuff! It’s always on sale for like $4. It literally keeps my hair straight for days and I have curly color treated hair. I don’t straighten my hair often but when I do I definitely use that. Also it’s also heat activated. I would use it for curling to but I don’t have to curl my hair.,Shahalie Shai,2020-03-19T05:26:30Z,0
I love this video so much!!!! The quality is so so good!!!! I feel like you are right in front of me ❤️❤️,Mari Hdez,2020-03-18T20:34:32Z,0
really need more Nicole&#39;s video！,Rebecca wang,2020-03-18T12:24:07Z,0
"<a href=""https://www.hsi.org/news-media/about_cosmetics_animal_testing/"">https://www.hsi.org/news-media/about_cosmetics_animal_testing/</a>",adrianne vicenti,2020-03-17T02:52:08Z,0
"QVC needs to hire her full-time, already.",Crystal Zavala,2020-03-16T03:53:26Z,0
you look so so cute! I loved looking at your face the entire video! so smooth!,Deemy Flores,2020-03-15T19:35:06Z,0
Love all these products and would love to try them out but sadly I live the broke student life 🥺😭,Esmeralda Guzman,2020-03-13T07:34:47Z,0
"Yes, you should totally keep the Mashup name for these videos..I love it!!  Another great video!!  Also, super pumped for the upcoming vlogs..I’ve missed them SO much!!  Love you, Nicole!!💜😘 xoxoxoxoxoxoxoxoxoxoxoxoxoxo  <br />💜🦄💜<br />1️⃣4️⃣3️⃣",Misty Parsons,2020-03-12T05:15:52Z,0
I love the new video format!,The Kudzu Witch,2020-03-12T04:51:43Z,0
Yes still here!! 🙋🏻‍♀️ wouldn’t miss a second of your video!! 123 🐱,Norma Garcia,2020-03-11T20:08:42Z,0
Youre pretty discreet about your intimate life but idk I found it funny when I noticed the sex toy in the Amazon boxxx 🤣🤣🤣 I knew youre a freak in the sheets,Jasmine Gonzalez,2020-03-11T03:29:47Z,0
How about a video on how you do your hair with the products you’ve mentioned? I have some funky textured hair and i live here in florida too and its just not cute! Lol✌🏻,Katrina Stokes,2020-03-11T01:27:42Z,0
*goes to amazon and adds to cart / love you !,Savannah marquez,2020-03-10T21:46:57Z,0
I miss Nicole! Thinking back and I’ve been a fan for a while. I need you to do meet and greets again. Like you still ON TOP! I love you,sammyjlove93,2020-03-09T02:38:13Z,0
Your eyebrows thooooo 😍😍😍,Rosa Marina,2020-03-09T02:05:03Z,0
Girl...them brows are so grown out I love it,Venus and Phoenix,2020-03-09T01:05:28Z,0
Klorane is the BEST dry shampoo I’ve ever used.,xtinegm,2020-03-08T07:45:03Z,0
Try the audible book- loving what is by Byron Katie - you won’t regret it !!!!,•The Mindful Mommy•,2020-03-08T02:41:42Z,0
Just finished Little Women! I dont think I would have ever finished it if it wasn&#39;t for Audible. The narrator was so good. Xoxo,M Mari,2020-03-08T00:00:59Z,0
I need your lip mask! You know I purchased at least ten back when you had them! Bring it back maybe? 😘,Lia,2020-03-07T18:51:49Z,2
I Miss You❤❤❤❤😘,kenyata washington,2020-03-07T15:28:03Z,0
I miss these kinds of videos!!! They were always my favorite videos you made!! Please keep doing more of these!!! Love you Nicole!!,Diana Mendoza,2020-03-07T14:34:54Z,0
I&#39;m obsessed with dead flowers!! I&#39;m so glad I&#39;m not the only one lol,Vanessa Cropley,2020-03-07T07:37:39Z,0
Love your videos !,Amanda Aguilar,2020-03-07T04:56:02Z,0
I&#39;m loving this kind of videos!,Carmen Cee,2020-03-07T04:39:26Z,0
Can anyone tell me the style of vans shoes that she wears I love them,G Lee,2020-03-07T03:33:21Z,0
❤️,Deziree Monique,2020-03-07T03:18:20Z,0
"Giiirllll idk if I should be ashamed buuut I did not know about you until I seen your TikTok videos. That manager one cracked me up and made me fall in love lol you know I had to go see all your other ones. After that I&#39;m like she is so cute and now I found your youtube videos <a href=""http://www.youtube.com/results?search_query=%23NewSubscriber"">#NewSubscriber</a>",Carla Juarez,2020-03-06T23:16:23Z,0
Come throuuuugh with the Pisces creativity!!!😻 love love love! definitely using as inspo for future vids!,Vic and Airi,2020-03-06T23:12:43Z,0
Omg mom really wants me to go broke on pay day 😭😂😘,Lupe Garcia,2020-03-06T19:07:36Z,0
Why do you use so many products that test on animals??? 😔💔,Marie MM,2020-03-06T18:08:40Z,0
Mom you can literally make a 2 hour video and I’ll watch the whole thing. 😘 always a great day when you upload.,Authentically Angelica,2020-03-06T16:45:38Z,0
I misssss youuuuuu 😩💜,Jessica Hernandez,2020-03-06T16:22:38Z,0
Dead flowers have such a different esthetic!! I feel ya bbgirl xo,Viri Hernandez,2020-03-06T14:33:18Z,0
UPDATED SKINCARE ROUTINE PLEEEEEEEEEASE!!!!,lilly poppy,2020-03-06T12:05:07Z,0
Girl ya eyebrows DID THAT!! My fave version to date.,Nola Balo,2020-03-06T06:59:16Z,0
What’s your favorite hairspray? I can’t find one that is strong enough to keep my “fly aways” down but not so strong to where my hair is suddenly stiff as a rock. Does one exist? Could you just do a whole video on hairspray or hair products lol ?,pluxe Couture,2020-03-05T23:44:35Z,0
GIRL YOU JUST GONNA DROP THE GLOW KIT AGAIN WITH NO WARNING?!?!?!! 🙄🙄🙄,Sakiah Washington,2020-03-05T17:41:34Z,0
Can’t wait to try the Summer Fridays jet lag mask 😍💕,N Robes,2020-03-05T16:13:21Z,0
"I just got the MUFE matte velvet skin powder foundation about a week and and a half ago at Sephora- per your recommendation of course, but OMG I’ve used it just about every day since and I am so happy about this purchase! I’m a waitress &amp; bartender, this lasts through a 9 hour sweaty shift. I love how my contour and highlight lays on top of it, so beautiful 😍 💕",N Robes,2020-03-05T15:58:49Z,0
"I love and trust your recommendations! Also, can’t wait for your highlight palette!! 😍",Savannah Ashton,2020-03-05T15:20:55Z,0
The editing and camera quality in this video is just AMAZING!!!,Agnes Sunflower,2020-03-05T13:16:09Z,0
Why did I not see that she posted,The Carranza Family,2020-03-05T07:31:44Z,0
