comment,id,date,num_likes
Does anyone know where the headband is from?,Lanciaaaa,2020-09-30T10:14:44Z,0
Would you considered doing a video tag for healthcare workers? For months I gave up makeup because of having to wear PPE at work. I&#39;m an ICU Nurse and work 12 hour shifts. I live in Florida and have oily eyelids. My holy grails are Dior&#39;s waterproof mascara and Colourpop&#39;s s Sweet talk palette. I&#39;ve been pretty uninspired until recently when I cleaned out my makeup.  I also started relaxing again.. by watching makeup tutorials. I pretty much accept my face makeup is going to wear off because of wearing masks....but what about eyes? I&#39;d like to see products and  techniques that last. (or atleast fade nicely.) I love Goth and Rockchick looks but don&#39;t want makeup all over my face by the end shift. I think a lot of people would love this topic. I love the looks you come up with. Just trying to find new ways to take back my pre epidemic enjoyment..Thanks Mikki ♡,Mikki Briteside,2020-07-01T08:45:32Z,0
Omg your airdry hair is amazing! Love the waves,Dee Sanchez,2020-06-07T18:09:48Z,0
Where is that headband from??,Adalis Gonzalez,2020-05-31T02:14:27Z,0
"Are you AMBITIOUS, EAGER, and MOTIVATED to start your own business? To say “YES” to financial freedom? What would you do with some additional income a month? This is a life changing opportunity that has changed my life. If you would like more information contact me, Daniela, at danielag0104@<a href=""http://hotmail.com/"">hotmail.com</a>  <br /><br />I’m excited to tell you what it is all about!!",Daniela Garcia,2020-05-15T22:24:57Z,0
Love you girl but those eyebrows look awful! Stay with the natural eye brows.,Adry Princess,2020-05-12T20:43:36Z,0
Your face brings me so much happiness ❤️,Alnour,2020-05-11T02:40:06Z,0
What brush did you use for your brows??,Alyssa Schwartz,2020-05-04T17:17:26Z,0
Can you check your email address with &quot;Thumbnails for YouTube&quot; Subject Line?,Dharmik Patel,2020-05-01T15:14:13Z,0
nicole what camera do you use help a girl out ❤️☺️,Senia Chavez,2020-04-27T16:07:48Z,0
How many calls do you speak Spanish,Marisela Salas,2020-04-26T21:36:54Z,0
wow...have not watched this channel in about a year...she has physically changed...i can&#39;t believe what has happened to she and jackyln,sacha combs,2020-04-22T07:55:14Z,0
Social distancing from the camera ? You’re so far lol,SYE M,2020-04-22T01:03:28Z,0
Can you please do a video with your cats??,Sacred Wiccan Shamanic journey,2020-04-21T23:24:19Z,0
please do a review on color wow’s dream coat for curly hair,Ashley Gohn,2020-04-21T16:16:23Z,0
where is that headband from?!!! I need it!! Does anyone know?,All Things Roselyn,2020-04-20T17:15:01Z,0
I remember watching your videos when I was in grade 7. Can&#39;t believe it&#39;s been years and now I&#39;m in College time flies.,GlowingxLights,2020-04-19T02:58:36Z,0
Where did you get that headband? I love it! Does anyone know? Please tell meeeee 😊,karlagb,2020-04-18T17:05:45Z,0
"wait, what&#39;s the sharpener again??",Julienne L. Sandajan,2020-04-17T16:46:57Z,0
I used to looooooveeeeee her so much and I lost my account waaaay back bc I didn’t have a phone for a while as well so I forgot loads of people I used to follow. And now I found her again!!! I’ve missed her so much! It’s been like 6 years now and I used to watch all her vids back then. But totally forgot her name but I was searching for a different Nicole on here but accidentally clicked her name and I’m sooooo happpy!!!!!!!,LoveMutz,2020-04-15T21:16:52Z,0
Do you have a video of your hair color?,Raquel_xoxo,2020-04-15T17:45:51Z,0
"GIRL WHAT HAPPENED TO THE BROWZZZ, still perfff buuut they were so thick!!!",Ana q,2020-04-14T16:42:27Z,0
"I absolutely love your editing skills! 😍🥰❤️<a href=""http://www.youtube.com/results?search_query=%23weirdIknow"">#weirdIknow</a>",Gina Coronado,2020-04-13T17:14:01Z,0
Where is your blush brush from? :) (the one before the IT cosmetics one!),Marissa H,2020-04-10T03:35:11Z,0
This video reminded me I don’t know how to do makeup 😂😂,Obviously Queen,2020-04-09T08:41:12Z,0
What facial fan do you use ? And where did you get it ? 😌,rebecca lloyd,2020-04-08T22:55:49Z,0
When you talk softly and calmly do your makeup gives me asmr tingles..can you do more videos like this please!,Lubna Arif,2020-04-06T03:18:33Z,1
Nicole yr too Cute!!,Tricia,2020-04-06T03:09:52Z,0
If I ever air dry my hair I look like a lion lol,Yaritza Suarez,2020-04-06T02:35:12Z,1
Wowwww the way you do your hair! So nice!!,Annabelle Arseneau,2020-04-05T19:05:33Z,0
"Yes Nicole with these videos ❤️❤️ also, to everyone asking for the engagement video that’s something so intimate she DOES NOT NEED TO SHARE THAT, SHE DOES NOT OWE US any story times about it. Just be happy for her &amp; Jeremy. We don’t need to know everything in her life; just like you wouldn’t want everyone knowing what goes on in your life. Not everything needs to be shared. Just support our queen 💕",Yennni G,2020-04-05T06:08:43Z,0
I miss you!!!! I haven’t watched makeup videos in sooooo long. &amp; lately I been back at it. You are one of the first makeup gurus I started watching videos with back when I was obsessed with makeup videos,Ari’s Doll Life,2020-04-05T02:30:45Z,0
More yesterday vlogs please! They give me life!,Sonia,2020-04-05T02:17:22Z,0
I wanna see a more in depth video on the new dyson flat iron!,Yessie Johnson,2020-04-05T01:48:20Z,0
"“Who?, Why?”...lol",Teyia Poulin,2020-04-04T19:20:53Z,0
