comment,id,date,num_likes
I just wanted to say that I love watching you and you literally make my days!! Love your energy and im not sure if ur gonna see this comment Nicole but if you do just know you made a person smile today 💛🧡💚,Kamilla Lahdiri,2021-04-20T14:43:48Z,0
Rewatching this vlog and part of it is St. Patrick’s Day last year! Ugh so crazy! It’s already been a damn year!!!,Tori G.,2021-03-18T00:37:02Z,0
"<a href=""https://www.youtube.com/watch?v=KlJCBLGeZqs&amp;t=5m09s"">5:09</a>",23 Basketball 32,2020-11-26T04:01:55Z,0
Bb,Ellie Davenport,2020-11-09T13:29:15Z,0
What are the yellow shots your drinking?,Maribel Castillo,2020-10-04T23:09:05Z,0
"I have the old Apple remote too, no shame!!",Ailish Harris,2020-09-18T21:47:53Z,0
"I&#39;m an introvert too so honestly my social life hasn&#39;t changed one bit because of the pandemic which is sad 🤣 I see SO people on my social media though just going on family beach vacations, never wearing masks, and just not giving a single fuck and it is INFURIATING 🤬",Brittany Hyatt,2020-08-29T05:57:50Z,0
"I&#39;ve been binging the housewives too😹 so far I&#39;m watched all RHOA, RHONJ and now on RHOBH. I tried a few episodes of RHONY but I couldn&#39;t get into it???",Halezyeah,2020-08-22T01:06:24Z,0
How did I miss a whole video 🙃,Finding Maleka,2020-07-21T19:22:38Z,0
lmao the kitty waiting for you to empty the box,Tef,2020-07-20T01:17:44Z,0
she&#39;s literally the reason why i bought Chameleon Coffee &amp; that creamer 😂🥰 the OG YouTuber,DelilahVlogs,2020-06-28T08:53:29Z,0
I can’t ever tell if it’s day or night 😂 the house is so dark,Yamilda Garcia,2020-06-12T12:04:55Z,0
"Your kitty is ready for  her close-up,  ma..",Rhiannon Nicks,2020-06-07T14:23:23Z,0
Seriously when is Jeremy getting his cooking YouTube going??,mindylu32,2020-05-20T16:54:02Z,0
"Please include us more on your wedding, even if it’s just little sneak peaks or picking samples maybe!",Samantha Hernandez,2020-05-18T15:35:11Z,0
"It really does make me go zoom!! Lmao thank you so so much for putting me on to this coffee, and I’m so so sorry for waiting so long to try! ❤️❤️",Samantha Hernandez,2020-05-18T15:28:57Z,0
Where did you get that big brush situation I need that in my life right now I have a ton of different holders but I really like that,Famandglamxo,2020-05-08T01:44:30Z,0
How you jus gonna leave out where you got the purple tie dye shirt with the mushroom pocket 👀,Alyssa Schwartz,2020-05-05T17:22:11Z,0
Nicole sound like me trying to convince my boyfriend to cut his hair,Adryann Latrice,2020-05-04T16:18:55Z,0
I love your vlogs💖💖💖,emmm81,2020-05-04T06:22:16Z,0
Jeremy youtube cooking channel!!!!,nikki t,2020-05-04T05:36:22Z,0
love you nicoleeeee 🤍🤍🤍,Jessica,2020-05-04T02:56:26Z,0
"COOKING TUTS Please!!!!!!! <br />Also, Can you check your email address with &quot;Thumbnails for YouTube&quot; Subject Line?",Dharmik Patel,2020-05-01T15:14:48Z,0
Idk why but your vlogs I can watch over and over and over again and never get sick of them I love you mom🥰,Veronica Velasquez,2020-04-29T22:58:17Z,0
I really needed this.  Thank you so much for your Vlog series.,Tanya10312000,2020-04-28T21:22:01Z,0
Literally stopped the video as soon as you said your palette was back in stock and ordered 3 of course 💕💖💋 plus moms(carli) palette too,Jane Danielle,2020-04-27T07:39:46Z,0
What kind of desk is that ?,Jane Danielle,2020-04-27T07:34:16Z,0
"Been following you for a long time... like 2012 long time. So glad you stayed true to yourself, a real OG.  :)",martha maris,2020-04-26T04:36:54Z,0
"I agree with you totally when I se how many people are not taking this situation seriously and I am an ER Nurse, I go to work and come home, I order my groceries for pickup, I do my doctors appointments via phone and guess what haven’t been in a store for months! People need to start taking this seriously or this will be longer and longer and more people will die. I really do appreciate that you are a person that reaches others and can remind people to take this seriously. ♥️♥️♥️♥️♥️♥️♥️♥️",Petersen,2020-04-25T19:11:20Z,0
I’ve always loved your vlogs! Total inspo,Ashli Nicole,2020-04-25T14:46:57Z,0
"Mom, I could actually live in your beauty room 🥺❤️",Sincerely Deeanne,2020-04-21T08:35:34Z,0
I could literally watch your vlogs for hours!  ❤️,Ivonne Gonzalez,2020-04-20T06:18:43Z,0
That coffee combo is bomb!! I got it today 🤤🤤,Crissie Garcia,2020-04-20T02:21:09Z,0
Where is the little couch from? Loved the video!!,ydibel mota,2020-04-19T14:52:57Z,0
Those tacos look amazing!! A recipe is needed!!,Brittany Boyd,2020-04-18T12:58:05Z,0
Once you are done organizing your make up room. I would love ❤️ Love to see makeup Tour. I just saw another youtuber doing one. And I just thought How much I Would love 💗 To see yours!!!,Minerva Mescain,2020-04-18T03:55:53Z,0
SAVE THE DATE !!!? 💍👰🏻🤵🏼🥰,Ann G. Oremor,2020-04-17T01:13:31Z,0
you have not changed since i started watching you in 2017!! i love you so much!!! you’re such a genuine and authentic woman ♥️💕,Samantha Kerster,2020-04-16T05:55:01Z,0
you put me ON with that coffee!! I didn&#39;t even know they had other flavors I&#39;m so excited to try them!,joeanneuhhh,2020-04-15T16:00:23Z,0
"Anybody else get her “okaaay, okaaay” reference? From the Nicki x Megan IG live 😂❤️",Life_Of_Los,2020-04-15T15:06:54Z,0
Happy new year mocha joe love ❤️😂🤣👍👍👍🙌☕️☕️☕️☕️☕️,CelesteLoveHeart,2020-04-14T19:46:38Z,0
"You&#39;re teeth are so white! What do you do for them? Also, are you going to do wedding prep videos??",Elizabeth Patterson,2020-04-14T19:11:38Z,0
Her teeth might be veneers.,DizzyUpTheGirl,2020-04-27T15:39:31Z,0
We need cooking videos,forevermejenn,2020-04-14T16:38:33Z,0
"She&#39;s one of the first Youtubers I ever watched and I gotta say that I&#39;m so thankful she&#39;s been so genuine over the past 6 years (bruh she&#39;s on the oldest playlist on my profile-- like S I X YEARS?!?!). Anyway, whether she posts once a week or once every few months it&#39;s always so exciting to see her pop up on my subs page. 143",Keely Hill,2020-04-14T03:17:06Z,1
Imagine when they have kids there going to be helping daddy cook,Karla Diaz,2020-04-13T16:04:53Z,0
Looveee your @ home vloooggs!!❤,Lorraine Salas,2020-04-12T08:38:40Z,0
"&quot;You keep calling me Mr. Labowskie. I&#39;m not Mr. Labowskie, your Mr. Labowskie I&#39;m the DUDE&quot; 😂 my husband and I watch that movie religiously!!!",Gabrielle Harless,2020-04-12T05:09:44Z,1
We are cat ladies!!,JojoLOVE,2020-04-11T21:33:33Z,0
BUZZIN,V,2020-04-11T02:44:33Z,0
Shirts from??? I need them in my life!,giette 83,2020-04-10T23:12:53Z,0
It seems like they are doing just fine :) &quot;I have been social distancing...my whole life&quot; :D,Nora TKD,2020-04-10T12:18:06Z,0
You are freakishly strong!💪🏼,alexa *•*,2020-04-10T11:25:57Z,0
the most normal people that I know love you guys,Rosalynn Sandoval,2020-04-09T05:37:47Z,0
You need a mic,Michael Salt,2020-04-08T20:41:57Z,0
Where did you get the clear chairs? I have been looking online and haven&#39;t found any I really like. 😣,Corinna Apodaca,2020-04-08T04:21:23Z,0
omg I’m just finding our your engaged lol CONGRATS NICOLE 💗💗 <br />I’m catching up on these since I have a little time today between homework assignments love youuuu,Leticia Hernandez,2020-04-07T19:31:32Z,0
Whose “save the date” cards??? Is Nicole engaged???,Brittany Pollard,2020-04-07T18:55:35Z,1
Brittany Pollard she’s been engaged if you watch her videos or follow her on insta..,Amanda Masha,2020-04-27T02:47:29Z,0
I love how books smell too!! I need to tape a page to my nose,rosè93,2020-04-07T17:46:19Z,0
orange🥺🧡,Camryn Pickles,2020-04-07T08:34:12Z,0
Love you !! ❤️❤️,Nancy,2020-04-06T07:51:21Z,0
Wait she’s getting married,Xiomara Medina,2020-04-06T02:34:54Z,0
Xiomara Medina lol do you follow her on instagram or watch her videos? Yes she’s engaged,Amanda Masha,2020-04-27T02:30:53Z,0
OMG that breakfast was like a FEAST. LOL,FineWineBeauty,2020-04-05T19:35:13Z,0
I live for these cooking montages 🥰🥰,Samantha Lubitz,2020-04-05T19:00:40Z,0
&quot;I found these shears....and now I really wanna cut my hair. I promise that I&#39;m totally sane.&quot; Lmao,Hannah Peterson,2020-04-05T17:44:33Z,1
I missed these so much!,Bre M,2020-04-05T07:56:55Z,0
Do you watch the housewives on Hulu ?,Stephanie McAllister,2020-04-05T01:31:23Z,0
Excuse me...save the dates??? Ya’ll getting murried??? What I miss lol,Bianca Young,2020-04-04T23:29:48Z,0
They have giant plastic jugs of the chameleon coffee now. Got mine from kroger or publix. They in Georgia at least. Way better deal for your buck. I love you,Justina Gangwer,2020-04-04T03:35:01Z,3
"My cat of 14 years who passed last year loved getting into boxes. When I see Orange in boxes it reminds me of him :,)",Jacqueline K,2020-04-03T23:44:25Z,0
I love you so much! You r the best! 🖤,Isabel Rossi,2020-04-03T08:01:22Z,0
I’ve always loved you vlogs. It always feels like we’re hanging out. Lol <br />I love how you insert the sit ups after the snacking.,Randomly_Gaby,2020-04-03T06:43:50Z,0
What is the song playing while you organize your drawers? Please thank you!,mary luna,2020-04-03T06:20:32Z,0
I would love a cooking video of Jeremy! His food always looks 💣,Christine Esparza,2020-04-03T04:49:29Z,0
You leaving me out in the damn street butt ass naked with no coffee 🤣😂💀,Lupe Garcia,2020-04-03T04:30:32Z,0
Her cat getting in that box was hella cute!!! And can we talk about her nails!!!!😍😍😍 I need me a nail tech like that!!!,Belen Hernandez,2020-04-03T02:43:18Z,0
I literally lost it at the cats running in the background with the car sound,Letícia Fontanive,2020-04-03T02:23:43Z,0
"I felt that when you said &quot;I do feel like it&#39;s a different feeling when you stay home by choice, then to when you have to stay home.&quot; Feeling nervous today as well. But watching your videos and staying positive. &lt;3",Maria Ross,2020-04-02T15:27:30Z,0
It’s 3:36 am and I’m awake watching this video !,M O,2020-04-02T07:36:57Z,0
