comment,id,date,num_likes
Has anyone ordered the kenzzi? I’m having si much trouble getting into contact with a representative. 🥺<br /><br />It’s been 3 weeks and I still haven’t received anything. 🥺,Jasmine Hernandez,2020-12-16T07:52:24Z,0
No u don&#39;t look sweaty lol.,Ashley,2020-11-19T01:42:56Z,1
Can you link the ankle bracelet you have on,Sabrina D,2020-11-15T19:53:57Z,0
I have a kenzi and it is amazing!,Jennifer Ilgaz,2020-10-30T16:51:09Z,0
A thousand wishes is my go to!,Gabbi De Hoyos,2020-10-04T17:51:21Z,0
Tan bella 🙂,Marisol C.Lopez,2020-09-16T22:13:54Z,0
Я тоже очень люблю картины по номерам🤤👌🏻,ПростоМария Любопытная,2020-09-10T11:12:07Z,0
Hi! Just back to see if anyone found out where the evil eye anklet is from!,andiebear17,2020-08-30T15:25:03Z,0
"Brand new subscriber! Loving your content! Love my Kenzi! Thee best results! FYI, if you hold the button down it will flash every couple seconds without having to keep clicking it! It’s in the instructions but I missed it at first too!",Linda M.,2020-08-27T03:59:57Z,0
"Love you, Nicole!🥰",Cassie Rogers,2020-08-02T14:09:55Z,0
Hello..wanted to know what self tanners you recommend.,Carmen Rodriguez,2020-08-01T17:59:59Z,0
Plz do skincare video,Salma Sultana,2020-07-26T10:19:26Z,0
I was so pleased with my first expensive eBay crystal purchase with you that I went and spent even more money than I did the first time I am super excited to get these crystals and I picked better ones and hope that they are amazing!,Riley Gibson,2020-07-07T08:59:23Z,0
What camera do you use?,karenflrz,2020-07-06T21:59:41Z,0
"Gahh!!! Gurl!! I&#39;m a Thousand Wishes fan!! This particular scent I have been a fan of for years!! I definitely need to try their wallflower ones. Been a follower of yours for years now and you always post the most interesting, most chill vibe content there is on YouTube, for me anyway. I just love it!! ❤❤❤❤",Cherryl R,2020-06-28T15:14:51Z,0
I don&#39;t have any social media. Where is Nicole 😭,Jessica Valenzuela,2020-06-26T19:14:05Z,0
Where you at I miss u 😟,Lillys Lifestyle,2020-06-24T19:23:05Z,0
Nicole where are you I miss your videos hope all is good with you and famz.x,Dawn Tinirau,2020-06-24T08:53:32Z,0
I just bought a lot of money worth of crystals from your eBay account I am really hopeful that the crystals I get are the ones in the picture because if so I am  sooooooooo EXCITED!!!,Riley Gibson,2020-06-24T05:42:34Z,1
You have long hair,Edgar Pagaling,2020-06-23T10:44:32Z,0
So disappointed.Old school subbies know. See you in a few months now I guess 🙄,Sally Girl,2020-06-23T07:41:24Z,1
But where are you??,Jaycee,2020-06-23T07:22:07Z,0
I’m in need of new videos!! lol,Hunny Bee,2020-06-23T04:17:16Z,0
Where has Nicole been? No videos or IG posts? Did I miss something? 🥺,Ashley Madden,2020-06-23T03:24:51Z,0
Ok it’s been a month I’m waiting impatiently for another post!! Love youuu,Brittany H.,2020-06-22T20:59:29Z,0
I feel like she vanished!! What happened?,DIANA KOZAROV,2020-06-22T17:51:32Z,0
I miss your face - your videos keep me going during these slow times! Please post more videos!,Cassidy Tenney,2020-06-22T14:32:16Z,0
