comment,id,date,num_likes
Acetone fr ain’t for gel removal,Nish xo,2021-05-02T02:26:29Z,0
This is the best cold brew ever!!!! Beeen putting everyone on lol thank you! 😘. Been watching u forEVER,Konnie Carrasco,2021-02-03T00:04:57Z,0
Can I ask about your marble paper on your table ? I’m looking for some to purchase that looks nice and realistic .,Angela Mills,2020-12-16T07:52:00Z,0
We’re literally the same person! My love for my three cats is intense and I also love feeding birds and squirrels. There’s a park in my town that I go to every weekend and I feed the chickadees sunflower seeds and I feed the squirrels walnuts. They are so tame the birds will land in your hand and the squirrels will run up to you and take the nuts from your hand. I also joke that I’m Snow White! LOVE YOUR VLOGS!   🐿 🥜 🐈 🇨🇦❤️,"My Life, Tho",2020-12-11T02:25:32Z,0
Wow I need to try and places my face sheet mask on the way you do!,KatyMarie📷,2020-12-01T19:01:36Z,0
I always look forward to watching your videos.,Ashley,2020-11-19T01:11:15Z,0
I saw your tie-dye Dolphins shirt so I got a tie-dye Raiders shirt🙊👀💕💕,Brianna Barajas,2020-10-31T19:47:22Z,0
"you didn&#39;t cure long enough, thats what I&#39;ve learned about gel polish",Anqie Garcia,2020-09-26T09:04:38Z,0
my daughter is also watching she loves your channel her name  is Farah,Diana,2020-09-10T01:09:48Z,0
I think you are one of my favorite youtube Nicole and my last named is Gruerrieo also twinzy,Diana,2020-09-10T01:07:11Z,0
54 wow thats a lot :O,Diana,2020-09-10T01:00:26Z,0
"GREAT VALU GARBAGE BAGS, BLACK BAGS FOR GIVE AWAY OR GARBAGE, AND SANDWICH ZIPLOC AS MOMMY TAUGHT",Nicole Opiela,2020-09-06T17:42:16Z,0
CAN I GET NORMAL GARBAGE AND SANDWICH BAGS ARE NEEDED,Nicole Opiela,2020-09-06T17:41:47Z,0
THE STUFF I ORDERED.,Nicole Opiela,2020-09-06T17:41:22Z,0
SHEA WAS RUDE.  EVERYONE ELSE BUT ONE PLAYER WAS NICE.,Nicole Opiela,2020-09-06T17:39:38Z,0
I FINISHED THE SEMESTER AND LEFT FOR UF.,Nicole Opiela,2020-09-06T17:39:26Z,0
AND SHEA WAS MAKING FUN OF NICKI.,Nicole Opiela,2020-09-06T17:39:12Z,0
THAT WAS SINGLE LIFE DRUNK BY THE PACKERS AND NOT WORKING THERE BUT CHEERING FOR THEM AS I HAVE DONE SINCE 2009 END OF INTERNSHIP FOR FREE.,Nicole Opiela,2020-09-06T17:38:53Z,0
JUST KEEP BUDGETING $880 HE SAID.  I WAS HOPING ONE DAY TO GET MORE IF I SHOULD.,Nicole Opiela,2020-09-06T17:38:24Z,0
"AND NOW, I AM TRYING TO PUT MYSELF BACK TOGETHER AFTER UF.  DAN FORD SAID TO UNTIL I DIE.",Nicole Opiela,2020-09-06T17:38:05Z,0
WELCOME TO INSTALAND:  NICKI&#39;S HOUSE!  CAPITALISM AND REPUBLICAN NOT TO FUCK WITH NICKIO&#39;S SEX LIFE OR BODY.,Nicole Opiela,2020-09-06T17:34:10Z,0
