comment,id,date,num_likes
I L💜ve your vids ..just pleeease!! wash the socks by hand if your only washing one at a time ..I promise you!!! we are in the most severe water shortage ever ..us humans cannot live more than 3dys without water🤗,Millyon Nara,2021-04-11T23:10:21Z,0
"Blah blah blah. video about tie dye starts @<a href=""https://www.youtube.com/watch?v=XLxdj3INwbU&amp;t=5m41s"">5:41</a>",SweetHeart !,2021-04-09T01:22:31Z,1
Thanks lmao,Camryn Smith,2021-04-10T00:15:41Z,0
"Talk talk talk talk talk loads to say but nothing important to say at all! Video starts at @<a href=""https://www.youtube.com/watch?v=XLxdj3INwbU&amp;t=4m55s"">4:55</a>",AaronCollins,2021-03-07T17:32:29Z,0
What is the material or fabric of this socks????,Alyaa Hesham,2021-02-24T20:26:53Z,0
Yooo u talk 2 much u got me fucced up,Andre Luzolo,2021-02-14T20:06:56Z,0
God bless turn to Jesus and be saved,Martinez’s Martinez,2021-01-28T05:32:49Z,0
Hey what size do you get in your Nike socks ? Xx,Kitty Cat,2021-01-02T23:46:14Z,0
Wooow,Oaratwa Sekele,2020-12-18T17:36:05Z,0
I have a question if anyone could answer please 😊 <br />I know she rinses in cold but would you was in cold as well or in hot water? <br />I’m doing a whole set for my sisters Christmas gifts lol,Amber Canedo,2020-12-08T22:15:41Z,0
Do you sell these tie dye socks?,Kaysha Ussin,2020-12-05T19:56:55Z,0
"<a href=""http://socksmachine.net/"">http://socksmachine.net/</a>",TKE Çorap Makinesi,2020-12-05T18:35:26Z,0
"<a href=""https://www.youtube.com/watch?v=XLxdj3INwbU&amp;t=2m27s"">2:27</a> BAHAHAHAHAHA",Jeremiah Eugenio Martinez,2020-11-29T03:05:58Z,0
I wasted 7 minutes till you got to the process. Too much information before the the results.,Alan Farias,2020-11-29T01:59:59Z,0
This is so helpful thx soooo much now I can make some cash 💵,noluv MJ,2020-11-11T03:15:40Z,0
Do they bleed?,German Lazaro,2020-11-08T08:55:58Z,1
"🙋‍♀️ I want to make some but I was wondering how do u take care of them after? Just like regular socks? Can be washed with other clothes and dried like normal? Also when u washed them, did u use detergent? And did u air dry the? after the first wash?",Jessica Lopez,2020-11-04T11:54:44Z,0
We did this today... when we washed them the dye washed right off. 😂😭,rylees roblox,2020-10-25T22:20:20Z,0
This video was painful to watch,WanderOutdoors,2020-10-17T03:31:30Z,0
No cap actually came out super nice and looks bad ass with my air force,Benjamin Chavez,2020-09-30T20:46:36Z,0
"Tutorial starts @ <a href=""https://www.youtube.com/watch?v=XLxdj3INwbU&amp;t=4m48s"">4:48</a>",Catherine Nicole Mendez,2020-09-26T05:22:35Z,0
I used pink and purple and it turned out AMAZING,Nepticai,2020-09-21T00:35:55Z,0
Can u hand wash cause it’s going to wasted a lot of electricity if we do one by one ☺️💩,Eh Hser,2020-09-06T14:32:57Z,0
"You can add them all in one wash, just make sure they&#39;re all rinsed off!",Zami,2020-09-07T22:04:13Z,0
"How long do I wait since I made them at <a href=""https://www.youtube.com/watch?v=XLxdj3INwbU&amp;t=3m00s"">3:00</a> in the afternoon?",Jacob Fashen,2020-08-31T22:26:34Z,0
What size did you get??,Moyin Gyft,2020-08-16T19:41:35Z,0
Ty!,Carmela Norsby,2020-08-14T21:13:02Z,0
Did u dry them separate?,Sammy Morgan,2020-07-29T06:48:46Z,0
"Skip to <a href=""https://www.youtube.com/watch?v=XLxdj3INwbU&amp;t=4m49s"">4:49</a>",Phillip Flores,2020-07-20T16:49:56Z,0
If you go to fort loader dale go to XXXTENTACIONs grave,SHMUEL Capalot,2020-07-05T19:53:28Z,0
Fave part of your videos is your coffee making!! 😝I love the sounds of ice.,Emily Holmes,2020-07-04T19:44:22Z,0
I did every step but when I was rinsing with cold water all the diy came out,Tete Vlogs,2020-07-04T16:43:16Z,0
I loved this and I’ve always wanted to tie dye socks!! I think it’s so funny that you call the socks “he” and stuff haha,Sarah Moline,2020-06-23T06:16:34Z,0
where did you get your nike socks?! &lt;3,SHANE&HALEY,2020-06-02T01:35:37Z,0
At the beginning I really thought you were annoying 🙄 then I realized you&#39;re funny instead and kinda cute hahahhaha liked the video 👨🏼‍🚀,Luca Monti,2020-05-24T15:25:16Z,0
Se puede con colorante normal?!!!,Verónica Sierra,2020-05-23T16:19:50Z,0
What&#39;s your TikTok name,Alana Mevissen,2020-05-23T12:20:01Z,0
"If u actually wanna learn how to make it just go to <a href=""https://www.youtube.com/watch?v=XLxdj3INwbU&amp;t=7m08s"">7:08</a>",Camila Andraus,2020-05-21T00:35:14Z,0
Love when I come across new pages and actually enjoy their content 💕,Averyplaysroblox,2020-05-19T01:53:00Z,0
Where the hell do you get all your cute shirts 😍😍😍😍!!!!!,Jocelyn Camarillo,2020-05-15T06:01:04Z,0
What type of dye is used to tie dye?💖💖,Riley O'kane,2020-05-15T02:37:40Z,0
"Video starts at like <a href=""https://www.youtube.com/watch?v=XLxdj3INwbU&amp;t=5m00s"">5:00</a>. Just chats pure shite before that",Internet Trapper,2020-05-12T22:49:58Z,0
which camera/lens are you using?,Esther Welcman,2020-05-07T03:18:01Z,0
I’m doing the socks <br />tonight and I hope mine turns out like yours!!!! Love you!,Mariah Quirós,2020-04-30T00:41:51Z,0
Do you wash just a pair of socks alone or just a single sock alone?,Itsthebullinme love,2020-04-28T08:24:36Z,0
Can you use food coloring?,Kamryn Kitchen,2020-04-25T23:45:07Z,0
I love the lime green ones!,Petersen,2020-04-25T21:50:47Z,0
Where are your Nike shoes from?? 😩😩,PRECiiOUZ310,2020-04-20T16:29:04Z,0
"<a href=""https://www.youtube.com/watch?v=XLxdj3INwbU&amp;t=4m50s"">4:50</a> start",S,2020-04-18T06:57:55Z,0
I literally just did this before I saw this video!!!😩,Lauren Elizabeth,2020-04-14T21:19:06Z,1
"<a href=""https://empirestreetwear.com.au/"">https://empirestreetwear.com.au</a>",Frances Madafferi,2020-04-13T05:45:46Z,0
"Thank you so much! This video helps me a lot! I want to have my own instagram page to sell tie dye socks, and with this video i can do it without any problem! 😍",Francisco Fernandez,2020-04-11T20:00:42Z,1
"Great idea for those of us who have kids that are currently home due to the virus.  Cute!!!  Nice job, Nicole!!!",Kristen Leblond,2020-04-09T23:28:27Z,0
Great video! What colour dye did you use to make the darker green sock?,Keji Aleja-Banjo,2020-04-09T17:37:33Z,0
You&#39;re always gonna be my one of favorite youtubers!,xoPanchitaxo,2020-04-08T06:07:17Z,1
I can not be the only person who lives for the sound of Nicole stirring her iced coffee. 😌,Heather Herman,2020-04-07T23:18:45Z,0
"Hey just curious, do you have pet birds you keep outside or were you feeding the wild birds 🤔 ??",Megan S,2020-04-07T22:31:17Z,0
I thought u washed with them the rubber bands and then took bands off to dry ? Am I wrong ?,Shelley Mccain,2020-04-07T21:24:09Z,0
This is so helpful thank you !,Fabulous Mariah,2020-04-04T02:27:54Z,0
Where is that black headband from?! 😊,taylor r,2020-04-03T16:39:03Z,0
Loved this! What camera and lens do you use?,Kendal Kauffman,2020-04-03T15:50:50Z,0
What’s the trend w Nike tie dye lol?? Loved ur video tho!! I recreated tie dye on my channel!!!,Joanne Kavouras,2020-04-02T20:47:05Z,0
I just spent $100 on tie dye and clothing to tie dye..... Nicole what have you done to me 😂😂,Alicia T,2020-04-02T05:26:11Z,0
Mhmmmmmmmmm. Mention that alarm girl 😈😈😈😈😈💕👌,Andrew Long,2020-03-31T01:58:57Z,0
What if you don’t have a washer and dryer?,Tonyawsha Spencer,2020-03-30T02:14:22Z,0
I love your videos! You&#39;re always so creative!!!! 😍,Alexzia Hernandez,2020-03-27T18:12:17Z,0
Ima gunna try this,Daisy Bautista,2020-03-26T21:40:17Z,0
I love u. 😘,Yesenia Mendoza,2020-03-25T07:50:45Z,0
Love the RIPNDIP! 😻,m chell,2020-03-24T06:01:53Z,0
"Definitely making these for me and my girls! Btw, I need your vlogggssss in this time of quarantine!!",Monica Jae,2020-03-22T16:22:20Z,0
I bet a lot of people are at home dying socks now..  better alternative to the news,RealBeautiful Beauty,2020-03-22T09:10:06Z,0
tie dye more things!!!!,Marissa,2020-03-22T06:26:22Z,0
"Girl, thank you for this me and my lil guy are getting ready to do ours in a bit. Already got the kit and the socks just needed to watch your video a second time for a refresher!",Mandy Trout,2020-03-21T18:27:15Z,0
Hi,kakar Awais,2020-11-08T17:04:17Z,0
"Hi how are you doing with all the COVID-19 thing happening, are you ok?",Belen Isaz Quintero,2020-03-21T18:08:26Z,0
I miss youuuuuu!! Omg I feel like i see you the least of all my old school faves.,Danni Stackss,2020-03-21T07:10:33Z,0
Literally just went on Amazon and bought everything to do this. 😂,rachael villa,2020-03-21T02:59:36Z,9
Same 😂,Kayla Ann,2020-04-01T02:11:10Z,1
I love them! Trying to do shirts! Hopefully they out good.,bam Glam,2020-03-21T00:44:01Z,0
Everytime I see the iced coffee it gives me chills...I live in nebraska and there was a bad snow storm last night...sooo ready for warm weather 🥶🥶,Gricelda Millan,2020-03-20T14:12:59Z,0
Lol,kakar Awais,2020-11-08T17:04:46Z,0
About to do this to all my white clothes 😫😂😂♥️♥️♥️ love it,Josefina Mercedes,2020-03-19T16:25:52Z,0
soooo trying this thank you for sharing !,Karen Cervantes,2020-03-18T23:15:16Z,0
I bought these socks on some website for $7 a piece,Claudia Candia,2020-03-18T23:11:57Z,0
She do to much talkin,Trina Gil,2020-03-18T13:26:57Z,0
i miss youuu pls post more 😭,Caroline Cruz,2020-03-18T07:02:46Z,0
What is 143? Newish subscriber here...,bee1517,2020-03-18T04:09:03Z,0
Loveee it<br /><br />143 💘,Emmy Torres,2020-03-17T23:00:15Z,0
I bought  Tie dye leggings from Walmart and pjs and I’m loving them so much!,Ely N,2020-03-17T22:12:28Z,3
Under quarantine my baby girls and I are about to get down! Thanks 😊,Athena Arges,2020-03-17T20:29:33Z,0
DO NOT WET SOCKS .... I did and it didn’t dye the socks at all when I went to rinse with cold water it rinsed everything out .... spent $20. On kit and $10 on socks wasted money 🤦‍♀️ not happy,kdmartin34,2020-03-17T19:29:45Z,3
Did you ever get it to work? She did all those so im sure its not the wetting thats the problem? I know you&#39;re suppose to ring the water out alot,xoPanchitaxo,2020-04-08T06:20:51Z,0
"kdmartin34 me too! I have no idea what I’m doing wrong. I’m going to try 1 more time with actual Nike socks, hopefully that will work.",Delia Pisi,2020-04-01T01:53:00Z,0
loved this! where did you get the nike crew socks from? I definitely  want to try this DIY,Emma Douglas,2020-03-17T14:25:08Z,0
I did make these tie dye socks...and they came out amazing! One thing I did was used Shout Color Catcher sheets when I washed them together so the dye didn&#39;t bleed. That way I was able to save water too 😁😁😁,herbnk01,2020-03-17T13:30:53Z,0
Omg Nicole I love youuu,Michelle C,2020-03-17T12:33:30Z,0
This was great! Just at the right time with kids out of school this is a great art project.  Thanks♥️,sxylilvirgo shortie,2020-03-17T11:11:17Z,0
Just wondering.... are we not doing yesterday&#39;s anymore? I loved going around with her while she did errands,SHARON R. N.,2020-03-16T23:46:32Z,0
Do you miss Charlo and pookie?,Shandell Lefthand,2020-03-16T16:56:34Z,0
I wanna make these,Suzy Ramirez,2020-03-16T03:32:03Z,0
That would be a fun project for kids who are at home due to school closings. I used to tie dye shirts with my kids when they were younger. It’s a lot of fun!,Maura Noonan,2020-03-16T01:48:10Z,0
You’re so cool 🥰,Lindsay N23,2020-03-15T22:11:14Z,0
Does anyone know where her headbands from 😩,Kim Nguyen,2020-03-15T19:28:39Z,1
Can you wash them all in the same load with other colored clothes after the first initial wash and dry?,Gina V.,2020-03-15T19:08:41Z,0
