comment,id,date,num_likes
Watching someone highlight their chest &amp; wondering what it’s like to be god’s favorite cause you have a chest breakout 24/7 😭😭😭,Ashley Deyo,2020-11-01T05:56:26Z,0
💖💖💖💖,Priya Destiny,2020-10-17T15:03:31Z,0
It’s a blessing to be safe 🙏🏻🙏🏻🙏🏻🙏🏻 we cant complain,Helen Miller,2020-09-15T00:53:48Z,0
My heart literally dropped when she looked up 😂😂😂 like fuck she messed up but nvrmind 🤣,MzGiiggles Duhh,2020-07-22T06:06:06Z,0
"The cat meowing in the background at <a href=""https://www.youtube.com/watch?v=ed0wOLMAUjA&amp;t=9m30s"">9:30</a> scared the hell out of me! I thought it was my daughter calling out mom mom! from the other room. The gag is I&#39;m home alone... relieved its just Nicole&#39;s cat!",Alethea Richardson,2020-07-13T03:08:26Z,0
Old YouTube vibes! love it,Ingrid arrecis,2020-06-05T14:33:15Z,0
“What is that over there?! MEEE!” Dying.,mandywags,2020-06-02T20:34:54Z,0
Yes girl!,stephanie schindler,2020-05-23T03:00:50Z,0
&quot;What is that over there?&quot;<br />&quot;Mee &quot;<br />I&#39;m crying 😂,VasoKar,2020-05-15T22:15:54Z,1
They should make Glowgetter an individual highlight like the Amrezy highlighter 🙌🏼❤️ id buy 3!!!,Edith Vanessa Salinas,2020-05-12T07:55:22Z,0
Georgia looks 🔥on you!,Sona Gasparian,2020-05-11T22:37:20Z,2
Hey plz make a video  on hw u clean groceries,sana s.,2020-05-10T01:48:26Z,0
"You are sooo naturally beautiful, and have such a sweet personality!!! I love your palette, use it all the time!! 🥰❤️",Shauna McQuade,2020-05-09T14:10:32Z,0
Love your chatty videos! Missed ur videos too! ❤ thanks for uploading Nicole 😍,Henna Sugindran,2020-05-08T08:18:12Z,0
Your highlighter palette was my first ever highlighter I bought and it sparked my love for makeup and I couldn’t help but repurchase it in this new launch as a collector’s item 🥺💗,Maryam Nissan,2020-05-08T04:29:04Z,0
My absolute fav highlighter palette 🥰,Taylor Rogers,2020-05-07T23:45:15Z,0
"Oh wow, is this a dress? It’s so amazing! Where did you get this?",Maria Feigenbutz,2020-05-07T06:03:37Z,0
"Just came across your channel, and I&#39;m wondering if anyone&#39;s ever told you you look like Karol G! So beautiful :)",Jazmine Rodriquez,2020-05-07T02:59:10Z,0
Put some on your damn scalp too🤣🤣🤣 I love it!!,Lupita Perez,2020-05-06T11:43:16Z,0
"When the chit chat at the beginning is so interesting, you forget about the makeup...",Stop N Stare,2020-05-06T04:51:11Z,0
You are ONNNN one in this vid I love it 😂😂😂,alysha dorris,2020-05-05T19:49:30Z,0
I love how accurate you were when you said “I’m gonna spray my face with some spraying spray” 😂❤️,Gladys Jones,2020-05-05T16:39:42Z,0
This felt very old school Nicole and I love it. 🥰,AshleeWith2Es,2020-05-05T10:43:23Z,0
Where is your nameplate necklace  from,Ladynred,2020-05-05T01:25:21Z,0
I still have my highlight palette since it first came out. Do you used the same shade of the makeup forever powder with and without foundation? When i use the same shade with foundation my foundation gets 2 darker than me,Rihan Ali,2020-05-04T20:06:31Z,0
Can you please vlog what you eat in a day? 😊,Jackie Sims,2020-05-04T00:21:06Z,0
Skin Care Routine ?!?! Please,Jaelyn Blue,2020-05-03T18:45:10Z,0
U look so pretty !,Mel H,2020-05-03T17:00:36Z,0
"Nicole! Did you order from Ikea.. I’ve been debating, I’ve been wanting to get a few new things since I moved but idk if I should wait until quarantine is done. Have you done ikea delivery before in general ? Anyone ?",Alexandra,2020-05-03T13:27:35Z,0
Thinking about how I first found your videos about dying your hair red and diy nail polish shelves 💖,detsiwt88,2020-05-03T13:13:39Z,0
"Nicole, you never gave us an <b>eyebrow</b> journey! Did you stop plucking them for a period of time? Did you use a serum or oil for growth? I WANNA KNOW SO BAD! 🤎 Also: Can you still recommend fillers? How do you get your refills in quarantine? Will you get some after this pandemic? Haha, so many questions! 😅",Yesmean,2020-05-03T09:46:57Z,1
