comment,id,date,num_likes
🤗,Lilly,2020-09-19T14:52:36Z,0
Used to love dove dry shampoo SO MUCH and used it for the last 2.5-3 years UNTIL I found Aussie tussle and hustle dry shampoo about 3-4 months ago and it’s my new fav. It def lasts me way longer and I get more uses out of a bottle than the dove. &amp; it didn’t make my scalp itchy like the dove does.,Mahayla Monk,2020-09-15T04:25:09Z,0
"OMG! I had to wait all this time until the Aussie After Hours Dry Shampoo finally came back in stock. Yes, it adds volume. BUT IT STINKS! Like a cheap hygiene spray!  WTH  didn’t you TELL us that?!?  I won’t trust your reviews again. How much did they pay you to lie? It’s  DISGUSTING!",Marge Burkell,2020-09-09T22:15:35Z,0
"So I know I’m late to the party but, why can’t I find this dry shampoo anywhere?",Crystal Haynes,2020-08-26T16:07:57Z,0
Love your hair tutorials ❤️ your hair always looks amazing,Wendy S.,2020-08-13T07:09:32Z,0
Girl used the whole can! 😂,lisar587,2020-08-07T18:51:06Z,0
Even your head is getting fat.....!!!! Damn!!!!!.…..I&#39;m out of here,ToNyClauDia,2020-07-31T19:36:09Z,0
Could someone tell me what &quot;143&quot; means? I see it in a lot of comments. Thank you ❤️🇨🇦❤️Catherine,catherine rintamaki,2020-07-25T23:18:59Z,0
143 is code for i love you (if you count how many letters are in each word) idk where it started but I used it bck when I had a pager..haha,Laurie Bryant,2020-07-28T09:02:24Z,0
Where did you get that ginormous scrunchie?!?!,Lizaette Mata,2020-07-23T04:08:24Z,0
nicole guerriero is the best she has taught me so much and even inspired me to start my own youtube channel i would really love some support/feedback so please hit subscribe and check it out,Ellie's bennett,2020-07-18T04:43:58Z,1
Right next to ur house,TripleA’sFamilyVolgs,2020-07-17T16:41:03Z,0
My dad worked right next to u omg hi he is a roof person,TripleA’sFamilyVolgs,2020-07-17T16:40:45Z,0
Has anyone been able to find this product I can’t find it anywhere I’ve even looked for it online,Cynthia Regalado,2020-07-16T22:08:24Z,3
Can anybody else NOT find the dry shampoo anywhere?! 😩,Lauren M,2020-07-16T19:13:12Z,3
Only on amazon,Tiffany Mejia,2020-09-13T14:26:42Z,0
Will you please do a black set with bleach tie dye!???!!,Justis Barquilla,2020-07-13T19:57:13Z,0
Can you please review Poly Gel nails🦄🦄🦄🦄🦄🦄🦄🦄🦄🦄🦄🦄🦄🦄🦄🦄,Pink Sigala,2020-07-12T19:58:07Z,0
It’s been in the 90s in Ohio but feels like 100,Crystal Powlowski,2020-07-09T23:51:18Z,0
Remember when everyone talked shit about your eyebrows?<br />Girl!!!! They are on fleek right now!! So beautiful,Cláudia Anica,2020-07-09T15:30:33Z,0
as ive said before your the hair goddesses and extenstion goddesses!!,jennifer haderly,2020-07-08T19:28:42Z,0
love your content xx,Jasminenergy,2020-07-07T09:23:34Z,0
I’ve been watching you since I was 14 queen taught me how to curl my hair  I’m 25 now 😆❤️,Mia Chavez,2020-07-06T21:44:32Z,0
Nicole are you getting married we must know!!!,Mia Chavez,2020-07-06T21:42:07Z,1
Omg i just saw her insta story and came here for answers 😂,Mimi Ojeda,2020-07-07T16:59:08Z,1
Oh I might need to buy this! I’ve been using the volume and clean dry shampoos they have and I recommend them to everyone! People sleep on these but the price and quality is pretty amazing.,Kat Jackson,2020-07-06T05:11:53Z,0
Love your videos. Can’t find these products even thru links?,Kelli Mealy,2020-07-06T02:32:18Z,0
Omg she said vlog 😂,Lindsay N23,2020-07-05T09:15:22Z,0
