comment,id,date,num_likes
Girl that coffee is concentrated! It makes like 8 servings the whole bottle your supposed to add water,PaigeBurke12341,2020-10-28T00:03:19Z,0
Your videos seriously do help my anxiety. I wish I was one of your cats 🤣,Jillian Campbell,2020-10-25T15:58:50Z,0
Does anyone know where I can get this chandelier from?,Tanya A,2020-10-06T22:23:55Z,0
Always love the coffee break!,Beba’s 10,2020-09-24T21:38:07Z,0
Loving the background music during the bike ride? How can I find it?!,Kristina Kara,2020-09-23T07:35:32Z,0
Any peanuts to spare???,Ailish Harris,2020-09-18T22:25:40Z,0
"TO KNOW ALL THE DIETS - I WILL STAY HERE AND BUY THE STUFF 8 YEARS AND UNTIL I DIE WHO KNOWS?  DAN FORD SAID OCTOBER 27, 2078.  BUDGET UNTIL YOU DIE.",Nicole Opiela,2020-09-06T16:45:39Z,0
DIET SENIOR YEAR SALADS DIET PEPSI.  I DON&#39;T KNOW WHY I GOT SO FAT.,Nicole Opiela,2020-09-06T16:44:37Z,0
"EAU CLAIRE DIET.  PUMPKIN SCONE OR WHATEVER FLAVOR OF THE DAY SCONE.  NEXT, A BLACK COFFEE WITH SWEET N LOW 1/3.  ALSO, DIET PEPSI ALL DAY.  MEALS WITH NAOMI FOR DINNER.  SNACK AT NIGHT CUSTARD AND DIET PEPSI.",Nicole Opiela,2020-09-06T16:43:57Z,0
AND RAYNIE,Nicole Opiela,2020-09-06T16:43:00Z,0
SUMMERS FREE FOR ALL WITH SUSAN,Nicole Opiela,2020-09-06T16:42:55Z,0
DIET PEPSI AND MALIBU,Nicole Opiela,2020-09-06T16:42:48Z,0
"BLACK COFFEE, DIET PEPSI, VODKA SPRITE.",Nicole Opiela,2020-09-06T16:42:42Z,0
3 MEALS AND AT NIGHT A BAGEL WITH CREAM CHEESE.,Nicole Opiela,2020-09-06T16:42:31Z,0
UW-GREEN BAY DIET.,Nicole Opiela,2020-09-06T16:42:19Z,0
DIET AT TOWERS BY CARLA,Nicole Opiela,2020-09-06T16:41:51Z,0
WE WILL LIVE THE LIFE,Nicole Opiela,2020-09-06T16:41:13Z,0
KOHL&#39;S WITH NOREENA AND DINNER,Nicole Opiela,2020-09-06T16:40:48Z,0
"FORWARD BARRINGTON, IL",Nicole Opiela,2020-09-06T16:40:25Z,0
DOWNTOWN CHICAGO,Nicole Opiela,2020-09-06T16:40:19Z,0
"WAL-MART, TARGET, AND DEER PARK",Nicole Opiela,2020-09-06T16:40:10Z,0
STARBUCKS,Nicole Opiela,2020-09-06T16:40:00Z,0
SOME GROCERIES,Nicole Opiela,2020-09-06T16:39:28Z,0
JEWEL-OSCO TOWERS NIGHTTIME SUISHI,Nicole Opiela,2020-09-06T16:39:21Z,0
I swear I dranked like 7 ounces of that coffee and almost had a panic attack chillldddddd that’s some strong shit one bottle lasted for a month,GINA RATED IT,2020-09-03T04:34:57Z,0
Teen Wolf 🤣 Such a great classic movie! 🐺🏀 Also when I die I want to come back as either Nicole or Carli&#39;s cats 😹,Brittany Hyatt,2020-09-03T00:53:10Z,0
I forgot how to ride a bike 🙈😳... I&#39;ve heard so many times once u learn u never forget. Lies! Lol,Denise,2020-08-25T16:24:40Z,0
I love your house and ur vlogs❤,Salma Sultana,2020-08-24T13:08:51Z,0
I get the one in plastic all the time from Kroger ITS 5.99 way bigger bottle and cheaper and yes it’s exactly the same ☕️ 🧊,Cheyenne Rodriguez,2020-08-11T12:16:43Z,0
Not feeling great tonight. So in bed &amp; catching up with Nicole and eating Wendy&#39;s my husband brought me ♡,hdezines,2020-08-01T04:25:34Z,0
“Hello” “who the hell said that?” “What the hell is that? I ain’t got no kidsss” OMG I AM DYING AT THOSE PARTS,Shannon Fitzgerald,2020-07-29T07:45:42Z,0
"Are you back in FL?We are thinking of moving <a href=""http://there.how/"">there.How</a> do your kitties do there?",Melanie Wood Photography,2020-07-25T14:32:27Z,0
Did you spay ur cats?,Brenda Garcia,2020-07-24T21:40:57Z,0
"Ok first off Nicole those precious kittens I could just die their little personalities so adorable , I am so going nothing in AZ exactly if I get the dogs played with clean kitchen and dinner I’m doing well ❤️isn’t it weird this covid thing ? Love feeding birds and mr squirrel 🐿, motivation has gone far far away I don’t know what the he’ll has happened to me lol love you to pieces so down  to earth❤️❤️❤️I’m in Phoenix today is July 23hotter than shit 😷😫",Kristina Roberts,2020-07-23T22:32:28Z,0
"Yes, your vlogs/videos keep me very entertained while we’re quarantined💜",Alyssa Childs,2020-07-14T22:11:14Z,0
You lost us peeps in your closet 😂 LMAO,Paty G.,2020-07-10T20:29:36Z,0
My man wakes up and goes into an allergy attack immediately 😂,Paty G.,2020-07-10T20:29:09Z,0
You’re like a princess Nicole !!! You have birds and squirrels and rabbits that are wild and are your friends 👑 ☺️,Paty G.,2020-07-10T20:28:22Z,0
My<br />Fav part was the bike ride montage 🤓,Paty G.,2020-07-10T20:26:12Z,0
Also - caffeine addiction: look it up. You’re expressing some signs &amp; symptoms 143,Paty G.,2020-07-10T20:25:22Z,0
Nicole ! Omgoah you’re videos do help with anxiety but honey controlling my anxiety is not your responsibility- don’t feel that pressure. LYSM 143      143 143 143 143      143 143 143,Paty G.,2020-07-10T20:23:38Z,0
Where do you buy your coffee creamer ? I can never find it at Publix 😩,Stephanie Beach,2020-06-14T20:33:14Z,0
