comment,id,date,num_likes
Where did you get your clothes that you tie dye,Vicky Coc,2021-02-23T07:39:45Z,0
Very helpful! Thank you so much!💖💖💖,Ian B,2021-01-28T06:42:47Z,0
"Thank you for this DIY! And, thanks for not pushing your kitty out of the way - like others do! Lol.. I luv seeing the furry-kids observing...😅",TheMonica82,2020-11-21T14:26:04Z,0
"is the water warm, cold or boiling",ilovefood lol,2020-10-04T21:24:38Z,0
On the carpet!!!!!<br />No ragrets.,chlatepdng,2020-09-28T05:34:03Z,0
Can you please link where you bought the white bike shorts and long tees?? I want a set 🔥🔥🔥,TEXAStrillionaire,2020-09-24T21:26:53Z,0
Im going to order stuff right now and buy a white sweat set at target now😌💅🏻,Alexa Bautista,2020-09-08T16:35:15Z,0
Where did you find the matching sweatsuit,DanDan 215,2020-08-16T16:45:27Z,0
@nicole Where did you get your biker shorts and shirt for the first sets you made?? Helpppppp lol,Amber Pierce,2020-07-16T15:31:09Z,0
"Omg your cat!!! What a beauty. 😍😍 edit: just finished the video. The set came out so cute. I feel like I’m terrible with the crumple tie dye! lol I actually create tie dye shirts and sell them but something about crumple, I can’t get it lol my hubby loves when I do them. It’s his favorite technique and I’m like what am I not seeing here....cause I hate the way mine come out lol",Leticia S.,2020-07-15T02:23:23Z,0
Subtitle Indonesia please❤️,Madaffa Salsabil Zahra,2020-07-05T06:13:56Z,0
"quick question, what size was the hoodie?",Jasmine,2020-06-25T04:04:08Z,0
Wait does the dye come off when u put it in the washer,Rose,2020-06-20T19:54:29Z,0
"Nicole, where did you get the white biker shorts that you used to tie-dye?",Jasmine Marie,2020-06-14T01:42:59Z,0
"Hi Nicole, just wondering where you got the short sets you were showing in the beginning! Loved this video!",Amelia Sheridan,2020-06-12T17:13:01Z,0
Can someone tell me why does it have to sit in the plastic bags? It helps with color fixing or something?,Nathália Bisson,2020-06-03T22:30:04Z,0
