comment,id,date,num_likes
i&#39;m dying to know what blender she uses!!!!,no thanxx i’m okay,2020-04-16T15:29:05Z,0
WHERE DID YOU GET YOU HOOP EARRINGS,JESSICA ROMERO,2020-04-03T16:19:59Z,0
"I just bought my own neocell super collagen powder &amp; some vital proteins collagen peptides. I figured using them in conjunction w one another would be way too much, so I&#39;m switching them back &amp; forth each day. Just made my first smoothie tonight! Thank you, Nicole! We love you",Kennedy,2020-03-31T03:22:44Z,0
Omg what happens your videos were so fun. I remember watching you in the past I guess I haven’t missed anything,Vanessa Pena,2020-03-25T04:28:03Z,0
what blender does she use?! <br />I need a new blender any recommendations? 😊,Stefanie Stelmach,2020-03-19T23:46:51Z,0
Need to drop your workout routine out girlll...need thiss videooo❤,Mary m,2020-03-11T18:04:23Z,0
Definitely going to try!!! Thanks Nicole 💗,Ereebabiee,2020-02-23T21:31:05Z,0
Can you do a realistic what you eat in a day? Pleaseeeee,Brooke Edwards,2020-02-22T00:37:33Z,0
Hi Nicole  NeoCell reviews on Amazon vary - seems some sellers my sell questionable product (yellow instead of white powder and does not dissolve as &#39;should&#39;) .... recommend a seller?,MJ ones,2020-02-19T19:43:29Z,0
Omg where did you get that cup from???,Ashanah'M,2020-02-17T01:22:05Z,0
Just put coffee in your smoothie,Rebecca S,2020-02-03T23:31:23Z,0
"Please Nicole, tell me where your bracelet is from👁",Brenda Garcia,2020-01-25T22:57:55Z,1
"i cnt find that biotin i click <a href=""http://ur.link/"">ur.link</a> nd all i get is the carotin one i checked walmart nd target nd they dont have that biotin one :o",FAM LOVE,2020-01-25T21:45:06Z,0
I don’t think I’ve ever seen Nicole drink without a straw lol,Jezelle Escobar-Lopez,2020-01-24T02:51:36Z,0
So positive baby! Cheers to your 2020 Dreamzzz! 🔮💕🌸🦄🐾🐣,Jazmine Camacho,2020-01-18T00:29:32Z,0
I LOVE YOU,Renae,2020-01-16T21:14:54Z,0
Ordering ASAP👀,Makeupbysarah23,2020-01-16T19:34:25Z,0
I love mama Nicole but I REALLY get scared when something is promoted because it’s usually hella expensive 😭 I’m scared to look,D'Anna Pope,2020-01-16T04:39:42Z,0
This was a short video 🥴😩 Longer videos please lol 😂,Muñoz My little cactus Familia,2020-01-15T23:30:49Z,0
You should include a clip of your nails... I&#39;m always looking to see what you&#39;ve 😁,Stephanie Davis,2020-01-15T20:06:29Z,0
Same resolutions giiirrrllll every single year I want to be healthier all year round.,Sweetly Jeanette,2020-01-15T19:17:11Z,0
😘❤️,Deziree Monique,2020-01-15T18:54:38Z,0
I’ve been using the NEOCELL Collagen for over 2 years I see it in my nails definetely . It’s also great that BJ’s sells it and they have a coupon ever so often. I need to get back on my smoothie kick. Nicole are you still skating? I’m interested on that process. Thanks,Tracey H,2020-01-15T16:27:59Z,0
I love you Nicole. You make me do a happy dance &amp; smile big when you upload. Your channel means so much to so many.,Classy Bella,2020-01-15T14:54:05Z,0
"I take NeoCell collagen pills, and I’m with you on the nail part, I live in Tampa and my nail salon is in Bradenton lol",Ashley Antinori-Henriquez,2020-01-15T11:49:33Z,0
👍,Kamisa,2020-01-15T08:57:57Z,0
Oh thanks girl I have to look into that collagen I heard so much about neocell !!,Lorna Brooks,2020-01-15T02:35:12Z,0
So fun! Didn’t know you got a peloton!!! It’s the best!,Laura Stern,2020-01-15T02:18:09Z,0
Truly obsessed with Neocell! I have been taking their chewies for almost 2 years and I have seen such a difference in my hair growth! So cool that you get to work with them! Thank you for sharing your smoothie recipe with us!,Kristen Summer,2020-01-15T01:44:53Z,1
Plllease please do a 2019 favorites video!!! Love you doll face!!!! 😘😍😘😍😘,Rashiah Estep,2020-01-15T01:41:08Z,0
Will you be doing a wedding dress shopping blog video?..,Brenda Sanchez,2020-01-15T01:03:28Z,0
Aww I&#39;m sad that it&#39;s only 5 minute add 😔,Lupe Flores,2020-01-14T23:38:25Z,7
This is the 3rd YouTuber i&#39;m subscribed to that I&#39;ve seen talk about NeoCell Collagen Powder. The recipes/ingredients are almost identical too. =/,GoldyLocks25,2020-01-24T19:19:46Z,1
Right! She didn’t even talk about what she put into the smoothie... it was really only an add /:,Casey Bluhm,2020-01-16T01:25:39Z,2
"Lupe Flores Same girl, same 😫",Marina Guillen,2020-01-15T19:36:51Z,1
How long do you use a product before you start making videos for them?,Kelly Wsnwski,2020-01-14T23:07:10Z,0
A five minute video really? Spare us,Karla Coggins,2020-01-14T21:17:46Z,1
I miss your 143s in the description bar 😭😭😭,Yousra Azoul,2020-01-14T21:07:04Z,0
Just love watching your videos regardless of content coz you are like a ray of sunshine!,Diana S B,2020-01-14T19:42:36Z,0
Why don&#39;t you have kids yet? The biological clock is ticking.,FelixResili,2020-01-14T18:50:44Z,0
warnakat wow lol,Athanasia Panagopoulos,2020-01-27T03:29:30Z,0
You are glowing and your smoothie looks delicious 😋,Brenda Jurado,2020-01-14T17:27:50Z,1
Is that a engagement ring,Tomas Jimenez,2020-01-14T16:23:43Z,1
"Where have you been, Tomas? She is as engaged as can be since forever- like a month ago....",Marina Guillen,2020-01-15T19:41:54Z,0
"yup, it&#39;s been a while now :D",Ivana Zakova,2020-01-15T18:29:45Z,0
It&#39;s 2020 &amp;&amp; we need Jeremy to start his cooking channel! 😁Please and thank you 🤗,JENNI ORO,2020-01-14T16:14:22Z,1
Cheers! Xoxo 😘💋,Happy Hearts,2020-01-14T15:59:42Z,0
Baby girl! What am I supposed to do with 4min 😭,"Jfrausto1, Bflowers2",2020-01-14T15:44:23Z,0
Love you girl! Thanks for the tips🥰,katiedeexx,2020-01-14T14:59:15Z,0
A while ago you used a different brand of collagen. Is there a reason you stopped using vital proteins collagen peptides?,EyeAmBella,2020-01-14T14:41:59Z,15
Lookin gorgeous!!!!,Nissi Farias,2020-01-14T14:16:19Z,0
Only 6 grams of collagen?  Go to Costco and get Vital Proteins Collagen powder. It has 20 grams collagen and 18 grams protein. Way better option!,Lisa Ray,2020-01-14T14:09:04Z,3
Ahhhh now I’m craving a good smoothie! And girl tell me about the working out every day having to wash hair often! Love this video! 🙌🏽,TheMexicanBeauty,2020-01-14T12:45:03Z,0
Love this video! Can’t wait for Jeremy’s  recipe video.,Jessica Keymolen,2020-01-14T11:14:58Z,0
Omg I love watching you can you do more vlogs in the car,Jacqueline Gonzalez,2020-01-14T08:54:09Z,0
But where do you get the individual frozen bags of fruit at?,Amber Alvarez,2020-01-14T08:17:14Z,0
Your smile looks amazing!,Fareha Ali,2020-01-14T07:43:34Z,0
So when is Jeremy dropping them good food videos?? I need to eat good and look good 😅,xoPanchitaxo,2020-01-14T07:40:52Z,10
“I’m am happy to report I’ve been riding it everyday “ <br />I giggled 🤭 a little,D. Z.,2020-01-14T07:36:09Z,20
"And here I&#39;ve been taking biotin!!! Wtf....I saw this stuff at Walmart just the other day. Okay collagen,  I&#39;m looking at you now lol",Jennifer Shank,2020-01-14T07:29:00Z,1
Is that collagen vegan??,Manifesting Maren,2020-01-14T06:26:17Z,0
No. I&#39;d rather take a supplement that isn&#39;t derived from bovine connective tissue. 🤢,LizziChi Ⓥ,2020-01-15T05:56:23Z,0
Have you tested whether you hair and nails grow faster with the biotin or with the collagen??,Taylor Slater,2020-01-14T06:04:37Z,0
Just 143!!!OG over here 💜,Eleanna23,2020-01-14T05:57:10Z,0
I thought the bike shot wasn&#39;t sped up at first and I was SHOOK.,tatianafosho,2020-01-14T05:55:50Z,4
"I wish I was that strong to leave the sugar 😩😩😩, ...OFF SUBJECT...you made my night when you responded on tik tok the one where you got sent home 2012 when you were a bartender , THANK YOU NICOLE 👏🏻😘😘..YES ONE OF MY DREAMS IS TO MEET YOU &amp; JEREMY..❤️ from CORPUS CHRISTI, TX",Michelle Garcia,2020-01-14T05:43:43Z,1
"Are these the ones you get? <a href=""https://www.amazon.com/NeoCell-Biotin-Burst-Brazilian-Berry/dp/B00KT6MMR4/ref=mp_s_a_1_3?keywords=neocell+biotin+bursts+soft+chews+acai+berry&amp;qid=1578980189&amp;sr=8-3"">https://www.amazon.com/NeoCell-Biotin-Burst-Brazilian-Berry/dp/B00KT6MMR4/ref=mp_s_a_1_3?keywords=neocell+biotin+bursts+soft+chews+acai+berry&amp;qid=1578980189&amp;sr=8-3</a><br /> I’m excited to add these to my routine! Thank you for being real and never fake, I’ve been following you since 2013!  Love you Nicole! 😘",Sabrina Morales,2020-01-14T05:40:32Z,0
Drop that updated skin care routine! 🤩 your girl is struggling 🥺,Diamond Figueroa,2020-01-14T05:38:22Z,6
You’re still my fave on YouTube.  You don’t have any of the drama and I always love your style.,D Chippett,2020-01-14T05:38:03Z,4
