comment,id,date,num_likes
Still my favorite video,Baby Yoda,2021-04-27T09:34:40Z,0
What is smaller out of 1/2 curling and 1/4 curling wand,Nicole Poppy,2021-04-11T09:48:28Z,0
"End result remind me of Beyoncé. Beautiful, I don’t think I could carry the look but Nicole you definitely do!",Sheri Rego,2021-04-11T02:36:42Z,0
Me.. rewatchin Nicole&#39;s Videos cause I miss her and want her to upload moreeee.,Alexis DE LA CRUZ,2021-03-17T17:31:04Z,0
This is GOALS! 😍,xxobrittanyg,2021-02-21T05:51:11Z,0
You are super beautiful. Appreciate the video on the curly hair look lady.,Jade Epperson,2021-02-01T18:54:01Z,1
Clueless,amanda riddle,2021-01-12T02:23:19Z,0
ok so im searching for a 1/4 inch barrel as i speak trying to re-create this look i have really long hair too and have been wanting to figure out how i can achieve massive hair like this lmao.,Gabrielle Martin,2021-01-06T08:07:32Z,0
Twisted sister!,The Rose Reporter,2020-11-20T05:50:06Z,0
Geulis pisan 🥰😍♥️,Shalma Geulis,2020-11-17T08:44:13Z,0
anyone know what camera she uses?,Lex,2020-07-17T04:04:08Z,0
I love this mash up,Chantel Goris,2020-06-29T01:55:07Z,0
Beautiful. I love this curly voluminous hair! 😍😍😍,Crystal K,2020-06-01T02:52:04Z,0
All my skills are from you 🦋,Jocelyn Camarillo,2020-05-15T06:13:13Z,0
I wanna see the bun in a tutorial 😍😍😍😍,Jazmine Repass,2020-04-27T06:32:53Z,0
My favorite curl tutorial ever,Katie Halajcio,2020-04-14T03:52:07Z,0
I did my hair like this today and omggg I wish I had longer hair!!!!! Very different then my basic wavey curls 😅,Amanda Aguilar,2020-04-10T03:41:39Z,0
I love it!!!,Ashley Hernandez,2020-04-03T03:14:38Z,0
Fuck yes baby we love ur vlogs and this new style is amazingggggg my dreams have come true thank u miss nicoleeee,Ashley DeLuca,2020-03-31T07:05:53Z,0
Hi Nicole......great video! Gosh your hair is GORGEOUS! I love this tool! I want one too!! Thank you for the shout out to all essential workers. I work at a transit agency in SF and I continue to go to work. Its a little scary at times being out but your comment touched my heart. Going to catch up on your videos. I miss them so much! Hope you and your boyfriend stay healthy and safe! Take care! 💟,JM,2020-03-28T21:54:07Z,0
LOVE the vlog into tute into vlog ♥️♥️ LOOOOVE it,ItsQuinn,2020-03-28T16:47:05Z,0
How did I miss this video? 🤦🏻‍♀️,Lay Rayner,2020-03-27T03:42:17Z,0
are you wearing extentions? your hair is BEAUTIFUL,Mackenzie A,2020-03-25T04:47:31Z,0
I’m feeling this look on you. The lip combo is a bomb upgrade to a throwback. Question I’m getting back into doing my own nails and need a good nail drill. Which one do you recommend? Thanks in advance,LaNae Turner,2020-03-24T06:32:56Z,0
Royal glam! 😊😊😊,Skippy S,2020-03-24T00:34:25Z,0
Question!! Whats the best BUT affordable hair wand set to use ? Im in the look out 😫🦋,issacrea Rea,2020-03-23T05:04:51Z,0
"Your hair is straight fireeee. I like that you&#39;re honest about being lazy and doing varying size sections sometimes, you always keep it 100&lt;3",joanna h,2020-03-22T23:21:09Z,0
Beautiful 💕,Gladys 123,2020-03-22T22:46:21Z,0
