comment,id,date,num_likes
What is your concealer brush?.. I have not found one yet that works for me 😩,Chrissie Bautista,2021-04-23T07:24:03Z,0
I wish they had a better shade range! I got the lightest shade for under my eyes but they didn’t have a good shade for skin as a foundation 😩 even the lightest shade is a bit too bright but i love the formula!,Michelle Fillipini,2021-04-09T17:50:27Z,0
Please make a review on the makeup forever HD foundation?,yulisa salgado gallardo,2021-03-21T03:45:07Z,0
You are so awesome Nicole I love love your vibe is so much fun for me watching you do your makeup ! Please do more makeup videos!,yulisa salgado gallardo,2021-03-21T03:40:17Z,0
"The substantial elephant fundamentally suck because cheque scully raise without a marked karen. resonant, nimble mom",kam monterroso,2020-12-03T15:07:57Z,0
no powder in fl? I could never,Naimeh Harami,2020-10-21T00:27:04Z,0
"Beautiful! Could you do a mask proof lipstick video please?! Even though we are wearing masks, I enjoy a good lip color, and especially one that doesn’t get all over the mask!",Life Is Good,2020-10-16T03:17:15Z,0
"Just starting to get hot here in Australia, so I definitely need to get this ❤️❤️",Elle Paget,2020-10-05T04:41:30Z,0
Do you still wear drug store products. Or is it just high end nowadays?,Elaine Johnson,2020-09-28T18:19:42Z,0
I need to start making an effort to at least do something like this to my face. I&#39;m on Zoom looking not grate for class lol,ash es,2020-09-26T03:14:01Z,0
I love how chill you always are.,Megan Burnett,2020-09-25T15:48:27Z,0
What brushes are you using???,Sarena Garcia,2020-09-25T00:24:30Z,1
You look TOO adorable 😍😍😍,Susan Chamorro,2020-09-24T05:52:30Z,0
"I have to thank you because I bought the velvet powder because you said it was awesome, and you were right.  I love it, and will probably will want these concealers too.",EA Sko,2020-09-24T04:52:27Z,0
need this in my life 😭💕,Jashaydee Aaliyah,2020-09-22T23:38:43Z,0
I love you,Amy Lynn,2020-09-22T01:25:00Z,0
Reminding me of chrissy teigen here.,Theresa Stevenson,2020-09-21T05:15:07Z,0
beauty!! inside and out ❤️,Deanna Pandolfo,2020-09-21T01:54:49Z,0
Heading over to Sephora to buy it. You look stunning like always💕,Hola Lisette,2020-09-21T00:38:37Z,0
That has been my hair style for the past few months,kristal Perez,2020-09-20T21:58:45Z,0
It’s been very hot in the Midwest as well. A sweet proof makeup look is so needed. Especially with wearing a mask.,Ania Sade,2020-09-20T20:02:28Z,0
Makeup Forever is Not cruelty free so unfortunately I won’t be purchasing 🐰😩,AT,2020-09-20T17:45:01Z,0
i am in love with this soft natural look!,Laura Guzman,2020-09-20T16:07:46Z,0
I love that I can come to your channel and feel welcome and drama free. I&#39;ve been watching you for suuuuuuch a long time when you and Dulcecandy where the tops gurus! (Your still the top guru to me)<br />Love yah!❤️,Irmita Santos,2020-09-20T15:45:36Z,0
İ hate using concealer on my whole face.....,Deniz Kanat,2020-09-20T09:47:13Z,0
Tan Bella 😊👏Love the look!,Marisol C.Lopez,2020-09-20T04:59:05Z,0
Yu are sooo stunning ! &amp;&amp; love your personality been watching you for years now! 🥰🥰🥰,KayBossWay,2020-09-20T04:43:06Z,0
143 💜,Gretel Cancio,2020-09-20T01:27:31Z,0
Am I the only one that realized she didn’t have her nails done. Not hating or complaining it just doesn’t feel right.,Rawan Awawdeh,2020-09-19T21:54:18Z,1
Brwrwrwrwrrr!,With Lea,2020-09-19T19:44:23Z,0
