comment,id,date,num_likes
Money pieces lol,Stephanie Reza,2020-12-12T16:54:02Z,0
How much do they charge ?,Desiree Arrieta,2020-11-22T22:53:52Z,0
"If you REALLY want volume.. clean your hair with Ghassoul. Is natural, no toxic... and trust me, your hair will change.",Celia Grande Romero,2020-11-17T13:28:50Z,1
What is the curling iron you used?,rebecca Lopez,2020-11-10T21:16:40Z,0
You&#39;re so pretty♡♡,Anna Gregory,2020-11-09T03:42:47Z,0
surely im not the only one got the vibe that shes not a fan of the cut and color...🤷🏽‍♀️,Niki Cagle,2020-11-08T13:01:23Z,0
Wow!!! I love this video! What camera and audio equipment do you use? It&#39;s incredible!,Janine Oda,2020-11-02T10:27:32Z,0
u look like khloe k,angeline sarol,2020-11-02T06:14:55Z,0
The cut and finish look from the IGK SALON was bomb!!!,Jessica Davis,2020-10-31T22:23:24Z,0
I always wondered? Do you ever go back and watch your old old videos from when you first started?,Nathalie Ibarra,2020-10-30T04:19:41Z,0
Nicole! Will you do an updated natural makeup look for women over thirty? Lol. I am 30 and have dry under eyes and I’ve been a huge fan and follower of your makeup forever. I am struggling finding some good makeup with my eyes and face being more dry these days. Would love it if you would do a video on that. Please and thank you😊❤️,specialK,2020-10-27T19:16:27Z,0
That hair looks amazing ❤️,Esmeralda Deleon,2020-10-27T14:16:59Z,0
Love all your videos toooo much ❤️❤️❤️ been following you for ages !!! <br /><br />Please check my channel 🍂🍂🍂🍂,Veronica Coffeetalks,2020-10-27T10:44:43Z,0
Best dry shampoo on earth is Drybar,BeautyLover8403,2020-10-26T22:28:57Z,0
More travel and vlogs please!!!!!,Gem 100,2020-10-26T20:36:07Z,0
"<a href=""https://youtu.be/lIqdobSY5pY"">https://youtu.be/lIqdobSY5pY</a><br /><br />The end of days the day of the Lord is at hand Repent and be born of the Holy Spirit Jesus died for you💕❤️ no amount of money can save us from what’s coming🎺🎺🎺🎺🎺<br /><br /><a href=""https://youtu.be/lIqdobSY5pY"">https://youtu.be/lIqdobSY5pY</a><br />God is raising up an army of true soldiers<br /><br />M. A R K of the B. E a S T<br /><a href=""https://youtu.be/LTRugZuURn0"">https://youtu.be/LTRugZuURn0</a>",Dena C,2020-10-25T22:34:20Z,0
I love IGK products they smell so good 😩😩,Dejaiveuve,2020-10-24T16:30:11Z,0
Love dry shampoo...but also loving your flannel top super cute 🤗 wear do I get it ...,Regina Marie Garcia,2020-10-23T15:42:16Z,0
Quuuuennn 143 ❤,Amy Lynn,2020-10-23T03:34:46Z,0
Beautiful,Maegan Rose,2020-10-23T03:20:00Z,0
Beautiful color 😍,kirvyk,2020-10-23T03:16:45Z,0
Your hair is beautiful!,EarthGoddess66,2020-10-22T17:49:21Z,0
Love your hair color so much!! It&#39;s been way over a year for me and I so need this!!😍,Diana,2020-10-22T16:17:08Z,0
I love IGK👏🏻,Alexandra S,2020-10-22T07:15:27Z,0
Love the color 💖,Simple Nail Designs,2020-10-22T04:45:04Z,0
You look so good in this vid Nicole! Grey and cool tones are your thing! 💕💕💕,TymetheInfamous,2020-10-22T00:30:28Z,21
"<a href=""https://youtu.be/lIqdobSY5pY"">https://youtu.be/lIqdobSY5pY</a><br /><br />The end of days the day of the Lord is at hand Repent and be born of the Holy Spirit Jesus died for you💕❤️<br /><br /><a href=""https://youtu.be/lIqdobSY5pY"">https://youtu.be/lIqdobSY5pY</a><br />God is raising up an army of true soldiers<br /><br /><br />M.  A r k of the B e a s t <br /><br /><a href=""https://youtu.be/LTRugZuURn0"">https://youtu.be/LTRugZuURn0</a>",Dena C,2020-10-25T22:34:30Z,0
omg where r your earrings from?!,Kerri Schmidt,2020-10-21T23:17:15Z,1
Your looks so good,monica rodriguez,2020-10-21T20:42:06Z,1
Need a drugstore/high end best dry shampoo please love ur videos 🖤,Jill Gonzales,2020-10-21T16:28:09Z,1
I’m so happy your hair turned out how you wanted it I love the new look!!!,Cairo Waters,2020-10-21T15:30:15Z,1
I also miss our “virtual” coffee dates lol. And your coffee song.,Jessica Keymolen,2020-10-21T13:19:21Z,4
I live for your commentary. Missing yesterday’s vlogs!,Jessica Keymolen,2020-10-21T13:15:40Z,2
omg what camera is thissss,The Official Asmara,2020-10-21T12:51:37Z,1
Girl you are so pretty have you ever done a slick middle part the hair perfectly tucked behind both ears that&#39;s my favorite hairstyle with big hoop earrings to finish to look,jamba jackson,2020-10-21T12:21:03Z,1
Loving the lil asmr moments when you&#39;re doing ur hair Lol love your videos! Please upload more,Angie Toro,2020-10-21T12:13:42Z,0
I love your hair!!!  I have the same exact nameplate necklace that my mom bought me over 15 years ago🤣🤣. She doesn&#39;t remember where she bought it. By any chance you read this please 🙏 tell me you remember?????,Melissa Naudus,2020-10-21T10:31:19Z,1
I miss the videos that weren’t all ADS,Kristin Fernandez,2020-10-21T04:30:43Z,32
Tell me about it 🤣,clearseaandwhitesand,2021-03-23T17:53:56Z,0
I love you!!! Love the look!,Ruby Gomez,2020-10-21T04:04:40Z,1
This first class dry shampoo still leaves me hair feeling weird even after working it in and coming through...i can barely run my fingers through my hair that day. Happens will all the dry shampoos that I use 😒,Meiko_Q,2020-10-21T02:17:47Z,0
Wow. Getting your hair done is a major event for you. So much it needs to be shared.,cfgv,2020-10-20T23:51:49Z,0
New hair who disss 😍😍😍,Awnee,2020-10-20T22:59:56Z,1
I also love this color on your. Can you find out what color he used would love to have my stylist do this on me for fall.,Melissa Ortiz,2020-10-20T22:46:20Z,2
Can you do a makeup tutorial on this look. It looks great for the fall season,Melissa Ortiz,2020-10-20T22:41:44Z,1
i love love love it!!,Jackie Myers,2020-10-20T21:41:23Z,1
Your hair looks soooo good. I’m so surprised you’ve grown it out this long. I love it,Kayla Bolden,2020-10-20T20:25:11Z,1
Everybody getting Kylie Jenner color now,Michaelina Bowers,2020-10-20T20:21:49Z,1
How are you so happy about dry shampoo. its highly flammable...more than hair spray. ALL ON YOUR HAIR!!!,Joanna Farias,2020-10-20T20:09:55Z,0
Lol💓💋💟💜😻☺️❣️💚,Aria Salcido,2020-10-20T18:56:15Z,1
I love it!So pretty and healthy,Vanessa Carire,2020-10-20T18:23:26Z,1
More vlogs!!! I love watching you! 😊❤️,Ana& Fam,2020-10-20T17:23:26Z,1
I Love IGK products. Your hair looks so beautiful 🥰,Ann V,2020-10-20T17:22:17Z,0
I need this haircut 😭😍😍,Xena Martinez,2020-10-20T16:58:30Z,1
Where did you get your flannel from? 😍,Krystal H,2020-10-20T16:52:57Z,1
The color is gorgeous!,Jerri O'Connell,2020-10-20T16:29:22Z,1
It looks really good. I also love how the hairstylist styled it super cute. The highlights look good.,Jamie Monroe,2020-10-20T15:35:05Z,1
You should curl your hair like how they did it at the salon it looks wayyyy better,Anne k,2020-10-20T15:20:17Z,1
I love the new hair! 😍 I’m so happy you gave your hair a break and it got so long naturally! It looks so healthy! How much did you cut off?,Michelle Dominguez,2020-10-20T15:13:54Z,1
Looks amazing 😊,Madison Dupree,2020-10-20T15:06:36Z,1
FLORIDA LATINOS FOR TRUMP,shesoEk,2020-10-20T14:58:28Z,0
VOTE RED,shesoEk,2020-10-20T14:58:20Z,0
TRUMP2020,shesoEk,2020-10-20T14:58:12Z,0
VOTE TRUMP2020,shesoEk,2020-10-20T14:58:03Z,1
That dry shampoo smells terrible.,bnb0510,2020-10-20T13:59:40Z,0
Ughh more 6 min ads. No thanks.,Jilliana Peterson,2020-10-20T13:42:12Z,16
@Killer QueensRyche have Jeremy do some work.,EGMA,2020-11-17T07:28:01Z,1
girlfriend needs money for the wedding,Killer QueensRyche,2020-10-21T20:30:48Z,5
Has anyone else ever just realized how many years we have been watching Nicole? From my 20s to now turning 30! 10 year friendship 🥳🤯👭,Meliii sssa,2020-10-20T13:38:44Z,4
Where can we get the paste? I didn’t see a link for that product,Karla Gutierrez,2020-10-20T13:12:49Z,0
Ooh I live in Miami! Cut time!,Daisy Rodriguez,2020-10-20T13:04:11Z,1
mom that hair style is gorgeous! lovelovelove,Jozi Roze,2020-10-20T12:56:39Z,1
IGK has my favorite products evvvver! Their dry shampoos are the GOAT!!,Mear Squared,2020-10-20T12:39:37Z,0
Looks amazing darling,Lorna Brooks,2020-10-20T11:03:54Z,1
Nicole Guerriero a Queen!! You can make any hair color and hairstyle look SO good.,Sameerah Khan,2020-10-20T11:02:04Z,1
Looks great!!!!,BarbieGirl1630,2020-10-20T10:37:47Z,1
"This video was ASMR to me, thank you Nicole ! ❤️",L DB,2020-10-20T10:24:17Z,3
NICOLE‼️💗💗I LOVE LOVE LOVE UR COLOR &amp; CUT‼️🙌🏻🙌🏻🙌🏻🙌🏻🙌🏻🙌🏻🙌🏻😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍It just frames UR Face Sooo BEAUTIFULLY‼️❤️❤️❤️❤️❤️❤️❤️❤️U R going to be A GORGEOUS BRIDE‼️👰🏻😍👰🏻😍👰🏻💗💗💗💗🙌🏻🙌🏻🙌🏻🙌🏻🙌🏻,Meredith MOHLER,2020-10-20T10:11:04Z,1
Ok but I was living for the gray steaks. Ugh love gray hair,melissa acevedo,2020-10-20T08:19:07Z,1
Dry shampoo makes my scalp so itchy 😩,Vicki Bould,2020-10-20T07:36:15Z,0
You give me life 😘,Jac Dennison,2020-10-20T07:18:43Z,1
Love this vid,Marie C,2020-10-20T06:59:39Z,1
I love love love love your hair cut and color,Tasha Walker,2020-10-20T06:45:21Z,1
Love you ♥️,Zahra Osman,2020-10-20T05:46:16Z,1
Watching this as I’m balding 💔,Bre F,2020-10-20T05:31:13Z,1
I absolutely love your hair videos! 😍,Lucia - Cosmina,2020-10-20T05:18:57Z,1
I thought she lived in Miami ? 🤷🏻‍♀️,IsaB333333,2020-10-20T05:13:44Z,2
I think she’s in Tampa 💖,Simple Nail Designs,2020-10-22T04:37:36Z,2
Love your hair! What do you use to shampoo and condition your hair?,Tera T,2020-10-20T05:07:32Z,0
❤️❤️❤️,Harriet Davis,2020-10-20T04:59:26Z,1
Shorty a lil baddie,Esperanza Franco,2020-10-20T04:35:00Z,0
Like🥰🇵🇷,Tamara Galarza,2020-10-20T04:34:15Z,0
"Oh, sorry ma&#39;am i didnt come for a commercial.  Goodluck!",elizabeth,2020-10-20T04:24:44Z,1
I love you Nicole!,Andrea Gray,2020-10-20T04:21:37Z,1
I am NOT used to 6 minute videos 😤,23 Basketball 32,2020-10-20T04:10:21Z,2
Hahahaha homegirl with the foils and mask looking like another type or breed loves it stay safe girl,fishyfriable,2020-10-20T04:06:40Z,1
The color of your hair is gorgeous!,Megan Reeves,2020-10-20T04:04:25Z,1
What’s the name of the haircut? Just long layers?,Cindy Lou,2020-10-20T04:03:03Z,1
"I thought you quit. But I see, you resurface when someone is paying you for this stupid infomercial. All you older YouTubers suck and you&#39;re greedy.",Frebreezie Marie,2020-10-20T03:48:54Z,0
You really should have been wearing a mask getting your hair done...... you’re inside a public place and covid second wave is about to hit. Please stay safe,tazzel10,2020-10-20T03:36:23Z,5
"@Lisa Marian girl are we watching the same video? Lmao from <a href=""https://www.youtube.com/watch?v=HVaNPHJtjGA&amp;t=4m55s"">4:55</a> and onward THERE IS NO MASK",tazzel10,2020-10-27T02:57:04Z,0
"@tazzel10, look at around <a href=""https://www.youtube.com/watch?v=HVaNPHJtjGA&amp;t=4m23s"">4:23</a> on-ward. You can clearly see Nicole has a grey and black mask on. Watch her hair stylist drops his comb, the light is brighter, so you can definitely see.",Lisa Marian,2020-10-26T22:32:30Z,0
@Lisa Marian I don’t think so. He was taking video of her up close and no mask,tazzel10,2020-10-26T04:07:33Z,0
