comment,id,date,num_likes
"Soooo, I was pretty sure I had no use for that smaller round brush, but after watching this video, it appears that I do. My hair is also fine, but plenty and is a similar length. I&#39;ll be trying to use your link to buy.",Stephanie S,2021-01-18T18:13:20Z,0
I don’t know if anyone notices but this the background of the video looks very much like when she had her old place  ... or is it just me? Lol . 😩😩,brianna newton,2020-11-23T04:07:26Z,0
Who the fuck can afford a Dyson blow dryer?? Wtf are you serious,terri pardo,2020-11-23T01:00:18Z,0
I loveee it,Samantha Hdez,2020-11-14T15:35:53Z,0
So it does look “simple” but I’d love to see a tutorial on your makeup in this video! Looks great for everyday!😭😍,Tori Araiza,2020-11-05T08:59:52Z,0
You are always looking so beautiful I love your enthusiastic and honest review! By the way you look like Carol G so much💐,Neolfis O,2020-10-29T22:37:19Z,1
Hey hun I already have the dyson complete but I can’t find this new attachment anywhere ???,Kainaat Iqbal,2020-10-26T19:50:32Z,0
"As someone with damaged hair, this would be such a good investment.",Rose M,2020-10-22T03:49:38Z,0
Your hair does not look thin at all. It looks very thick and full,L Gutierrez,2020-10-20T20:35:13Z,0
Girl your hair looks awesome! What extensions did u have in before ? They obviously were not damaging to your hair ?! Was it the beaded wefts ?,Dark.Moon.Medusa,2020-10-20T20:30:14Z,0
yess hair! you really got me wanting to buy one of these dryers!,Jozi Roze,2020-10-20T13:04:07Z,0
is the brush comparable to the revlon one?,Emely,2020-10-20T01:31:16Z,0
Soo impressed with your hair and the Dyson products! The finished look is absolutely gorgeous!!! Have to get that oil too! 😊,Tina Hagerty,2020-10-19T21:53:22Z,0
The Dyson website has payment plans  :),Christie Barton,2020-10-19T20:14:09Z,0
payment plans for hair dryers... People are dying Kim,Killer QueensRyche,2020-10-30T20:43:55Z,0
Small YouTuber.<br />Any support is greatly appreciated🖤,Life With The Garcia Family,2020-10-19T05:14:58Z,0
your hair looks beautiful literally hair goals 😍,laura vargas,2020-10-19T01:19:39Z,0
Tell us how youve been growing your hair!!!,mtlmakeup,2020-10-19T00:09:31Z,0
