comment,id,date,num_likes
This is so cute lil mama doing your makeup,Treasure Forever,2021-04-13T04:27:00Z,0
I thought you used native deodorant?,Treasure Forever,2021-04-13T03:20:37Z,0
What a beautiful little spot! Your weddings going to be so gorgeous! I’m so happy for you,Nola Girl,2021-04-02T12:44:36Z,0
where are the tacos from please? :) i&#39;m in tampa &amp; vegetarian so i would LOVE to try that jackfruittttt! ty!!,Mailoha Albaladejo,2021-03-16T21:25:42Z,0
"where did you get the cat bowl, and when are you getting married",Laurie-anne Bollaro,2021-01-30T23:47:21Z,0
at!Jeremy must work alot only see him at supper cooking love that!  Guys if you want to eat you gotta cook just try!Whata Man!,Jacqueline S,2021-01-21T16:02:25Z,0
I know I’m late on this vlog  lol but your niece is so cute she reminds me so much of my daughter so cute 🥰🥰,mannim,2020-12-23T07:34:21Z,0
Your videos always have so many surprises.... I LOVE THEM!,Hellen Gomez,2020-12-12T20:33:51Z,0
Where is your old bed from?,Spooki Niari,2020-11-26T01:04:24Z,0
God bless you and your family.,Ashley,2020-11-19T04:01:32Z,1
Where is the little pillow from?,Bethanie Morgan,2020-11-14T07:38:38Z,0
Did I miss all the wedding planning  and engagement videos? I feel like I can’t find any of that on here and that makes me sad,Sabrina D,2020-11-11T00:39:20Z,0
"ahhhhh, you posted this video on my birthday! I love seeing your yesterday vlogs.",StyledByAnastasia,2020-11-10T04:50:52Z,0
Love love love your videos! Love the new look and vibe in the room! Where are your lights on your tv from? ☺️♥️ love you girl ♥️,Marisol Diaz,2020-10-25T14:38:30Z,0
"The little girl does makeup better than some of these top muas. Not even joking, especially with the concealer part. She&#39;s super adorable :)",A V E L A V L O G,2020-10-10T04:16:45Z,0
Yesterday’s are my favorite of your content 💗,Melissa H,2020-09-28T12:36:48Z,0
You should buy Beevs those special sunglasses for those who are color blind,The Mexican Mommy,2020-09-24T23:29:12Z,1
what does jeremy do for work,r e b e c c a h a r r i s o n,2020-09-22T11:10:52Z,0
Sorry but has she ever spoken about her engagement at all? I&#39;m a huge Nicole fan and just wondering if Ive missed a video on it? I know she posted about it on Insta but as she said anything in videos?,Josephine,2020-09-17T10:33:56Z,0
I love you too much nicole 💕💕💕💕💕💕💕,Sneha,2020-09-14T04:02:10Z,0
Your purple outfit reminds me of the teenager 11 and also a mom from the 80’s lol,Kelly Wsnwski,2020-09-10T22:46:14Z,0
"Wait, did you have a fitted sheet on your box spring???? Omg 😳",Kelsey Weber,2020-09-10T01:11:11Z,0
Maybe it&#39;s the coffee talking but.. you&#39;re my fav vlogger. I love your videos😗☕😄,Maria Glover,2020-09-08T17:29:21Z,0
This video was so freakin stupid I was 5 mins in and still no bedroom revamp nothing but fluff and a deodorant commercial I clicked out big fat waste of time,Roxann Encinas,2020-09-06T04:44:31Z,0
"I’m so excited for your weeding day , love the vlogs always ❤️",Sassy Sashy,2020-08-31T17:27:21Z,0
"I love your earrings, where you order it? 🙏 Thanks",Mandy Thach,2020-08-30T23:44:17Z,0
What’s the name of the paint color in your bedroom? I’ve been looking for a color like but no luck 😭😭,Melanie Lance,2020-08-30T19:41:38Z,0
Is it bad that I&#39;m super jealous of a little girls hair n gorgeous tanned skin?😂,Leelee Cee,2020-08-30T15:43:12Z,0
Thaaaaat riiiing giiirl ❤️❤️,Ada Aguilar,2020-08-29T23:18:45Z,0
You could put a cute little couch or chairs in front of your bed and tv... like a little seating area in your room. It looks like there would be enough space.,volmos100,2020-08-28T07:44:43Z,0
I just love all of your kitties. They seem so sweet and they are all so adorable 😻❤,Brittany Hyatt,2020-08-28T04:56:41Z,0
Umm I am late but like I want to sign up to take your furniture off your hands!!!!,Isabel Torres,2020-08-27T06:33:43Z,0
What do you do with the furniture your getting rid of?,Suzie Q,2020-08-26T06:49:00Z,0
okaaaay but like where did she get her main coon? 😭 i want to get one soooo bad 🥺,Jenny Jimenez,2020-08-25T17:02:38Z,0
"Love, love, love seeing your kitties! 😻😻😻",Beth Bounds,2020-08-24T16:30:26Z,0
Omg! I did not know Jeremy is color blind. My honey is color blind as well. He so would’ve grabbed the wrong coffee too lol,Lysandra Rodriguez,2020-08-24T03:30:10Z,0
"OK. Is Secret watching me? I’ve used them for decades, I’m talking my very first deodorant was that super old roller ball(their slogan was “strong enough for a man but made for a woman” then something about ph levels)! For the first time ever, I tried something new because I like the way my husbands old Spice smelled and here Secret is on my fave’s channel tempting me with a new scent. Creepy.",PinkyChiChi,2020-08-24T02:00:33Z,0
Love it!! It looks great! I have been wanting the Dyson..... do you like it? Does it suck well?,Adrea Nunes,2020-08-23T23:54:45Z,0
"Loving the vlogssss!<br />The cat on the counter thing, I&#39;m sorry, just eww.",The Ordinary Gal,2020-08-23T23:48:19Z,0
"Holy cow, are you hurting for money with the amount of ads on here?",Jessica Ridenour,2020-08-20T03:05:23Z,0
Your vlogs are my fav ❤️,JustCleo,2020-08-20T03:05:14Z,0
Make the bed 🛏👍🏽💜💖💜💖💜💖💜,Kas Kahea,2020-08-15T21:49:49Z,0
