comment,id,date,num_likes
"Nicole, you are soooo beautiful!!!! I love watching your videos!!!! Your energy keeps me going lol <br />💖💖💖💖",Priya Destiny,2020-10-31T18:33:26Z,0
what kind of brush is she using to &quot;pack on&quot; the eye shadow?? anyone?? anyone??,Violet Surbida,2020-10-18T18:30:47Z,0
Your face is just.... it’s perfect. I can’t,Vivalavive2249,2020-10-18T05:06:07Z,0
The new highlights are everything.  I love the glitter shadow and the  black. Too !!  Nocturnal animals vibe . OBSESSED,Jen Kremedis,2020-10-15T03:45:40Z,0
Omggg I could wear this look all October long lol,Ms Rodriguez,2020-10-14T02:08:22Z,0
I love you ❤️,Violet Surbida,2020-10-13T19:39:49Z,0
I would be real interested to see you do a declutter or organizing your makeup kind of video!,Brittany Sanchez,2020-10-11T21:43:08Z,0
Do you have a promo code for current audible users? I only signed up because you recommended it and I’m loving it but I didn’t know I had to use your link for the free book. Is there any way for me to redeem it now or is it too late?,Emily Mortensen,2020-10-08T17:26:32Z,0
I noticed your dark circles are completely gone! What’s ur trick?? I can’t even cover them up with makeup properly ☹️ help!!,Google User,2020-10-08T00:28:35Z,0
LOVE IT!!!,CHIT-CHAT REALNESS,2020-10-04T21:55:44Z,0
I could wear that look everyday 🖤🖤🖤,Martina,2020-10-04T08:41:30Z,0
This is so gonna make my October better.,Finding Maleka,2020-10-04T04:33:07Z,0
"I haven’t watched a makeup tut in like two years, girl u pulled me BACK!! Thank u babe, love u!!! 🖤🖤🖤🖤🖤🖤🖤",Sami L.,2020-10-03T23:06:29Z,0
OMGGG! Where’s that headband from????,Shantell Suarez,2020-10-03T14:16:07Z,0
Could you do a haloween look that encorperates a mask? I want to do a makeup look but we have to wear face masks pretty much every where now in the UK.x,Laura Westhead,2020-10-02T19:55:48Z,0
U look like lana del ray in the black eyeshadow 🎃😻,fatima Toomey,2020-10-01T23:21:28Z,0
Can you recreate your clown look from 2014? I can’t find the video anywhere😭,Maribel Lazo,2020-10-01T00:35:49Z,0
&quot;And I just want to party with you!! 🗣&quot;. Me for the rest of the day lmao,Brenda Ortega,2020-09-30T22:45:30Z,0
"Whenever I’m having an off day or I’m feeling down, I can always come here &amp; count on Nicole to make me laugh/smile. Thank you for being you Nicole, much love. ❤️",Jess Ann,2020-09-30T21:38:48Z,0
"You have such a great personality I love it, it reminds me of me and my sister. And I think we’d be great friends lol 😂",Sara Gomez,2020-09-30T18:33:40Z,0
LOVE U NICOLE‼️❤️❤️❤️❤️❤️❤️❤️,Meredith MOHLER,2020-09-29T22:26:10Z,0
Loveeee youu,Jenn Gala,2020-09-29T17:50:19Z,0
"No shade at all i swear, i love you. But are your ears okay? They look really red at the top and the lobes look strange. Is it self tan or something?  Or a fresh piercing?",Jennifer Wallace,2020-09-29T14:44:27Z,0
"The lip reminds me of moon lipstick, I loved to buy as a kid..",RealBeautiful Beauty,2020-09-29T02:45:20Z,0
I haven’t been watching any YouTube videos lately except for your channel! But now it’s spooky season so I know you’re about to drop hella videos so I’m all here for it! 👏,Angelica A.,2020-09-29T01:06:05Z,0
Which It brush did Nicole use to blend out the foundation!?? Anyone know❤️,Andrea's Beauty Life,2020-09-28T03:59:39Z,0
"If kids are going back to school, and companies are opening their doors for customers, Halloween shouldn&#39;t be cancelled! PERIODT!",Red,2020-09-28T01:50:16Z,0
I liveee for her Halloween looks every year ugh so good,Niomi Richiez,2020-09-27T22:27:28Z,0
I don’t get notifications and I have them on :(,April MacIntosh,2020-09-27T21:18:30Z,0
Oooo she back,Lucy J,2020-09-27T05:59:09Z,0
