comment,id,date,num_likes
Thx,Edith Manzano,2021-04-17T21:28:58Z,0
The double tap won’t work for me🥺,Kaylee Anne,2021-01-03T14:39:34Z,0
This is the video that helped me,Kaylee Anne,2021-01-03T14:26:49Z,0
Thank you this helped soo much :),Chewie,2020-12-31T20:09:22Z,0
You have no idea how much this has helped my well being my attitude in general ..seeing the pretty pics and motivational words I get to choose to uplift me is exactly what I needed. I love you so much girl!!! Thank you for doing this!! You’re such a wonderful light in life ❤️✨,LibraTaurusEnergy,2020-12-30T15:57:51Z,0
Finally got my new iPhone and this is amazing and so helpful. Thanks for always coming thru🥰,BTS with Christy,2020-12-27T04:21:56Z,0
How come I don’t have the photo option in my widgetsmith when I’m trying to add a photo,Taylor Wuthenow,2020-11-23T02:40:02Z,0
"Thank you so much for this video , my phone looks so cute now 💕 new subscriber",Bebecita,2020-11-22T23:06:26Z,0
Thank you so much for this tutorial because I just got WidgetSmith on my iPhone 7 so am kinda new to WidgetSmith,ヨウビ,2020-11-21T07:58:03Z,0
I don’t ever get tired of Nicole men! 5 years going strong 💪🏼,Samantha Hdez,2020-11-14T15:45:02Z,0
Happy words,Jason Edwards,2020-11-12T03:09:01Z,0
It’s so stressful 😫😫😫😣,Stephanie Tamayo,2020-11-09T19:00:10Z,0
Where do you get the pictures from I’m trynna search pics like that and I can’t find them,Alonna Humphrey,2020-11-09T06:31:15Z,0
Did not help me at all,carlie parker,2020-11-07T21:46:57Z,0
how can i get my own pics on the app? i can’t figure it out😅 and it’s just giving me a choice of colors,Mackenzie Lankford,2020-11-05T14:01:41Z,0
Watching this video helped me customize my Home Screen. Thank you a lot. I already finished it takes time but having Pinterest and just saving pictures made it so easy and chic 😍😍😍,Candy Girl,2020-11-03T18:49:22Z,0
Thank you,Samueljakes19,2020-10-31T09:13:39Z,0
This is the only helpful widget video that I’ve found. Thank you!,Melissa Carroll,2020-10-26T08:35:51Z,0
How do you changed the background for each home screen though .,Kendalyn White,2020-10-25T08:51:24Z,0
How did you get &quot;angel energy&quot; not move when swiping thru the screens?,Patria M. Peguero,2020-10-22T21:03:01Z,0
Why I can’t save the pictures to my gallery !!!,Rwnag Abdalrhman,2020-10-22T01:53:02Z,0
Why does that girl copy all your videos?,Corin DeJesus,2020-10-14T03:23:26Z,0
And everything else you do? Lol I saw she has the same mirror as you and now this,Corin DeJesus,2020-10-14T03:23:51Z,0
Thank You! 👏🏿👏🏿👏🏿👏🏿,SearchForCherise,2020-10-13T01:30:44Z,0
I know this is off topic but  can you help me?  When you say recording from your iPhone but you want to see what your recording on you iPad at the same time . Is there an app that does that or how do you do that ? Thank you,Angela Mills,2020-10-12T18:57:55Z,0
You lost me at download widgetsmith frm the app store 😂😂😂😝😝,aesco510,2020-10-10T16:09:04Z,0
Please tell me where you got your earrings! :),Mara Johnson,2020-10-10T04:35:38Z,0
Omg I needed this video!!! I never knew this!!!,MariahOnFiyah,2020-10-08T07:44:15Z,0
So helpful thank you! Ps where did you get your phone case from ? 💗,Jay Locier,2020-10-07T20:29:22Z,0
Thank you,Xxvlol !,2020-10-04T11:11:40Z,0
How do you safe the pictures to the Widgetsmith? I’m so lost,Maria araiza,2020-10-04T05:44:43Z,0
Gen Z: what is MySpace 👁 👄 👁,Cynthia,2020-10-03T19:39:05Z,0
Loved this super helpful 😘😘thank u,Stephanie Munguia,2020-10-02T03:58:11Z,0
I’m so glad you did this cuz I had no clue how to do it!!!,Kat-Lyn D,2020-10-01T16:13:20Z,0
So this is only for iPhone not others,Crystal acevo,2020-10-01T03:01:57Z,0
I don&#39;t know why I even started watching this but Android fam don&#39;t bother downloading Widgetsmith...it is just a tutorial for how to use it on iphone. Anyone finds anything like this for Android please let me know.,Shoni,2020-09-30T19:29:48Z,0
Thank you,Kelley Dunlap,2020-09-30T19:22:52Z,0
"I didn’t get it, how can i get all the widgets to be added into the pages",NooraLovesM,2020-09-30T19:05:32Z,0
Thx sm,Nyctophillia X devil,2020-09-30T11:10:02Z,0
