comment,id,date,num_likes
i don’t understand why your channel isn’t bigger lol,Celena-Estrella Perez,2021-02-04T10:30:51Z,0
Wow for 2 millions subscribers she doesn’t get a lot of views,Britney Grey,2020-11-10T04:34:54Z,0
It really makes me wonder why Nicole hasn’t turned her channel into a special fix makeup channel yet because she always seems the most inspired during October.,L N,2020-10-31T19:00:51Z,0
💖💖💖💖,Priya Destiny,2020-10-31T18:55:59Z,0
Wow period. You deserve 20 million subscribers. ♥️♥️♥️👹,Julia Caldera,2020-10-20T02:58:36Z,0
"I feel like you&#39;re one of the only OG&#39;s still doing Halloween videos, and I appreciate you so much! It makes it feel like YouTube back in the day when things weren&#39;t always so serious. Thank you for this. This look was fucking bomb! You nailed it! ❤🖤",Carly Riley,2020-10-20T00:47:19Z,0
"Okay girl, I see you with the Lilith vibes. 😈",Nova Lynn,2020-10-18T01:46:58Z,0
You are truly an artist. Love these videos!,Julia Hall,2020-10-16T15:44:09Z,0
"My 5 year old daughter loves 🎃 👻  like her mama , she asked me while watching your videos if you could do her halloween make up lol🥺 we wish .. she was all can u call her to come over mommy",Ambars vlogs Diario De mami,2020-10-15T16:25:11Z,0
I give you SOOOO much props on the intro editing cause the begining of the intro those transitions !!!! GIRLLLLLL,TabethaAshly,2020-10-15T00:20:02Z,0
The queen of Halloween looks! 😍🖤🎃👻,Jessika,2020-10-14T22:42:36Z,0
Riva,Michelle Garces,2020-10-14T01:46:44Z,0
I live for your Halloween looks year after year!!!,Ms Rodriguez,2020-10-14T01:44:47Z,0
Omg! I love this video  and your account!  😍,emily marie,2020-10-14T01:05:09Z,0
🔥🔥🔥,Mariah Morales,2020-10-13T13:39:09Z,0
just TALENT!!,Sandi Jarquin,2020-10-13T00:32:50Z,0
Absolutely stunning!!!,Regan Simmons,2020-10-13T00:29:17Z,0
THE QUEEEEN 💚 love your Halloween looks,crystal santana,2020-10-12T17:41:08Z,0
I live for this time of year you are a queen!!!,Aide Gracia,2020-10-12T17:35:47Z,0
Mi amor ❤️,yourstrulyfanie,2020-10-12T07:02:42Z,0
Y’all Nicole is still fucken killing the game on You-tube. Periodt!,cubanjewlzz,2020-10-12T06:49:33Z,0
Who else was getting more and more scared the further she got to the end! Lmao 😂 Girl you are talented AF. I would have loved to see Jeremys reaction to this look. 🔥👺👹,cubanjewlzz,2020-10-12T06:45:28Z,0
U look like Tim Curry as the Devil in Legend,Candi Blair,2020-10-11T22:36:53Z,0
please DAILY VLOGS or at least every two or three days :[ i miss them,By Bella,2020-10-11T21:45:33Z,0
Thinking what would happen if I painted myself red..🤔,PYIERE ALANNAH,2020-10-11T17:50:04Z,0
Always a Banger!,Phira Phierce 🇭🇹🇭🇹🇭🇹,2020-10-11T17:37:47Z,0
Come👏🏾Through👏🏾Nicole👏🏾With the Halloween Looks!!!! This Halloween is about to be so dope with these tutorials😈✨🌹,The SoulRae Effect,2020-10-11T15:32:36Z,0
Wow.,Gigi McGuane,2020-10-11T10:02:43Z,0
Killed it! 🔥,Jazz Rodrigues,2020-10-11T09:05:17Z,0
You are the QUEEN of Halloween looks!! So amazing! Love it 😊,Lilybeth Laureano,2020-10-11T01:09:39Z,0
Come thru with She Devil Makeup Look. Love it 😍,Ania Sade,2020-10-10T23:43:41Z,0
"Your creativity is out of this world!!! Ugh slay, 143❣️",Xiomara Kanhai,2020-10-10T23:17:54Z,0
I really appreciate how much you get into Halloween and how much you love it. It really shows in your tutorials,ocean johnson,2020-10-10T22:01:22Z,0
Wooow 😍,Maria Rodriguez,2020-10-10T19:29:29Z,0
you&#39;re so freaking talented! ❤️,Yamilet Rodriguez,2020-10-10T01:31:45Z,0
HAWWWT,Ashley Evans,2020-10-10T01:04:16Z,0
