comment,id,date,num_likes
I just watched the boyfriend tag from 9 years ago!!! 9 years!!!!! It was so wild!,JenniJem,2021-03-28T23:49:43Z,0
"<a href=""https://www.youtube.com/watch?v=XNl66IIfCIY&amp;t=6m17s"">6:17</a> PERIODTTTTTTTTTTTTTTTTTTAH",Belle,2021-02-12T18:13:13Z,0
I often wondered why she doesn’t do special fx makeup all year round. It’s obvious she really enjoys doing it and I love watching people put special fx makeup on. Idk if she just sticks with Halloween because she thinks we wouldn’t be interested in it any other time but I would,L N,2021-02-10T03:32:38Z,0
Jeremy cooking ASMR channel,SvetXOXOLana,2021-02-09T21:43:45Z,0
Can anyone tell me what hand lotion she showed when she was showing what&#39;s in her purse??,Sylvia_ 312,2021-01-22T13:10:51Z,0
Could you a do an updated filming equipment please 🙏,Cassander Peréz,2021-01-07T22:13:27Z,0
I’m from the uk and never seen what Jeremy is using to put his ingredients in the pan someone please help me I need one 🤣,georgie duke,2021-01-07T00:40:19Z,0
That black headband u had on is from Versed right? Can you buy that or was it in like a PR BOX? Do you know where I could possibly find a similar one??????I NEED!!!!!!!!,Phoenix Wilson,2020-12-31T03:23:33Z,0
me thinking i found a vlog i haven’t seen 😃😃 realizing i’ve seen it 😭😭,Tanya Bay,2020-12-19T06:08:49Z,0
I’ve seen a lot of HelloFresh promos and influencers promoting them but none like this. Hello Fresh just needs to give Jeremy a cooking channel because that meal looks better than the picture Hello Fresh provided,EyeAmBella,2020-12-01T19:45:12Z,1
Lol I love how  creative you are  Nicole !! 🥰😍,Maria Isabel,2020-12-01T16:17:53Z,0
Always House Gryfindoor!!!!!!!!!!!!!,Peace and LOVE,2020-11-30T03:23:32Z,0
Nicole where did you get that cat post? ❤️🥰😻,Janice Hanson,2020-11-29T20:39:47Z,0
I absolutely love watching Jeremy cook especially his chopping,Forum Bajariya,2020-11-28T18:50:11Z,0
I miss when she calls Orange &quot;sir&quot; 😂,crystalcandles,2020-11-26T01:11:44Z,0
That slap you gave your man after trying the banana cake 😂❤️ it’s that good huh?? I always slap my man when I can’t express myself or explain what I’m feeling hahahahahahaha love this vlog 👏💕💕💕,Chante Garcia,2020-11-26T00:15:48Z,0
Thank you for doing a vlog...it’s everything the world needed,the only asher,2020-11-24T05:02:39Z,0
I really really want Jeremy to do a cooking channel,the only asher,2020-11-24T04:52:58Z,0
that dinner was delicious!,llsimpson17,2020-11-21T06:23:27Z,0
jeremy we neeeed a cooking channel,Sato Mehdi,2020-11-20T20:36:19Z,0
Awwwww. Were ok from the Fall lol,Ashley,2020-11-20T02:46:56Z,0
😭😭😭 how did I just find your videos... omg goodbye 👋🏽 life time to binge watch ❤️ ❤️ ❤️,Sarah Sousa,2020-11-19T00:17:17Z,0
I don&#39;t know why exactly but that cake tasting had me dead! lol,Jennifer Hagler,2020-11-18T13:16:20Z,0
Jeremy: “Green onions”<br />Nicole: “is that what that is?” 😂😂😂<br />Lucky he is there haha,Maria Victoria,2020-11-18T10:21:40Z,1
"I thoughts it was chives 😂, and if chives are green onions then imma be very disappointed in myself",Fluffy Bear,2020-11-20T06:00:23Z,0
Love your vlogs!<br />Kisses from Germany💕🇩🇪,Serpil Y.,2020-11-18T05:37:04Z,0
You give me Sandra Bullock vibes.,Safinaz Hassan,2020-11-18T00:48:59Z,1
Ahhhhh I was over there and I was wondering what they were doing so I drove up and noticed that they were playing the Adams Family!! So close LOL,Jennaandherplans,2020-11-17T05:12:49Z,0
"Hey Nicole, just wondering what breed is your grey cat? He looks a lot like our Siberian cats! 😍",Josie Cas,2020-11-16T22:25:09Z,0
Im so serious when I say my husband re-tiled the whole downstairs bathroom while I did my hair and makeup and got one of my kids ready... like seriously 🙄🤪 reminded me when u said bebes painted while u did makeup lmao my life girl I relate,ShayBV21 ShayBV21,2020-11-16T19:01:18Z,0
Why when every American attempts a British accent they sound like Russel brand 🤣,Z S,2020-11-16T12:18:05Z,0
no offense I love her but is her face getting bigger smh? maybe because of fillers? she used to have such a narrow small face. ♥️♥️♥️,Legend1508,2020-11-16T11:28:13Z,0
"Nobody is going to mention how amazing she looks blonde!!! <a href=""https://www.youtube.com/watch?v=XNl66IIfCIY&amp;t=1m08s"">1:08</a>!!!",Ani Javier,2020-11-16T06:40:05Z,0
Yes old school house wife’s is the best!,Angie Smilth,2020-11-15T23:34:57Z,0
All your looks are amazing,JuliaStories,2020-11-15T18:51:35Z,0
I could see a big simple wall clock on that big bare wall in your entrance way. Love your decor style,cassandra rydzewski,2020-11-15T16:40:57Z,0
A little couch at the entry. Sorry I’m late lol but that’s what it needs,Blessed With Londynn,2020-11-14T20:24:12Z,1
What happen to Jeremy ??,Michelle D B,2020-11-14T16:02:24Z,0
"Your mask fits nicely, where did you get it? Congrats on your cute wedding by the way, Nicole and Jeremy🎈🎉💞",GlamRockStylist,2020-11-14T05:15:47Z,0
Now you’ve got the “Cynthia she’s a really cool dancer” song stuck in my head 😆😆,Brandi Jade,2020-11-13T03:32:40Z,0
It&#39;s reckless here? No It&#39;s not..turn off the MSM,Marissa F,2020-11-11T23:02:15Z,0
Can we all remember and appreciate your description to have to add commentary and edit the video and record the video in case we have questions quality is ✨ emaculete ✨ I feel like people forget about that but then again I&#39;ve been a subscriber since forever lol,Thatgirl,2020-11-11T20:33:32Z,0
"I feel like our styles have evolved right with each other haha which it could just be trends. I TOTALLY bought my blue couch because I loved yours so much though! Now I’m transitioning mine more earthy, but with boho vibes! Love watching your home changes!!",Christina Galvan,2020-11-11T08:16:57Z,0
Ummm ma&#39;am we need more vlogs! Your vlogs are literally my favorite! ♥️,Flower,2020-11-11T02:08:29Z,0
Where are her sunglasses from?,Moloko Dolamo,2020-11-10T15:19:37Z,0
"Wait what did he say at <a href=""https://www.youtube.com/watch?v=XNl66IIfCIY&amp;t=9m20s"">9:20</a>???",Clarisabel Birt,2020-11-10T11:55:40Z,0
Us British people do not speak like that you are speaking like the queen 😂 your doing it posh! Cute tho x love from London,Johura Ramos,2020-11-10T04:48:40Z,0
Love these vlogs✨ 143,Sam G,2020-11-10T03:21:38Z,0
Where did you get that dolphins tshirt? I love it!!,Jessica Belair,2020-11-10T00:43:45Z,0
"After your wedding, you should look into getting an assistant",Tweedy B,2020-11-09T21:46:48Z,0
I love how crafty she became because of the Coronavirus.,The Mexican Mommy,2020-11-09T19:08:29Z,2
where did you get the flannel from it’s so cute😭,April Alonzo,2020-11-09T19:01:18Z,0
Jeremy can literally make a cooking channel and not say a word and it would be so satisfying to watch. It’s so calming and relaxing 😌,The Mexican Mommy,2020-11-09T18:58:29Z,2
DIY vibes!,Brandy G,2020-11-09T17:38:33Z,0
