comment,id,date,num_likes
"Same thing happened with me, made me only wanna buy furniture in person!! Did you get the Botox cause I have tmj with the pop also and wondering if that’s recommended and/or helped you.",BestLifeWithCJ,2021-01-30T06:46:33Z,0
This doesn’t go here bebs! Typical men! Love this! I know what I’m doing this weekend! ❤️,Natasha Meadows,2021-01-22T21:43:06Z,0
The door looks so good black,Michi I,2020-12-19T00:54:10Z,0
"So much in common !! I also cry whenever I throw up 😞 ( plus, of course, my LOVE of cats and feeding birds/squirrels) 🙂","My Life, Tho",2020-12-14T02:49:08Z,0
"I&#39;ve Loved you ever more, since I saw how You treat You kitties.   Just so caring &amp; truly Loving them!   I see soon many pushing away pets, off tables, computers, furniture and crating them or putting outside cuz in way of filming, etc.    Your soooo honest, pure , only Love fur your pets!",Good Intentions,2020-12-11T04:09:05Z,1
"The capricious earthquake unsurprisingly skip because france bioinformatically identify past a unaccountable deposit. concerned, disgusted heaven",kam monterroso,2020-12-05T08:44:18Z,0
Here showing off her pots me thinking about that giant chunk of selenite,Crystial St,2020-12-03T05:52:59Z,0
"Nicole, thank you for sharing all the beauty tips and places you go to. So being 44 and the graveyard hours my eyes n wrinkles gotten worsen. So I will go to Lecada tomorrow and hoping for awesome results. Again thanks 😊",Mari Cruz,2020-12-02T16:25:16Z,0
"U Don&#39;t think U might have got sick cuz of the new coffee U drank?  As UR body changes, new allergies hit different too.  My momz was never allergic to cinnamon, and now she gets an allergic reaction to it!!",Kat Goicochea,2020-12-02T16:23:37Z,0
Tip for glitter removal I saw on Snapchat is using scotch tap to tap the glitter off the eyes!,KatyMarie📷,2020-12-01T21:38:55Z,0
I absolutely love love your long Vlogs !!! 🥰🥰,Maria Isabel,2020-12-01T16:01:10Z,0
"Everything is jumping on the band wagon with the plaster pots, reminds me of cellulite lol.... but love the Christmas decor",Jackie Franco,2020-11-23T02:24:42Z,1
Love the front door!  I recently painted our front door black and it looks awesome.  I am totally vibing on black and white everything lately.,denise marie,2020-11-17T02:48:37Z,0
I have learned that the best decoration style it’s the classics you don’t have to change everything every time but just adapt. When you do what’s in it looks outdated really soon and you have to change it and I don’t have the budget for it. When the basis are classic you can add the “in” vibe.,EGMA,2020-11-13T10:40:40Z,0
Please try to buy less products packed in plastic when doing groceries ❤️ There are so many options to buy food etc without packaging ✨,esmeesavanna,2020-11-08T12:52:55Z,0
I agree with you on that coffee.,crystal solorio,2020-11-05T18:26:53Z,0
"Isn&#39;t the coffee expensive like that? I love these videos!!!! Also my cats eat fake or real plants, so I couldn&#39;t even have the fake stuff... Looks great though!",JaxxieT,2020-11-02T20:07:32Z,0
"From a licensed esthetician.. an hr for numbing is TOO long and toxic for the body. &amp; she did microchanneling less invasive than microneedling, but you still look bomb girl!!",Marilyn Rodriguez,2020-10-30T02:59:46Z,0
"Omg Nicole, every time you disappear behind the kitchen island with your coffee...it makes me crack up 😂 💜",Kristin Rivera,2020-10-22T21:53:17Z,0
Love the black sunglasses!! What brand/style are they??,Crystal DeRego,2020-10-18T21:56:40Z,0
Anybody else want some of that watermelon watching this?? 😂,Mayah Garcia,2020-10-18T17:43:32Z,0
I love how anytime Nicole is doing something she’s got a curious lil kitty cat right there getting into it 😂 and Nicole never pushes them away or tosses them off to the side. Love to see it,kay luhluh,2020-10-17T17:13:00Z,8
I love that too,JaxxieT,2020-11-02T20:09:41Z,0
"Headaches are from the cause of your grinding your teeth, mouth guard would help.",Riri Riri,2020-10-14T03:15:10Z,0
"Can someone please tell that littel girl ,like who is she ?",White Magic,2020-10-13T18:34:16Z,0
You should go to target and show how shiny your forehead looks there with all the lights in the ceiling,Kenzie Gurr,2020-10-12T17:40:43Z,0
was the bowl that Nicole used plastic or glass? I wonder if it would matter...  I have a plastic bowl that I used to use for my fish lol now I want to repurpose it since my fish died 😭,M No,2020-10-11T05:21:37Z,0
"Nicole, please tell me where you find those big oversized tshirts that you wear.. I love them all!!! And is anybody else living for her tik tok videos?? If you haven&#39;t seen them GO NOW!! She kills them all! Still slayin&#39; us all.",Summer Page,2020-10-10T05:11:25Z,0
Nicole: Throws up<br />Everyone: omg are you pregnant.. tell us!! <br />Relax guys hahahahaha,Amanda Masha,2020-10-08T17:23:45Z,5
I just love her 😍😍😍😍,Adri Baby,2020-10-07T23:13:40Z,1
Can you do a updated hair extension video? Ive recently got tape ins and i need all the information i can get haha,Hannah,2020-10-06T18:40:04Z,0
"Random question but I have a long hair cat and noticed you have one too. My cat Petey has a couple matts in his hair that have knotted. The vet is suggesting a lions hair cut. Do you just keep up with brushing every day? Any thoughts would be helpful, thank you! ❤️",Shelley Marie,2020-10-05T22:04:39Z,0
Talk to your doctor or dentist about jaw pain. They can send you to physical therapy for it! Its called TMJ!,Brittney Johnson,2020-10-05T15:06:36Z,0
i like the black door!! xo,Yemisi,2020-10-05T01:48:50Z,0
I think I missed the entire part where she was mixing/cracking eggs cause i was just staring at that RING. Can&#39;t wait for the wedding content!!,bethanyvictoria,2020-10-04T22:14:23Z,0
💜,Al T.,2020-10-04T17:15:37Z,0
Take a shot every time Nicole says I’mma make myself a coffee 😂❤️,Jess Thomas,2020-10-04T05:27:22Z,0
Crumbly dough.. crumbly dough? Word?! 😂 love you Nicole,Darelia Avalos,2020-10-04T03:55:57Z,0
"You have NO IDEA how happy I was to see those paint brushes in yalls hands... I’m catching up on videos and in the last one I was “ugh, that blue door booboo 🥴”<br /><br />Now to see it painted 😍 and it looks SO MUCH better tied into the house! Good choice yall!<br />I’ve missed ya! Hope you’re feeling better!!!<br /><br />And the couch, issa no for me too sis 😂 y’all deserve something more comfortable! Lol",Danielle Hernandez,2020-10-03T09:04:06Z,0
Preggo??? 🥰👁👁,SR 96 XO,2020-10-02T14:06:01Z,0
did you take your vitamins on an empty stomach?? i did that once and it made me sick to my stomach 🥴,Halle Peña,2020-10-02T07:08:39Z,0
DO you have a Havana Brown????? cause same,Noelle J,2020-10-02T04:52:37Z,0
You have me hooked on this coffee with so delicious non dairy vanilla creamer so good,Who's That Girl,2020-10-01T03:07:47Z,0
I love your vlogs!,Sarah Milianti,2020-10-01T01:14:32Z,0
"Maybe she has answered this before and I’ve missed it, but does anyone know why Nicole adds a k to the end of all words that have an ing suffix? Ex: “Good morningk” I’ve always wondered but I can’t find any videos were she’s mentioned a reason or even acknowledged the fact that she does it. It’s very noticeable though. No hate, just wondering!! ☺️",Raychelle Lennon,2020-09-30T18:48:07Z,0
Omg my husband loves lemon bars!! He loves lemon anything lol. He always wants me to make lemon bars and I always forget. Maybe I’ll make him some today!❤️❤️❤️,Stephanie Dias,2020-09-30T17:15:50Z,0
I’m honestly saving these to watch later so I can come back to your vlogs when I buy my house. I want to have a bunch of DIY’s,Hilda Maldonado,2020-09-30T13:26:57Z,0
So I talked with another esthetician because I have never seen this method of microneedling. She told me it is an old form of microneedling and that the new ones are the ones with the motors.,Rebecca O'Hanlon,2020-09-30T00:41:42Z,0
You should do videos how to edit videos and pics 🤗😏😉,Luny71609,2020-09-29T23:44:12Z,0
That yawn orange had during your crafts 😂😂😂,Emily Mance,2020-09-29T17:37:41Z,0
What coffee creamer do you get??????,Anabel Campos,2020-09-29T03:54:00Z,0
Loving the cement planters 💕 Share more editing tips please!,Simple Nail Designs,2020-09-29T03:35:23Z,0
