comment,id,date,num_likes
You mean we are supposed to call him Jeremy?,Christina Unfiltered,2021-04-02T17:22:26Z,0
Did they get new teeth?,Brittney Alcorta,2021-03-24T04:44:08Z,0
Omg your honey is so cute how he likes his self care 🥰,Treasure Forever,2021-02-22T01:33:19Z,0
Does anyone know if target has free shipping to Hawaii? I want to get that goodfellow skin care and beard care but I don’t usually buy from target so idk about the details,Treasure Forever,2021-02-22T01:00:49Z,0
I love you guys together! Please more Jeremy on your channel :),Magdalena Durmo,2021-02-21T13:41:17Z,0
"I just love y&#39;all! Jeremy is hilarious! <a href=""http://www.youtube.com/results?search_query=%23morejeremy"">#morejeremy</a> 🤣❤",Annette Janai,2021-02-13T10:46:42Z,0
I love how jeremy is so  invested 😂 <br /><br />its  this husband and wife  beauty guru tandem for me!  😍🥰,charnel m.,2021-02-10T03:43:08Z,0
"I love these two beautiful, humbling human beings and missed seeing them. I wish they would upload more videos. We love you Nicole 💓",Dee,2021-02-10T01:22:53Z,0
I just smiled through this whole video. Y’all keep doing “you.” I love your love and real-ness.,Beauty And Skin Essentials,2021-02-07T02:51:52Z,0
I miss you mom 💕,Veronica Ortiz,2021-02-02T04:46:20Z,0
Og fan here! You guys are the real deal couple out of all! No joke. You guys refresh my vibes every single time. You guys better stay around as long as possible  fo eva eva and eva eva 💛,Sheyla Shefkiu,2021-01-23T08:27:52Z,0
You guys remind me of me and my man bear...it’s adorable how invested he is in every word you say!!,Lisa Lisa,2021-01-15T16:55:31Z,0
LOVE this. Jeremy is so funny . You guys are the best of friends awesome. 😙😙,Becky Edge,2021-01-15T01:31:59Z,0
Can you tell us which eyelashes you’re wearing in this video??,Alicia Hernandez,2021-01-13T16:24:18Z,0
I love you guys together. The chemistry is real and genuine. We def want videos with Jeremy!!!,joydeshea,2021-01-03T23:13:03Z,0
aww yes more Jeremy! You guys are so CUTE 🥺❤️❤️ 143,Sunniva Brizzo Djønne,2021-01-03T22:23:30Z,0
It’s the support for me !! 🤞🏼❤️,Xena Martinez,2021-01-02T03:48:54Z,0
I’m so happy you both have each other. You two compliment each other so well. Lovvveee it!,Hannah G.,2020-12-31T18:53:37Z,0
You guys are super cute 🥰,"With Love, Grace",2020-12-31T05:33:31Z,0
More Jeremy 🗣🗣🗣 I loved this. It’s a different look into your life. Mom &amp; Dad goals 🥰,Diana Salazar,2020-12-31T01:34:15Z,0
Yes love u guys ❤🔥,Rissa B_23,2020-12-30T22:06:45Z,0
Jeremy? You mean Beebz...,Melanie,2020-12-30T17:02:57Z,0
I love you guys soooo much I’ve been following since you DIY red hair videos. I was doing the same  😂😂 and your videos were the most amazing and I was hook now every video you post since then I’m here!!🥰 and it makes me tremendously happy that you guys are getting married ( you guys took forever 🥺🥰) I’m so excited!! Love y’all 🥰 to many more years of success and happiness happy holidays 🥰🥰,Bane *,2020-12-30T04:12:46Z,0
okay. seriously this is so cool how he is on here showing his finds. bc it helps us find stuff for our husbands. thank you for this video.,AMANDA TOBAR,2020-12-29T21:02:05Z,0
Can u do a what I got for Christmas!!!!!,Peace and LOVE,2020-12-29T03:18:49Z,0
I love his smile!  You look so in love!  He looks light the Duck dynasty guys!,Peace and LOVE,2020-12-29T03:16:58Z,0
We love the beebs! Give us moreeeee! His new tees look SAH GOOD!! ( so do yours obviously lol . We just see u more so I prolly told u many times by now.),Amber Lynn,2020-12-28T10:38:39Z,0
you guys are adorable. Yes more beebs in your vids. I love when he makes you smile!,Tonia's Reviews,2020-12-28T01:33:32Z,0
Where ya been Jeremy!!! 💙,Qwerty Qwert,2020-12-27T16:32:02Z,0
I love how Jeremy is so genuinely interested in all those products lol how cute is he!,Zaylin Ramirez,2020-12-27T07:16:37Z,0
YES!! We need more of Nicole and Jeremy!! We love you both!!,Teena Dean,2020-12-26T22:26:01Z,0
"Beautiful nature <a href=""https://youtu.be/c2C-mSrHiiQ"">https://youtu.be/c2C-mSrHiiQ</a>",Doli Singh,2020-12-26T17:47:17Z,0
LOVE Jeremy!,Bmbrown5,2020-12-24T16:19:55Z,0
"Beautiful nature <a href=""https://youtu.be/c2C-mSrHiiQ"">https://youtu.be/c2C-mSrHiiQ</a>",Doli Singh,2020-12-26T17:47:28Z,0
I literally LOVE their relationship 🥺❤️<br />I just laugh &amp; smile watching them,Life_Of_Los,2020-12-24T12:57:54Z,0
"Beautiful nature <a href=""https://youtu.be/c2C-mSrHiiQ"">https://youtu.be/c2C-mSrHiiQ</a>",Doli Singh,2020-12-26T17:47:34Z,0
OMG YALL ARE HILARIOUS!!!!!!!! I LOVE BOTH OF YOU &lt;3 HI FROM MALAYSIAAAAAAAAA,irdina norazmir,2020-12-24T11:12:11Z,0
"Beautiful nature <a href=""https://youtu.be/c2C-mSrHiiQ"">https://youtu.be/c2C-mSrHiiQ</a>",Doli Singh,2020-12-26T17:47:40Z,0
Just bought the beard wash set for my hubby !! But Jeremy please tell us the products you use for your beard ! I would love to get them for my husband!,MeetTheMyers,2020-12-24T11:05:35Z,0
"Beautiful nature <a href=""https://youtu.be/c2C-mSrHiiQ"">https://youtu.be/c2C-mSrHiiQ</a>",Doli Singh,2020-12-26T17:47:45Z,0
Mom n Pop❤️,Taylor Jones,2020-12-24T02:36:56Z,0
"Beautiful nature <a href=""https://youtu.be/c2C-mSrHiiQ"">https://youtu.be/c2C-mSrHiiQ</a>",Doli Singh,2020-12-26T17:47:51Z,0
