comment,id,date,num_likes
Miss Nicole is really an OG YouTuber💕,Lesly Delacruz,2021-03-05T13:23:20Z,0
mom your videos give me allll the serotonin,Jozi Roze,2021-02-25T17:10:04Z,0
I liiike youu😂,Daisy Hernandez,2021-02-21T01:44:38Z,0
Beautiful,Chrissy Rocco,2021-01-25T04:41:50Z,0
Vibesss,isabel sumera,2021-01-22T21:08:31Z,0
love those big scrunchie&#39;s by Kitsch,Kathryn !,2020-12-20T20:03:36Z,0
What is the gel you used on your brows?,Mary Clark,2020-12-05T21:46:59Z,0
Please make a video of your latest  favorites brushes!,Soli Words,2020-11-29T05:07:17Z,0
I can not put into words how much of an impact you&#39;ve made in my life. Your truly so amazing &amp; beautiful inside and out. I been watching you from when you first started doing videos with your hot pink chair LoL you&#39;ve made such an impact in my life. You inspired me &amp; kept my head light. I adore &amp; love you SO much!!!!!!!!! XOXXOXO ♡,Stefanie Renee,2020-10-28T19:41:32Z,0
&amp;&amp;&amp;&amp;&amp; we are both addicted to the real housewives hahahahaha ♡☆♡☆,Stefanie Renee,2020-10-28T19:42:34Z,0
Nicole! Can you link those brushes??? I need some small ones!,RachieB15,2020-10-18T14:43:02Z,0
Its always a good time to go glam,Vanessa Del Muro,2020-10-14T22:20:31Z,0
"But can we all reminisce about the hilarity of the Bare Minerals video she did of the foundation she&#39;s describing at <a href=""https://www.youtube.com/watch?v=e3Fkn3FdOEQ&amp;t=2m31s"">2:31</a> lmao!!! IYKYK<br /><br />Here it is: <a href=""https://youtu.be/sxlRMjqYayM?t=125"">https://youtu.be/sxlRMjqYayM?t=125</a> Enjoy lol",luvmypandas,2020-10-05T17:00:18Z,0
So pretty 😍🔥,JacquelineThea Nicole,2020-10-02T06:19:19Z,0
"The quality is so good, what camera do you use? ❤️",Danielle Lee,2020-09-28T10:09:51Z,0
"I really liked your review the products you used look very nice on you, check out my rare beauty review on Stay Gold. :)",Anna Ort,2020-09-28T04:41:27Z,1
That gel on eyeBrows pooooofffffffffffffff &lt;3 wowwwww,Saira Salam,2020-09-27T11:52:21Z,0
I don‘t know what it is but you look so fresh and healthy!!,Anna Meier,2020-09-26T23:07:27Z,0
I was gonna say the baremineral cause of the brush ur using 😀,Honeycomb Bees,2020-09-26T08:35:56Z,0
You and Mykie need to do a Halloween video together. That would be awesome!,Lindsey Reavis,2020-09-25T18:26:36Z,0
I feel like she always looks so cakey! Even when its something simple. Idk what it is. But im excited for her halloween makeup tutorials,mattah wright,2020-09-25T17:11:50Z,0
"Omg suchhh good products!!! The blush is really nice! The Rare Beauty lip colors are amazing too. Here&#39;s another good review I saw<br /><a href=""https://www.youtube.com/watch?v=q34zdsS5Dso&amp;t=251s"">https://www.youtube.com/watch?v=q34zdsS5Dso&amp;t=251s</a>",BeautifulLife1437,2020-09-23T21:17:20Z,0
Girl... brows looking good! 😻,Ashley Ramirez,2020-09-23T20:05:16Z,0
You are so beautiful.,Miss ladee King,2020-09-23T03:35:47Z,0
The bun is getting bigger 🤣,Amy Lynn,2020-09-22T01:18:02Z,0
Such a pretty look! Can&#39;t wait for the Halloween videos!,Hannah Hegstad,2020-09-21T01:19:44Z,0
What brush is that tiny flat brush that you used? I need it in my life lol,Cinthyan Perez,2020-09-21T01:08:51Z,0
I remember I was obsessed with bonniebell glosses when u recommended them way back when. 143,Alba Veles,2020-09-21T00:51:55Z,1
Thank you. Thank you. Thank you! Thank you for pulling your hair out of your face while applying make-up. You are a rare species. I can&#39;t stand it when make up tutorials have a person with hair hanging in their face the entire time. You rock!,made you look,2020-09-20T20:11:03Z,0
"Same thing I keep hearing from everyone about Rare beauty, it is more in the natural side ☺️",Claudia Angelica,2020-09-19T21:20:32Z,0
Girllllll.. bring them Halloween videos early! I live for Halloween videos👌🧡,Ariana Urias,2020-09-19T16:36:04Z,0
Can you please tell me where those 3 tiny brushes are from?  Loved the look 😍❤️,Theodora Roumelioti,2020-09-19T11:57:12Z,0
Make vlogsss please I miss them,Ivana,2020-09-19T09:59:46Z,0
“2020 has been a spooky year.” Ugh u don’t say😅,Mel 21,2020-09-19T06:12:54Z,0
Giving me Jlo vibes with this look,Kash,2020-09-19T01:29:59Z,0
Nicole where did you get your black scrunchie from?,Cee Cee,2020-09-18T20:03:55Z,0
Omg I need that brush you used for blush!!!!!😍😍😍💕✨ yessss mom I loved this video!!! 143!💜,Erika Gomez,2020-09-18T17:08:19Z,0
Hey girly!  Hope you are well.  Love your videos.  <br />May i suggest a Halloween tutorial for character Punchline from DC? I would love your take on it.,Noelia Vanegas,2020-09-18T16:51:16Z,0
I love the makeup but I&#39;m not sure why everyone is pushing that fenti bronzer. It looks like so muddy on everybody.,Jennifer Ilgaz,2020-09-18T16:13:33Z,0
Why did her eyeshadow look like a mustache lol,Stephie’s Lux,2020-09-18T15:25:03Z,0
"Killing me with that, “ I like you, I don’t give a fuck bout ya boyfriend!” 🤣🤣",Mary Rose Wilson,2020-09-18T14:47:29Z,0
You remind me of the old Khloe 😭,Valerie Solorio,2020-09-18T14:12:23Z,0
🤍🤍,Liz Ortega,2020-09-18T01:53:47Z,0
So this has absolutely nothing to do with this video...but I’ve been binge watching old videos today and have to say: it’s the cutest thing to see Jeremy’s big ass with your cats 😂 he totally looks like he’d have some massive pit bull...and he’s all gentle and sweet with these little cats🐱 ✌🏼🤣,Angela Denitti,2020-09-17T23:47:42Z,0
I honestly can’t wait for her wedding!!!! I swear it’s going to be like a fairy tale and ima cry cause u my girl and I’ve been with you since day 1 popping out them stacks of dollars from your closet hahaha,maryslife 806,2020-09-17T21:31:20Z,0
Crazy day! I feel you lol 😅,Conny P,2020-09-17T20:13:28Z,0
Oh my God I filled my brows exactly like you at the moment !!!,ZiiZaa,2020-09-17T20:02:53Z,0
This video was so relaxing to watch in a non weird way lol just listening &amp; watching you do makeup without music in the background or anything. Love love this look!!,Alexis Esteves- Torres,2020-09-17T19:53:22Z,0
I’m happy Nicole is still uploading makeup videos - unlike other gurus,Deysi DMZ,2020-09-17T19:50:11Z,0
How about a &quot;Lemme talk to you about how we got engaged&quot; video you&#39;ve been promising for almost a year!,Rebeca P.,2020-09-17T18:33:05Z,0
Always been my favorite since 2015!! 😍 i love how everything is blurred in the back you look like your popping out hahah,Lindsey Soza,2020-09-17T18:32:13Z,0
The foundation reveals all the texture on her face and I don’t have texture but I have oily skin so this might be an issue. I’m good lol,Abigail Coronado,2020-09-17T18:30:25Z,2
That foundation is not looking good on her and quite frankly I’m not sold lol,Abigail Coronado,2020-09-17T18:29:27Z,0
i missed this,ivette xoxo,2020-09-17T18:01:12Z,0
You looks so beautiful 😍,Selene Alvarado,2020-09-17T17:03:30Z,0
But like where are the lip products from rare  ???,katherine Ambrosio,2020-09-17T16:33:14Z,0
Girl where’s the moisturizer!! 😭😭Lookin beautiful as always ♥️♥️,Reese A,2020-09-17T15:23:12Z,0
I love love your videos. You seem down to earth. I&#39;m always ready for your videos thanks for existing 😁💓,Megan Nicole,2020-09-17T12:20:11Z,0
