comment,id,date,num_likes
I def never had a friend like you 😍,Emma Frost,2021-02-08T01:49:27Z,0
Seriously this looks is AMAZING!!!,Fabiola Price,2021-02-02T20:17:58Z,0
that intro is to DIE for!,llsimpson17,2020-11-21T06:20:41Z,0
this is EVERYTHING!!!!!,llsimpson17,2020-11-21T06:14:47Z,0
💙💙💙💙,Priya Destiny,2020-10-31T18:43:57Z,0
Please do Princess Jasmine!!!!!!!,Emilie Tunnacliffe,2020-10-31T18:33:26Z,0
YES NICOLE! Kills it everytime!,Tay,2020-10-30T15:27:11Z,0
You got FATTTTT again moooooo,Kathy Gonzalez,2020-10-28T05:21:44Z,0
The energy in that intro was IMMACULATE,Lauren M,2020-10-26T05:06:00Z,0
UGHHHH I LOVE ITTT❤️,Mellanee,2020-10-25T01:49:06Z,0
Wow great video on makeup,Vanguard Beauty Academy,2020-10-24T06:27:45Z,1
Frozen 2,Emily Karapcik,2020-10-23T23:22:11Z,0
I still don’t understand why you don’t have more followers. Nicole is one of the OG’s! I’ve been watching you since you use to film in your room with a web camera. My first video I saw of you was you ranting about quitting your job 😂 been a loyal follower since then! 💕🥰,Diana Rios,2020-10-23T23:02:53Z,0
If there’s one thing I do during the month of October is watch your Halloween looks,Aaliyah Marie,2020-10-23T20:18:49Z,0
"Love, love, love this!!",EarthGoddess66,2020-10-22T16:56:54Z,0
Every year your Halloween looks are sooooo amazing!,Christine Marie,2020-10-20T00:12:54Z,0
this is soooooooo good,Kim Caruana,2020-10-19T08:55:13Z,0
she is legend of Holloween,sensationgirl warmcool,2020-10-17T13:52:33Z,0
love it!,Rahma,2020-10-16T21:42:39Z,0
S T U N N I N G,Julia Hall,2020-10-16T15:23:05Z,0
That intro tho!  You workin&#39; hard!,Laura,2020-10-16T01:26:05Z,0
you are the queen of halloween,Alexis Torres,2020-10-15T06:06:22Z,0
I lovee it!!!!😍,Angela Nieblas,2020-10-15T03:13:28Z,0
Omggg this is soooo good!!! Ughhh why am I not this talented? Lol,Ms Rodriguez,2020-10-14T02:05:40Z,0
She is just the best of the best🎃👻🤖 👍👍👍,Paloma Rosales,2020-10-13T20:58:17Z,1
Do you have any recommendations for a different body paint? All I see at the Halloween store is wax paint &amp; cream paint. I’d order the paint you used online but i don’t wanna wait a month for it to get to my place lol,Vivalavive2249,2020-10-12T18:42:06Z,0
So great. Do more bold colors!,Tube You,2020-10-12T17:08:18Z,0
"The editing skill, the makeup skill; A1",Alicia Clemente,2020-10-12T13:59:54Z,0
THE QUEEN OF HALLOWEEN LOOKS IS HERE! She has risen. Everyone get your makeup brushes out💙💙💙,Vivalavive2249,2020-10-12T05:55:57Z,0
"<a href=""https://youtu.be/bJOeW-AkR_U"">https://youtu.be/bJOeW-AkR_U</a>",Kitty Squad,2020-10-12T04:15:09Z,0
You absolutely killed this look 💙💙,Everything Aliyah,2020-10-11T20:25:13Z,0
Yessssss queeeeeen!!!!!!!!!!!! NICOCTOBERRRRRR ❤❤❤❤❤,Cassandraxx,2020-10-11T17:06:54Z,0
THE INTRO GAVE ME CHILLS 🥵🥵,a 69,2020-10-11T15:18:40Z,0
I love this Genie 🧞‍♂️ Makeup Look 😊,Ania Sade,2020-10-10T23:06:10Z,0
💙💙💙INCREDIBLE 😍😍😍🌀💤Ⓜ️💙💙,The Blushing Giraffe,2020-10-10T22:20:19Z,0
Your look resembles avatar more.,Emma Frost,2020-10-10T19:52:22Z,0
I never had a friend like Genie.,Emma Frost,2020-10-10T19:44:54Z,0
Omg i love this one even more than the devil look 😍,emma rose,2020-10-10T14:14:10Z,0
I haven’t even watched yet and ‘liking’ it  This is UNREAL ! WHAT TALENT!! BRAVO!!👏🏼👏🏼👏🏼,Karina Halajian,2020-10-10T05:57:24Z,0
The queen is back!🖤🎃🖤,Barbara Gonzalez,2020-10-10T02:29:16Z,0
This is a Lord Shiva look 😶,andrew charles,2020-10-10T00:12:18Z,0
"Lo ameee, demasiado talento! Lo voy a recrear y te etiquetare!!! ❤️❤️❤️❤️.",Silvia Peñaloza,2020-10-09T19:58:35Z,0
"thank you Nicole, I wait for these videos every year",Reem Hassan,2020-10-09T17:58:26Z,0
Omg yasssss!!!!! 😍😍😍,leslie chavez,2020-10-09T17:13:49Z,0
Sooooooooo MUCH FUN WOMAN!  Thanks so much for this much needed joy in my life 🥰😍,Kim Smith,2020-10-09T09:48:12Z,0
Talented! I love the look 🥰❤️,Hope Park,2020-10-09T08:49:30Z,0
Shes baccccccckkkkkkK!!,Lindsay,2020-10-08T16:52:47Z,0
Wish you would’ve done the ears. The skin color stands out,Assilem Yenlod,2020-10-08T13:53:45Z,0
Omggg i loveee youu🥰🥰so freaking awsomeee!!,Evelyn Hernandez,2020-10-08T12:57:37Z,0
You gotta do the receptionist from beatle juice!!! This look reminded me of it!!!! Maybe an update rendition of her that would be dope!!!,samsemi,2020-10-08T12:24:34Z,0
SUPER-AMAZING!!! BRILLIANT!!!,Empananda,2020-10-08T08:56:46Z,0
Yes finally!!! U have the best Halloween looks... I live!!,ysabel rivera,2020-10-08T03:19:04Z,0
Fantastic!,Melissa Withrow,2020-10-08T01:01:48Z,0
Do one of snow White or princess jasmine,Mary V,2020-10-08T00:45:41Z,0
I loooooooove all of your Halloween videos!!! My favorites!!,Jamila Ross,2020-10-08T00:26:54Z,0
OMGGGG instant LIKE/HEART for this INTRO girrrrrrrl!!!! 🥰😍🥰😍🥰😍🥰,Danni Jay,2020-10-07T23:30:31Z,1
Yes yes yesssssssssssss yes yes yes yes yes yessssssssss yes yes yes 💜💜,Diamonds Diamonds,2020-10-07T22:30:45Z,1
Those 43 who disliked 🙄,Delao Xoxo,2020-10-07T20:55:34Z,0
COULDNT WAIT FOR THIS!! 🥺🥺 Halloween queen 🙌🏽🖤💫,Kenneisha Butterfield,2020-10-07T20:49:56Z,0
The Queen of Halloween is back the intro got me lit! 😩💕,Mirlaine Versailles,2020-10-07T04:12:49Z,1
Wow! 🤩 So amazing! 💙,sanchezdianee,2020-10-07T03:13:51Z,0
Outstanding! 👏🏻👏🏻👏🏻👏🏻,Michele Culmone,2020-10-07T00:01:51Z,0
I was 💀 five seconds into the video!  Bravo! 🧞‍♂️,Michele Culmone,2020-10-06T23:55:01Z,0
I live for your annual Halloween looks! Makes me feel inspired to try one..maybe this year I will lol,Bella Ann,2020-10-06T22:41:29Z,1
That intro tho 💁‍♀️👍,Elizabeth M,2020-10-06T16:37:20Z,0
The Queen is Back,NeNe NeNe,2020-10-06T06:48:48Z,0
Just WOWWWWWWW 👏🏽👏🏽👏🏽👏🏽👏🏽,LaVie,2020-10-06T03:53:46Z,0
Amazing I cant wait all month,m*chelle m*chelle,2020-10-05T21:01:51Z,1
Sooooo cool❤️,Jennifer Waupoose,2020-10-05T20:32:01Z,0
Girl!! I wanna be genie for halloween now😍😍😍so BOMB!!,Christen Dominique,2020-10-05T20:04:36Z,1
Love the effort you put into these videos!!,Aedan Orr,2020-10-05T16:39:42Z,0
Literally look forward to these every year,RaChell Morenweiser,2020-10-05T14:10:39Z,0
Waitttt I forgot how excited I get for your Halloween videos until this popped up 😍😍😍😍😍😍😍,Coco Janeiro,2020-10-05T13:16:38Z,0
Hello &amp; welcome spooky season! Your Halloween videos are the best!!!,Jordan Jones,2020-10-05T11:29:43Z,0
✨✨✨✨✨✨❤️❤️❤️❤️❤️❤️❤️❤️,Gurielli,2020-10-05T06:31:40Z,0
Perfection!!!! 💙💙💙💙💙💙,Lizzfrey Style,2020-10-05T05:56:27Z,0
Love it 💙💙,Jessica Maldonaldo,2020-10-05T04:25:22Z,0
I love your Halloween  looks so much!!,Yvette Soto,2020-10-04T23:34:19Z,0
Thank you for still giving us a Halloween in 2020 😭😭😭 Only up side of this is being able to test out looks and not worrying of walking in public with stains 😂😂,Zuly Est,2020-10-04T22:39:48Z,0
💙💙💙💙💙💙💙 AMAZING AS ALWAYS 😍😍😍😍😍😍😍😍,Usha Bharadwa,2020-10-04T21:00:59Z,0
🔥🔥 yesss coming thru as always,Gaby Shomar,2020-10-04T20:23:22Z,0
So cute awe,SpanishKvndy Benitez,2020-10-04T18:13:53Z,0
THE EDITING!!!!!!!😍,taylor thomas,2020-10-04T14:36:04Z,0
Love your Halloween Videos every year! Can’t wait to see what’s next!!,Heidi Weller Makeup,2020-10-04T14:09:34Z,0
