comment,id,date,num_likes
Thank you for this! I was about to purchase this camera but saw in videos how close it was to the vloggers face so I was about to start looking elsewhere. But all the attachments you recommended turned this into my dream camera!,Heyitsrubee,2021-04-17T16:42:02Z,0
Hi looking to start vlogging I’m confused how the lens attaches to this camera can u explain more 🥺,Sunnylynn Godinez,2021-04-16T01:54:58Z,0
Is the sticky thing linked below as well?,Sunnylynn Godinez,2021-04-16T01:57:14Z,0
Yes I have the canon m50 and that tripod is everything. 😃,Patty Torres,2021-04-15T13:50:37Z,0
YASSS NICOLE!!! Just bought everything ❤️😍,Anh Mian,2021-04-10T06:27:12Z,0
This colour is divine on you,Tiffany Manning,2021-04-07T22:47:51Z,0
Super helpful....thank you!,Theresa Stevenson,2021-04-06T06:02:14Z,0
"I really want a vlogging camera along with a camera I can use to take photos (random things) like nights out with my husband or when our baby arrives. I’m no pro by any means. I just know my iPhone XR camera SUCKS. I haven’t started my YouTube channel yet, but will in the future which is why I want to get this one. Would you recommend this camera for having it for both?",Dava Andrade,2021-04-05T19:54:32Z,0
Me gusta,CPK Chapelle,2021-04-02T17:23:50Z,0
What camera do u use for ur regular videos like makeup love ?,Zully Sparks,2021-03-30T18:24:29Z,0
Can you please remind me what Clinique eye cream you had mentioned that worked well before concealer?,Teresa Nunez,2021-03-29T07:22:17Z,0
What happened to Charlo?,Christina Unfiltered,2021-03-24T14:47:36Z,0
♥️♥️,Deziree Monique,2021-03-24T06:34:45Z,0
I have legit watched you since I was little and now after a few year I haven’t been in my phone as much or watching YouTube as much and keeping up because I have a daughter now but so your gorgeous and I missed your energy,Hailey Donnelly,2021-03-23T00:28:16Z,0
You look so beaut!,Jaina Amalsadia,2021-03-22T21:39:46Z,0
HOWWWWWWWWWWWWWWWWWWWWW do she still have 2.8 MILLION subbies...???????? HOWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWW?????????????????,Tonya Posey,2021-03-21T19:11:51Z,0
Thaaaaaaaaank uuuu Girl for this💙🙏🏼,Wisdoms Choice,2021-03-19T06:07:34Z,0
We need Yesterdays... 🥺 its been a month from the last one,PinkPantherHot,2021-03-13T22:43:21Z,2
Ooooh I&#39;ve been eyeing the ZV1! I love how compact your entire setup looks. Thanks for the amazing review.,Rena Cayari,2021-03-12T15:35:55Z,1
Love this! What camera are you using on this video! Omg so clear 😍😍,7jael,2021-03-11T20:24:59Z,0
Would love to see an updated skincare routine.,Sara Townsend,2021-03-11T04:48:15Z,0
I just got eveything you recomended ! thank you :) I like videos like this !,Ara B,2021-03-11T02:13:59Z,0
Me : <b>watches video casually because it&#39;s Nicole and must watch everything and anything she puts out</b><br />Also me : oh this might be a good set up to do videos for the shelter kitties.. <br />(*clicks link*) 💀 ☠️💀,Megan Ann,2021-03-10T01:35:51Z,0
Thank you soooo much!  I am totally buying this camera💗,Enchanted Tamara,2021-03-09T03:32:35Z,0
Love your videos. Can you tell us the setup you use in your car when you vlog?,Erika Samaniego,2021-03-08T01:24:40Z,0
Thanks for the bomb tips ☺️,"With Love, Grace",2021-03-07T00:31:06Z,0
Omg thank you so much for this 😩,Amelia Baksh,2021-03-06T15:29:00Z,0
Does anyone know where she got her name necklace? I remember her mentioning but I can’t remember 😩,CLYTXO,2021-03-06T05:57:38Z,0
What ever happened to your cousin Charlo (Charlotte?)?? She used to be in so many of your vlogs...,Cassandra Hammond,2021-03-04T20:55:20Z,0
Thank you so much for this video super helpful for my videos!,Mademrielle Royal,2021-03-04T14:51:32Z,0
I don’t know what any of this stuff means but you sound soooooo smart! Lol <br />Plus your editing skills are on 100 again!,Ray Luv,2021-03-04T03:51:02Z,0
Love this video!,Charity Simmons,2021-03-03T21:09:32Z,0
This is so helpful! Thank you Nicole!,deeliciouz,2021-03-03T15:46:56Z,0
