comment,id,date,num_likes
You guys are great together!!!!  WE want to hear about the engagement!!!!,Kristen Leblond,2020-01-28T00:13:33Z,0
Their teeth or veneers look super weird and not natural,A B,2020-01-14T01:05:38Z,0
Love it,Sherri Stanley,2019-12-28T10:12:36Z,0
I can NOT with him. Lol. Trying to open one eye but closing them both haha,Kimberly Labance,2019-12-28T08:21:30Z,0
I love when beebs is in the videos!!!,Jesse Marie,2019-12-25T04:34:40Z,0
Did anybody notice the * NIC &lt;3 ‘s J *   That’s mood,annfender,2019-12-24T21:38:54Z,0
Loved this! Awesome job Beebs!,EarthGoddess66,2019-12-19T05:14:11Z,0
This is soooo funny... I am so happy for you guys. Congrats and much love,Mariela Mejia,2019-12-11T06:30:43Z,0
"Since he tried to follow along with you doing makeup, you should try to follow along with him while he cooks something! Just an idea 😊 LOVE YOU GUYS SM ❤️",Jamie Phillips,2019-12-04T00:08:12Z,0
"U guys are so cute , I like you so much more around him! Not saying that in a bad way at all! He is definitely your person ❤️❤️",Sarah Engle,2019-12-02T06:13:48Z,0
I fucking love this!! 😂 💀,Coleen Pena,2019-12-02T03:52:18Z,0
So cool 🥰😍😍😍!!!!!!,Happy Hearts,2019-11-30T03:07:57Z,0
🤣🤣🤣 Rollin&#39; 🤣🤣🤣,Karen Schmiege,2019-11-25T02:15:34Z,0
I’m sad Halloween’s over and this video had me rollin!!!! 🤣<br />Congratulations to you both 💞,EricaHatch08,2019-11-24T06:40:00Z,0
You and jeremy’s chemistry is unmatched!! Lifting each other up and laughing with one another is amazing!!! I can’t get enough,Jennah Mae,2019-11-22T23:03:14Z,2
"Idk y i waited so long to watch this.. yall r hilarious! 😆 Beebs def needs more cameos, or his own channel. Esp for the bomb food he be hooking up! 😋🤤",Crys Style,2019-11-22T15:05:44Z,0
How cute!,Angels We Are,2019-11-20T18:53:00Z,0
This is to funny I love it,Mayra Barajas,2019-11-20T05:06:28Z,0
Y’all killed this 🙌🏽🙌🏽🙌🏽🙌🏽🙌🏽,Kimberly Alicea,2019-11-16T01:15:04Z,0
Always Fire Nicole!!! And we live for some finance BEEBS action!!,Ashley Ottinger,2019-11-15T19:13:30Z,0
my BUTTcheek is asleep!!!!,Tef,2019-11-15T10:15:22Z,0
I love this video ❤❤ you should do more videos like these . he&#39;s so funny.,Veeutiful,2019-11-15T08:27:40Z,0
"“Psh, you can’t scare me with an eye shadow brush in my hand” iconic! 🤣",Mrs Weirdy,2019-11-13T20:06:26Z,2
I miss the blogs with beebs lol when he was cooking Cooking wit Jeremy bring those back ❤️❤️❤️❤️,Susana Murillo,2019-11-11T01:39:36Z,0
"Great video he&#39;s so funny, ya&#39;ll bring such a good vibe 💪🏽💯🔥🔥",Angelica Shelton,2019-11-10T17:28:53Z,0
Omg!!! Why did I take so long to watch this!!!! I’m dying laughing!!!!!!,Sheila Alvarez,2019-11-09T20:26:20Z,0
Jeremy&#39;s teeth are white as hell. 😂,yarib,2019-11-09T12:45:09Z,0
I love that he is in a video!! Y’all are so cute!!!!,xenia D,2019-11-08T10:35:08Z,0
😂😂. This had me cracking up,Jenna Byers,2019-11-08T04:29:55Z,0
This was the best video you’ve ever made!!! 😂😂😂❤️,Christina Arce,2019-11-07T02:34:07Z,0
🖤🖤🖤,Cris Martinez,2019-11-06T05:32:32Z,0
This is 🔥🔥🔥🔥 you need to make more videos with Jeremy!,Alejandra S,2019-11-06T02:31:52Z,0
"I REALLY needed a laugh today! This video had me DYINGGGG!!! love you both together, and I love all your videos! This was great! Would love to see some videos about your wedding planning and such! ❤ I&#39;m getting married next year!",L Victoria,2019-11-05T22:47:03Z,0
I&#39;ve watched this multiple times just to laugh along. Good job Jeremy!,Lisa Gilbert,2019-11-05T20:23:21Z,0
jeremy&#39;s white hair looks hella tight!,Marissa,2019-11-05T18:16:56Z,0
omg y’all are seriously couple goals ugh,Sydney Langford,2019-11-05T08:47:44Z,0
"Once Jeremy said the Instagram  vs reality comment, that&#39;s all I could see 😂😂 this was hilarious to watch.",New2makeup,2019-11-05T02:48:35Z,0
This is literally the best video ever! 😂😂,Cassidy Banks,2019-11-05T02:08:20Z,0
How are his teeth so perfect? Love you guys btw,Druidess462,2019-11-04T20:25:13Z,0
"Oh I was gonna say, fiancé???! I thought y’all were never getting married and when did this happen? 🤭☺️😱 Lol so happy for you two regardless of title. Love your videos together! ❤️❤️",Katie Girl,2019-11-04T18:39:32Z,0
U r the queen of halloween makeup!!,Esther Montejano,2019-11-04T08:06:37Z,0
so damn cute omg,Kaelyn Taylor,2019-11-04T01:20:01Z,0
Yall killed this. Absolutely LOVE! ☺👌,HeytherePorshia,2019-11-03T21:26:18Z,0
THIS. 🤣❤👍👍 love you two!,Angie Ponce de Leon,2019-11-03T05:11:50Z,0
So dope!,LissaRaelyn,2019-11-03T04:37:04Z,0
Such a cute video !! We need more fun videos of you guys together,Tricia Tsosie,2019-11-03T03:06:21Z,0
Your videos always lift my mood! Thank you for being you and sharing your fun with us!,Nayausha,2019-11-03T02:47:56Z,0
"I’m dead, lol but where’s the ring? 😂💍💕",Zavanah Pritchett,2019-11-03T02:22:30Z,0
I love it!!!!! Cannot stop laughing 😂😂😂,Teresa Hernandez,2019-11-02T22:30:55Z,0
"You guys should totally do the munsters next yr or the Adams family!! Love you two as a couple &amp; love videos you do together!! <a href=""http://www.youtube.com/results?search_query=%23goals"">#goals</a>",Kristin Amrhein,2019-11-02T21:42:31Z,0
It&#39;s so nice to see that Nicole is so patient with him and that he is trying so hard to do it right but not giving up.,Cassandra Skinner,2019-11-02T17:06:15Z,2
Girl ur mans had be ☠️🤣😂😅,Christina Hinojosa,2019-11-02T12:38:44Z,0
Yall please don&#39;t ever change!!! Yall vibe so well together!,hi. jess13,2019-11-02T07:22:19Z,0
