comment,id,date,num_likes
Is this character from a tv series? And does the cream paint feel sticky/gross after a bit?,Judah #glitterGAL,2020-10-02T02:43:33Z,0
The woman behind the slaughter,Toastertott,2020-07-12T01:45:39Z,0
Girl I love you please do another one of these videos ❤ 143,mzpinastyle,2020-04-28T03:09:53Z,0
The man behind the slaughter.,Jun,2020-04-09T04:43:50Z,1
Did you stop the rainbow baes after green and purple?,Megan Fernandez,2019-08-27T22:55:26Z,1
What happened? Did she decide to only do two instead of the whole series?,EyeAmBella,2019-07-16T08:04:48Z,1
Still my fav series🥰 I would love to see the pink rainbowbae💕,Rachel Michelle,2019-07-14T03:09:22Z,1
"Everyone wants the Car Ride Chronicles back but I want Rainbow Baes back! Pink, Orange, Blue, Red and Yellow... Please.",S. A.,2019-06-29T14:49:59Z,1
I&#39;m gonna go out on a whim here and say that orange and yellow would be really interesting to see! Please please eventually do one of those ❤,Lizzy Stromberg,2019-06-26T07:14:40Z,0
"Why do you start series on your channel and then not finish the series???<br />Also, was this because you watched Patrick starr’s Rainbow drag series??!",K M,2019-06-05T04:52:43Z,1
"You should do one of these crazy makeup looks and go out in public. &quot;People react to my crazy makeup!&quot; And you just acting normal shopping, getting your nails done, go out to eat. That would make such a good video!!!!",Theresa G.,2019-05-21T09:17:42Z,0
Love these x more more more !!!!!,Amber-Jane Ezzat,2019-05-20T15:18:00Z,0
I love these tutorials! I find them very very entertaining!!!!!,needforhumaninteraction,2019-04-26T03:18:52Z,0
Looooove this keep it up ❤️🧡💛💚💚💜💖.  PINK NEXT PLS,Tamara Pena,2019-04-24T08:01:12Z,0
Do yellowwwww,Jamika Mccarthy,2019-04-23T06:39:55Z,0
This purple character especially reminds me of the Cirque du Soleil characters!! Which I personally love! They&#39;re SO unique and absolutely beautiful! Great way to fill-in in between Halloween Makeup seasons! 💕🎪🎃,Jetta Bittner,2019-04-17T18:42:19Z,0
"I think what’s missing here is a story. She’s expressing creativity, has a theme, and a character but no story.",Saleena Son,2019-04-16T22:56:24Z,0
We miss you! It&#39;s been 3 weeks! Video please,ashleigh hiestand,2019-04-15T02:35:02Z,2
Miss you!!! Please come back to YT. I literally wait every day for a new video from you!! 😩😩😘😘,Gabby,2019-04-15T00:10:27Z,2
nicole come baaaaaaaaaccccckkkkkkkkkkkkkkkkk,Xochil Silva,2019-04-14T15:41:33Z,0
Honestly ur Absolutely my fave youtube guru ❤️❤️,Perrierin Californicatin,2019-04-13T13:15:26Z,0
Purple punch... GIRLLLLL we all know what that is lmao!! Bring a pink rainbowbae!!! 🌈 🌈🌈🌈🌈,Jasmine mata,2019-04-12T11:23:23Z,0
Bring back the vlogs I miss you!! 143&lt;3,Jacqueline Gonzalez,2019-04-12T04:54:50Z,4
NICOLEEEEEEEE WHEREEE YOUUU ATTTT GIRLLLLL?????,Elda Celaya,2019-04-11T01:00:41Z,1
This is going to sound so annoying but I really wish she were more consistent 😔. Anyone else miss her beauty videos?? I literally refresh everyday to see if something new is up. Miss you Nicole! You’re my favvvv just want to see you more. Love ya 💕💕,Monica Rodriguez,2019-04-10T15:28:27Z,17
I know where is the rest ofthe series? There are morethan 2 colours in the rainbow sis,S A,2019-06-19T00:39:53Z,1
"I wish you posted more like you used too, I remember when you’d post a video everyday 😫",Destyna Silva,2019-04-09T20:32:42Z,2
you know when nicole takes forever to upload a video.. next will most likely be a bomb pink bae or a bomb vlog we&#39;ve all been waiting for lol,Lindsay N23,2019-04-09T19:37:54Z,0
Plzzzzzzzzzz make a eyeglasses &amp; sunglasses video plzzzzzzzzzz 🕶👓🕶👓👓🕶👓👓🕶👓👓🕶🕶🕶👓👓,Brenda Trujillo,2019-04-09T06:14:44Z,0
