comment,id,date,num_likes
Nice. Good job.,Simplynickee,2020-11-25T04:42:18Z,0
You look so.pretty like an anime poster,Jennifer Forino,2020-10-12T11:00:57Z,0
A song similar to this is <br /><br />&quot;The Cinematic Orchestra Arrival of the Birds &amp; Transformation&quot;,aBeardCarer,2020-10-08T15:30:53Z,0
i NEED this song!!!!!!!!!! somebody help,PhhillCassso,2020-05-20T22:34:29Z,0
wow Nicole this was..... there are no words.. I&#39;m not sure if i was supposed to feel emotional watching it but i did.. i went from excitement to sadness to happiness and back around again... maybe it was the music or you just focusing on creating this.. i loved watching every second of this you are such an amazing artist.. I&#39;ve never once regretted subscribing to your channel all those years ago.. thank you so much,Ashley DeCoteau,2020-03-02T06:04:13Z,0
Can you upload a video of paint your only hair with silver and golden paint,dhrubajyoti deka,2020-02-16T19:24:10Z,0
You are THE most underrated makeup artist I’ve ever come across. I’m so in love with your craft. The way you think. &amp; the art you create. This was beautiful.,Vivalavive2249,2020-01-14T16:12:33Z,0
"I swear I just scrolled through aaaall the comments to find the name of this awesome song. No one freaking knows it ! Nicole, please send help ! I’m just playing the video over and over again because first I can’t get enough of this video and Halloween look, second I can’t get enough of this song 🤷🏼‍♀️",Erika G,2020-01-08T17:39:08Z,0
This was cool Nicole! Love it!!,Keni G,2019-12-04T05:24:51Z,0
That intro made me dizzy lol,jenna,2019-11-22T03:11:22Z,0
Wooow,Chula Balbas,2019-11-09T18:25:41Z,0
🔥🔥🔥🔥,Christelle Avomo,2019-11-01T21:14:22Z,0
This is amazing and relaxing!,Heather R,2019-10-31T18:57:55Z,0
This was amazing omg 😍,Shannon Johnson,2019-10-31T15:08:45Z,0
wow your so dedicated you definitely went all in for this look!! Every little detail is perfect.Cant imagine the time doing it just to wash it off ! your amazing.,Olivia Johnson,2019-10-30T13:48:07Z,0
This is one of the best videos ever. The music and you painting just made everything flow. Its so inspiring and makes you get completely lost in the process.,renatabr6,2019-10-28T21:16:31Z,0
You are so talented. It’s amazing. So calming and beautiful video ❤️,Mette Maabjerg,2019-10-28T12:58:09Z,0
"THIS. This is artistry. Wonderful job, girl. ❤️🧡💛💚💙💜🖤",sberry0831,2019-10-27T23:08:21Z,0
Beautiful video.,Elena Rodriguez,2019-10-27T13:18:37Z,0
Wow,Marie R,2019-10-27T06:17:37Z,0
this is beautiful,Domi Marie,2019-10-27T02:22:51Z,0
I seriously love that you go all in!,Abigail Stevens,2019-10-25T03:56:49Z,0
I can see your passion in this video. ❤️,Elissa Swihart,2019-10-25T02:27:39Z,0
"I LOVE THIS!!! SO artistic and SO relaxing!! Honestly had the same feelings I do when I go to museums or see live classical music, any type of irl/live art. So magnificent Nicole!",Gillian Johnson,2019-10-25T00:43:29Z,0
oh and also I need to know the name of this song pretty pls,Gillian Johnson,2019-10-25T00:44:00Z,0
"Dude, you&#39;re freaking talented. Salute, because this is absolutely gorgeous.",The Samantha Edit,2019-10-24T20:04:29Z,0
This make me cry. In a good way.  Thank you&lt;3,Carolina Lattaruolo,2019-10-22T13:06:04Z,0
This was so inspiring and beautiful I loved this ❤️. This for some reason got me emotional lol,Priscilla Annie Sanchez,2019-10-22T06:07:38Z,0
how does this not have more views...,erin,2019-10-22T04:12:44Z,0
soooo talented.. wow!!!,Diana Aponte,2019-10-22T03:59:27Z,0
You always have the most creative ideas from everyone that I’m subscribed too - loveeeeee watching these videos so so sooo much!😍,The Blushing Giraffe,2019-10-22T03:00:59Z,0
Dope.,Rocky Santiago-González,2019-10-22T02:33:39Z,0
The intro was beautiful. I love all things art and creative. I paint mainly with acrylic on canvas and wood. This touched me. ❤️❤️,Krysti B,2019-10-21T22:36:47Z,0
💖💖💖 loved it 🎨,Shortyy Boo,2019-10-21T20:46:17Z,0
143 ❤️,Alejandra Amill,2019-10-21T17:58:15Z,0
Nicole you are so dedicated and creative!!! Please dont be so hard on yourself :)) i love u!!!,Gloria Raissa,2019-10-21T08:59:32Z,0
Umm why am I EMOTIONAL watching this!? Nicole you are A true artist ❤️🧡💛💚💙💜🖤,cornejoeyes,2019-10-21T05:39:26Z,0
Beautiful!! 💙💜❤️🧡💛💚🖤,Shannon Maisar,2019-10-21T05:37:07Z,0
Your creativity is so inspiring. It is such a privilege to watch your artistry. Keep the amazing looks coming.,Victoria Clarke,2019-10-21T01:59:03Z,0
This was so beautiful and therapeutic 💗 a true Pisces . Art is in us !,Amani’s Couch,2019-10-21T00:52:43Z,0
God you are so talented. You are a pure artist!,Lilian Joann,2019-10-20T20:39:31Z,0
Absolutely gorgeous Nicole! I&#39;m a painter and this was great to watch! You&#39;re very talented!💖💕💞,Frebreezie Marie,2019-10-20T17:09:44Z,0
You even used her same type of music .... Give RawBeautyKristi the credits!,Blanca Coppen,2019-10-20T04:51:53Z,0
"This look is from RawBeautyKristi, she did it for her NYX Face Awards!",Blanca Coppen,2019-10-20T04:39:30Z,0
"such a beautiful artistic, inspiring intro!!!!!!! freaking loved it! you&#39;re the halloween queen!!!!!!!",Luana Budani,2019-10-20T04:10:02Z,0
This literally gave me goosebumps. You are amazing!,Samantha Swanson,2019-10-20T02:40:20Z,0
One last time by Dan Philopson and Leap Away by Evan McDonald. ... in case anyone else wants to know the music.,"I'm Awake, Are You",2019-10-19T22:28:45Z,0
Dish soap in the shower will help this paint come off quickly and painlessly 💕,kat rindel,2019-10-19T05:47:11Z,0
"This is my favorite of any look you’ve EVER done!  Amazing. I’ve always been amazed by your talent, seriously, this is incredible!",Lindsay Loulou,2019-10-19T03:18:37Z,0
what music did you use!!!!,tas,2019-10-19T01:29:15Z,0
this video made me tear towards the end!! you&#39;re amazing &amp; so talented! goosebumps!!! love ya!!!!,jasmine rodriguez,2019-10-19T00:39:46Z,0
This is beautiful! Really different!!!,Kulsoom Karmouch,2019-10-18T21:34:41Z,0
You are so talented. I have no words for it &lt;3 &lt;3 &lt;3,Julie Gosserez,2019-10-18T11:23:59Z,0
you are so fckn creative nicole,Alexis Reneé,2019-10-18T08:14:15Z,0
This again ia fucking amazing ! Also whats this song ?,Sharain Blair,2019-10-18T04:14:36Z,1
Bloody hell this is so goood!!!!!,Shereena,2019-10-18T00:52:17Z,0
"💕Looks good!!!! <a href=""http://www.youtube.com/results?search_query=%23challenge"">#challenge</a>",Natasha Markham,2019-10-17T20:28:07Z,0
Literally look forward to ur halloween looks every year! You the bomb! A true artist!!!! This was insanely beautiful!!!! xoxo an OG subscriber❤️,Life with Lujan,2019-10-17T15:26:09Z,0
What song are you playing while you are painting yourself ?,BeautiifulMelody l,2019-10-17T08:01:56Z,0
