comment,id,date,num_likes
Luv luv luv your Halloween video☠️.  Your house is spacious &amp; beautiful😍,Wintersnow147,2020-10-06T02:08:11Z,0
Sleeping With The Enemy.... whooo LAWD!!,Lauren Jett,2020-09-14T03:01:45Z,0
Omg I just went to Vegas at the end of February for 4 days and saw Absinthe! They were AMAZING. Vegas was such a good time!!,Krys Rodriguez,2020-03-15T17:56:58Z,0
I would die from all that coffee 💩💩💩,Wildflower90,2019-12-24T16:44:36Z,0
"<a href=""https://www.youtube.com/watch?v=DSPiW6yY26Q&amp;t=5m39s"">5:39</a> Bethany just chillin in the background😂",Michaela Westbrook,2019-12-03T18:47:23Z,0
Your our new favorite youtuber. We love the vikings! Me and my brother are both wish kids and he wished to coach the Minnesota Vikings and it was brett Favre&#39;s last season and Peterson still ask how my brother is doing,Katie Bug,2019-11-30T18:24:07Z,0
You are the bomb!!!,Khole H.,2019-11-03T16:06:54Z,0
What color grey paint is your walls? I love the color! 🤣,Tiffany Supertzi,2019-11-03T07:05:54Z,0
I&#39;ma need a fridge tour or a grocery haul because y&#39;all be eating good. Who&#39;s with me??,Shortney Anne,2019-10-27T15:09:54Z,0
Your my favorite person to watch for Halloween looks. Your so bomb!!,Shay’s Life,2019-10-26T20:45:48Z,0
Girl you are the Halloween queen! No need to compare!,Rebecca Talbot,2019-10-25T21:53:11Z,0
Love the vlogs!!!! ❤️❤️😘😘😘,lovliesusie1,2019-10-25T01:59:36Z,0
You are killing halloween this year 2019 girl!! Sub since red hair nicole days. Love you❤❤,Jessica De Leon,2019-10-25T00:33:04Z,1
"Caffeine is a hunger suppressant! Also, the word you&#39;re looking for to describe what the apple juice does to your smoothie I think is tart! :) Love the video!!",Trinity Slabbekoorn,2019-10-24T17:00:18Z,0
Haha my husband hates Michael’s too!! But loves Costco 😂,Cass Duarte,2019-10-24T02:50:37Z,0
The orange cat got so chubby!!! Lol,jonathang,2019-10-22T19:21:27Z,0
Always love your vlogs❤️❤️❤️,Claudia Chiquibaby,2019-10-22T15:56:49Z,0
LoL Jeremy&#39;s reaction to your Joker costume😂😂😂😂,Priscilla Olstad,2019-10-21T17:03:29Z,0
I&#39;m so happy for you both congratulations 🥰❤💜,Victor Esquivel,2019-10-21T02:04:44Z,0
We love you! I THINK ALL OF US WOULD LOVE TO SEE YOUR LOOKS FROM LAST YEAR! You can still post them and inspire all of us ❤️💕🤞🏻💯🙏🏻 love you! 143.,Jessica Vasquez,2019-10-21T01:40:41Z,0
I love all of your Halloween looks please know that you are amazing. And I enjoy your energy with the videos. PLEASE DONT EVER STOP MAKIBG THEM !!!!,ocean johnson,2019-10-21T00:33:51Z,0
Queen of Halloween &amp; OG youtuber ♥️ love ya,AJR,2019-10-20T14:50:04Z,0
My 🎂Birthday is October 29th love halloween 🎃,Layton’s BJ Layton,2019-10-20T13:16:14Z,0
Love this Nicole! Really enjoy your vlogs! :),Genesis Senteno,2019-10-19T18:53:56Z,0
does beebs pressure you into cooking? or does he ever make you feel like girls belong in the kitchen?,haz xo,2019-10-19T14:01:02Z,1
Don’t you ever worry about your Halloween looks! I love them all &amp; I love seeing a different creative side to you. Just shows how talented you are. The Joker has been one of my faves &amp; Jeremy’s reaction is priceless!,Samantha Boggs,2019-10-19T13:54:23Z,0
I love that u watch Real house wives.....that shit us my guilty pleasure lol!!,Corkey14,2019-10-19T03:23:55Z,0
Hi! Does anyone know what the song is when Nicole is getting her nails did? Xo,Nat Stokes,2019-10-18T20:08:38Z,0
Who sings the song in the nail salon!!!,Peace and LOVE,2019-10-18T11:29:03Z,0
What’s her coffee combo?????????  Asking for a friend!,babygirlval23,2019-10-18T08:24:56Z,0
you used real oil paint on your skin?? certain pigments are toxic! wtf...,Lauren Brothers,2019-10-18T07:55:41Z,0
you&#39;re amazing Nicole. let me remind u that xx,Boss Baby,2019-10-18T04:23:05Z,0
LMFAO I ordered the wrong iPhone too!!!,Lynzee Glaser,2019-10-18T04:22:11Z,0
Your fridge reminds me of that Chi City video haha,Brooke Phelps,2019-10-18T03:57:25Z,0
"On another note, Addams Family Values is one of my most favorite movies ever and seeing Nicole do a Debbie look would be everything!!!!",Movieman8888,2019-10-18T02:20:44Z,0
I’ve been watching Nicole’s vlogs for years and I still can’t understand or explain why they are so fascinating they just are!!!! lol,Movieman8888,2019-10-18T02:06:58Z,0
drinking game: take a shot every time Nicole makes a coffee,Natalie Wendlandt,2019-10-18T01:45:41Z,3
"<a href=""https://www.youtube.com/watch?v=DSPiW6yY26Q&amp;t=22m21s"">22:21</a> is my favorite 😂",Raeana Vasquez,2019-10-17T20:21:51Z,0
I know it’s like totally totally not your thing lmao but please do engagement video! Or at least like a little Q&amp;A about it 😂😂 us who have been following you forever have been waiting for this moment! Lol congratulations again!!,elidiacsj1,2019-10-17T19:30:45Z,0
"I thought I was the only one that did Taco Tuesday 🌮😋 , good to know that my favorite YouTuber does it too🙃",Xtasy Beauty,2019-10-17T16:02:53Z,3
Girl you the best Halloween creator! ❤️,sOn1N3feS,2019-10-17T15:55:35Z,0
Lol why did i laugh when you said you had to call Bob lol im late but im watching you!!! I love you and you do a great dam good job at you halloween look im all for it,Reanna S,2019-10-17T14:19:31Z,0
So cool 😎,M J,2019-10-17T11:25:11Z,0
Orange is like my cat Boris. All up in your business all the time :D &lt;3,Carla Carlo,2019-10-17T11:01:45Z,0
"At the end of the day jus kno that there is NO COMPARISON!!! Luv ya girl, UR THE BEST!!!😘😘",reginaparker606,2019-10-17T06:33:19Z,0
I l9ve your vlogs 🤗,Regina Marie Garcia,2019-10-17T06:14:24Z,0
AWESOME‼️‼️‼️🙌🙌🙌🙌🙌💜💖💖💜💖💜💖💜💖🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥,Meredith MOHLER,2019-10-17T04:10:12Z,0
"Congratulations on your engagement! Do you have a current skin care routine ? If so, can you send a link please! I’m not too savvy with this and there’s too many videos! Lol",Karen Polanco,2019-10-17T03:28:28Z,0
I wishhhhhhhh Jeremy would start his own channel 🔥🔥🔥🔥,Jenna K. Timberlake,2019-10-17T03:17:54Z,1
What are those damn elixir apple juices you got lmao,Charlena Douglas,2019-10-17T01:53:35Z,0
Your work is incredible you should be proud of how good you are! Congrats on the engagement btw! Lots of love ♥️♥️,Iqra Khan,2019-10-17T00:09:53Z,0
Lmao! Jeremy reaction to the joker 😂😂😂,JENNIFER L. ZUNIGA,2019-10-16T23:46:03Z,0
Jeremy needs to come out with a cookbook,Kacie Frazel,2019-10-16T23:16:23Z,0
WHERE IS THE ENGAGEMENT VLOG?!?!?!?! (:,Alexis Mora,2019-10-16T22:52:20Z,0
What’s the little frozen smoothie pack thing that had everything ready and measured out perfectly that you just used one pack?,Kimberly,2019-10-16T21:28:57Z,0
She buys them at Costco,Haylee,2019-10-19T23:12:52Z,0
"I don&#39;t do Insta, but OMG congrats to you and Beebs on the engagement!!!!! You guys are definitely relationship goals!! 🖤🙌😘",Theresa C,2019-10-16T20:44:03Z,0
"Your amazing, ivd been following you for years girly. Your such an inspiration for me. I always come back to you for halloween looks and yours are the best because your so unique always an your special pop to it...I&#39;m sooo in love with all your looks 😘😘😘😘😘",kimberly perez,2019-10-16T19:59:48Z,0
Thank you for this vlog 🙌🏽,Nancy Villa,2019-10-16T19:31:06Z,0
Does Jeremy work? Just wondering?,Amanda Oliver,2019-10-16T19:12:06Z,0
My Nosey ass thought the engagement was going to in this video ... keeping up with Nicole feeling like every moment needs to be filmed,Dia LovesCarbs,2019-10-16T18:28:14Z,0
Yes!!!! Jeremy start a channel!!,Lisa Lovely,2019-10-16T18:20:43Z,0
"Thank you, thank you, thaaank you for being completely honest about &quot;comparison&quot;!!  It is definitely a struggle everyday!  Each and every day I have to remind myself of the very same thing that you do.  You just helped countless people with that comment alone.  &lt;3  143",Tremaine,2019-10-16T18:13:34Z,0
😭😭❤️❤️❤️❤️,Sylvana Sijsling,2019-10-16T17:16:40Z,0
Literally always killing it with the Halloween looks!! <br /><br />I’ve been waiting for the moment you and beebs get engaged!! I would always look at your left finger in the thumbnails before I clicked in the video!!  <br /><br />So happy for you both :) Congratulations ❤️,Cass matts,2019-10-16T16:46:14Z,0
"Nicole! It made me SO emotional to see you’ve gotten engaged! All the followers from the beginning know why, she was very very against marriage due to what she’s seen in her personal life. So it was shocking but heartwarming to see that she’s ENGAGED. I’m SO happy that you’re happy. 💕",Beatriz V,2019-10-16T16:43:23Z,0
"<a href=""https://www.youtube.com/watch?v=DSPiW6yY26Q&amp;t=22m23s"">22:23</a> I freaking died!!! Jeremy was legit scared!!!",ALYSSA ZAMORA,2019-10-16T16:19:43Z,0
Also.. just realized you said &quot; Gotta light&quot;&quot; hahahah,ALYSSA ZAMORA,2019-10-16T16:20:32Z,0
"I NEED me a chef Beebs in my life, does he offer classes so my boyfriend can learn his ways?? lmao",Gillian Johnson,2019-10-16T15:38:23Z,2
How’s charlo? Haven’t seen her in a while<br />Congratulations on your engagement!,Catherine Mendez,2019-10-16T15:13:17Z,0
"if it makes u feel any better, i only watch your halloween tutorials cause its YOU booooo.. couldnt care less to watch any others lol",torigirlgirlXx54,2019-10-16T15:02:27Z,0
"Just show Jeremy my comment....<br /><br />I WILL FIND YOU! I WILL STALK YOU! I WILL SECRETLY RECORD YOU COOKING THROUGH A WINDOW IF YOU DONT START A COOKING CHANNEL!!!! <br /><br />( I won&#39;t actually do any of these things, but I&#39;m mfing trying to make this happen!)",Megan M.,2019-10-16T14:22:40Z,0
🙋🏻‍♀️🙋🏻‍♀️🙋🏻‍♀️I’m ready for cake!!!! 🍰🍰🍰,Jothecatlover,2019-10-16T10:37:13Z,0
Does anyone know the song when she was getting her nails done? I can&#39;t find it,AlysiaTribeca,2019-10-16T08:21:09Z,1
AlysiaTribeca I wanna know too,Peace and LOVE,2019-10-18T11:04:19Z,1
Where do u buy your YSL shirts??? Luv them 💖,Klarissa Moreno,2019-10-16T05:44:02Z,0
"Girl, you are incomparable thats all I gotta say ♡",Eleina,2019-10-16T05:26:32Z,0
My window has been cracked for like 3yrs... im a raindrop away from it collapsing on me.,Justcallmedoll,2019-10-16T05:16:22Z,0
Ayyyyye go vikes!!,Jordyn Willenbring,2019-10-16T05:07:41Z,0
Are you guys gunna film the two of you getting ready for Halloween??,Jada Tenise,2019-10-16T04:22:45Z,0
Nicole I love your work PERIOD your the most authentic YouTuber out here and that song you included when your at the nail salon was on MF POINT!! Love you and thank you for<br />Inspiring me ! 💙😽😸😼,Angeles Marin,2019-10-16T03:56:27Z,0
Dude love it.!!!!’n💯🙋🏽‍♀️😘👍🏽👍🏽,pinkbunnie57,2019-10-16T03:40:32Z,1
We love seeing your creative looks!! Don&#39;t be self conscious,xFallenAngel1705x,2019-10-16T03:32:50Z,0
LOVE ORANGE - HE GIVES ZERO FUCKS,Dee Cohen,2019-10-16T03:16:17Z,0
lmfao when you scared beebs!! and he kisses u right after &lt;3 &lt;3 so sweet (&#39;:,Pearl Fang,2019-10-16T03:14:28Z,0
@nicoleguerriero something is up with your Instagram. I have been a follower for years and all of a sudden I can&#39;t find you and it says I&#39;m blocked 😭,TeresaFlores GlamMom,2019-10-16T03:03:39Z,1
