comment,id,date,num_likes
I’ve been gone for a year and I am getting caught up in my Nicole G vids!! Binge watching her helps my anxiety so much!,Phillip Long,2020-08-11T21:15:51Z,0
"Hi, does anyone know the name of the other eyeshadow palette?",Hannan Mohamed,2020-04-27T15:09:37Z,0
laroc is a brand that was really big 10 years ago it just fell off the map,Rochelle Reggo,2020-03-13T18:42:30Z,0
do you set the p Louis base or no?,noemi adame,2020-03-06T08:12:15Z,0
Por qué no colocan Subtítulos en español ☹️,María Fernanda Montoya,2020-01-29T20:57:15Z,1
"i did mine!! <br /><a href=""https://youtu.be/HcAgi_Gs5uM"">https://youtu.be/HcAgi_Gs5uM</a>",Beestlys Makeup,2019-12-22T07:27:12Z,0
I don’t think the general public would care about Victoria Beckham makeup,Krystin Alberico,2019-12-16T22:14:19Z,0
2 colours out of that whole palette?,N M,2019-12-11T14:15:50Z,0
2 colours out of that whole palette?,N M,2019-12-11T14:15:44Z,0
❤🧡💛💚💙💜,Jill,2019-12-10T10:32:04Z,0
"Oh Nicole you make me giggle so much. I LOVE LOVE LOVE when you have one eye closed and peeking out the other. It just reminds me of my kids when they were little, playing hide and seek. Love you millions  you perfect lady 😍❤🥰😘😍❤🥰😘",Fiona Kyndt,2019-12-10T04:22:09Z,0
Where or what website did you buy that pallette i want one,Mrs. Harley Quinn,2019-12-09T10:41:34Z,0
Can you make a video of all the brushes u like to use or maybe next time put them in the bottom bar,Jennifer Jimenez,2019-12-09T01:11:27Z,0
Where did you get this palette from since it&#39;s a UK Brand. I have been dying to get my hands on this.,Shaista Rashid,2019-12-08T03:36:20Z,0
what was the concealer brush you used??,Sophie Teeters,2019-12-06T05:22:00Z,0
"What was the point of votes, if you still chose what you wanted to go for 🙄",Lyn M,2019-12-04T06:33:18Z,1
Where did you buy the Laroc palette from? I’m looking for it everywhere,akipid10,2019-12-04T06:10:53Z,0
I’m the Grinch she’s talking about... 🙃<br />Christmas starts December 1st.,Rosa Arreola,2019-12-01T08:23:16Z,0
Bomb look.👍🏼💫,andradekim2,2019-12-01T05:47:03Z,0
You got me now putting my makeup on with one eye closed. Do it every time lol,Jade Binder,2019-11-30T23:06:08Z,0
she’s gorgeous my favorite youtuber FOREVER,Asusena Ramirez,2019-11-30T22:19:04Z,0
One of the few youtubers that have kept it real right from the start! Love You x,aleka sof,2019-11-30T12:28:35Z,0
She’ll forever be my favorite youtuber. Almost 10 years watching her!!!,Keeping up with the poordashians,2019-11-30T02:20:57Z,2
"One of my fav YouTuber... been a fan since the beginning,",JESSI1312,2019-11-29T23:38:57Z,0
When are you going to decorate your house? I live the way you decorate for Christmas. Please make a video.,Liz Ll,2019-11-29T18:32:42Z,0
Nice look!! Where did you grab the duo lash glue ?,Ericka,2019-11-29T15:44:35Z,0
Love Christmas decor!!  Did mine 3 weeks ago 😂😂😂,Thaisa Rangel Bullos,2019-11-28T21:29:21Z,0
REALLYYY LOVING THIS LOOK MOM YOU KILLED IT AS ALWAYS🔥,Alexx x,2019-11-28T01:42:46Z,0
I’m JUST NOW finding out you’re engaged. All I can say is ABOUT FREAKING TIME 😍 I remember watching you for years wondering if you guys were ever going to get engaged. I’m in love 🥰 congratulations 😇❤️,Karly Robinson,2019-11-27T16:55:44Z,0
Why don’t you upload often anymore? I miss your Christmas decoration vlogs.,Juarez,2019-11-27T13:18:18Z,0
Seriously brought the summer Friday mask because you had raved about it I absolutely love it !!!!!!  Use it like a primer for my dry skin worked miracles when I went to New York !!! 💓💓💓,amanda martinez,2019-11-27T08:14:11Z,0
Love you girl ... love your shirt color goes good with your skin tone,_dest.mp3_,2019-11-27T04:35:59Z,0
OG love it !,Jennifer Saravia,2019-11-27T03:53:22Z,0
Come to Chicago December- February you’ll see lots of snow fall !,LUUULU Ohh,2019-11-27T01:28:05Z,0
"As I watch you put on your foundation, I&#39;m just over here admiring your skinnnnnnnn. Looking beautiful as always. :)",Angela Ramirez,2019-11-26T21:30:14Z,0
that&#39;s so cool you got to see snow fall for the first time :-) it&#39;s so pretty! (currently snowing where i live),makeupwithkait _,2019-11-26T19:25:48Z,0
P. Louise makes my shadow crease. No thanks! Anyone else?,Courtney Gulley,2019-11-26T18:18:36Z,0
"the plouise x mmmmitchell colaboration are not primers, they are eyeshadows! p.s you slayed this look",Judas Art,2019-11-26T18:11:38Z,0
