comment,id,date,num_likes
"Are you able to wear perfume over these or does the denatured alcohol in it break it up and make it splotchy? I find perfume does that to my fake tan so I was trying to find a fix, but also be able to still wear perfume.",A Nb,2020-03-15T22:55:28Z,0
"I know this is late, but top 10 hair products would be wicked x x",Lucy Painter,2020-02-04T17:33:08Z,0
Went to buy the best bronze leg makeup tonight and COULDN&#39;T FIND IT ANYWHERE! Is this product no longer being made!? 😭,Rebekah ODea,2019-10-13T01:37:23Z,0
"I really like your voice, weird thought but ur voice is very suitable for a weather reporter",Farzana Hawk,2019-07-23T07:14:18Z,0
Ok the vita liberata one looks SOOO good!!,Patrice Bailey,2019-07-18T19:33:04Z,0
I’m loving this new ton ten Tuesday situation 👌🏾,Brie,2019-07-15T00:26:26Z,0
Yes!! I’m getting Vita Libereta and the Best Bronze luminous spray!,Liz C,2019-07-04T02:40:05Z,0
"That applicator brush, from this video:  CHANGED MY LIFE!!  THANK YOU SOOOO MUCH!!!!!!!!",lindseyval,2019-06-22T17:32:44Z,0
Anyone used any of these on arms/chest for wedding day x,Nicola Beastall,2019-06-12T21:29:54Z,0
Hello Nicole! What do you use to even out the sally Hansen product?,Vanessa Ramirez,2019-06-08T12:52:34Z,0
You are so fun and funny! Been watching you forever now! Love your videos :),Know1,2019-06-06T10:42:53Z,0
I wish there were links so I could see where all these were from. 😏,Anna Sweeney,2019-06-01T15:45:51Z,0
Lip combos👍,Fabiola Rodriguez,2019-05-26T20:11:16Z,0
❤❤❤,Denise Saenz,2019-05-26T16:03:04Z,0
You are beautiful and have such beautiful skin ..,Jman26si,2019-05-22T02:55:34Z,0
So many misconceptions about the sun 🤦🏽‍♀️,Reina Bk,2019-05-14T17:13:00Z,2
"Nicole, what is your wall color?",Diana Velazquez,2019-05-12T03:10:34Z,0
I LOVED this video! You just  helped me figure out which brand(s) to buy now!! ❤❤,Janet Plowden,2019-05-09T15:06:33Z,0
omg you need to do a story time from working at hooters!,Josephine,2019-05-08T05:33:07Z,1
"Thank you so much for this video I’ve been wanting to hop in a tanning bed but I know how harmful it is for your skin so I’ve avoided it. Ive recently tried ‘Beauty by earth’ self tanner it works pretty well and almost all the ingredients are organic, which I like. I just bought vita liberata and I think I might try it on top of the ‘beauty by earth’ tanner. I also bought the sol de Janeiro, expensive but amazing!! Also mine came with a pump! I know u mentioned yours didn’t but maybe u could call the company to get a pump cap for it?? Or a new one?? I just bought mine from Sephora.",Carrisa Amado,2019-05-03T13:14:28Z,0
The milk primer😍,Murs Khedri,2019-04-30T04:59:13Z,0
Show Us Some Fashion !,Antonia Trump Loves You,2019-04-29T23:07:11Z,0
Melanie Mills Hollywood Gleam Body Radiance and Body Bling by Scott Barnes are gorgeous too.,Jessica Seda,2019-04-29T02:46:45Z,0
Can you do a setting powder top 10!!! ❤️,Christina Davis,2019-04-27T17:44:30Z,1
Top 10 highlighters please,C P,2019-04-27T14:31:25Z,0
Love this.. I was already searching for summer glow products. 🤗,C P,2019-04-27T14:29:56Z,0
Summer lip combos PLEEEEEEASE,Naenae from the Block,2019-04-27T06:24:37Z,0
I am obsessed with your look in this vid! Love how much you’ve been uploading ! 143.,Lindsey Wood,2019-04-27T02:51:39Z,1
Okay but what is your favorite self tanner?👀,Amanda Purvis,2019-04-26T11:56:07Z,0
Thanks for the tips 😎,santa sanchez,2019-04-25T22:48:33Z,0
I&#39;m going on vacation im not a sun person I think ill try the spays for sure.ill be summing a lot need water proof.,June rodriguez,2019-04-25T17:55:02Z,0
"Someone help! lol Please someone who has used the Sally Hansen spray and lotion leg makeup which one do you think is better? do they both transfer or does one transfer and not the other? Also if you had tried the best bronze brand is that better than sally hansen? which do you recommend I buy and wob&#39;t transfer on to anything or clothes, especially white clothes! lol help thanks",Jennifer A,2019-04-24T21:25:50Z,0
Question? The sally Hansen is it for just legs or can we use it all over body? I know you sprayed it on your chest but can it be used on your arms as well. <br /><br />Thank you😊,Patricia Pina,2019-04-24T16:53:03Z,0
What lip are you wearing?,Karina Morales,2019-04-24T00:06:38Z,2
Loved how you said my last name ahaha,Nancy Janeiro,2019-04-23T23:30:36Z,0
Can you use the leg makeup on your face?,Ashley Perez,2019-04-23T20:00:44Z,0
love ya how about top ten makeup bronzers I feel like so many new ones came out which to choose!,Amee Mohamed,2019-04-23T17:55:42Z,0
LOVE a bronze look i want to try all these products !!,Noir Lash London,2019-04-23T16:56:42Z,0
Lip combos,Issa Me,2019-04-23T05:34:28Z,0
"I bought pumps on Sol De Janeiro website, they are $1.00 each.",Tonya Blevins Doyle,2019-04-23T04:47:16Z,0
@Tonya Blevins Doyle ok cool thank you! :),Jennifer A,2019-04-27T18:34:08Z,0
Jennifer A I sent an email and then they replied with a link. Went right to it on their website.,Tonya Blevins Doyle,2019-04-25T15:54:34Z,0
how did you find it? I just went on their website and don&#39;t see any pumps,Jennifer A,2019-04-24T21:19:53Z,0
Top ten lip combo yasssss!!!,"Insightfully, Dom",2019-04-23T04:34:37Z,0
Glowing goddess 🥨 just went HAM online shopping 🤦🏻‍♀️ 🥊<br />I love to be tan I’m pale AF thanks fo the tips hun😬,Vanessa,2019-04-22T23:15:35Z,2
🥰💕✨too ten Drug store all kinds makeup &amp; skin care ! <br />&amp; yes yes to lip combos and foundations !,Veronica M,2019-04-22T20:48:24Z,0
Have you tried the Kopari body glow? Also for next week. top 10 tip scrubs would be great!💋,Kimberlee Ryan,2019-04-22T19:56:27Z,0
OG,Stephanie Dominguez,2019-04-22T19:03:52Z,0
Can we do more vlogs? I love them shits. You’re my fav 💕😩😘,shayy morris,2019-04-22T12:40:58Z,0
"Really wondering about the hard to reach areas 🤔 does beebs do your back, or do you leave it color blocking? 😂",MandolineMoon,2019-04-22T06:27:29Z,2
Please do a makeup look on this video 😍😍😍 love the natural look,Marsie Rafael,2019-04-22T01:23:56Z,0
LOVE YA NICOLE!!💜I think U should do UR top 10 Eyebrow Products‼️‼️,Meredith MOHLER,2019-04-21T23:08:44Z,0
LIP COMBOS!!!!!!!!!!! LIP SCRUBS ETC...,amandaohh,2019-04-21T20:55:02Z,0
How about Tanner that doesn&#39;t wash off,Kristie Weaver,2019-04-21T18:09:53Z,0
"I would LOVE to see and all about hoot days video. Ive been with the company for 3 yrs now, and loooove it",Jadeexo3,2019-04-21T17:54:45Z,0
"Sally hansen leg makeup is my OG, RIDE OR DIE, literally been using it since I was 16 😂💀💀💀",Justina Brooks,2019-04-21T17:51:44Z,0
What&#39;s the best way to apply? I bought it but afraid to look crazy lol,andiebear17,2019-04-21T20:06:55Z,0
Lip combos or face masks!!!,Danielle Hailey,2019-04-21T15:45:22Z,0
Nicole will you maybe do a video on the history of your cats and the importance of them in your life ? Or atleast a snippet of it in a regular vlog?  Im big on family pets !,jashlyn guzman,2019-04-21T12:08:35Z,0
Take all my money bronze and glow products. 😍,Michelle _o_0,2019-04-21T05:06:22Z,0
Btw you need to try Bondi Sands!!!,Maddie Walker,2019-04-21T04:46:59Z,0
I miss you so much!!!,Maddie Walker,2019-04-21T04:45:00Z,0
I want to know what color lip you have ? Love the jlo look ! Haha,Kat & Her Kiddies,2019-04-20T23:49:37Z,0
Do you live in orlando ?,Kat & Her Kiddies,2019-04-20T23:38:04Z,0
Lip combos yasss girl💄,Amanda Weber,2019-04-20T22:23:22Z,0
Please do more vlogs! I live for them! 💖,Angelica Miranda,2019-04-20T19:15:23Z,0
If fenty is sticky you used too much or it you didn&#39;t let dry..,Sherri Wilson,2019-04-20T15:55:03Z,0
Top 10 luxury brand items,Hello Jesska,2019-04-20T06:40:03Z,0
Top 10 items from E.L.F,Hello Jesska,2019-04-20T06:39:13Z,0
Top 10 items from SALLY’S<br />Top 10 items from ULTA<br />Top 10 items from SEPHORA<br />Top 10 items from MAC<br />Top 10 items from Anastasia <br />Top 10 items from Tarte<br />Top 10 items from Jeffree Star Cosmetics<br />Top 10 items from BHCosmetics,Hello Jesska,2019-04-20T06:38:58Z,0
Top 10 NUDE lipsticks<br />Top 10 setting powders<br />Top 10 BRUSHES<br />Top 10 Home Goods items (current)<br />Top 10 Shoe brands<br />Top 10 lip glosses<br />Top 10 monochromatic palette/lipstick combos,Hello Jesska,2019-04-20T06:37:34Z,16
Top 10 cruelty free products.<br />Top 10 vegan products. <br />Top 10 influencer collab products. <br />Top 10 jewelry pieces<br />Top 10 favorite brands<br />Top 10 clothing brands<br />Top 10 shopping websites,Hello Jesska,2019-04-20T06:33:56Z,6
I’m loving these!! I wanna see foundations next!,Amy Holcomb,2019-04-20T04:23:28Z,0
Top 10 glosses,Kristin B,2019-04-20T00:44:02Z,0
Can you get into a pool w these?,Shannon Tarango,2019-04-19T21:12:06Z,0
nichole gorgeous girl love it! !!!!,Lettie Pacheco,2019-04-19T19:50:29Z,1
Now I&#39;m gonna go buy everything in this video! Loved everything! Great video💜<br /><br />Can you do favorite lip combos for summer. (Not liquid lipstick but products more comfortable to wear) please!,Alyssa Silva,2019-04-19T19:48:00Z,0
I just love how energetic you are! I missed watching you!!,AllAboutAdrian,2019-04-19T17:51:51Z,0
"Video for me, Im looking for bronzing products at the moment 👌🏻",Love’n Love,2019-04-19T17:25:21Z,0
Ugh I’m looooving This vidro,Tracy. AngeliKa,2019-04-19T16:46:05Z,0
❤️🌹😍🌺🌺🍒,Allay Things,2019-04-19T16:11:11Z,0
I think ups drop-kicks my packages over our fence.,sumgirl79,2019-04-19T14:43:17Z,0
