comment,id,date,num_likes
Nails 🥺🥺❤️✨✨✨✨✨,Tess Valmont,2021-02-14T08:37:57Z,0
U don&#39;t need need makeup ur beautiful to start with xx,Darren Spiers,2019-07-31T06:39:32Z,0
She look so different 😶,Amy Targett,2019-04-25T22:23:17Z,0
You look different... idk what it is but you look very different,Nancy Gonzalez,2019-03-16T23:03:36Z,0
Nicole do Disney makeup,Dustin Porter,2019-03-15T15:35:22Z,0
😍😍😍😍 love it you look beautiful,Erica Torres,2019-03-07T21:53:45Z,0
love it,Trudy Bear,2019-02-28T06:37:22Z,0
The laugh when the blush fell 😂😂😂😂😂😂😂❤️❤️❤️,Cassie Elizabeth,2019-02-26T11:59:20Z,0
I need to pluck my extra eyebrows hair if not I&#39;m going to have a weird bushy eyebrows.,Milleny Rodriguez,2019-02-25T03:43:37Z,0
"You should do a video where you do half of your face with the products that were your favorite at the start of 2018 and the other half with the products that are your favorite from that start of this year. Love you, you’re killing it!",Madison Hunt,2019-02-19T15:25:34Z,0
We need a new video it’s been 3 weeks gurrrlllaaaa ✨,Katherin,2019-02-19T03:25:40Z,0
😍😍😍 yesssss,itslovelykiki,2019-02-19T01:23:21Z,0
"Nikki I&#39;m a huge fan I absolutely love you please send me your unwanted products of anything I would be so grateful chasannb@<a href=""http://gmail.com/"">gmail.com</a>",Kenneth Taylor,2019-02-17T20:25:11Z,0
Where are you 😞 miss seeing you upload a lot,Krystan Williamson,2019-02-15T19:31:55Z,5
Your face doesn’t match your skin,Zainab Suhrawardy,2019-02-14T16:12:54Z,0
Omg you makeup is soooooooooo cute plz make more of these types of videos I CANT 😘😘😜😍😍😍😍😍😍,Zainab Suhrawardy,2019-02-14T16:12:30Z,0
Been watching you for years and never noticed that you have a little gap between your front teeth. Makes you even more beautiful in my opinion!,Caitlin Elizabeth,2019-02-13T21:33:10Z,0
Very very beautiful💋💋💋💋💋💋💋💋💋💋🔥,Amber Tobar,2019-02-13T05:08:06Z,0
Did she delete the video from before?,Yalily Lastra,2019-02-12T20:28:33Z,0
No highlighter ??🤷🏻‍♀️😁😱,kimchurrro,2019-02-11T14:52:12Z,0
Nicole hai origini italiane? Faresti un vlog sulla tua città... Li adoro e il mio desiderio è venire in America,Lucrezia Prisco,2019-02-10T22:34:38Z,0
Dimenticavo... Sei bellissima e bravissima e guardi i tuoi video da anniiii,Lucrezia Prisco,2019-02-10T22:35:29Z,0
I&#39;m looking for a new foundation. I may try this one.,Marianela,2019-02-10T20:09:22Z,0
&lt;3,Marianela,2019-02-10T20:08:11Z,0
Sooooo I know we’ve had that whole marriage convo in the past and we were not riding that wave but can’t help but 😍🥰 at that big ass ring sis.... I kinda wanna say I NEED ANSWERS. Just checking in but video is fab as always!,Maggie Toussaint,2019-02-10T18:52:53Z,0
Do u leave in the jet lag mask for 10 mins? That’s wat it says 2 do,Red,2019-02-09T11:31:22Z,0
Her neck got chubsters lol,onebeancrocsir,2019-02-09T02:17:27Z,0
Girlllll 😂😂😂😂😂 “molted” milkshakes?!?! Lmao malted milkshakes MALTED 😂 literally you 👏🏼 are 👏🏼 my 👏🏼 favorite 🖤😂 but frfr molted milkshakes would be the worst 😂😘,Chelsea Lasiter,2019-02-08T18:52:11Z,0
"I literally love you so much girl.<br />one of my absolute favorite YouTubers<br /> &amp;&amp;  omgg  I love love skiing.<br />&amp; yeah, my eyeshadows can get super dark sOmE days when they are meant to be a little lighter so🤷🏽‍♀️🤷🏽‍♀️🤷🏽‍♀️🤷🏽‍♀️❤️❤️❤️❤️",Samantha Mostowicz,2019-02-08T00:57:02Z,0
“girl”<br />“wHaT????  apparently they bother other people”<br />😂😂😂😂😩😩😩😩,Samantha Mostowicz,2019-02-08T00:53:13Z,0
You didn’t put any highlighter on??🤷🏻‍♀️✨✨,Roxanne Cordova,2019-02-07T17:54:23Z,0
😍❤️,Priscila Vasconcellos,2019-02-07T16:07:14Z,0
Let’s get Nicole to 3 million subscribers cause  honestly she deserves we are so close. Been watching her videos since 6th grade and now I’m a senior in  high school. I love her videos ❤️ Lots of love!!!!!!,Raisa Chowdhury,2019-02-06T19:43:58Z,0
Time to go to the dentist Nicole. Your tooth gap is widening. I think you should stop eating all the candy!!,Rebekah Marie,2019-02-06T14:39:50Z,0
I’m sold!  You’re skin is looking perfect!!,Norelie Philips,2019-02-06T03:20:59Z,0
The foundation went on beautiful.,Ashley Ramirez,2019-02-06T01:24:29Z,0
I know you aren’t gonna respond to this buttttt how did you get rid of your dark spots? Your skin looks amazing,Ray Luv,2019-02-05T21:34:36Z,0
"The way you said, &quot;yup&quot;! 😂😩😍",s g,2019-02-05T09:12:46Z,0
I wish you’d do different makeup looks ...,Angie Salvador,2019-02-05T02:16:15Z,0
"Hey Nicole, where did you get those small hoop earrings in your first earlobe piercing?",Lisa Mar,2019-02-04T03:49:46Z,0
I’m sold take my money,Rosa Isela,2019-02-04T03:15:16Z,0
I love Clinique foundations! They are so good! First time I tried it I feel in love with their foundation. ♡,Patty's Kloset,2019-02-04T02:52:48Z,0
The fact that you were one of the first og youtubers and you are still at 2.9mil upsets me! You deserve more 😩,M M,2019-02-03T20:47:36Z,0
"Nicole, I haven’t been able to wear lashes until I found the house of lashes glue, it is the BOMB! ❤️",Lynnzy Blanton,2019-02-03T19:07:08Z,0
Love that foundation!!,amaltiero1,2019-02-03T16:02:37Z,0
"Would you be willing to do a peloton review? I’m super interested in getting one, but I would be financing so I want to make sure it’s worth it, and that you’re seeing results. You look amazing, but I would love to know your thoughts on it!",celeste91100,2019-02-03T13:59:32Z,0
Love this look. 💜💜💜,Princess,2019-02-03T10:38:52Z,0
Bring back vlogs 😢😭😭😭,Rhyennah Seiuli Papalii,2019-02-03T05:38:39Z,0
Honey all I see is that ring 😍,Amanda Guaren,2019-02-03T05:27:22Z,0
Why do you close one eye? Lol,Melinda Morales Tagle,2019-02-02T23:33:51Z,0
Melinda Morales you must be new here lol she wears glasses so she can’t really see without them,Mariela Ramirez,2019-02-10T04:31:03Z,0
When is Anastasia bring back your glow kit! I need another one❣ Love you💖,Breanna Rachael,2019-02-02T22:48:45Z,0
Is it just me or does mom kinda look like Phoebe Cates??,Catrina Partridge,2019-02-02T20:43:42Z,0
Love it ! Gorgeous as always 😍 Thank you mami🤗🤗,Happy Hearts,2019-02-02T17:45:38Z,0
U should come to Denver we have amazing sky views,jasmine larson,2019-02-02T16:22:06Z,0
Was that a kitty sneeze I heard when you were blending out your concealer? Too cute haha,Mattie Allgood,2019-02-02T16:08:14Z,0
Loooooooove this,cassandra rydzewski,2019-02-02T15:02:26Z,0
