comment,id,date,num_likes
"Hahahah that crazy the shot of the guy on the scooter was Olan Prenatt , he’s a skateboarder / model in Cali and he was in Joana Hills movie mid 90s. Look up his ig I’m pretty positive that might be him ahah.",iL0VEMIMI,2020-05-30T23:00:10Z,0
I just love re watching your vlogs and I&#39;m like what&#39;s with these dislikes though lol,Lorna Brooks,2020-03-28T04:03:07Z,0
I love you and beebs! I used to call my baby daddy beebs lol,Ashley Marion,2020-01-19T20:44:52Z,0
This has nothing to do with Nicole’s Vlog but that guy you were recording in the beginning of the video In the bike scooter thing is Olan Prenatt. Lmao I only noticed bc I love him haahhh,Michelle Hernandez,2019-12-06T16:39:49Z,0
for being such a homebody and her vlogs 90% at home they are still so entertaining! love her,Whitney Noel,2019-11-24T18:00:13Z,0
Anyone know what vlog cam Nicole uses?,Maya D,2019-11-09T19:59:48Z,0
Your description box is lit!!,F Wooten,2019-09-25T16:10:17Z,0
Jeremy gives me Dj khalid vibes lol,Lucero Espinoza,2019-09-16T05:41:22Z,1
are those ysl shirts still available?,Tori Murphy,2019-09-12T16:21:33Z,0
Shayla is my boo,Tonya Smithrattray,2019-09-05T13:31:15Z,0
Seeing you with desi 🥺❤️ please do a video together,Katherine Solis,2019-09-05T02:45:59Z,0
Fire 🔥 editing! Love it!,Elise Fuscarino,2019-09-04T18:37:52Z,0
Can u make a video how u prepared for a hurricane,Daisy R.,2019-09-03T06:46:44Z,0
Can you make a video on why you don’t put up Weakly videos anymore for the people in the back 🤔,Sally Girl,2019-09-02T07:03:48Z,1
What Vlog camera do you use.....,Lombeh Harrison,2019-09-01T02:26:01Z,0
Congratulations love you finally got to 2 million on Instagram!!!! I’m glad Instagram finally fixed the issue you had before! Yayy!!! Missing your videos hopefully you come back soon!,Ely N,2019-08-31T11:52:06Z,0
What lipstick you are wearing ?,Parisa Meh,2019-08-30T21:53:55Z,0
Hi Nicole I miss your videos 💕 <br />I hope you are all well and are preparing for the hurricane. Sending positive vibes! Stay safe!,Jennifer LaFlare,2019-08-29T15:54:49Z,1
hey! you went alll the way to my city! 😃,brenda pelayo,2019-08-29T09:51:45Z,0
Praying for a safe weekend for you &amp; Jeremy !  Hopefully this storm isn’t that bad.. lots of love xoxo ❤️,Diana Duarte,2019-08-29T05:20:24Z,0
Love you Nicole. 💛💛<br /><br /> Currently going through the hardest times right now financially as a young mom.. not complaining just praying for a blessing . Venmo @leeeezaa,Leza Rodriguez,2019-08-28T03:34:39Z,1
YSL shirts... are they real? cant figure out if the website is real or fake...,SeeEmm,2019-08-28T00:26:26Z,0
Damn I legit just gave up on her channel...I use to be so into her &amp; everything. Pass year or 2 been DRY AF &amp; just makes me wanna just go do something or watch something else as to where I’d drop everything for an upload. Makes me yawn a lot,EmmiBebaked -,2019-08-28T00:24:22Z,0
Where you at Ma!!,The Mexican Mommy,2019-08-27T15:51:22Z,1
Nicole where u at girl?,Stephanie Lynita Elliott,2019-08-27T13:40:22Z,0
Halloween videos??????,Kyra Liane,2019-08-25T21:26:46Z,0
Missing you 😞 too much,luma abbas,2019-08-25T09:40:56Z,0
"Idky but I feel like you’re pregnant... lol. Or at least I hope so. All the other YT people are. Why not you and the beibster!! <a href=""http://www.youtube.com/results?search_query=%23wishfulthinking"">#wishfulthinking</a> #143",Porsche Jenkins,2019-08-25T05:40:45Z,1
Your hair looks gorgeous !!,Chantal Meier,2019-08-25T04:35:41Z,0
You guys passed by my house 😫😫😫,Mommy & Lili,2019-08-23T23:07:35Z,0
Nicole I&#39;ve been such a huge fan but unfortunately you&#39;re losing my subscription. You never post anymore:\\,Sav G,2019-08-23T19:26:50Z,0
tatiananj23 even before the passing of her cat she has been MIA,Sav G,2019-08-24T19:45:34Z,1
Sav G  hey... she posted on her IG story that her cat Juicy passed away and she would be taking time away from social media for a while.,tatiananj23,2019-08-24T02:42:38Z,0
❤✌,Erica,2019-08-23T17:19:09Z,0
can you do a makeup tutorial on the makeuo you are wearing in the teal shirt? &lt;3,Stephanie Razo,2019-08-23T02:36:56Z,0
anybody else waiting for a jewelry brand to collab with Nicole !! I want some fire as necklaces and earrings &lt;3,Kristina Lenora,2019-08-22T23:23:54Z,0
You went to my town for the Kill Bill church!! Literally in the middle of no where. Lol but if you stay the night you can see the milky way!! 😊 I miss home. I am noe in NJ and it&#39;s not the same !,Ibet Aguilar,2019-08-22T02:23:05Z,0
So sorry about Juice:( RIP Juicy 💔,Katelyn Brusso,2019-08-22T00:54:06Z,1
😔🐱💔,Tammy Carey,2019-08-21T15:02:44Z,0
"Sending prayers to you, J and the kitties . ♥️",Liz Miller,2019-08-21T14:58:01Z,0
"What happened to Nicole, she had broken heart on black font in ig stories and gone 😭",Marina Nikonova,2019-08-21T14:10:35Z,0
She posted on her IG story that Juicy had passed away,Kristi Jacobsen,2019-08-21T17:04:15Z,0
