comment,id,date,num_likes
Im in love with this pallete juss got one a few days ago and im using it 2morro so excited,Heather Igreja,2020-06-26T05:26:07Z,0
I haven&#39;t been on your channel in so long I feel so happy and proud of you for collabing with this brand ❤️🐯 thanks for sharing!,CELINE ADOBEA,2019-12-03T19:44:18Z,0
I&#39;m from India <br />So happy u visited our country <br />Surely will love to meet u next u come 💞,Lisa Jain,2019-11-26T10:50:03Z,0
I never got a notification for this video.. I cant believe I&#39;m just watching it,RieleyChante,2019-11-23T06:10:51Z,0
I just checked out the two palettes on the website and omg they&#39;re stunning!! Ugh but i don&#39;t need them but what an amazing cause &lt;3,CPFashionCosmetics,2019-11-20T05:52:52Z,0
So proud of you!!!!!,Gigi’s Catering,2019-11-17T06:16:29Z,0
I feel like you are finding your passion again ❤️,Paula Blevins,2019-11-17T02:20:09Z,0
This is amazing ❤,Kayla Harmon,2019-11-13T01:45:54Z,0
I’m assuming it’s vegan and cruelty free?,Kelly Gould,2019-11-09T14:31:13Z,1
Nicole where is your shirt from?! I love the color!! ❤️🧡,Amanda Nastasi,2019-10-31T00:32:55Z,0
"(No hate when i ask this question just general curiosity) Would u ever stop using luxury products made from animals? (Such as fur, leather etc)",HENNESSEY,2019-10-30T22:47:29Z,0
Can you please make a video on how your boyfriend proposed!!? PLEASE!,Quella Me,2019-10-30T19:14:59Z,0
❤️the look. I feel sometimes awareness makes the animal more endangered.  I only say this cause the animals that were endangered when I was younger are worse than before. Also the poachers who&amp; when caught Again the USA are the biggest advocates for the animals but Asia &amp; Russia are the biggest users of “ancient “ treatments for male enhancements ( look them up) &amp; fur coats/ect.,bellyisis,2019-10-30T02:46:24Z,0
I love cosmetic companies with a heart! I love cats and I will definitely be purchasing this Palette!!,Cat Foxx,2019-10-29T03:43:59Z,0
You are the Best👏👏 👸,MakeupQueen Zz,2019-10-29T03:32:15Z,1
What an amazing video ❤️,gina milian,2019-10-29T00:23:25Z,0
"I love seeing you this animated, moved &amp; enthusiastic about Shared Planet and all they stand for, beautiful eye look &amp; also you look GORGEOUS in that red/orange top 🐅😍🍁❤",Julia Chandler,2019-10-26T16:41:02Z,0
Nicole i love you but girl you’re eyebrows are killing me 😔🥴,Beauty For All,2019-10-26T04:09:35Z,1
LOVE your nails 😚,Mo Kaata,2019-10-26T02:41:57Z,0
🤩🥳Omg shes engaged!!!!,Irsi Montero,2019-10-25T23:23:43Z,0
I freaking love you Nicole!!!!! 💞💞💞💞,Ummay Khan,2019-10-25T21:13:36Z,0
So happy you&#39;re helping bring awareness to this and can we talk about how good your skin looks with that combo of foundation/concealer/powders? 😍,Annaisse Martinez,2019-10-25T19:23:37Z,0
Ughh I love you ❤️,"Insightfully, Dom",2019-10-25T11:45:43Z,0
"I love how excited and happy you were when you talked about the trip, experience and the cause of this palette and brand. Deff on my must buy list!",peoniesandbrunch,2019-10-25T06:49:06Z,0
You&#39;re such a water sign so compassionate.  You looked great!,lovelyme,2019-10-25T03:33:14Z,0
So beautiful! It hurts my heart so much that these gorgeous animals are at the verge of going extinct. It’s awesome that this brand gives back🙏🏼🐯❤️,Brittany Rivera,2019-10-25T02:03:44Z,0
That palette is gorgeous,Hillary Marie,2019-10-25T01:05:04Z,0
Love love love this 🥰,Victor Esquivel,2019-10-24T23:58:00Z,0
Nicole that is sooo freaking cool!  Happy for you❤️from St. Petersburg (neighbor’s 😍),Ann Niethamer,2019-10-24T23:02:40Z,0
It’s not fire-y it’s FIERY (FI-EAR-EE),missdanielliee,2019-10-24T20:58:45Z,0
Really loved this look! It’s inspired me to purchase the palette 😁,Marlene,2019-10-24T19:31:04Z,0
Beautiful cause ❤️ So happy to see this😊<br />Can you do a video on the gold makeup you had in the intro?😍,Sofija Maravic,2019-10-24T18:50:34Z,0
omg .. that was so pretty.. I LOVE that beautiful tiger.. Your makeup was so pretty too! .. We do all need to take care of our planet. We are so selfish and don&#39;t realize this planet is not just OURS! .,Adrianna Zepeda,2019-10-24T17:32:55Z,0
Oh myyyyyyy! what&#39;s that on your finger? Congratulations!!!!,Ellena Morgan,2019-10-24T16:08:26Z,0
What an awesome cause! :),Latasha James,2019-10-24T15:14:37Z,0
This is amazing! Omg! Love you Mom’s!,Madeline Neal,2019-10-24T14:24:57Z,0
Where is your shirt from so beautiful!!!,StaciRenee,2019-10-24T13:27:17Z,0
How many chemicals are in those products!? Do your research before you buy ladies . 😝,Gina Marie,2019-10-24T12:07:45Z,0
Ok you killed this video showing you in India  Nicole slaying all day!!!!!,princess Jacob mova,2019-10-24T06:00:39Z,0
Ok so I’ve been a loyal follower for years and in video a long time ago she talks about not believing in marriage and that it’s just a piece of paper... I can’t be the only one that saw the video!  Lmk. An now there’s a ring!! I’m so excited because I’ve always thought her and J should get married!! They’ve been together for so long!!! I’m just so happy for you guys!!! K bye,Therese6💜💜❤,2019-10-24T05:23:21Z,0
You and the Tiger are beautiful... But so sad this is just another sell&#39;s job...,lisa napper,2019-10-24T04:32:04Z,0
"Nicole this is amazing! I’m sooo proud that you put your platform to such a great cause  &amp; you put it towards animals which is even more amazing, congrats a million times 💗 love youuu!",Melissa Blanco,2019-10-24T04:27:12Z,0
The quality is amazing!!! What camera did you use?,Matthew Ortiz,2019-10-24T04:10:35Z,0
I’m so happy you are apart of this more brands need to take this as a example it’s no longer just about beauty and trends it’s about our planet and the help that it really needs ♥️,Crystal Imera,2019-10-24T02:56:39Z,0
The intro is amazing and the brand is incredible for giving back to a great cause.,Simple Nail Designs,2019-10-24T02:21:22Z,1
I am hearing you but my eyes keep looking at that RING!! Sis is there more to be excited about??,Gri Mansey TV,2019-10-24T01:23:42Z,1
LOL that intro wut,J R,2019-10-24T01:16:47Z,0
Okay mom we see you !,Destiny Castillo,2019-10-24T01:15:49Z,0
The intro ... girrrllll yessssss!,rebeca hernandez,2019-10-23T22:53:30Z,0
Love you Nicole 🧡,Analeine Villasenor,2019-10-23T22:52:53Z,0
LOVED IT!!!🤗🤗🤗🤗,Stephanie Gonzalez,2019-10-23T21:16:46Z,0
Yassssssssss 🙌🏼🙌🏼❤️❤️❤️,Sunnie Emberson,2019-10-23T21:07:36Z,0
That orange shirt is giving me Scooby Doo Velma vibes!!,Kristie Kabahyashi,2019-10-23T20:02:50Z,1
"I don&#39;t need a palette because I barely wear makeup but mom&#39;s intro, a great cause and I buy everything mom tells me to buy soooo I mean. Yes I am buying it!",tracemelater,2019-10-23T19:39:21Z,0
"Maam, Maam, Maaaam, can we just talk about how awesome this look is, and that top looks gorgeous on you!!!! <br />Also Tigers are my favorite of the big cat family so this is awesome for Shared Planet to be raising awareness to such a beautiful and majestic creature and all the other animals their doing this for.. They are definitely now on my radar and I look forward to seeing more from them!!!",Tasha22Bella,2019-10-23T19:16:36Z,0
Love it !! Most definitely going to check them out 😍😍♥️,Haidee Almanza,2019-10-23T18:58:36Z,0
"Such a great and noble initiative by Shared Planet, and glad to see that you were in India. Loved the look and the makeup collection.",Farhana Mohammad,2019-10-23T18:16:13Z,0
Ultimate Momma Cat.,Brittany Curtis,2019-10-23T18:00:12Z,0
This is beautiful ❤️,Tamarah Rodriguez,2019-10-23T17:08:14Z,0
Crazy cat lady at her prime lol💗,Ya fav Newyorkian,2019-10-23T17:01:50Z,0
Sis did you get your chin done ?,Ashana Trav,2019-10-23T16:47:07Z,0
wow you visietd my India..loved it!!!,Sushma,2019-10-23T16:25:59Z,0
Why do you not wear highlighter anymore ?:(,Holly Featherstone,2019-10-23T16:15:15Z,0
Damn Nicole you look like a mafia boss in that outfit lol,TheJennifermaiden21,2019-10-23T15:46:18Z,0
Where can I find the palette?,Lelani Ellis,2019-10-23T15:31:36Z,0
"I Stan this ! I’m totally going to check these palettes out because of their good causes ! These animals need our help and support more then ever .. climate change is scary &amp; I love kitties , I have 7 fur babies .. I’d deff love to see more companies do this ! Every bit makes a difference 🤗 ! Love this &amp; love you Nicole ! ❤️🐯",Tiffany Turner,2019-10-23T15:20:51Z,0
what an amazing experience! Congrats,Julia Andersen,2019-10-23T15:12:09Z,0
Please tell me we are getting an India vlogggggggg,Amanda Nicole,2019-10-23T15:00:12Z,0
Oh my god i nearly cried at the end of your campaign. ❤️,Nicole Tsai,2019-10-23T14:56:36Z,0
Lots of love from india... ❤️🇮🇳<br />Recently visited a tiger safari a week ago...☺️😊🙂<br /><br />Any indians here?,Debdattaa Kar,2019-10-23T14:31:46Z,0
"Nooooo, I&#39;m so jealous! Tigers are my all time favorite animals, you are so lucky to see one.",tikru34,2019-10-23T14:29:52Z,0
We have to save them. &lt;3,tikru34,2019-10-23T14:33:43Z,0
You’re so down to earth Nicole!! Love watching your videos!,Beauty with Brittany,2019-10-23T14:12:23Z,0
Wait but I need that shirt lol<br />Where is it from??,Erika Jessie Ramirez,2019-10-23T13:55:57Z,0
I CANT WAIT TO BUY THIS PALETTE <br />this company is so so lucky to have someone as caring and compassionate as you to collaborate with them💕💕💕💕,Kim Melna,2019-10-23T13:43:17Z,1
Well not exactly a Collaboration but you know what I meant 💞💞💞💞,Kim Melna,2019-10-23T13:45:29Z,0
Finally the India video we were waiting for! YAY,Reema,2019-10-23T12:45:54Z,1
