comment,id,date,num_likes
Talk thru is much better 💕,Maria EspG.,2019-07-01T23:49:39Z,0
i know im late af on the video but the show dead files is looking for places to investigate!,harlie erhart,2019-02-27T11:22:48Z,1
cleanse your crystals girl!!! 😱,KLouiseL,2019-02-25T17:36:36Z,1
People be like Oh My Gah You wear so much blush... bish i like it... 😂,Bianca S,2019-02-16T04:44:02Z,1
Every time I watch one of your tutorials all I think is “Ursula”. You’ve ruined me 😫,Natalie El-Zayat,2019-02-15T03:40:57Z,1
"My right eye is also my smaller eye, it`s also more hooded so liquid liner is always a struggle.",Allissa Anne,2019-02-13T18:45:11Z,1
FIRST QS- BOTH<br />SECOND QS- YES I believe<br />need more vlogs girl #143,Dipti Bisht,2019-02-11T10:40:49Z,1
i feel like I do have a really high pain tolerance with any piercings.  idk🤷🏽‍♀️🤷🏽‍♀️😂😂,Samantha Mostowicz,2019-02-07T03:57:45Z,0
"haha the pain y’all @<a href=""https://www.youtube.com/watch?v=KQNuFGh8e6I&amp;t=10m28s"">10:28</a>, I feel",Samantha Mostowicz,2019-02-07T03:57:21Z,0
"I honestly love to watch your Vblog daily errands and routine more than makeup videos . Cause we get to see your real lifestyle when you pick up your coffee and put on your favorite music in your car rides and going to your fav salons, etc.. just thought to share this to encourage you to post more of those vblogs 💕 cause nowadays everyone is posting makeup videos, meh &amp; women and even teens ! So we would be interested to watch more personal videos, videos that we can relate to as an audience &amp; fans.",Naela Almubarak,2019-02-04T20:25:24Z,0
I meant men*  not meh! Typo 😂,Naela Almubarak,2019-02-04T20:26:22Z,0
I haven’t been on YouTube in a minute. Oh how I have missed you!,Rosa Isela,2019-02-04T02:36:31Z,0
"<a href=""https://www.youtube.com/watch?v=KQNuFGh8e6I&amp;t=16m24s"">16:24</a> gets me every time 🤣",Stephanie Murdock,2019-02-03T20:15:21Z,0
your lill laugh 😂,Pimpcess Vee,2019-02-03T03:32:32Z,0
"When you were telling the story about your grandma, It reminded me of when my grandmother passed, Even after 12 years for my grandmother&#39;s anniversary date there are times where I feel that she is either next to me or this time I felt her lay in my bed, and my mother felt that someone grabbed her feet while she was sleeping, and also their are times where our door opens and a breeze of cold air comes through the home. What we do is that we pray that our loved ones soul is able to rest in peace and let them know that we can handle whatever it is down here on the earth. I have heard that sometimes our loved ones souls stay on earth because they feel that they still have something that they need to handle.. That is just what i have heard from my grandmother.  hope this helps! love you!",Nathalie Mora,2019-02-03T01:00:01Z,0
"I freaking LOVE that you LOVE the Maybelline Lipstick in 535. Like I feel like people are going to say something but who cares!?!? You like it and it’s genuine, that’s all that matters..",Amber Sims,2019-02-01T20:51:48Z,0
I love you so much!! You&#39;re my favorite YouTuber seriously! You&#39;re so real and I love watching every video you put out!,vanessa echeverria,2019-02-01T07:24:36Z,0
Girl you better get holy water &amp; spray it all over your house!!,Erika Rivas,2019-02-01T03:26:26Z,0
"In all honestly you are the YouTube BIG OG to me I started loving makeup because of u. U, Carli,  and Sunkissalba foreverrrrrrrr. I watch a lot of new gurus but nothing like ya!!!! Anyways love u Nicole",CiCi90744,2019-02-01T00:12:57Z,0
