comment,id,date,num_likes
Where are all the other colors?,Monica Gonzalez,2019-10-04T03:34:11Z,0
"Do a creepy clown, u’re sooo amazing 🧜🏻‍♀️",Angelli i,2019-10-01T03:39:17Z,0
More colors pleaseeee!!,Gabriela Soto,2019-09-16T18:12:10Z,0
Bring the RainbowBae series backkk 😍,Matteah Ridley,2019-09-16T03:43:26Z,0
where do you get the colored contacts from,Kayl Gan,2019-09-15T16:51:29Z,0
SO glad you made this video! I’m planning on being Gamora for Halloween this year &amp; I need to find the best green makeup to make her look! You did amazing! I’m gonna make this look with a Gamora spin on it!,Vivalavive2249,2019-08-03T23:07:17Z,0
EXTRA AF MONOCHROMATIC 😂😂😂,d i a,2019-05-27T13:22:43Z,0
Love it I wanna do it maybe for Halloween lol,Mariah Holguin,2019-05-04T06:19:03Z,0
❤️❤️❤️,zohra samadi,2019-04-07T12:29:49Z,0
this is nikkie tutorials worst nightmare,EmmaaElizabethhh,2019-03-29T19:26:29Z,0
GOLD!!!! I wanna see you looking like a trophy 🏆🤪🤪🤪,Tamika Ruiz,2019-03-27T07:22:24Z,0
Why does this make me want to be green?!?! 💚💚,Amanda Bargo,2019-03-26T06:38:55Z,0
I really like the whole rainbow series but I wish it was more about the eye makeup,Valeria Suarez,2019-03-26T04:00:26Z,0
I enjoy looks like this so much!!,Anna Katsis,2019-03-24T21:34:45Z,0
"So excited for this series! So original and I love it!!!! Also, what’s the background music??? I need it for my gym playlist!",Kaontxeng Yang,2019-03-24T14:39:50Z,0
"I truely thought you did this serie for pride month 😅 but you know what mama, i still think that it would be awesome to reproduce for pride 😄 i totally see groups of friends dressing as the rainbow walking down the street 🌈 still cant believe that this is my first comment ever after yeaaaars of following you and watching your vids. I guess the green vibe just influenced me in a good way 😊 love youuu hermana ❤ from my Uruguayan-Argentinian/French ass to yours 💙 thanks for being you.",- ♡ -,2019-03-23T13:50:03Z,0
I love the name RainbowBaes 🥰💚🍀,Bredges,2019-03-23T02:27:59Z,0
PINK 💕💕💕💕💕💕💕,angel smith,2019-03-23T02:22:42Z,0
Love this fun series 💚💚💚💚,angel smith,2019-03-23T02:14:07Z,0
Love gold,Stacy Heath,2019-03-22T23:07:08Z,0
You are super creative &amp; talented! ❤️,Erika Desiree,2019-03-22T21:51:02Z,0
This women is inspiration to me on another level !!!,Erandy Rodriguez,2019-03-22T19:33:41Z,0
Never a disappointment with Nicole ! Love your highlighter !! You should drop something with your label as in a line of fx makeup or water activated paint ! Your one of the best youtubers !!! At it ! ❤️❤️❤️good at makeup and good at fx woowww,Erandy Rodriguez,2019-03-22T19:32:52Z,0
"I actually love one green eye and the other brown,  looks cool ;)",geekista,2019-03-22T18:44:39Z,0
I can’t wait for ORANGE!!! 🍊🍊🍊🍊,Kim Fischer,2019-03-22T14:56:28Z,1
why it&#39;s not Halloween!!! so pretty!,Princess Azula,2019-03-22T08:51:13Z,0
💚🌈,Michelle Hunt,2019-03-22T07:11:14Z,0
I love this remind me of super heroes or something. <br /><br />And idea for the final video color is to do rainbow with all the colors .,KIP I AM,2019-03-22T06:40:01Z,1
REALLY not trying to be rude....but Whts the reasoning behind this series?? Or is there not one...I&#39;m simply just curious is all lol!!!! 😍,Samantha Gariepy,2019-03-22T06:38:33Z,0
Gomorra  vibes from guardians of the galaxy,Jessi Mo,2019-03-22T06:12:31Z,0
"This is really cool , but don’t forget about the regular wearable looks 😉 I just hope it won’t be back to back rainbow series .",kây kây,2019-03-22T04:42:36Z,0
Pink Or Blue Next !,Jasmine Jones,2019-03-22T03:57:01Z,0
Omg yaaaaas 😍😍😍💚💚💚,The Queen Bee Life,2019-03-22T03:54:21Z,0
OMG so EXCITE!!! QUEEN!,CFRealityChick TT,2019-03-22T03:22:29Z,0
You&#39;re so gorgeous,Auny Gomez,2019-03-22T02:35:30Z,0
"THE QUEEN OF HALLOWEEN LOOKS STARTED HALLOWEEN EARLYYY AMENNNNN! <a href=""http://www.youtube.com/results?search_query=%23WEARESPOILED"">#WEARESPOILED</a> LOVE U NICOLEEE!!!!!!!!!!!!",JennyLeigh,2019-03-22T00:47:16Z,0
I feel like this should be taken in and be a cartoon lol NICOLE GET ON IT! Or you should get your own Rainbow Pallette!!!!🥰,KOSA,2019-03-22T00:35:50Z,0
"Yaaassss 💚💚💚💚💚🍀👌 absolutely love this, can&#39;t wait to see the rest. PIIINK  lol ! Your creative looks like Halloween series are by far my favorite videos/tutorials",Dhay Barr,2019-03-21T22:39:36Z,0
Red 😍,Priscilla Chavez,2019-03-21T21:00:23Z,0
Can you do a video using Time Los Angeles Pink Infatuation pallet? 💕,Dani California Xoxo,2019-03-21T19:54:52Z,0
"And even all green, still look snatched af 🥰😘",Mary Rose Wilson,2019-03-21T18:53:30Z,0
that looks SO good!!! I love it! 143,TheLaTonyaNixon,2019-03-21T18:26:57Z,0
"Do lavander!😍<br />Btw, I looove those veneers, actually really fit you, your mouth and your face in general😍🔝 143",Lucia Cherubini,2019-03-21T18:02:06Z,0
Oh I love Halloween tutorials in the middle of March 💕,Lexii Love,2019-03-21T17:31:50Z,0
PINK,Danielle Rudder,2019-03-21T17:21:06Z,0
I can tell this series is going to be fire!!!,Brittney Atkins,2019-03-21T17:14:02Z,0
💚💚💚💚💚💚💚💚💚💚,Esmeralda Navarrete,2019-03-21T15:04:17Z,0
I love this!!!,k.arla__,2019-03-21T14:24:25Z,0
I’m so into the music 🎶 lol,Genesis Mendez,2019-03-21T12:23:42Z,0
My little leprechaun 🍀 💚,lupitafranco,2019-03-21T09:31:18Z,0
Can you film your favorite brushes? 😩♥️🙏🏼,Kiara Hernandez,2019-03-21T06:37:13Z,0
Bae ! You forgot to highlight 💚💚💚💚😘,Marie ibarra,2019-03-21T06:02:11Z,0
Purple 💜💜💜,April Canales,2019-03-21T05:47:00Z,0
"Nic come onnnnn , can we PLEASE do a q&amp;a with DA BEEBZ ! ♥ beebz youre loved too bruvvaa, and for a question idea .. &quot; how many tattoos does Nicole have and how many do you remember by heart ?&quot; 😁",Tori Richards,2019-03-21T05:10:50Z,1
It’s wild how creative you are!!!,Denisse Lopez,2019-03-21T03:50:18Z,0
Indigo-go girl 😍,Heather Lemar,2019-03-21T02:47:47Z,0
itll be kuu to see how people would react if you would go outside like diss 💞💞💞🍃,alondra gpimentel,2019-03-21T02:18:59Z,0
PIIIIINKKK 💕😍😍😍,Nissi Farias,2019-03-21T02:02:05Z,0
Yellow or purple,Amy Lynn,2019-03-21T01:47:01Z,0
Please answer the door wearing this makeup lol,Victoria Atkins,2019-03-21T00:19:41Z,0
Purple🦄,Kori D,2019-03-20T23:59:19Z,0
So excited for this series!!!!!! Let your creativity flow!!! Chica we don’t have to wait until Halloween anymore to watch you thrive in your element. I love watching you transform into ART! 143 xo,Angela Christina,2019-03-20T23:37:01Z,0
"By any chance, does anyone know what ever happened to her beautiful cousin Charlowe?",CHIT-CHAT REALNESS,2019-03-20T21:42:23Z,0
This is a REALLY great &amp; creative &amp; fun series!!! 💜❤️🧡🖤💛💚💙,CHIT-CHAT REALNESS,2019-03-20T21:33:30Z,0
Ya look so sexxayyy mama!! Love it!,CHIT-CHAT REALNESS,2019-03-20T21:32:02Z,0
Pink lol 🧟‍♀️💗,Crystal Gonzalez,2019-03-20T21:29:51Z,0
I love this!! 💚💚 pink or yellow next would be awesome!,Courtney Patrick,2019-03-20T21:29:50Z,0
Pink pls,Sheron Moreno,2019-03-20T21:22:23Z,0
Pink!,Marissa Thomas,2019-03-20T20:28:29Z,0
You should do half and half looks for this series! Like right side light blue left side dark as an example. That would be bombbb😍,Johnelle Troutman,2019-03-20T18:54:27Z,0
Do you ever wear the paint for a longer period of time? I always find that water activated paint makes me so dry after a little while. Any advice?,DGolden,2019-03-20T18:22:16Z,0
Only YOU can make green look so good ! 💚💚💚💚 if the grinch had a wife this is what she’d look like but leave Pink for last the best for last 😍😍 do purple next !,Vanessa Sanchez,2019-03-20T17:10:30Z,0
Look gorg in anything and any color as always! Pink def next pleaseeee! 💖💖💖,Marylin Arroyo,2019-03-20T16:53:24Z,0
purple please 🙏🏽,Chelsie Mati,2019-03-20T16:10:38Z,0
Can you do a makeup collection ❤,Annabella Kaleb,2019-03-20T12:37:31Z,0
What’s the name of the song...🤷🏻‍♀️🤷🏻‍♀️,Moon Light,2019-03-20T10:47:29Z,0
Hey hun loved this look can&#39;t wait for the other looks love u  hun big hug and kisses from Ireland hun xxx,Donna Burke,2019-03-20T08:44:09Z,2
GAMORA VIBES ! lol,arizbeth flores,2019-03-20T07:24:47Z,0
"Like this series idea. I would say pink, purple, or yellow would be guy old next. Sort of fits with Eastern lol.",Katie Bodden,2019-03-20T07:09:02Z,0
PURPLE!!!!!!!!! 💜💜💜💜😂,Damaris Yanez,2019-03-20T06:26:17Z,0
I’m already so excited for these!!! Love it!! I KNOW BLACK ISNT IN THERE LMAO BUT ID LOVE TO SEE BLACK🙊💕💕,Nadia Vasquez,2019-03-20T06:03:04Z,3
Yes rainbow and yes to the zodiac looks omg pls,Abby Normal,2019-03-20T05:55:21Z,0
I LOVE THIS NIC!😍😍😍,Lulu Escovar,2019-03-20T05:55:07Z,0
I love this look. I would love to see yellow next. 🌼🌻💛. I think that pink should be the last look of the series. But whatever color you pick next will be bomb.,ShayDevine,2019-03-20T05:13:45Z,0
Love when you get creative 💚,Naydene Byron,2019-03-20T04:23:12Z,0
Okay but like...anybody else think she looks AMAZING with green eyes?! No?? Omg 😍🤩,Chelsea Keeping,2019-03-20T04:19:45Z,0
Rainbae’s 🍀☘️ 🌈 🌈,SunnyKittyKat,2019-03-20T04:03:56Z,0
So creative!! I say pink or purple next!,ASHbeauty84,2019-03-20T03:43:21Z,0
It doesn’t matter what color..you’re beautiful,Angie Dunakey,2019-03-20T03:27:26Z,0
YELLOW 💛💛💛,Karolyn Fernandez,2019-03-20T02:38:19Z,0
Pink next!!! 😍❤️,Alexis Mora,2019-03-20T02:35:01Z,0
I want to see PURPLE!💜,Lola Martinez,2019-03-20T01:49:42Z,0
Can&#39;t wait to see more of this series!! Do a blue!!💙,Marcia Fernanda,2019-03-20T01:10:55Z,0
"I use to HATE pinkk like sooo much that my favorite color as a kid was purple then it turned into yellow, now its nude brown and white and lately my whole INSTAGRAM FEED Is muted pink  !!!! SEND HELP !!! PINKKKK do itttttt",Yesenia Mariee,2019-03-20T01:02:43Z,0
I am so excited for this series!,Maria Gonzales,2019-03-20T01:01:15Z,0
pinkkkkk !!!!!!!!!,Yesenia Mariee,2019-03-20T00:55:07Z,0
These are so fun to watch.  Even if I’ll never do it I still love watching videos like these.,Sara Matherson,2019-03-19T23:43:40Z,0
Teal!! ( I know it&#39;s not in the rainbow),Angel J,2019-03-19T22:54:47Z,0
Pink or purple! I gotta ask did you scare beebs?,Katie Dubs,2019-03-19T22:48:33Z,0
🧡🧡🧡🧡🧡🧡🧡🧡🧡,Adriana Ramirez,2019-03-19T22:39:00Z,0
This reminded me of when Jenna Marbles became a green screen lol,Siyao Yu,2019-03-19T22:35:10Z,0
You should do pink and let Poppy from trolls be your inspiration!,Paula Woodfell,2019-03-19T22:14:42Z,0
Purple!!!!! 🌈💜💜💜💜💜💜💜💜💜🌈,Daedra Benally,2019-03-19T22:10:26Z,0
Pinkkkkk ( Nicole&#39;s voice),Stina Lopez,2019-03-19T21:10:54Z,0
Fire 🔥 i would love to see you in orange 🍊,Arielys Soto,2019-03-19T20:54:36Z,0
Pinkkkkk,Lakshmi N,2019-03-19T20:45:35Z,0
Epic!! I love this!!! 💚💚💚💚💚💚,Lily-Anne Harris,2019-03-19T20:45:27Z,0
do the blue look with the Blue blood pallet,Belinda Sanchez,2019-03-19T20:08:47Z,0
Gamora?????????,jessi,2019-03-19T20:01:32Z,0
what about doing a estern egg face makeup,nativebarby,2019-03-19T19:48:48Z,0
Pink or Teal next!,Shannon Hollaway,2019-03-19T19:45:31Z,0
LOOOOOOVE!!💚💚💚💚💚💚💚,Marisabel Delgado,2019-03-19T18:44:38Z,0
OMG WOW!!!,Kickboxing Lady,2019-03-19T18:38:47Z,0
Freaking awesome! Do purple next!!!!,JS Beauty MUA,2019-03-19T17:35:44Z,0
Purple!,chryshelle wooten,2019-03-19T17:21:48Z,0
Whatever colour you paint yourself your going to look flawlessss,Simran Khurana,2019-03-19T17:02:06Z,0
You&#39;re acting a fool with these teeth!!! GOOOOOAAAALLLLLSSS... love them and love you! I&#39;m green with envy :p,JESS FRAUSTO,2019-03-19T16:34:17Z,0
Orrrranngeeee!!,Kaylin Gore,2019-03-19T16:32:43Z,0
"Definitely PINK 💗 than PURPLE 💜 I have the James Charles x Morphe palette and I’m now inspired to use color out of the palette and do something similar but of course, Nobody is going to look as BEAUTIFUL as the QUEEN herself!",Ariaz Kids,2019-03-19T16:16:32Z,0
this is so cool!! xo from my channel to your&#39;s! &lt;3,kiley.elizabeth,2019-03-19T16:05:16Z,0
Don’t we just love Nicole? Always pushing boundaries and doing new things that one else would even think of 💚,Sweety Yadav,2019-03-19T16:05:04Z,0
Can you go out in public like this and see how people react,Haley Priller,2019-03-19T15:43:05Z,0
Pink or blue!! 😍 I think that would be so cute!!,Victoria Faye,2019-03-19T15:33:37Z,0
Love this so much next pink or purple babe! I’m going to watch it regardless! 143 love you,Ashley Muniz,2019-03-19T14:54:07Z,0
"Halloween in March, this was fun!! 143",Amanda Pene,2019-03-19T13:50:47Z,0
💎💙BLUE 💙💎next and use Jeffree&#39;s new collection!,Marcela A,2019-03-19T13:37:04Z,0
Omg!!! I love this. It would be great for my sons superhero party. <br />Lol my little boy said for me to do this. Hulk smash!!!!,Herminia Barreras,2019-03-19T12:52:39Z,1
PINK OR YELLOW NEXT OMG,Makeup by Ty,2019-03-19T12:41:34Z,0
Queen 👑,KARINA GARCIA,2019-03-19T10:14:33Z,0
YESSSS SO EXCITED FOR THIS SERIES!!!! I love when you do creative looks!!,rachel ingenito,2019-03-19T10:12:27Z,0
love the idea of these looks! maybe without covering the face,brenda pelayo,2019-03-19T09:34:51Z,0
Purple you look so good in green 🤷🏻‍♀️🙈🖤,miristream,2019-03-19T06:39:25Z,0
Fiona is shaking,Stephanie Pzn,2019-03-19T06:39:16Z,0
I live for this video! Can’t wait to see all the other color bae’s! I’m so pumped for pink 🌸💁🏻‍♀️ Nicole your content is always so creative and fun! Love it and love you girl! 143 💕💚,Autumn Vang,2019-03-19T06:19:50Z,0
"Yas queen !!!!!! ❤️❤️❤️🙌🏻🙌🏻🙌🏻🙌🏻 <br />Can’t wait to see the rest <br />You were one of my makeup inspiration that got me into makeup back in the day , still watching today !!! Whoop whoop",Sharlie McManus,2019-03-19T06:16:11Z,0
I&#39;m glad you started with green 💚 it&#39;s my fave color I use to think purple was my fave but I noticed it wasn&#39;t really me green though always calls to me 🌲 purple would be my 2nd so do purple next LOL ❤️💕,Wendy S.,2019-03-19T05:47:32Z,0
Can you post Jeremy’s reaction to the looks? And how you remove all that makeup!! 143 ❤️,jenny rawles,2019-03-19T05:39:06Z,7
Purple next!! 💜💜,Jenn Ion,2019-03-19T05:35:43Z,0
Yes! Love this idea girl!,Stephanie Robertson,2019-03-19T05:28:19Z,0
🔥💚💚,Star S,2019-03-19T05:26:31Z,0
yes!!! pink pink pink pink!!!🌸🎀💞💖,Kylee Smith,2019-03-19T05:24:05Z,0
Omg loved it let’s see pink next then red!,Enedina Mullins,2019-03-19T05:17:05Z,0
Blue or yellow next!!! 💙💛,Melesa B,2019-03-19T05:04:35Z,1
Pink 💕💕💕💕💕💕,Erika Hart,2019-03-19T04:49:21Z,0
Yazzz Pink next <br />🌈 🌈🌈🌈🌈🌈🌈🌈🌈🌈,Daniela Vazquez,2019-03-19T04:38:39Z,0
Love the hair 💚,Simple Nail Designs,2019-03-19T04:29:04Z,0
