comment,id,date,num_likes
I enjoy watching how your holiday decor has evolved 💙,Rose Jacqueline,2020-12-13T00:05:03Z,0
💖💖💖💖,Priya Destiny,2020-11-26T12:52:32Z,0
Here in November 2020 just getting into the Christmas spirit 🎅🏻🎄☃️💫🦌🕊,Brittany Hyatt,2020-11-06T02:20:53Z,0
Watching right now for the 100th time. Gonna get inspired ♥️♥️😍😍 @nicoleguerriero,Amanda Nicole,2020-10-29T20:17:55Z,0
Am I I watching a Christmas vlog in August? Why yes I am lmao 🎅🏻🎄💫,Brittany Hyatt,2020-08-27T12:57:59Z,0
I know 7 months later but that pink phone on the wall!! I need to know what is happening with that!,bee1517,2020-07-16T04:21:06Z,0
Your literally my role model 💓,Karina Maree 18,2020-04-07T20:35:38Z,0
btw congrats on engagement.. the ring looks sooooo cute!!!!!! &lt;3 awwww lol,Ashley LoveDancePlay,2019-12-28T03:19:07Z,0
omg im just now seeing this (from watch later) and its already a few days after christmas but its such a nice video im getting into the christmas spirit again lol!! but that one christmas tree you talked about too i think i used to have one too when i was little.. well i think thats what you said haha. also i love that golden tall tree standing by the table its huge!!!! &lt;3,Ashley LoveDancePlay,2019-12-28T03:18:03Z,0
"Waittt......did you really just write &quot;Tiny&#39;s turning 18&quot;? Omg, it&#39;s been that long??? Wow.",Pinkalicious,2019-12-27T22:35:22Z,0
I passed by Roberts Christmas Wonderland several times but haven’t been inside. But after watching this video we went in there and ended up getting a pre lit tree and some decor. We love the store and will go back next year!,Faye Schueler,2019-12-21T20:25:44Z,0
I’ve always found your vlogs to be calming. Love you Nicole never stop posting!!!!! ❤️143❤️,Marinaaa Lovee,2019-12-21T05:51:40Z,0
I’ve always found Nicole’s vlogs to be calming. Love you Nicole never stop posting!!!!! ❤️143❤️,Marinaaa Lovee,2019-12-21T05:50:29Z,0
You haven’t wanted to leave the house for 2 years...😂😂<br /><br />Me.,Catherine Martin,2019-12-20T03:24:42Z,0
Awww the thing about your Nan🥰 I love when stuff like that happens,Catherine Martin,2019-12-20T03:14:53Z,0
I got teary-eyed when you talked about your nan,Jennifer Santana,2019-12-17T06:26:40Z,0
"Hi, I live in Finland and it&#39; so funny that you go and get your Christmas tree and you are wearing shorts.. So different. :D Do you know where the Santa Claus come from? ;)",Eeva Saukko,2019-12-16T10:20:01Z,0
What happened between u and charlo sis ?,M V,2019-12-14T05:09:00Z,0
I would love if you would do a tutorial on how to do your braids with your extensions in.,Andrea Collyer,2019-12-13T09:38:19Z,0
Do she still have 4 kitty’s? I keep only seeing 3 in her videos 🤷🏻‍♀️,SarahInRealLife,2019-12-12T01:21:01Z,0
We need more Vlogs 😩😩❤️❤️❤️ . When I first found your channel two years ago . I went back to your first volg and caught up haha  hope your doing good !! ❤️❤️,Anna Cruz,2019-12-11T18:29:56Z,0
Your videos always put me in a better mood !!,Maddie Jackson,2019-12-10T23:57:59Z,0
"Love this, always enjoy ur vlogs. Ur Himalayan salt lamp is also not good for cats, if they lick it they will keep licking it as it’s salt and they enjoy the taste but it actually will quickly dehydrate them and cause kidney failure xx",S N,2019-12-10T20:32:52Z,0
Take pictures of your setups 😅🤣😂,Lauren Jett,2019-12-10T20:18:38Z,0
What palaton do you have nicole?,Mara K,2019-12-10T17:08:03Z,0
always giving me the best home decor vibes 💜,JazmineTauafao,2019-12-10T07:49:59Z,0
NICOLE!!!! WHERE ARE YOU GETTING THE SUBLIME SHIRTS FROM?!? 😫 they’re my favorite band help a girl out!,Arielle Blanco,2019-12-09T23:18:03Z,0
İs cat a pregnant???,Seher Suganli,2019-12-09T19:23:52Z,0
"You’ve inspired me to buy Christmas trees! We don’t ever do a real Christmas tree or a fake one because of the cats, but little Christmas tree decorations are so fun!",emily albertson,2019-12-09T15:43:46Z,0
Your decor is beautiful! That star hack is amaaaazing!,Sydney Twyman,2019-12-09T07:38:37Z,0
What happened to juice? Why does she say she’s sad to look at the old pictures??,Lindsay Fitzgerald,2019-12-09T04:13:45Z,0
Oh nooo I had a feeling :(,Lindsay Fitzgerald,2019-12-14T21:18:02Z,0
"He died, I think he was ill.",Lynsey W,2019-12-14T15:16:50Z,0
You should do a vlogmus or what ever it’s called I MISS YOU COLE,Kimberly Lynch,2019-12-09T00:16:22Z,0
"I know it&#39;s rude when ppl ask this and I am Not trying to call her fat because she&#39;s not &amp; she&#39;s beautiful, but is she preggers?",Steph L,2019-12-08T23:51:32Z,0
More Christmas vlogs Mom love watching them when wrapping presents ❤️🎅🎄,Angela Bell,2019-12-08T22:50:00Z,0
That’s a lot of trees... 😧 looks like home goods up in there 😄,Miram Loayza,2019-12-08T21:51:20Z,0
I love Christmas as much as you do. I love how you decorate so elegant and nice and pleasing to look at.,Cynthia Linley,2019-12-08T19:49:22Z,0
You got legs for days!!!😍😍,Juana Villagomez,2019-12-08T19:48:45Z,0
"Is there anyone who is in a position to be a blessing, just need groceries to get me and my daughter til payday 12/13/19.. definitely will send whatever is given right back once i get it. Cashapp $CourtneyCadue.. thanks for your time",Courtney Cadue,2019-12-08T18:21:58Z,0
Where do you buy your ripped t-shirts from?,yasmeen fattah,2019-12-08T17:08:46Z,0
My fake tree was 40$ at Walmart ! And with the right fluffing me and my hunny got it looking like a expensive one 💁🏼💯🏷,Sophia Nieves,2019-12-08T15:49:58Z,0
That card was your Nan sending you love &amp; Christmas wishes. So sacred.,Heather Herman,2019-12-08T14:30:34Z,0
Found a tree like your nans at Target and thought of you 😊,Erica R,2019-12-08T12:43:28Z,0
Finally! Whose here for the return of vlogs!!!??? Lol,Rosana Alvarez,2019-12-08T09:41:02Z,0
Wait are u preggo??,Karina en la Cosina,2019-12-08T05:42:50Z,0
No intro? No vlogmas? Get in the spirit Nicole. 😒,Karina en la Cosina,2019-12-08T05:28:52Z,0
Love your vlogs 🥰 <br />And your touch a Minnesotan girls heart that you guys are Vikings fans 💕 <br />We actually just found out my daughter goes to school with a Vikings players kid and now I have to pretend not to be star struck 🤣,Autumn Wheelock,2019-12-08T02:44:41Z,0
i love you so much^^,bojana obradovic,2019-12-08T01:15:03Z,0
"Yessss LRG I see ya!!! <a href=""http://www.youtube.com/results?search_query=%23dallas"">#dallas</a> LOVE LOVE LOVE your decorations your house came out beautiful as always 😩❤️❤️",Jessica Haynie,2019-12-08T01:05:54Z,0
Your vlogs are literally my favorite thing! &amp; Your nan&#39;s Christmas card! OMG. So sweet!,Nadia Vega,2019-12-08T00:49:18Z,0
"You should go see an ENT doctor if you haven&#39;t!  I had surgery a few years ago, and I haven&#39;t had a bad allergy attack since! :)",Molli A,2019-12-07T23:17:58Z,0
Want more vlogs!!,Heather Frederick,2019-12-07T21:40:56Z,1
I’ve been waiting for this video! I love your Christmas decor 🙌 Always puts me in a good mood 🤗🥰,Bianca LRod,2019-12-07T16:04:05Z,0
Where did you get the SUN tshirt? L♡VE it!,Sun Shine,2019-12-07T15:58:37Z,0
"seriously love you guys. I been doing crossfit for a while now, nowhere near advanced but I think beebs would love it<br />anyways, can&#39;t wait for the next video. xoxo 😁",Stephanie Gomez,2019-12-07T08:31:19Z,0
I fell like i see same video every year ..be more original :),emanuela ilie,2019-12-07T08:29:01Z,0
How do you keep your cat off the tree? Mine keep climbing it!!!!,Tanikas_Turn,2019-12-07T05:34:57Z,0
Can you do an updated skincare routine,Mon Ica,2019-12-07T03:03:58Z,0
Where did you get the cat decor at??,MissRae318,2019-12-06T20:23:20Z,0
I’ve literally passed Roberts my whole life on the way to Clearwater beach 😂😂 Now I know 😘😘,Michelle Vega,2019-12-06T17:29:28Z,0
"Before I watched this I wasn&#39;t in the Christmas spirit. Change of plans now! Gotta go to target, Ross, TJ Maxx, home goods, Marshalls!",Ellena Morgan,2019-12-06T16:01:51Z,0
"That&#39;s an extraordinary amount of decor, looks good.",Jacqueline S,2019-12-06T15:27:04Z,0
"When you have one 10 page paper left until you finish up your masters, but decide to watch Nicole Gs XMas video instead 😬 😬",Teri-Yae Yarbrough,2019-12-06T13:31:47Z,0
BEAUTIFUL TREE AND I LOVE YOUR CHRISTMAS DECORATIONS!!!,Empananda,2019-12-06T11:16:33Z,0
Nicole: I have never broken a tree!<br />Me: that will change when you have children 😂🤣😂🤣<br />😘😘🇬🇷🇬🇷😘😘,TheVetony,2019-12-06T10:29:37Z,1
❗Subscribed ✅,karen romero,2019-12-06T08:08:37Z,0
Best Christmas tree explosion,Sweety Yadav,2019-12-06T08:03:46Z,0
I love that you found the card from your Nan and that you have her tree!❤️ I teared up a bit 😔,Victoria Duran,2019-12-06T06:36:13Z,0
Chilly 70 degrees 😂 that’s like summer for us in Colorado😎,Baby R R,2019-12-06T04:27:43Z,0
Your grandma was definitely talking to you!!! 😭🥰🥰🥰🥰🙏🏼🙏🏼🙏🏼🙏🏼🥰🥰🥰🥰🥰🥰🥰😇😇,mrs Ramirez,2019-12-06T03:49:38Z,0
Home alone 2 is my fave I love it!!,Jenn C,2019-12-06T03:39:40Z,0
Yess love the Christmas tree!😍,Anabel Campos,2019-12-06T03:07:13Z,0
Ahh tell tiny happy bday! My oldest turns 18 dec 18th and I’m so sad I will probably cry! She graduated early good for her! She seems like a hard worker. Beautiful decor I love it every year when you decorate.,Elizabeth Martinez,2019-12-06T02:56:20Z,0
Love this vlog🙌! But that shit was funny when Nicole said &quot;Money shot&quot;! 😁.. love the relationship you guys have,Meli,2019-12-06T01:54:40Z,0
This is my favorite Christmas set up so far!,Meaghan Garrett,2019-12-06T01:08:30Z,0
Thank you for the vlog Nicole!! Your vlogs make me so happy &amp; motivated 🖤🖤🖤,Jessica Hurley,2019-12-05T23:50:13Z,0
Why was I about to cry when Nicole talked about her nan’s Xmas cards? 🥺,Christina Duran,2019-12-05T22:47:14Z,0
