comment,id,date,num_likes
Where are your earrings from ☺️.,Shizuko Bladow,2021-03-06T01:42:14Z,0
What camera do you used?,Nataly Uviedo,2020-03-21T06:22:29Z,0
That dresser is so gorgeous!,Samantha March,2020-03-02T03:27:11Z,0
Beaty room tour coming for the gallery wall and desk???,Kdia,2019-11-18T03:29:26Z,0
Where did she get her wigs from lol,Mary See,2019-10-30T18:39:37Z,0
"That&#39;s some really great advice....putting pics on floor, cut out pics, etc. Also, I  personally love seeing your kitties in your vids!!  I love people who love their pets!  Love !",Black Panther,2019-10-19T09:25:59Z,0
"I absolutely love the new furniture if anything i can’t wait for you to get rid of that popsicle light and the wigs hanging over everything. It’s not up to me, but if I’m in a creative rut or need to be inspired it’s hard to feel like that somewhere that’s overcrowded or not organized/cohesive. A cohesive layout will create cohesive ideas. Just an idea, i wish i could come in and help with everything! I love the gallery walk though",Jade Kaye Martin,2019-10-13T19:30:31Z,0
What eyelashes do you wear?,SM_T,2019-10-13T00:33:39Z,0
They have little remote plugs on Amazon u can plug the ice cream into and then you can turn it in and off with the remote :),Maggie Garcia,2019-10-11T18:22:08Z,0
So I have decided since my husband wants his gaming man area (thinking about it) I want to make myself a babe cave (thanks to nicole for the idea) just a room I can decorate myself and be inspired and do things in there. And just be stress free and relaxed. I think I&#39;m gonna wait till next year. I&#39;m excited so much. Thanks NIcole for being a amazing role model and helping me learn so much about make up and so much more. I watch your videos all the time. They always make me smile.,Mara K,2019-10-07T17:52:35Z,0
What microphone do you use? It always sounds so good.,Serina Amadee,2019-10-04T15:03:42Z,0
Full tour of the room please!!!! I love it,Shay’s Life,2019-10-02T19:54:42Z,0
I cant find battery operated led light strips anywhere :(,Julianna Ruffo,2019-09-22T00:37:48Z,0
What is the name of your grey walls...I&#39;m looking for one to paint my living room,Reni Martinez,2019-09-21T02:46:26Z,0
how do the lights light up if they’re cut? ._.,brenda pelayo,2019-09-18T08:42:14Z,0
i need to know what eyeshadow this is 👀👀,Darian Elkins,2019-09-18T01:11:47Z,0
Omg what is this eye shadow color!!!,Claire O'Boyle,2019-09-17T13:02:25Z,0
I looove society 6! I&#39;ve gotten a couple tapestries on there before and they&#39;re awesome,letsgetreckless,2019-09-16T20:31:33Z,0
I love it,Liliana Espinoza,2019-09-16T20:14:21Z,0
This makeup look you’re wearing is insane! Love your hair too! Would love a tutorial on this whole vibe 💙,Sarah Kay Makeup,2019-09-16T05:18:21Z,1
I really need a tutorial on this makeup look please ❤️,Alyssa Mirabile-Gouveia,2019-09-15T23:02:30Z,2
I really love how you moved the Apple TV &amp; put the gallery wall there! Love the new vibe ❤️,Chelsea Watts,2019-09-15T15:54:26Z,0
I can feel you cats are family 😔,no name,2019-09-15T13:41:27Z,0
What lashes are you wearing? Because omg they are to pretty<br />Missed you so much Nicole ❤️ wish I could’ve met you and beebes when you guys were in Yosemite 😔,Esmeralda Guzman,2019-09-15T02:44:47Z,0
Love love love the blue! 😍😍😍,lizette barreto,2019-09-14T21:27:12Z,0
I love how curious the kitty&#39;s are !! Just like my dog wanting to know what are in the packages !!,Elsie G,2019-09-14T16:33:26Z,0
I’m LIVING for this set up! It reminds me of your old backgrounds. So sorry about juicy. 143,Patty Ortiz,2019-09-14T11:13:12Z,0
I love love your creativity!!!!,Gerel Matta,2019-09-14T00:53:02Z,0
Thank you for always being so real!!💖✌🏼 You are very inspirational girl and love your CREATIVE MIND!! 🙌 Hope you’re doing better!!🌈✨✨,Iris A,2019-09-12T14:54:10Z,0
So sorry about your fur baby☹️☹️☹️☹️ <br /><br />Where is that crystal wall art in your living room from??? Thanks in advance,Olivia Shaw,2019-09-12T00:56:55Z,0
"Well the ice cream neon is now doubled in price. I blame Nicole for this, LOL!",mindylu32,2019-09-11T18:35:15Z,0
