comment,id,date,num_likes
Someone needs to make a playlist of all the music she uses for Halloween videos!!!! 😭😭😭,Rosa Perez,2020-05-11T01:19:26Z,0
Ewww ur scary,Chula Balbas,2019-11-09T18:21:48Z,0
One of the reasons I am excited for Halloween is knowing that I&#39;d watch you showcase your artistry. You&#39;re awesome Mom! ❤,Charmaine Kwin,2019-11-07T13:35:51Z,0
Why doesn’t she have more subscribers????? She always has the best videos wtf,Catherine C,2019-11-03T13:08:13Z,0
Amazing once again !!!,Shannon Johnson,2019-10-31T15:16:47Z,0
How did I miss this one? Lol,Jolie,2019-10-31T02:09:34Z,0
Watching in bed before sleeping... intro scared the shit out of me 😂😂😂,Tee Finau,2019-10-28T06:27:54Z,0
Omffffffffgggg sooo fireeee 😛😛😛🔥🔥🔥,Evelyn Hernandez,2019-10-27T20:11:34Z,0
knock knock,파파양키호텔,2019-10-26T00:20:30Z,0
Bitchin,Alexandrea Lezama,2019-10-24T20:57:18Z,0
This came out so dope!! Joker is one of my favorite villains. Can’t wait to see the movie!,Takia M,2019-10-23T07:22:06Z,0
Where is her suit from?? 👀👀,Jhoana Ruiz,2019-10-21T17:38:53Z,0
Bomb AF 🙌🙌🙌🙌👏<br />Girl you are always killin&#39; it ❤,Priscilla Olstad,2019-10-21T17:20:35Z,0
this intro is everything,Xilia,2019-10-19T22:57:32Z,0
"Love all your halloween looks (the dedication 🙌🏼) If you guys wanna check out an inspired joker look (especially if you don&#39;t have the right products) check this vid out:  <a href=""https://youtu.be/220XFTEPHmQ"">https://youtu.be/220XFTEPHmQ</a>",Mama Lee,2019-10-19T13:30:21Z,0
Link for the costume ???,Artisha Suber,2019-10-18T15:06:26Z,0
You kill it every damn yearrrrrrrrrrr 👸🏻,Susana Collazo,2019-10-18T07:29:12Z,0
Insanely talented!!!!,Enna Albeno,2019-10-18T05:10:32Z,0
Queen of Halloween!! But also QUEEN OF EDITING !!!,Adri and Justin Davenport,2019-10-18T00:45:12Z,1
actually terrifying!,AshleyMarie D,2019-10-18T00:32:31Z,0
Love the intro!!,Mildred Lopez,2019-10-17T23:36:03Z,0
GIRL! I LIVE FOR YOUR HALLOWEEN VIDEOS ONCE ITS OCTOBER I&#39;M LIKE HOLD UP LEMME GO CHECK HER PAGE :) LOVE IT !!!!!,vanessa lima,2019-10-17T20:50:53Z,0
this would look so cute with lashes too !!!!!!!! if you wanted to glam it alittle,Edith Aime,2019-10-17T14:37:10Z,0
Damn you killed it this year 👌🏽🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥,Jackie C,2019-10-17T05:49:52Z,0
I saw the movie right before this video came out and this look is perfect 😍❤️ I really loved the movie too its one of my new favs,Alyssa Mirabile-Gouveia,2019-10-16T18:38:32Z,0
the best!,Dagmara Pazera,2019-10-16T11:31:10Z,0
I love your videos!! Obsessed!! 🥰,Casandra Ramirez,2019-10-16T04:13:33Z,0
Love it yessssss!!!!!!,pinkbunnie57,2019-10-16T03:54:33Z,1
"Nicole, you NEVER disappoint especially during Halloween season!! Love you Queen🙌🏼🙌🏼🙌🏼",Chantelle J,2019-10-15T15:45:43Z,0
Can you link the clothes you bought from amazon? I&#39;m planning on recreating this look for a Halloween costume contest I have at work. I&#39;m having the hardest time finding the clothes😭😭,Diana Montoya,2019-10-15T15:04:31Z,0
I think you could definitely pull off the ‘Elvira’,Ashley Begay,2019-10-15T12:23:39Z,0
😍👌🏻👌🏻,Johanie Maldonado,2019-10-15T03:39:41Z,0
You’re a whole different person once the looks all together I love it ! You’re killing it mom ! 🧡🧡🧡,vanessa cole,2019-10-15T02:49:50Z,0
Legit!!!,Angela Clarke,2019-10-15T02:34:22Z,0
Love this 💚💚💚💚,Cheyanne R.,2019-10-14T17:26:58Z,0
Your freaking amazing I just love you and definitely don’t compare your self to others because I’ll always watch you over everyone your so talented 💗💗 love all your looks,Chelsea Jae,2019-10-14T16:51:10Z,0
Amazinggggggg. Xoxox,Amber Lynn,2019-10-14T08:53:37Z,0
Halloween QUEEN . 💚,Virginia Delgado,2019-10-14T03:29:39Z,0
Loooooved this! Can you do a Tiffany look? Or even better do you and Jeremey as Chucky and Tiffany 😱😱😱,Hollie Yarran,2019-10-14T03:17:36Z,0
The queen has done it again! I haven&#39;t been watching much YouTube lately but after watching your current vlog I had to come watch your 2019 Halloween videos and like always you killed it! Not gonna lie the intro/outro had me a little shook. 😆😬❤️❤️❤️,Erika R.,2019-10-14T00:51:35Z,0
Is there another affordable face paint that you could recommend for this look? Hesitating on spending that much only to use once lol,Morgan Chavez,2019-10-13T19:02:24Z,0
Killlllllled it!!!!!!!,TheJuicingBeauty,2019-10-13T17:38:16Z,0
"I always look forward to your videos, but especially during this time of year. What a treat! thank you for everything you do Nicole.. the true Queen of Halloween🖤",LovinggLifee,2019-10-13T06:26:08Z,0
Love this and its very creepy . Good jobs. Always love your Halloween videos,Maja H,2019-10-13T03:57:54Z,0
Hated this new joker movie but this costume was great!,Vannesa Colin,2019-10-13T01:24:27Z,0
Nicole killed this look!!...👏👏👏😍🤡 it came out awesome #👑ofhalloween,Zayra Molinary,2019-10-12T22:40:12Z,0
Oohhh Nicole you are the Ssshhhiiittttt in case u didnt know hehe,Leitricia Kauhi,2019-10-12T05:48:36Z,0
The best one I’ve seen. Loved the intro🃏♥️,Harley Quinn,2019-10-12T05:45:40Z,0
"Girl, you do look crazy creepy creepy.",Leslie Hernandez,2019-10-12T04:34:01Z,0
That intro tho!!!!,Savannahxo28,2019-10-11T17:03:46Z,0
"Love, Love! Your videos never get old, you always stay true to yourself!",Johnathon Downs,2019-10-11T10:37:12Z,0
