comment,id,date,num_likes
I’ve watched this video so many times as my summer/vacation inspo and the gossip part always kills me,Marina,2020-03-02T18:17:26Z,0
May i ask what editing program you use for your lovely vids ? 🦋😭,Elisa Mendez,2020-02-24T04:48:10Z,0
"&quot;listen, I know my eyeballs&quot; lol!",Samantha March,2019-11-24T02:38:03Z,0
"<a href=""https://www.youtube.com/watch?v=PuQdYRQnGfg&amp;t=1m34s"">1:34</a> - <a href=""https://www.youtube.com/watch?v=PuQdYRQnGfg&amp;t=1m43s"">1:43</a> 😂 <br />She&#39;s so cute",Rebecca Anne,2019-10-28T10:13:51Z,0
"Ideas: Fall decor, home renovations, makeup declutter, makeup you kept, taking your cat to the vet and dentist, hair video ... literally anything ... us: 👀",Idalia Magana,2019-10-08T01:07:48Z,0
3 years? Lol... With 10 year old mac pallette lol,K Pena,2019-09-04T02:22:11Z,0
Did anyone else catch the mean girls reference? Lol,Katie Sawyer,2019-08-31T17:50:39Z,0
"the funny thing is that they should be <b>thanking</b> you rather than sending you takedowns ... every time i watched your vlogs, i would download like 10 songs lmao.",kayce m.,2019-08-27T10:18:22Z,0
Gurrrrl...we want to watch whatever you wanna film! Love all your videos and I get so excited when you upload❤️❤️❤️,AMY LADAY,2019-08-03T05:23:18Z,1
White ass teeth. I&#39;m just jealous;),donnaikukodavis,2019-07-31T16:48:08Z,1
Hiii Nicole! Will you please do an updated skincare video? I love your recommendations :) thank you!!,Poshhh A,2019-07-31T01:49:53Z,1
That’s messed up u can’t do car ride chronicles anymore! But it’s ok we can just watch anything I don’t think we care what it is lol!!❤️💕,Jesse Marie,2019-07-26T05:07:40Z,1
I miss your car ride chronicles 😭😭😭,Samantha Thurman,2019-07-25T05:09:13Z,0
I write the mo/yr purchased on my foundation bottle (somewhere discreet); and the same for exp. date - it helps a lot! No more wasting $ or product 😘,JL Kitz,2019-07-22T21:13:12Z,0
deets on the earrings!,Itsme,2019-07-21T23:18:49Z,0
Grocery shopping with you guys!!!,Neophyte Nook,2019-07-19T16:15:24Z,0
Permanent marker the date on the bottom of foundation!!!!!!,Neophyte Nook,2019-07-19T16:04:38Z,0
