comment,id,date,num_likes
❤️ trying to be a better sub,Jessie Hubbard,2019-10-05T04:06:33Z,0
Loving the new background 💜,Kivy Kat,2019-06-26T20:56:09Z,0
fan of powder foundation ✋....can u test out the new MUF powder foundation?! I&#39;ve been wanting to get that! 👍😃,Charlotte Suarez,2019-06-06T17:35:53Z,0
Stop talking about the book. Your just talking.,NETTE D,2019-05-26T13:10:09Z,0
"Nicole, I just came across your videos from your eye concealer video which I absolutely Love.💓<br /> It&#39;s so awesome that you love to read and promote it. 📚<br />What&#39;s your ethnic background love?<br />When your pulling your hair back, you look like such a beautiful Central American beauty. 🌺<br />Also more cursing in this video, guess it&#39;s considered cool I really dig, loved your concealer video really funny, professional yet sophistimocated. 👑📚 Continued success and blessings hermosa. 🙏🏼🌺💗<br /><br />.",Nayomee R,2019-05-04T08:12:41Z,0
I’m so ready for natural eyebrows.,EGMA,2019-05-01T17:35:01Z,0
So nobody talkin bout how beautiful she is? This girl has a very symmetrical face. And her face shape is 😍😍😍,Emmaus Road- Jesus is King,2019-04-24T22:20:54Z,2
Why does blush fade?,Eliana Neva,2019-04-23T18:09:34Z,0
Does anyone know if she uses primer with powder foundation?,Shaneska Melendez,2019-04-23T15:39:38Z,1
I like the new Trend without falsies- looks soooo goood 😘❤️,Sine,2019-04-22T16:50:04Z,0
Any drugstore powders you recommend ?,Betsy Moniycat,2019-04-22T04:27:09Z,0
"I just found you on YouTube and I am so glad i did. You are gorgeous.  I loved this video, so informative and so appreciated....",A B,2019-04-01T14:32:36Z,0
I love audible! Thanks for sharing that 😘<br />What brush are you using when you put the brightning powder?,Juarez,2019-04-01T02:11:16Z,0
"Don’t know what happen but she BARELY uploads, &amp; when she does it’s just vlogs of her getting stuff done to herself beauty surgical wise, or dull like makeup tutorials now...😪 I always loved nicole cus I really felt she wasn’t gonna turn full YouTube bouj but oh well so many others on to the next.",EmmiBebaked -,2019-03-29T22:55:28Z,0
wait im late asf. she drinks coffee now??,Cat,2019-03-28T03:05:05Z,0
damn freddy krueger nails,Polarbear,2019-03-23T08:32:49Z,0
Loveeeee this look!💗,Sofia Belem,2019-03-22T08:41:07Z,0
You talk tooo muchhh.  I just wanted to fast forward!!,Stefanie Restrepo,2019-03-21T20:31:00Z,1
LOVE!,Gabbi Moore,2019-03-19T11:56:11Z,0
You should try the can’t stop won’t stop powder foundation! Really love it,I’m Chilling,2019-03-17T23:05:08Z,0
Beautiful!,L C,2019-03-16T02:35:07Z,0
NICOLE DO AN OG MAKEUP FAVORITES VIDEO!!! I miss you doing the 3 mascaras for full long lashes. I did that cause you did it lol it would be nice to see how you feel about your old techniques!,pitaluna6,2019-03-15T05:30:52Z,0
Look into the trilogies by Maria Snyder ... amazing!!,Lottie B Beauty,2019-03-14T22:08:04Z,0
"How come u did the one eye thing the whole time u were putting ur bronzer on? Lol,.. anyways I just resubscribed! .. cause my other phone that broke awhile back, I totally forgot my PW for my YouTube and had to remake another one! Pmo! And I totally forgot all the people who I subscribed to, seen ur name pop up just now and I just pushed the button ASAP! For notification as well .. yay! And was surprised ur still using the listening to the book thing, cause u talked about it the last time I watched one of ur videos, and I think it’s been like a year? Idk .. ok Gn from Ontario Canada!",Destiny Rae,2019-03-13T23:50:01Z,0
Gurrrrrl we got the same snake earring we best friends now💁🏻‍♀️ when we gon go to coffee?🤣🤣💕💕💕 love you,The Divine Buddha,2019-03-13T21:38:14Z,0
Does anyone know what brush she uses to apply the kat von d foundation?,Stephanie Bourgeois,2019-03-13T16:19:47Z,0
Kat Von D #20 brush!!,Courtney Weigel,2019-03-13T21:18:56Z,0
"too dark and earlier you said to bring it down to your neck but after you applied it on your face, you said you weren&#39;t going to bring it down to your neck",honeyrose xo,2019-03-12T06:04:05Z,0
"and what happened to your eyebrows? it was nice when you did one but when you came back and had both on, it just looked like the grinch hairy eyebrows. just being real. xoxo from hawaii",honeyrose xo,2019-03-12T06:07:34Z,0
I love u nicole!!! I&#39;ve been watching your  videos for over 6 years. Meg,Megan Gunn,2019-03-10T11:28:28Z,0
wow thats bomb🔥,EmmaaElizabethhh,2019-03-10T00:26:49Z,0
What do you do with your make-up two month before they expired and you have not use it yet,Blossom Joseph,2019-03-08T21:24:40Z,0
Nicole I love how clear your face is please do an updated skin care routine video you look glowly and bomb,Debbie Adorno,2019-03-08T01:58:00Z,0
Can you give us a brow routine?!? On how you get them so fluffy. I love them 💕,Megan S,2019-03-07T23:05:39Z,0
Where did you get your name tag necklace,Arelis Martinez,2019-03-06T21:50:03Z,0
sending love beautiful &lt;3,Yesenia Mariee,2019-03-06T12:32:36Z,0
"I like the look, for myself I would go lighter shade of lip..",RealBeautiful Beauty,2019-03-06T09:43:15Z,0
I know she’s an only child.. but did I hear her say something about her brother before or did my mind make that up?,Edna Ramirez,2019-03-06T04:21:26Z,0
I really want to like he but its not happening . Out,Sra T,2019-03-06T01:38:40Z,1
"I had to have a bridge done and it was so weird at first I felt like I’d never get used to it my tongue felt like it didn’t have enough room lol, but it’s gone I can’t even tell where the bridge even is or starts it’s perfect. I’m going to get verniers in the front BC just the front have a little gap and are smaller than I’d like so Cant wait to see yours",jessica lumaj,2019-03-05T04:53:48Z,0
Definitely do the piercing video!!,Erin Paige Calhoun,2019-03-05T03:45:38Z,0
Fresh spring 2019 look 👀,Bake & Slay,2019-03-04T16:44:45Z,0
Yes PLEASE! To the piercing/aftercare video. I always see youtubers/bloggers/celebrities get piercings and they always seem to heal with ZERO problems and mine give me the blues lmao 😂  I’d love to know what you do!,TyyChakel,2019-03-04T16:26:44Z,0
My face eats blush.,Felicity Faulkner,2019-03-04T09:18:46Z,0
GIRL WE DO NOT STAN KAT VON NON VACCINE,Madeline,2019-03-04T05:03:25Z,0
Brushes you used??,Christina Schleider,2019-03-04T04:14:09Z,0
Girl! Do you keep your makeup brushes in a covered container?! I have 3 cats and you know they always on top of everything thing and I DEPISE when I have cat hair stuck to my face! what do you do to control that?,Natasha,2019-03-04T02:49:01Z,0
Loved this look. I always seem to over do my natural look. 😂,Julia,2019-03-04T02:23:22Z,0
Yes!!! Please do a video on your piercings. I got my ears pierced about 2 weeks ago &amp; would love your feedback on yours &amp; to know your healing process.. &amp; how you take care of them.,Kency Cruz,2019-03-04T00:08:52Z,0
"Yess, I completely agree about blush being the first thing that fades. Also, I&#39;ve been wanting to try that mascara but everything I got to Ulta they are sold out. Another goodie from Essence is the 18hr lash extension mascara. I LOVE that one!",Shannon Hollaway,2019-03-03T19:25:48Z,0
Video on piercings pleaseeeeeee thanks lol,Crystal A,2019-03-03T17:26:07Z,0
I love this video ! I been doing the same everyday makeup routine for the past like 4 years and I been trying to switch it up so I’m def going to try one of these powder foundations,Nia Glam,2019-03-03T14:59:39Z,0
"This video gave me hope on maybe I should subscribe again. I unsubscribed because all she did was voice over&#39;s &amp; I like watching her, just can&#39;t do to many voiceovers, I don&#39;t mind one now and then but every video.",MakeupGeeker,2019-03-03T12:36:04Z,1
Please do a video on your piercings. Would love to see it.,Felicity Faulkner,2019-03-03T09:17:44Z,0
Mawmaaa. We need a vlog. I miss you so much! Your vlogs give off a cozy vibe ❤️❤️❤️ loveuuuu,Kelsie Francis,2019-03-03T02:11:47Z,0
REQUEST  PLEASE!!!! Make a Video on your teeth and the process I’m so I interested in this and the final result... How much does it cost if you don’t mind me asking???,Vanessa Tapia,2019-03-03T02:03:03Z,2
A piercing video please please,Vanessa b.,2019-03-02T23:25:03Z,0
i love your top! xo from my channel to your&#39;s! &lt;3,kiley.elizabeth,2019-03-02T17:42:21Z,0
Did you say planner? I wanna see!!,Adina H,2019-03-02T14:51:51Z,0
Nicole I hate to say this but your face is melting.... too many injections sweetie. Still love you channel though.,Tiana Joy,2019-03-02T05:59:59Z,2
Yes piercing update! Im getting some myself,Jay,2019-03-02T03:11:47Z,0
Love this look!,Beth King,2019-03-02T00:45:15Z,0
Hi Nicole. I LOVE your channel so much. You are one of my top go-to&#39;s. You are the definition of fabulousness and yet lowkey. Would you please so a collab with Nikocado Avocado? He lives in FL now. I would be over the moon with happiness to see that take place. Please Nicole.,MotherHen007,2019-03-02T00:12:33Z,0
I love powder foundations as a quick go-to and my current favorite right now for my dry skin is the Burt&#39;s Bees powder foundation!,Pam P.,2019-03-01T23:13:54Z,0
Does anyone know what the top is called on the website? It&#39;s so nice,becky,2019-03-01T17:11:33Z,0
Such a French makeup look 🇫🇷,cook ies,2019-03-01T15:23:13Z,0
Frida vibes~,qazwerk,2019-03-01T07:35:51Z,0
Has anyone noticed how she&#39;s been doing YouTube as long as the other big beauty Guru&#39;s but she&#39;s only at 2.8 million subscribers..it was just at 2.9 last week..🤔 what&#39;s going on she should be at like 5 million now at least 3.5 ..Ma girl is Underrated 😒,frankiee brown,2019-03-01T07:34:57Z,0
Because I am a cat lover I would like to see a normal day in your life with your cats!! 😽,Ironell Rodriguez,2019-03-01T05:50:55Z,0
Yesssss you taught me years ago to have a go to look and thanks to you I’m doing it in 15 minutes or less now 🙌🏾 now I need a powder foundation and this mascara lol,Shay Olivier,2019-03-01T05:35:27Z,0
Because I&#39;m a fan of ear piercings. I would love to see a video!! 😍😝,Ironell Rodriguez,2019-03-01T05:32:29Z,1
PLEASE do earring video!!!!,Sam Merandi,2019-03-01T05:04:31Z,0
Can u please talk about it piercings❤️❤️❤️,Sumbal Rehman,2019-03-01T04:40:24Z,1
You need to try their mascara it&#39;s the best,Carly Baez,2019-03-01T03:39:29Z,0
"I miss u Nicole. I wanna say this in the nicest way possible, but it kinda seems like you’ve lost interest in YouTube and haven’t been putting much effort into your channel anymore. It just kinda seems like you’re forcing yourself to do it now and just aren’t feeling it.",Natalie XYZ,2019-03-01T03:17:30Z,1
Omg yes  to the piercings video !,GeezMakeUp,2019-03-01T02:51:59Z,1
Wanna throw in the meanings of your tattoos in your piercing video that I would really like you to film??? 😇,alejandra arreguin,2019-03-01T02:11:32Z,0
YES! To piercing video!! 😁😁😁,Bellebtrfly,2019-03-01T02:06:42Z,1
Please talk about your piercings!,Yessie Johnson,2019-03-01T01:54:23Z,1
Nicole what happened to your diamond now that you have your new veneers?,Danielle Noone,2019-03-01T01:48:27Z,0
I miss your vlogs🥺,Luxly Love,2019-03-01T00:34:04Z,0
Yes piercing video ❤ Talk about everything and how long you waited before you got the next one. Ever detail please.<br />❤143,desiree hurtado,2019-03-01T00:00:25Z,0
☺️💜,Aneeqa Hussain,2019-02-28T21:42:28Z,0
Nice look gorgeous,ms j'vonne`,2019-02-28T18:17:30Z,0
Girl your voice sounds so off because the veneers,Peyton Sawyer,2019-02-28T17:32:43Z,1
I heard for the hourglass foundation you’re only supposed to use 1/2 a pump for your whole so that could be a reason why it didn’t work for you,MsSRC15,2019-02-28T15:49:06Z,0
Yesssss do a piercing vidrio 😊😘💞,Jasmine Vargas,2019-02-28T09:15:50Z,0
"yes, im heavy handed on blush as well. because I noticed it does fade really fast.",Vanessa Walker,2019-02-28T07:12:10Z,0
"Nicole, no offense but could you please tone down your volume a little when you talk in your videos? I turn down my earphones when I listen to you but it still sounds loud 😣 sorry!<br /><br />PS Miss those vlogs! &amp; update on the bathroom ghost??",mzehra2,2019-02-28T06:40:41Z,0
It’s so awesome to see a video with bare minerals original again it’s been my everyday foundation for years it always covers everything I have never used a concealer because I don’t have to the original covers it all. Thank You,meghan brown,2019-02-28T06:10:48Z,0
Woww the foundation looked so good  i love it and i want a top like that 😍😍😍😍💖,Josefina Mercedes,2019-02-28T06:04:44Z,0
Yes down for the piercing video,Venessa,2019-02-28T05:29:55Z,0
"Your so beautiful, it makes me jealous 🥺😭❤️",Rebekah Herman,2019-02-28T03:43:05Z,0
Thank you for using Bare Minerals! It’s very underrated in the YouTube world,Chase,2019-02-28T03:16:17Z,0
I always use powder foundation.....I just can&#39;t take the feeling of liquid foundation....,Yaya Jones,2019-02-28T02:21:12Z,0
I love Bare Minerals powder,Marcia Ham,2019-02-28T02:16:52Z,0
yess i have audible nowww bc of u,Sophie Santana,2019-02-28T02:15:45Z,0
this was super easy and chic! Love it!,MagdalineJanet,2019-02-28T00:47:11Z,1
I also would like to see a piercing video!!,1fielda,2019-02-28T00:38:57Z,0
Please please do a ear piercings vid... i recently pierced my nose (love it) and just recently i got industrial piercing (love it)  i have the normal ear lobe piercing 2 on each ear but i want more ear piercings similar to the ones you have and it would help alot cause my healing process was a lil difficult cause my body wanted to reject my nose piercing... but please do one,Andrea Flores,2019-02-27T23:36:11Z,0
Yessss please make a video about all your piercings!!,Luxurious Statements,2019-02-27T23:18:32Z,0
Do a Q&amp;A video!,Amaris Taveras,2019-02-27T22:42:33Z,0
Yes please do the piercing video!! 😊😊,April Ellis,2019-02-27T20:58:24Z,0
I’ve been doing no make up make up lately because I can’t be bothered to do full on. We need a video with you and carli when you see each other next! X,Katie Smith,2019-02-27T17:51:31Z,0
Would love to see an updated night time skin care routine! Your skin is flawless and would love some tips to help getting mine back on track. P.S Your videos and positivity makes my day :),Madeline Brown,2019-02-27T17:10:54Z,0
You look STUNNING in this video 😍,Liv Raber,2019-02-27T16:28:56Z,0
Yessss do the piercing video <br />Love you !!!! I love this look! <br />So beautiful 😘❤️❤️❤️,Kim Melna,2019-02-27T15:47:42Z,0
"Your teeth look amazing, can&#39;t wait to see the real veneers 😘",clearseaandwhitesand,2019-02-27T15:28:15Z,0
Yes piercings vid please I’d. Love to hear all about them I’m working on adding more so I’d love to hear your input,lauraluciac,2019-02-27T14:03:02Z,0
Hi Nicole! Love the background! Also...can you maybe do a video on your Vineers process also? I have an autoimmune disease that is ruining my teeth and I’ve had two root canals already! I would really appreciate knowing about your process because I’m scared haha!! Thank you! 💜💕,The Honest Wife,2019-02-27T13:58:08Z,0
cant wait to see you with fit veneers which means the real teeth instead of the temporaries one! hehe love all the way from Singapore❤️,Nuraah Bangs,2019-02-27T13:12:37Z,0
😍😍👌🏽👌🏽,Christy J,2019-02-27T07:08:15Z,0
I remember when u first liked powder foundations. U liked a Laura Mercier one and I can’t remember which other one. Maybe the MAC one 🤷🏽‍♀️,PattieMcCoyx3,2019-02-27T07:05:05Z,0
Yesss piercing video!!!,Monica Jimenez,2019-02-27T06:46:38Z,0
Omg I&#39;m living for your background! 😍😍😍 <br />all that purple has me 🤤🤤🤤<br /><br />Love you Nicole 😍😍<br /><br />Any small youtubers wanna support each other ? 👀,Rina Mont,2019-02-27T06:40:10Z,0
I been waiting for years for Nicole to get to 3 mill. Come on guys 2019 is her year ❤️,Tonii.1208,2019-02-27T06:33:38Z,0
I choose your videos over everything else! And I should be sleeping but ima watch this first 😊,Channing Alfano,2019-02-27T06:21:18Z,0
"i have missed nicole so much. like bae, need more content from you... literally anything 💗",Suzette Vicente,2019-02-27T05:37:58Z,0
💜this! This is perfect for me especially I prefer more natural looks on the regular.,Innerglambeauty,2019-02-27T05:34:43Z,0
yesss to the piercing video! love you mom !!!,Alesa Khan,2019-02-27T05:10:40Z,0
"SLAYY.<br /><br />Also, what do you think about the Huda Nude Palette? I just bought it but I&#39;m hearing mixed reviews about it! It looks like a beautiful palette and seems very pigmented when I swatched. But... I would LOVE your opinion Nicole!",Celeste Salazar,2019-02-27T04:59:43Z,0
do you use a brow gel? if so whaaaat,danielleyboo100,2019-02-27T04:26:17Z,0
You are sooooo pretty .... 😍😊,Meylin Martinez,2019-02-27T04:22:41Z,0
Where is your top from???? I LOVE it!,JJ Cole,2019-02-27T04:18:26Z,2
No more 4 min intros talking about audible pleaseeeee. Love you!!,Veronica Duran,2019-02-27T04:15:38Z,0
We need an update on that ghost situation 👀,Tenesha Diaz,2019-02-27T03:51:52Z,0
This look is amazing. I loveeeee the lip combo and i have to try that foundation looks gorgeous on your skin!!!!,Kiera R,2019-02-27T02:53:51Z,0
Please! Mine hasn&#39;t held yet and I feel my ear stack lobe is swollen but it&#39;s not?? If that makes sense lol love you😍,Quella Me,2019-02-27T02:19:48Z,0
Yes please a piercing video because i just got 2 and im curious. I want more. Lol,hillary quintero,2019-02-27T01:54:32Z,0
Love your natural hair😍😍😍 so voluminous,Nichole,2019-02-27T01:14:20Z,0
"Wow I absolutely loved this video! I feel like literally no one either wears powder foundation or even talks about it! <a href=""http://www.youtube.com/results?search_query=%23trendsetter"">#trendsetter</a>",Elena Eloisa,2019-02-27T00:11:49Z,0
Mom i miss you! Xoxo,Tiffany Kersey,2019-02-27T00:03:51Z,0
You always look very youthful nic 🌸✨🌸✨,Goth Angel Sinner,2019-02-26T23:48:11Z,1
Feeling a sad vibe from you 💔 you okay babes?,carrie gonzales,2019-02-26T23:23:43Z,0
Did you paint your background? Or it just lighting? Hehe. Love the makeup!,Christine Broker,2019-02-26T22:59:08Z,0
Def. in for the piercing video !! More vlogs too we love your faceeee,Julie Cyr Deraspe,2019-02-26T22:16:57Z,0
Really like the natural look! Now i want the powder! I was wiggling a lot but now i am sure. Only find a way to find my shade because they don’t sell it in stores in the Netherlands :(,roowmful,2019-02-26T22:12:13Z,0
Can we bring back everyday vlogs for 2019? Because we miss them!!! 😩🥺😭,Rebecca L,2019-02-26T20:34:55Z,0
"Yes, please make a piercing video...",SeaSun2120,2019-02-26T20:23:26Z,0
Oh my goodness! Bare Minerals Original has been my ride or die for 6 years straight. Through my acne period of life and everything. I just can&#39;t get away from it. I just saw Casey holmes using it also! So exciting it is getting the attention it deserves. :),Erika Burnett,2019-02-26T20:02:02Z,0
FINALLY a good powder foundation video!  Thanks!  I use Bare Original and struggle with concealer.. used EVERY kind with ok results.. but will be on the hunt for the Hourglass for sure!<br />Thank you Nicole!,Barb6106,2019-02-26T19:54:00Z,0
I’m getting Kehlani vibes ☀️🌻🍃🌺🍂🌾✨,Lorena Lopex,2019-02-26T19:39:38Z,0
Love your go to look 😍 I need that powder foundation 👌,Wendy S.,2019-02-26T19:14:55Z,0
Forget all that let&#39;s talk about the color if ur room please do tell or do a room tour and describe the details.  ...   ty 😊,Lisa M.Sosa,2019-02-26T18:57:09Z,0
I honestly wonder sometimes... who asked some of you for your negative opinions? So bizarre... to think anyone cares enough is beyond me. Let people do what makes them happy. Whatever that is.,Rosanna Cerbone,2019-02-26T18:54:29Z,0
"Starts at <a href=""https://www.youtube.com/watch?v=V8YJHeHUVcY&amp;t=6m40s"">6:40</a>",Berlin S,2019-02-26T18:51:59Z,0
I would love to see a video where you talk about your piercings 😁😁😁❤❤❤,Karina Beltran,2019-02-26T18:51:06Z,0
Please!!! Piercings!!,GniFFer,2019-02-26T18:27:23Z,0
"You were my fave for years. It’s sad to see we have both grown, and we just aren’t the same anymore. I can’t relate. Love you Nicole. You do you! Just time for me to move on 😢",Emily Paitsel,2019-02-26T17:44:36Z,0
