comment,id,date,num_likes
Monochromatic is life. I&#39;m not a COLORFUL eye makeup kinda goyl. I love color but it intimidates me. But monochromatic is where it&#39;s at,Mrs Deale,2019-11-30T02:53:42Z,0
"I love, love this color!  I use to wear alot when in teens.  Not as orange.....blended a bit more. ....but use to get many compliments.  This mind you......was in the late 70s.   Is everyone still standing?  Lol.....",Black Panther,2019-10-19T07:10:46Z,0
You look fantastic 💅I LOVE IT ❤️,Princess Patriot,2019-09-18T01:13:52Z,0
What foundation brush is that?,Jocy Leon,2019-09-15T04:22:49Z,0
You&#39;re WHO I wanna be when I grow up! Lol.,KristyJ -,2019-09-14T05:31:16Z,0
YouTube just isn’t what it was,F F,2019-09-01T11:18:42Z,0
Miss you!!❤️❤️❤️🌸,Jessica Scott,2019-08-29T12:05:42Z,0
Anyone that subsribes to my channel and likes any video... I will subsribe back... I am super supportive xx,Sabrina Shaen,2019-08-20T20:45:23Z,0
Your brows look way better now,Kimberly Castaneda,2019-08-19T20:07:06Z,0
Uggh why does she always close her left eye sometimes it’s distracting.,Jee D,2019-08-19T12:28:40Z,1
Yasss! Now when are the Halloween videos coming?!! Love ya! <br /><br />P.s yasss more asmr !,verobloom9,2019-08-17T02:39:36Z,0
Them teeth baby 😍😁 pearly,Bellen Brock,2019-08-16T01:44:33Z,0
Are you going to finish your rainbow baes series,Lizet Acevedo,2019-08-13T04:39:30Z,0
This looks like a good 1990&#39;s look,RealBeautiful Beauty,2019-08-12T07:49:13Z,0
"Hello, beautiful, beautiful makeup, you already have a new subscriber, I invite you to my world, news, you will like us, we support each other, beautiful greetings",YOMISMA,2019-08-09T19:33:46Z,0
Hair tutorial on this look? 😍,Barbara Adjuntas,2019-08-09T19:11:07Z,0
Nicole you&#39;re skin is looking flawless and fresh we need to know your secrets cause I&#39;ve been on the hunt for some good skin care thanks love your videos 🧡🧡🧡,J R,2019-08-08T23:45:32Z,0
"Omg Nicole! Thanks to you, I have downloaded Audible just to check it out and.... OMYYYYGOOSHHH 😍 You have no idea how it changed my life lol I&#39;m sooo hooked 😍😍😍<br />Thank you!!!! 🙌🙌🙌🙌🙌 Lol",Jayy Jayy,2019-08-08T22:35:51Z,0
Ok. So why haven’t I watched you before. ??? Why?? What is wrong with me ??  I used to. Then my bell dropped and I hate myself !! Ha ha. Just love you. You are so funny,Louise Sharpy,2019-08-08T16:45:58Z,0
Just seen that they also have a blue and purple palette 🎨 by chance can you do looks on those also ?,HailleyIris,2019-08-08T01:19:39Z,0
What brush did you use to apply the foundation?,Zeinab Safdari,2019-08-07T05:46:33Z,0
Can you help me understand why most foundations look grayish on my face yes I have sun spots old acne scars I just dont know which is the best help me please!!!!,Seeking Hope,2019-08-07T02:07:11Z,0
This look is sooo bomb!! You be giving me some lowkey chola vibes and I&#39;m here for it!!,kc marie,2019-08-06T22:57:02Z,3
Gorgeous!!!!!,Rachel Diggins,2019-08-06T19:39:20Z,0
Love this look! Also this video was so relaxing for some reason 🧡,Dee Sanchez,2019-08-06T04:03:04Z,0
You should make a Spotify play list since we’re not able to listen on your videos !! I always discover new music from your videos!!! <br />🧡🧡🧡🧡🧡🧡,Evelyn Merida,2019-08-05T23:05:37Z,1
"Nicole, listen to James Patterson women&#39;s murder club books!! Trust me",Reet C,2019-08-05T18:15:00Z,0
I can never get enough of Nicole. She’s my go to YouTuber. Lots of love. 💕,Tricia Glad,2019-08-05T05:52:58Z,4
🧡🧡🧡🧡🧡🧡🧡🧡🧡🧡🧡🧡🧡🧡 YASSSSS LOOOVVIIINNNGGGG ITTTT !! Ahhhh I got the urge to want to do my makeup now haha. To but I’m watching this late at night tho 😭 <br />But I needs to catch up muummsss videos especially cuz I miss you SM. Been a busy bee 🐝 lately 😭,Veronica M,2019-08-05T05:37:37Z,0
Did she even mention Pats Powder for 5g of Powder is $55....???? That something ppl should mention when they don’t actually have to pay for it,BeccaGrace1224,2019-08-05T04:35:14Z,0
Luv you Nicole!😍😍😍 you look amazing luv all of your videos🙌🏼,JayyGBeauty,2019-08-05T01:50:35Z,0
❤️❤️❤️,Alex Young,2019-08-05T01:05:54Z,0
"The book was amazing! You have to see the movie too. I’m not a thriller fan at all, but this one is worth it.",Stephanie Coleman,2019-08-04T22:41:26Z,0
If you haven’t already listened to it you need to try gone girl! AMAZING!!!,libee84,2019-08-04T17:01:36Z,0
I’ve never noticed the texture on your cheeks before,carrie gonzales,2019-08-04T16:39:52Z,0
By far my favorite look ! 😍😍 love it,Bianca Guzman,2019-08-04T14:49:38Z,0
I love you! You inspire me to be glam continually... great video so simple and so sexy!! You rock NG!,Arshia Khan,2019-08-04T13:59:18Z,0
yeiii,MsKelly S,2019-08-04T09:08:47Z,0
"I will never get over how similar you look to Karol G, it&#39;s crazy 😍",Melissa H,2019-08-04T06:02:36Z,0
"I will never get over how similar you look to Karol G, it&#39;s crazy 😍",Melissa H,2019-08-04T06:02:31Z,0
Looove the background!,Shaneska Melendez,2019-08-04T05:44:30Z,0
Come on everybody... let&#39;s pull Nicole out of the 90&#39;s and into the 2000&#39;s. Poor thing is the only beauty guru still there.,Tara Matilton,2019-08-04T04:15:06Z,0
