comment,id,date,num_likes
I’ll never understand why you don’t get more praise . Like you’re a whole women show and not like every YouTubed who makes their her bf edit! Love it,Ray Luv,2020-10-02T20:26:43Z,0
What shade are you in the ABH luminous foundation?? 🥰,realdanamarie,2020-01-26T03:59:58Z,0
Anybody knows the song that plays in the intro?,Kelley R,2019-12-07T01:16:41Z,0
Awesome 😍😍😍🥰🥰😍🥰,Happy Hearts,2019-11-30T03:24:19Z,0
"<a href=""https://youtu.be/16xDkUE7OOE"">https://youtu.be/16xDkUE7OOE</a> Hey Nicole, you are my girlfriend’s inspiration. She loves watching your channel and has even gotten me watching your videos with her. She’s been nervous to start a channel and finally made her first video after 3 years of debating whether or not she is good enough. Do you have a advice or critiques you can share with her? I know it would mean the world to her if someone as talented and well-known as you  blessed her with your knowledge. She is an amazing artist and I am her biggest supporter as I’m sure Jeremy is for you so I thought I’d share her video with you.",Juan Giro,2019-11-09T23:45:54Z,0
You are so talent wooow,Martha Amorim,2019-11-05T02:42:32Z,0
"<a href=""https://youtu.be/eODK30o46Jg"">https://youtu.be/eODK30o46Jg</a>",Kaye Johnson,2019-11-01T22:41:46Z,0
Every year im so impressed with your talent!!! Happy Halloween Nicole!! 🎃🎃♥️♥️,Kickboxing Lady,2019-10-31T17:01:48Z,0
OMGGG GIRLLLLL 🔥🔥🔥🔥🔥<br />I’m gonna try this look for tonight!!! <br />WISH ME LUCK ILY😘,Kim Melna,2019-10-31T14:04:33Z,0
You are amazing 😍😍 ....&amp;does anyone know what song that is?,Jamie Lopez,2019-10-31T04:45:15Z,0
The QUEEN of Halloween tutorials yassssss,Rachel Landry Saunier,2019-10-31T03:48:15Z,0
Does anyone remember what she used to remove the stain she got from the paint? I’m doing this look but need to know how to remove it properly in case it stains 😂,Laila Nadeem,2019-10-30T21:01:56Z,0
What is the background music!! Please,Michelle Babcock,2019-10-30T20:47:40Z,0
As always your Halloween looks are out of this world 🙌🏼🔥🔥🔥🔥🔥🔥🔥🔥,Ivelina S.,2019-10-30T19:50:18Z,0
sickkkkkkkkkkk,Blanca Reyes,2019-10-30T18:52:51Z,0
Creepy &amp; Beautiful...Reminds me of those fab makeup artists from the show Face Off.,NYMahogany,2019-10-30T14:57:50Z,0
"I always wonder, do you choose the music your going to use first or after? Cos your always in time with the music 😭 amazing xxx",Chloe S,2019-10-30T08:01:33Z,0
You are the queen of Halloween looks hands down 😍😍😍😍😍😍💟💜💗💜,Maria B,2019-10-30T00:13:20Z,0
Why has no suggested that you and Mykie at glam and gore do a colab!,Jennifer Ilgaz,2019-10-30T00:13:04Z,0
Queen 💖,RazDelCerro,2019-10-29T10:07:14Z,0
Soooo bomb 🔥🔥🔥,Roxxi Zayas,2019-10-29T06:07:32Z,0
Wow 💜 love it 😍,Favi Alvarado,2019-10-29T04:48:15Z,0
You did it again!! 🙌🙌🙌,Angelia Cottrell,2019-10-29T02:53:41Z,0
TALENT! 💜,Michelle Labelle,2019-10-29T02:12:54Z,0
You are still the Queen Nicole 👌🏻❤️,Jayleen Gonzalez,2019-10-28T22:54:03Z,0
"I really am so inspired to recreate this for Halloween girl but with all that shading and blending imma have to wake up at least 3 hrs before work to get this done. But I really want to do it, I just hope the paints I get cooperate with me.",Iris Juliete,2019-10-28T18:01:48Z,0
Brb gotta change my ENTIRE Halloween costume to do this look instead 😩😍🤦🏼‍♀️,VintageRican,2019-10-28T14:00:17Z,0
This looks AMAZING!!!,Zil3337,2019-10-28T09:50:02Z,0
This was amazing!!!!,Karen Crouch,2019-10-28T02:49:54Z,0
yassss loveeee this 💜💜💜💜💜,Alexandra Sanchez,2019-10-28T02:06:46Z,0
I love this one 💜💜💜,Courtney Patrick,2019-10-28T00:30:31Z,0
This look is dope af 🙌🏼,Mary Colunga,2019-10-27T21:34:49Z,0
Wow by far my favorite look this year soo beautiful Nicole you can&#39;t make a scull look creep lol love your looks❤❤💕,J R,2019-10-27T17:07:08Z,1
Love this sooo much! My fave this Halloween!,Candi Blair,2019-10-27T14:28:47Z,0
"Insaneeeeee! I want to try to do this look on me for Halloween next week 💜<br />Love you so much mama, kisses from Spain 💜💜",Ainhoa Notario Fernández,2019-10-27T10:54:18Z,0
Bomb!,Ashley Bouthillier,2019-10-27T07:49:26Z,0
U always kill it wit these looks!!,jessica castro,2019-10-27T06:27:40Z,0
Kween of Halloween 🎃,Tiffany Cheri,2019-10-27T04:31:07Z,0
What glitter did you use?,Letty Martinez,2019-10-27T02:48:39Z,0
You’re so talented! I love all the Halloween looks you do!!  ❤️❤️❤️,vanessa echeverria,2019-10-27T01:35:59Z,0
So talented! You described what you were doing perfectly. You inspire me. Love you girl ✌🤗,Jaymie Levasseur,2019-10-26T22:37:36Z,0
La línea negra q pusiste a la mitad del rostro con El delineador negro le dio el boom al maquillaje y los detalles lo hacen ver más real. Quedó increíble ♥️😍,Lore Lose,2019-10-26T22:29:56Z,0
love love love it. So sad Halloween is almost over but........CHRISTMAS next xxx,Angela Bell,2019-10-26T20:51:32Z,0
I appreciate all these Halloween looks! But wheres the engagement vlog!! 😭,Skyler Est,2019-10-26T20:28:33Z,0
Fire af!!! 🔥,Beauty Therapy,2019-10-26T20:09:47Z,0
QUEEN! You are killing it this year! My favorite is you and YOUR Fiancé! It was so cute and funny! Me and my husband both watched it! Please add him in more videos,Kaleigh Graham,2019-10-26T19:30:34Z,0
You should do a tutorial on “The Angry Princess” from Thirteen Ghosts!,Tina Stanley,2019-10-26T18:14:21Z,1
You are such a talented makeup artist!,maj soso,2019-10-26T17:51:19Z,0
My great goodness. Nicole is so talented!,Jen Schrock,2019-10-26T17:04:18Z,0
"Absolutely love this creative masterpiece 🧡🧡🧡🧡 Glad you did pink, it’s breast cancer awareness month💗 plus my favorite color 💗💗 Girl you rocked it🖤🖤🖤🖤",angel smith,2019-10-26T16:59:52Z,0
This look....girl you killed it ❤,Krista MT,2019-10-26T16:33:10Z,0
I beyond love this one🙌🎃😍,Stephanie Martinez,2019-10-26T16:24:01Z,0
Girl you kill these halloween looks,Sweety Yadav,2019-10-26T16:01:09Z,0
You are so talented and you are my top favourite beauty guru on youtube love3 ur video so so so muchhh,shila ismail,2019-10-26T15:07:19Z,0
Insane!,Lindsey Leach,2019-10-26T15:03:30Z,0
Where did u learn this creative skill? Is it self taught?,Glory,2019-10-26T14:27:31Z,0
Amaze balls!!!,Herseim14,2019-10-26T14:07:45Z,0
Who else thinks that for these Halloween vids she should put like a black curtain or something as the thumbnail so we can just wait and see how it comes out? I say this just because we all know how dope she is and it so it would be a surprise for us and build up anticipation.. just a though 🤷🏻‍♀️,Rick & Nick’s Squad,2019-10-26T13:47:57Z,0
"Girl if you didn&#39;t know already then let me reiterate, YOU ARE A FREAKING L.E.G.E.N.D. 🙌🏼🙌🏼",Arushi Chhetri,2019-10-26T13:29:10Z,1
Always in love with the intros!,Arianna R,2019-10-26T11:48:45Z,0
Your look was FABULOUS!!!,Empananda,2019-10-26T10:59:05Z,0
LOVE LOVE LOVE!!!✨💜💖,Janae Ramon,2019-10-26T06:49:16Z,0
YOU ARE SLAYING THESE LOOKS 🥰🥰🥰😫🙌🏼🙌🏼🙌🏼🙌🏼,Rebekah Herman,2019-10-26T06:10:41Z,0
That intro tho. 🙌🏻,Chelsea Megan,2019-10-26T05:54:27Z,0
Obsessed!! 😍💀💜💜💜💜,Melissa Blanco,2019-10-26T05:54:14Z,0
My girl is not playing this year!! 😍,Kristina Ramirez,2019-10-26T05:35:28Z,0
"Girl, you have mfkin talent!!! 😭😍",Gigi 95,2019-10-26T05:34:35Z,0
Please continue making videos like this even after Halloween! You are an artist 💕,Kiley Castaneda,2019-10-26T05:31:23Z,0
Obsessed :) thanks for keeping your holloween video tradition going,Jessica Cucufate,2019-10-26T05:14:17Z,0
She did nottttt have to slay this video like this !!! My girl forever 😍😍,brittney Gordon,2019-10-26T05:09:49Z,0
Your talents is unsurpassed! Beautiful!,Diana D'Amico,2019-10-26T04:59:13Z,0
I love it ...! I hope I can do it,Ana Velez,2019-10-26T04:43:45Z,0
Yep!!! AWESOME!!!!!,Sara's BeautynSimplicity,2019-10-26T04:27:22Z,0
Killin’ the game sis! 💜💜💜💜💜💜💜💜,Maria del Carmen,2019-10-26T03:46:20Z,0
🔥🔥🔥👏👏👏,Jay Bee,2019-10-26T03:23:27Z,0
The queen 👑 of Halloween Makeup Tutorials 💕🙌,Diana Cisneros,2019-10-26T03:11:41Z,0
Omg that looks soo cool.,Cynta Kat,2019-10-26T03:08:29Z,0
LOVE THIS!’ 💀🔥,Let's Talk Beauty,2019-10-26T03:06:33Z,0
Her: Skull teeth are my weakness.<br /><br />Me: You have no weakness !!! shut your dirty little mouth,Crystal Imera,2019-10-26T02:54:49Z,0
"OMG The talent I wish I had, you killed this look.",Darcy E,2019-10-26T02:49:14Z,0
Girl!! I just love you!! Your creativity is BOMB🔥💯💥💣!,Brandi Parker,2019-10-26T02:42:49Z,0
❤️,Deziree Monique,2019-10-26T02:36:58Z,0
WOW. So much skill!,Beth King,2019-10-26T02:16:56Z,0
I love seeing the transformations 😍😍😍 queen of Halloween looks!,Jennifer Collado,2019-10-26T02:01:51Z,0
Love this look!!! So bomb!!! 💜💜💜,Katie Pruitt,2019-10-26T01:12:38Z,0
so disappointed we didn&#39;t get the original pic as comparison! i wonder if this is the look that stained her face so badly...,kayce m.,2019-10-26T00:53:39Z,0
Queen of Halloween tutorials !! ❤️,Olivia Rachelle,2019-10-26T00:40:27Z,0
So dope💜,Katiejay21,2019-10-25T23:29:02Z,0
My fav part was your man kissing you 😂 he was like “yea baby do the damn thang”  y’all about relationship Goals!!🙌🏽😋🥰,Maribel Flores,2019-10-25T22:49:09Z,0
You’re awesome! This beat is sick. Hahahahahaha. Love youuu!!!!,Angela Martinez,2019-10-25T22:35:24Z,0
I just LOVEEEEEEE your intros. Like LOVE. 😍😍😍,Brianna Ochoa,2019-10-25T22:22:53Z,0
QUEEN,Carla Delgado,2019-10-25T22:21:19Z,0
Yesss! I love it 😻,Makeup N Hair Ties,2019-10-25T22:00:12Z,0
Love it!💜,Agata Ka,2019-10-25T21:47:16Z,0
YOU KILL IT EVERY TIME!!!!!! Love this!!!,Natalie Mejia,2019-10-25T21:46:43Z,0
Yes!! Now imma go buy water activated colors...,Daniela Paz,2019-10-25T21:45:37Z,0
Thank you for showing us how you do the teeth. Now I know how to do mine for Halloween great video,Mary V,2019-10-25T21:27:23Z,0
I want to try this so baddddd,Alexandria B,2019-10-25T21:24:53Z,0
This look totally reminds me of Maze (Lucifer) on Halloween 🤩,Assal V,2019-10-25T21:03:06Z,0
I was wondering when you will do a skull make up look !!!!!! So creepy but so glam !!!!! LOVE IT !!!!! Plz another one plzzzzzz 🙏🏽🙏🏽🙏🏽,Insia M,2019-10-25T20:52:38Z,0
A bish is talented for real tho. Periodttt... you make this look too easy! Xoxxo 😍🥰😍,Dee Money,2019-10-25T20:15:16Z,0
The intros are always my favoriteeee lol have loved you since I looked up your red hair tutorial vid when I was 16.. I&#39;m 21 now lol❤️❤️❤️❤️,Ariel Faith,2019-10-25T20:08:26Z,0
Definitely one of my favorite skull looks!!!,Ashara Armer,2019-10-25T19:39:48Z,0
One of my favorite looks ever,Harmony Haman,2019-10-25T19:36:02Z,0
How many hours did this take?,Gabriella Kohabir,2019-10-25T19:23:36Z,0
Yasss!!! Hands down the best look!! I love your skulls !!!!,Shauna Marie,2019-10-25T19:22:23Z,0
Omg 😱 i love it 😻 I will try to recreate this for Halloween 👻💜💜💜😍,Giovanna Ramirez,2019-10-25T19:20:55Z,0
"But I wanna see a tutorial for that purple (good side) eye 😂😂😂 BTW, this look is awesome!",Samantha Boggs,2019-10-25T19:13:54Z,0
Props to you girl💜💜,Eliza Madrigal,2019-10-25T19:08:59Z,0
🖤,Yachy Ivy,2019-10-25T19:02:58Z,0
"Every year, I don&#39;t order Halloween contacts and, every year, I regret it. Whyyyy.",Jessica Wheeler,2019-10-25T18:54:28Z,0
"was hooked from the very start ,you are talented girl and love you xx",Kerry Parkinson,2019-10-25T18:50:16Z,0
you are so talented Nicole!!,Mel G,2019-10-25T18:47:31Z,0
I loved it ! Your holloween looks are always my favorite 🥰🤟🏼,Veronica Moreno,2019-10-25T18:44:13Z,0
"I don&#39;t do Halloween,  but I do love seeing your creations every year! You are awesome!",Maria perez,2019-10-25T18:44:00Z,1
Wow ! You are so talented ! 😱❤️,Veronica Moreno,2019-10-25T18:43:47Z,0
You are so talented! I&#39;m in love with this skull look!,Payal Patel,2019-10-25T18:36:01Z,0
Wowwww this was so sick i loved it you so talented 🔥🔥🔥🔥❤❤,Josefina Mercedes,2019-10-25T18:30:02Z,0
Mad skills and talent!!!,Teresa F.,2019-10-25T18:17:20Z,0
Love it.,Adriana Galvan,2019-10-25T18:14:58Z,0
This is really cool!  Love it two thumbs up,Rachelle Bañuelos,2019-10-25T17:22:22Z,0
