comment,id,date,num_likes
So creepy!!,Mom Of Three,2021-04-22T07:41:37Z,0
This is fucking genius,Olivia Marie,2020-09-26T15:19:55Z,0
Hoping for another one like this soon! By far my favorite! ❤️❤️,Kelsey H,2020-09-25T03:44:49Z,0
Awesome 👍🥰😍🥰😍🥰😍,Happy Hearts,2019-11-30T03:21:14Z,0
This is my fave look!,Felicity Faulkner,2019-11-05T08:44:13Z,0
"Did your makeup for Halloween and it came out badass, got a lot of compliments, take a look at it on my Twitter VeeVilla. A couple of people thought it was a mask lol ThankYou for your great tutorials 143 💜",Veareny Villanueva,2019-11-02T10:40:07Z,0
Amazing work!!! 😻👏🏼,Kelli P,2019-11-02T03:43:35Z,0
You are the 👑!!!!!!,lovliesusie1,2019-10-31T03:18:47Z,0
Wow ok so inspired to try this tomorrow wish me luck!!<br />Ps. How do you remove all the eyebrow glue just oil cleanser ? Lol,Alondra Martinez,2019-10-31T03:00:20Z,0
Omg 😮 i would of never figured out how u did this if i hadn’t seen the video. Great look . Love it !!!!,Andrea Garsia,2019-10-30T20:01:19Z,0
I absolutely love this!!,JCavazos17,2019-10-29T16:00:42Z,0
Excellent !,Anna Ismail,2019-10-29T07:03:34Z,0
A M A Z I N G 😍,Usha Bharadwa,2019-10-28T20:56:24Z,0
Wow this is amazing!! One of my faves this year!!,MokaTutu,2019-10-28T04:47:32Z,0
Do character interpretations of favorite movies- all year round. Create characters and give them stories! It just seems you haven&#39;t been this happy in years- unless it is Halloween. And we ALL LOVE all of your Halloween videos. Do your thing Nicole. Make happy videos.,Alexandria at Fifth Avenue,2019-10-28T03:06:09Z,0
Talented. Love watching these videos,Denielle Alexander,2019-10-28T02:57:54Z,0
Does she like delete any negative/critical comments because this is straight up bad...,S K,2019-10-27T19:49:28Z,0
Looks like Ariana Grande,Stoney Josephine,2019-10-27T04:30:55Z,0
have to say this is probably one of my fav5 that you have ever done 😍😍,Katie McGough,2019-10-26T15:33:16Z,0
Wow ... super 🙏🏼,Ana Velez,2019-10-26T04:56:12Z,0
"Love, love , love this!! I also saw Abby&#39;s photo on Instagram and had to recreate it. Nothing compared to yours since you are the Halloween Queen but it was very fun to recreate.",Mayra Gianira,2019-10-25T23:53:32Z,0
WOWWWW this one really got me shooked by far the best !❤️❤️❤️❤️❤️ like no way!,Vanessa Sanchez,2019-10-25T01:31:36Z,0
All the looks are just fucking good like girl you have pure and raw talent!!!! I’m amazed every single time 😍,Sobeidalizcenteno,2019-10-24T23:35:25Z,0
This is so cool it’s like a look I could actually try!!! Tysm,Brooke Soldiers Unite,2019-10-24T22:47:41Z,0
Your the best youtuber of life.,Johanna Mojica,2019-10-24T20:46:42Z,0
I love it 🖤🖤,Briseida Andrade,2019-10-24T06:12:17Z,0
You are beyond talented❤️❤️,Julissa De Armas,2019-10-24T04:43:38Z,0
YOU ARE LEGIT ! THE BOMB ! SO ARTISTICALLY INTELLIGENT !,Bremen,2019-10-24T02:51:31Z,0
This shit is bananas! i love it,Paige,2019-10-24T01:07:04Z,0
The only person whose actually doing the work this October 👏🏿👏🏿👏🏿👏🏿,Jo-Ann Mahaka,2019-10-23T22:54:18Z,0
love it,Mis Donn,2019-10-23T22:08:47Z,0
You did that!!! 🙌🙌 yassss!,Lets Talk About It 2,2019-10-23T20:57:27Z,0
yasss love it ! I&#39;ve been uploading halloween content too !,Beauty By Estefania,2019-10-23T20:21:24Z,0
Love it! Gotta try it out and give it my own spin.💜💀<br /><br />The end poses reminded me like Ariana Grande and that creeped me out the most lol 😂,Monica J,2019-10-23T18:47:17Z,0
Damn it&#39;s so good,Kristi Ellis,2019-10-23T16:23:16Z,0
Love love love! 🖤🖤🖤💣 143,Holly Ashley,2019-10-23T08:32:38Z,0
Bored,kparliameent,2019-10-23T08:08:00Z,0
this is craaaazy good,EmmaaElizabethhh,2019-10-23T07:22:28Z,0
