comment,id,date,num_likes
"✨Smile, someone loves you; his name is JESUS!✨John <a href=""https://www.youtube.com/watch?v=bgieZx0CwAo&amp;t=3m16s"">3:16</a>, John <a href=""https://www.youtube.com/watch?v=bgieZx0CwAo&amp;t=10m10s"">10:10</a>, John 14:6, acts <a href=""https://www.youtube.com/watch?v=bgieZx0CwAo&amp;t=2m38s"">2:38</a>✨",parinaz Az,2020-02-12T03:13:36Z,0
I have always loved your hair tutorials!,Keys And Lyrics,2019-10-06T12:50:53Z,0
What happened to no more sponsorships,Mai Mathers,2019-09-27T18:13:42Z,0
Id tone those high lights!,T,2019-08-21T21:57:41Z,0
Nicole!!!!!!! Wanted to start by saying how much I enjoy all of your videos and love you. I need your help!!! I finally got clip on extension and I noticed you don&#39;t have an updated version of how to do it and how to style. PLEASE HELP!!!!!!! &lt;3&lt;3&lt;3,ari,2019-08-20T12:55:44Z,0
Okay and so now can we talk about that hairline is it natural or no.....😏 I need tips maybe....,Maria Mail,2019-08-15T04:51:55Z,0
My nephew just broke my Nicole Guerriero Anastasia highlighter and I almost cried ☹️ that was my all time favorite highlighter kit 🥺 lol ugh I’m so sad can they bring it back pleeeeaaaaseeee!!! <br />Love you Nicole!!! 💖❤️,Citlalin Ramirez,2019-08-13T01:45:44Z,0
Lol the mime language in the video is hilarious and sassy,NaturallyPeez,2019-08-06T02:11:37Z,0
wtf is whit your bangs highlights,Daniela Pavlovska,2019-08-04T23:19:54Z,0
What’s with the yellow hair!!!,Ahlam Kh,2019-08-04T13:32:39Z,0
I love the flowers in the back... where did you buy them? 😍,Kirsiellyxo,2019-08-03T01:55:56Z,0
I’m debating saving up for this dryer! X,Katie Smith,2019-08-02T11:53:46Z,0
I would like to see you drying forward standing like you send a video doing this,Fabiano Costa,2019-08-02T10:28:51Z,0
Omg Nicole at the beginning of the video was so me in middle school! I had the two highlights in the front with a white muscle shirt and wet hair with my name necklace lol,Xoxoangie07,2019-08-02T03:55:53Z,0
I got my Dyson blow dryer a few days ago and I love it! Cuts down my drying time at least 15 minutes.,Tori B,2019-08-02T03:35:32Z,0
Love you xoxo,Sarah McKenzie,2019-08-02T03:11:00Z,0
"I would really appreciate if anybody help me with any donation to pay my rent I have until Monday 08-05-19 if not they going to kick me out and I have a 3 years old son . 😭😭😭😭 I recently lost my job and I dont have any help from nobody.Any donation even a dollar will be a bless for me 🙏🏻🙏🏻🙏🏻. This is the link for my go fund me. Any donation will be a bless for me 🙏🏻 <a href=""http://www.gofundme.com/f/looking-for-a-place-to-live-before-08062019&amp;rcid=r01-1564712289,75-a288c9bd77ca4234&amp;pc=ot_co_campmgmt_m"">http://www.gofundme.com/f/looking-for-a-place-to-live-before-08062019&amp;rcid=r01-1564712289,75-a288c9bd77ca4234&amp;pc=ot_co_campmgmt_m</a>",Vaneangelis Velez,2019-08-02T03:00:22Z,0
She really knows how to sell stuff to me🤣🤦🏻‍♀️,Indra Martinez,2019-08-02T01:42:07Z,0
Loved that vid♥️,nele,2019-08-01T22:22:58Z,0
Jlo?!!,makeda rad,2019-08-01T21:50:02Z,0
I knew this was dyson inspired immediately. It makes me so jealous. I need to save for this dryer!!!!!! 😭,Dominique Porchi,2019-08-01T18:14:39Z,0
