comment,id,date,num_likes
Do more,Katarina Schunior,2020-07-16T09:28:17Z,0
loveddddd this!!!! pls do more!!!!,Michelle,2020-05-02T15:02:46Z,0
643 beebs plays motley crues kickstart my 🧡,Crispy Cookie,2020-04-01T07:35:19Z,0
I luv ya girl but I just noticed that you pronounce Laneige wrong.,Makeupbymariam____,2020-01-05T03:58:14Z,2
"The ice steering, is not good for ASMR. Smh",HebaGoddess Mahmood,2019-12-22T02:38:54Z,0
I am dead! haha good job,A Va,2019-12-18T00:23:34Z,0
Love you forever Nicole.!!! How do you store your double ended brushes.!???,Sandy Juarez,2019-12-06T01:23:45Z,0
I wished I had her eyelid space 😍😍😍😩,Devon Diego,2019-12-02T06:10:02Z,0
The best asmr video i have seen 😍 you were trying so hard to stay quiet and my loud ass on the other side here could not stop laughing out loud from your silliness 😂😁 143 ❤❤,Maryvel Navarrete,2019-11-05T02:24:33Z,0
omg nooooo don&#39;t do asmr 😂😂😂😂,Mo Kaata,2019-10-24T02:20:22Z,0
Funniest ASMR I&#39;ve seen XD,The pelicanbeaver,2019-10-21T20:43:31Z,0
Wow u really don’t get a lot of views any more sorry,Jay toys,2019-08-31T08:55:31Z,0
The sound of your beautyblender applying your foundation was so disturbing but I made it through Lmfao,Kimberly Lopez,2019-08-18T20:41:48Z,1
"<a href=""https://www.youtube.com/watch?v=ePbUu_T15Wo&amp;t=11m05s"">11:05</a> was that too loud? We are boys... Idk why the frick this showed up in my feed but it is absolutely great 👌",Last Standing Crusader,2019-08-15T23:40:06Z,0
Just do the makeup,Karina Sandoval,2019-08-14T05:18:31Z,0
Omg I can’t stop laughing 😂 I love ❤️ it!!!!,Kawehionalani Sai,2019-08-13T08:08:35Z,0
I’m rewatching lol 😍,LMV,2019-08-10T06:27:39Z,0
Omg I love this 😂 new sub 🥰,LMV,2019-08-06T06:29:49Z,0
This is hilarious.,The Berean Baker,2019-07-29T20:23:33Z,0
U definitely remind me of a female version of Manny MUA. Loved this vid!,Jennifer Ramos,2019-07-21T08:01:03Z,0
You were absolutely cute to watch doing ASMR lol,iTz Shaqee,2019-07-14T13:13:51Z,0
🤔 Could this be a new thing. Asmr makeup tutorials. 😍,Simply Slayyed,2019-07-07T02:02:32Z,0
Asmr is soooo cringyy! 😣 but I just put the video on mute and it was great. Can NOT miss any of your videos 🤗,Lizbeth Cruz,2019-06-30T02:02:47Z,3
Try using the kat von d powder w a damp beauty blender ... works well 👍🏻,jersey815,2019-06-27T11:53:09Z,0
😆😆😆🤣🤣🤣..love it!,Electric Fox,2019-06-27T01:53:24Z,0
Ahhhh can’t even watch this!!!! Lol 😂 I don’t know why people enjoy this,lovliesusie1,2019-06-26T04:22:08Z,1
😂😂😂😂 please do more asmr,Debbie Jurista,2019-06-23T20:58:38Z,1
That iced coffee is the least asmr thing I have seen in an asmr video lol,Ashley Jackson,2019-06-23T06:44:26Z,1
"<a href=""https://www.youtube.com/watch?v=ePbUu_T15Wo&amp;t=4m45s"">4:45</a> that eye Intense thooo!🤣🤣🤣🤣 omg",Jayy P,2019-06-22T19:09:48Z,1
"Your gulps! 🤣🤣🤣 please do more. I too, am trying to laugh quietly 💀",Maria Rosas,2019-06-22T03:21:47Z,3
Does anybody know the brush she uses for Blush ?,Lia,2019-06-21T13:31:51Z,1
the large gulps. the random excessive nail clicking. the aggressive use of the brushes. the in-between <b>i wanna laugh so hard</b> chuckles. the fart. the breath check. everything is killing me. You mah bish. I&#39;m out,Marialis Peralta,2019-06-20T16:05:35Z,1
lol I love how kept cracking yourself up!,Samantha March,2019-06-17T02:11:44Z,0
"My son was born with some tummy issues and we started watching ASMR vids to ease some stress. He’s 2 now and we still watch them at nap and night time. I LOVE NICOLE’S MAKEUP TUTORIALS! She is a hoot to watch and I have learned so much. Stumbling across this ASMR video of hers today, at nap time with my son... He and I both laughed hysterically! 🤣 So awesome! Totally getting some of that Tarte Foundation, too! ❤️",Jill Slayton McDaniel,2019-06-16T22:06:13Z,0
OMG i fell asleep😴😴😍❤,Chloe Mendez,2019-06-13T17:41:57Z,0
I&#39;d love to see a video of you winging your eye liner I&#39;m a beginner and I can&#39;t seem to grip it,Chance Yocum,2019-06-08T19:31:30Z,0
