comment,id,date,num_likes
So pretty,Pearl Vernan,2021-04-17T08:05:50Z,0
I need to know what song this is!,Holly Deermyer,2021-02-27T06:19:47Z,0
What do you recommend for exfoliating?,NikkiP VT,2020-04-02T23:37:00Z,0
How to keep that glow in quarantine! Lol,Annie Honeybee,2020-03-27T00:47:09Z,1
Would LOVE if you did a “Tanning 101” video! 💕,OMG It's Jessie B,2020-03-25T21:50:47Z,0
"Nicole, how do you do your back?",Richelle Entrup,2020-03-06T19:30:43Z,0
wow ur gorgeousssssssss,golden.s,2020-02-24T12:46:28Z,0
If you compare with the loving tan what would it be different besides the sent and the quick drying?,Liliana Mendoza,2020-02-21T02:27:49Z,0
That tan. That hair... straight vibes!!! self tanning tonight!!,Bella Adriana,2020-01-15T13:02:57Z,0
I cant get this products in Germany 😔,Naddi Raddi,2020-01-15T02:21:07Z,0
"I definitely want to try this! I know you don&#39;t use this on your face, is that just b/c you wear makeup most days? I don&#39;t wear foundation so I would definitely need to use this on my face, would you recommend using this one? Or does this brand have a specific face tanner that you recommend? Thank you!!",Morgan Hash,2020-01-09T14:00:26Z,0
brb... going to tan,Katie Shea,2020-01-07T22:26:31Z,0
Does she have veneers,Jess Rene,2020-01-05T21:35:11Z,0
Girl I tan my self here in Mexico😩 I look like dirty ol&#39; snooki💀,Jenny Alejandre,2020-01-04T05:00:13Z,0
How do you get your back?,Kenna Lammers,2020-01-03T02:47:04Z,0
Vlogs please? 😩,Hannahs makeup world,2020-01-02T12:19:46Z,0
You look amazing with the self tanner.,xxjosieluvsyouxx,2020-01-01T21:21:11Z,0
"Looks beautiful! Question, can you wear this product or another self tanner before you go on a tropical vacation where you’ll be in a pool a lot or at the beach in the ocean? <br />You’re gorgeous and I love watching all your videos😍",Tanya Lima,2020-01-01T17:26:19Z,0
What do you use to tan your face? Or do you just switch to a darker foundation?,Life Is Good,2019-12-29T05:49:55Z,0
do you have any methods or tips for when you’re tanning your feet? mine always look CRAZY anytime i do,gi_vic94,2019-12-28T21:55:47Z,0
Tan looks beautiful on you😍,Ceci Garcia,2019-12-27T02:37:44Z,0
But which foundation matched,Lina Zaabout,2019-12-25T23:39:57Z,0
But do you not turn out orange? That is like my biggest fear lol<br /><br />And another question can you swim with it? Lol,kay bye,2019-12-25T12:31:09Z,0
Your tanning videos are the best!,Alexzia Hernandez,2019-12-22T16:23:18Z,0
Get rekt,Ron M,2019-12-22T01:55:37Z,0
Sun protection routine?!?! Love you girl!!!,Sara Dorheim-Davis,2019-12-22T00:51:56Z,0
I just want to know what&#39;s the deal the tanning?. Why y&#39;all want to be darker...just curious.,Peggy Young,2019-12-21T22:11:26Z,0
I’m half Scottish with Irish and then half Native American so in the warm months I’m very tan/ dark but once winter hits the Scottish / Irish in me comes out so since I don’t see the sun much. So I tan in the winter to keep my skin the color I’m used to being .  I prefer self tanner because I don’t want skin damage . I can walk to the mail box and come back with intense tan lines,Megan Rose,2021-04-08T20:16:38Z,0
"For me, I notice that when I&#39;m darker in the summer, &quot;flaws&quot; of the skin are less noticeable. Bruises, cellulite, etc...<br /><br />Self tanning is great to me because it&#39;s like make up for the body. I&#39;m super light complected but in the sun I can get pretty dark, and stretch marks and scars can annoyingly look more aggravted from sun exposure. With self tanner, even if I&#39;m naturally tanned from the sun, it covers those issues like concealer or foundation, and it can be used to contour the body and give the illusion of being more slim. Even my fam and girlfriends blessed with way more melanin than me, use self tanner for those reasons (Jackie aina has a video about using it to even out her skin tone, etc...). <br /><br />Melanin abundant skin is so beautiful and it should be embraced on the people born with it naturally not just the ones who completley alter their appearance and call it a look. Unfortunately we live in a world where some influencers will self tan themselves to the heavens, then have hateful, racist tweets show up 👎 the logic is absent and ignorance is present in many. In real life in the sun, and as a kid, Nicole probably got as dark as this naturally but we know that UV rays can be damaging so she fakes it and shes getting that coin at the same time.",Talisha Lara,2019-12-23T10:39:18Z,0
Uhhh honey are you engaged?! Baby. We want all the tea!. ♥️,Peggy Young,2019-12-21T22:09:37Z,0
a glowwwwwing queen,Celina Teresa,2019-12-21T21:41:41Z,0
damn das a big ring you ain’t talking about,niamh windmill,2019-12-21T21:01:32Z,2
Im trying to but this stuff at Walgreens website because it&#39;s 50% off today!! But it won&#39;t let me purchase this one,Maria Rosales,2019-12-21T17:53:02Z,0
I am so glad I live in the Midwest and only need to self-tan 2-3 months out of the year 😆 I’m too lazy to do this sh*t all year long,Allison Logsdon,2019-12-21T17:06:42Z,0
I wanna make a you give video but scared and embarrassed!  Help pls,Angie Miller,2019-12-21T02:34:27Z,0
How do you do your back!?,Miss M,2019-12-21T00:26:57Z,0
You look bomb sis 😍🙌🏼 I’m buying this now lol,Nayelli D,2019-12-20T22:51:58Z,0
I love Bondi Sands but I prefer the original over the foam. The foam looks SO green to me when you first apply it but it does look great the next day.,Kylee Hansen,2019-12-20T21:53:49Z,0
I am going on a 7 honeymoon I April would this last the 7 days? Including the pool and flor. Heat,Mara K,2019-12-20T21:17:31Z,0
Mara K typically self tan will last 5-6 days but in a pool chlorine will make it fade faster! When I went on my honeymoon my fake tan lasted the first 4 days :),Dianna L.,2019-12-27T15:23:57Z,0
how do you tan your back?,Brandi McKenzie,2019-12-20T20:21:47Z,0
PLEASE DO A Q&amp;A WITH JEREMY + ENGAGEMENT VIDEO!!!!! GIRL YOU&#39;RE KEEPING US WAITING!,alice Styczen,2019-12-20T16:21:28Z,3
"I was all excited about this product. Was ready to go get me some, then you said coconut smell 🤢 ugggggg!!!! I hate coconut. Girl, but that tan looks good!!!!! Do they have 1 without the coconut smell? 🤔<br />Much love💜💜💜",Heathers Sparkly Rainbow,2019-12-20T16:15:00Z,0
Glow attributes to darker skin? I don&#39;t think so,Yasmine Symone,2019-12-20T15:38:39Z,0
✨✨✨✨ queen,Rayleen Nunyah,2019-12-20T15:05:55Z,0
Wait so does she use it on her face to? It&#39;s so pretty!,DIANA KOZAROV,2019-12-20T13:28:29Z,0
This felt hella addy !!,itwasalladream,2019-12-20T09:30:07Z,0
What foundation shade do you recommend for this color tan? Can you let us know some of your favorites?,raquelxglitter,2019-12-20T08:51:54Z,0
Ugh my god. I swear you’re not listening to us. You’re my absolute favorite YouTuber. I’ve always supported you. I still and will continue to support you. But pleeeaaassseee. GIRL . Please read our comments. Listen to your supporters and give us the content we ask for. Stop giving us half as videos. Videos that we didn’t ask for. Looks at the amount of the views you get for each video you post. Maybe that will give you a better idea for what your audience enjoys from you. <br />Because I love you and support you please. We want you to do better. Or at least do what we know you are capable of. I look forward to your videos and I want to continue to support you . Please listen better♥️,Yve M,2019-12-20T05:39:43Z,0
"I know so many people are scared of the sun, but if you hear from people in the southern states where there is way less sun than say Los Angeles, those people are always so deficit in Vitamin D. I’m from L.A., and I don’t take the time to lay out in the sun much, but I ALWAYS feel better when I have a little natural glow from the sun. I feel healthier, I have more energy, I look younger etc. I feel like there’s more danger in hiding from it, truthfully. If you’re Extremely pale, then yes you have to avoid it. But when I’ve avoided the sun years at a time it only succeeded in making me look and feel worse. So I’m an advocate for 15 minuets a day at least walking around in the sun.",Bridgette Mezlini,2019-12-20T01:08:45Z,0
"Yes girl, another video!!! 143💜",Amy Kristic,2019-12-20T00:12:12Z,0
do you tan your back?!,chelsea garcia,2019-12-19T23:49:52Z,0
PLEASE MAKEUP TUTORIAL ON THIS LOOK!!! so gorgeous,Jess Taylor,2019-12-19T23:01:27Z,0
