comment,id,date,num_likes
The Charlotte Tilbury does smell! I thought it was just mine! 🙊,Verity Sadlier,2021-01-17T23:27:33Z,0
The maybelline powder is the besstttt😩😩😩,Steph xo,2020-01-05T06:58:30Z,0
an old crayon lol!,Samantha March,2019-08-07T00:27:54Z,0
Can we talk about the background.  And how I feel like I&#39;m watching Top TV news about Makeup.. 😭 I love your personality and videos! Been watching you since day 1🥰🥰🥰 God bless you,Jayy P,2019-06-22T19:19:47Z,0
Please do top ten skin care! 🥺❤️,Ashley Sosa,2019-06-14T06:10:19Z,0
Bring backkkkk vlogs!  Love the top ten as well!<br />143💕,Ciara Schwieger,2019-06-10T14:33:18Z,0
"omg!! this made me so happy to see this video. LOVE your suggestions — youdaa best! &amp;&amp; my cat does the same thing!!! She is such a little lady, never heard her growl or hiss, and she makes that same sound when she talks, I’m obsessed!! xoxo 😻😻",Erica M,2019-06-09T05:26:49Z,0
Thank you for mentioning that you have anxiety too. It makes me feel more normal. Thanks for this video girl keep doing these types of videos ❤️,Alyssa Mirabile-Gouveia,2019-06-08T16:32:59Z,0
Do a top 10 face brushes please,A Littles,2019-06-08T05:00:10Z,0
What happen to Laura marcier powder? <br />Is it no longer good ?,Jack paul,2019-06-03T02:37:03Z,0
"You should try the No7 brand in the pinky tone one and see what you think of it, i love it! They have it at target",Itss Iveyy,2019-06-02T09:58:47Z,0
She is giving me Kim Kardashian vibes,juliarobertchewza,2019-05-31T21:24:08Z,0
"Forever my fave YouTuber, I taught myself how to do my face watching you 6 years ago 😊 loving these top 10s,  makes makeup shopping easier!!!",Charlee Nepia,2019-05-31T15:05:49Z,0
"XO baby love, travel anxiety is hard.",Carter Sams,2019-05-30T10:59:47Z,0
"Haven’t watched you in forever. And man I know why. Your face fillers look like shit! Should have stayed your natural beautiful self.  Good luck, moving on.",Briana Myers,2019-05-30T01:40:52Z,0
Yay! Majority of the products are cruelty free! 😊 thank you girl,Liza Franco,2019-05-30T00:51:18Z,0
"Why was she in India, again?",PinkyChiChi,2019-05-29T00:12:37Z,0
😘😘,Mayra Centeno,2019-05-28T19:22:58Z,0
Bring vlogs back,Diana Velazquez,2019-05-28T10:33:04Z,0
Hate that some products not available on different countries. Like we have Maybelline literally everywhere but loose powder? Wheeerreeee???,Sj Sj,2019-05-28T05:50:17Z,0
Wtf where was the Laura mercier secret brightening powder.....,Kelsey Bacon,2019-05-28T01:42:20Z,0
Do another RainbowBae please!!!! 😍😍😍,Jacqui Monique,2019-05-28T00:37:51Z,0
The background also!! Loving it! Loving the vibe. Loving everything about you,Deemy Flores,2019-05-27T22:50:36Z,0
