comment,id,date,num_likes
"Thanks for sharing this great video,    I order the wonderful one from replicaclubs..ru three days ago",Thaddeus Frazier,2021-03-11T11:39:31Z,0
Vain,rebornCity cutesiesbabies,2020-11-26T12:46:21Z,0
Very very cute mini bag Nicole.,Sara Lee,2020-09-06T20:56:54Z,0
What&#39;s the dimensions of this bag,Mariah,2020-04-30T04:04:38Z,0
i have the same fan as you buy pink and white,Agnese,2020-04-13T02:30:37Z,0
can u do an updated whags<br />in my bag pls😍,alyssa terrazas,2020-03-08T07:38:48Z,0
Congratulations on your engagement 🌹,Jenni A.,2019-10-13T04:24:40Z,0
I have that,jazzy unicorns,2019-09-23T23:52:26Z,0
Your make uo makes your face small srry,Vivian Jordan,2019-08-09T01:03:45Z,1
Love your little bag,billiejo pierson,2019-08-03T00:55:16Z,0
Can you post a vlog of your India trip? <br /><br />Love you.,Christina M,2019-07-30T02:22:13Z,0
There was a lot more in there than I was ready for!,Samantha March,2019-07-29T17:37:16Z,0
You look so different but I can’t put my finger on it! Almost didn’t recognize you in your thumbnail pic!,Christy Grayson,2019-07-15T03:35:10Z,0
Honestly I feel like this is stuff you never ever carry you just put some of that in there to make yourself look better... and I’m telling you no one cares how many Louis Vuitton bags or purses you have,QS 01,2019-07-10T19:03:35Z,0
I love her ❤🤪🤣👌,Red Head,2019-07-05T13:06:04Z,0
yikes havent seen any of her videos for 2 years and she looks bloated and weird,Bb,2019-07-03T05:36:36Z,0
What was that restaurant?,Autumn Nelson,2019-07-01T23:56:30Z,0
"Omg, I remember watching the video where you talked about quitting your job 😂 Fan for life !",Seila C,2019-06-25T10:51:34Z,2
Your bag is so cute!,Lele Savage,2019-06-25T04:56:07Z,0
I FINALLY found your lashes you made with eyelure 😍😍 I’ve been looking for over a year for them I bought the last pair at the Walgreens 😍😍,Chelsea Eileen,2019-06-21T13:18:34Z,0
i have like a 5x bigger bag and it cant even fit a tiny bottle how the heck did you fit those,Love and pets,2019-06-19T15:44:17Z,0
"<a href=""https://youtu.be/ex_8f1ytA4s"">https://youtu.be/ex_8f1ytA4s</a><br />Home made music video",Life of Benji & Levi,2019-06-18T19:28:30Z,0
Can I have one of your Mexican worry dolls since you have so many! I’m superstitious too and now I want one! lol,Amy Aguilar,2019-06-14T20:20:03Z,0
I want to hear all about India!,Nadii Glamour,2019-06-11T02:09:24Z,0
"I don&#39;t think that this backpack is discontinued, I think it is just very hard to get because of the popularity",Narek Gevorgyan,2019-06-10T05:26:04Z,0
Yesss these what’s in my bag videos make me so happy I just love them and it feels like way bk when When YT was so much better than it is atm . Plz do some vlogs plzzzzzzz xxxxxx,Keiran Ward,2019-06-07T20:30:07Z,1
Omg I remember that video you were so pissed about getting sent home from work for standing up for yourself,Bianca Young,2019-06-02T18:33:54Z,1
love these videos!!!!!! old school yt vibes,EmmaaElizabethhh,2019-06-02T05:54:36Z,0
Girl your eyes look so weird. Whatever you did to them (plastic surgery/fillers) make you look older,ivi122,2019-06-02T03:07:30Z,4
Agreee!,Jesus Vargas,2019-06-05T15:19:39Z,0
Vlogggggggggggg please 😩,Stephanie P,2019-05-30T12:56:29Z,0
"Is there a skincare routine for the body? Like body scrub, body butter..... Etc etc",MARCELA LOPEZ,2019-05-30T00:14:58Z,0
I loooooove these!,Jackie Hanspard,2019-05-29T18:09:13Z,0
Nicole doesn’t like authority LOL,Brittany Ferguson,2019-05-29T06:50:17Z,0
Nicole!!!! Babbyyyyy!!! I’m going to India as well June 18th. where are you going? It’s going to be such an amazing experience! Have a blast doll! 💕,Felisha Briones,2019-05-27T18:45:35Z,0
I luv u Nicole they still carry it bag on the Webste,shethripal,2019-05-27T15:41:00Z,0
Miss your vlogs!,HelloCaptainBlingBling,2019-05-27T11:14:21Z,0
Girl! What ARE YOU WEARING ON YOUR LIPS? IT&#39;S PERFECTION😍😍😍🙆‍♀️,Jen B,2019-05-27T02:04:25Z,0
I have this bag I love it but i never use it 😖 trying to sale it,Cristina T,2019-05-26T20:17:38Z,0
Anybody else feel like she was moving a little stiffly?,FLdancer00,2019-05-26T07:12:02Z,0
