comment,id,date,num_likes
She said sparkling rosé but in the description it says rose water. Do anyone know which one she actually used? Thanks,abc C,2019-08-19T00:23:53Z,0
"Love it when you upload, I miss seeing your videos! &amp; I NEED to get my hands on the Milk HydoGrip primer, I’ve heard nothing but great things about it and I always trust a recommendation from you! 💜",Lauren Aldrich,2019-06-23T03:28:45Z,0
Omg tht pallete!! I’d love to win!,cjrogers85,2019-05-30T03:49:38Z,0
"You always look beautiful girl and I&#39;m most excited for the natasha denona palette, it&#39;s so beautiful and right up my alley. Love your video&#39;s girl. God bless",Vietnamese Princess,2019-05-28T05:19:20Z,0
"@Nicole Guerriero oh my goodness thank you so much nicole and yes you can, it&#39;s mnguyen0485@<a href=""http://gmail.com/"">gmail.com</a>",Vietnamese Princess,2019-06-01T09:59:29Z,0
"Congratulations, you are a winner!!! Can you please share your email address so we can get your shipping information? Thank you!!",Nicole Guerriero,2019-05-30T22:55:12Z,0
Yes QUEEN! So stunningly beautiful!,Dominique Kilcup,2019-05-25T22:18:32Z,0
Milk primer!! I can’t wait to<br />Go buy and try!!!!!!!,brittany morrissey,2019-05-25T12:42:11Z,0
"Beautiful look! Excited to try the Milk Makeup Hydro Grip Primer, been going through a &#39;dry phase&#39; so this sounds perfect! Thanks girl ❤️",Miss March,2019-05-24T21:12:32Z,0
Miss March haha same!!,Bostyn Kirk,2019-05-31T13:38:06Z,1
I haven’t gotten it yet 😭😭 girl I’m constantly refreshing my email to hahaha Congrats to you!!!💕☺️,Miss March,2019-05-31T13:36:45Z,0
Miss March have you got your e-mail from Nicole yet?? I’m stalking my e-mail for mine! Congratulations to you too girl!! I’m freaking STOKED I won!!!,Bostyn Kirk,2019-05-31T13:19:59Z,1
"Nicole Guerriero omg!!!!  No way!!! 😭😭😭😭💕💕💕💕💕 <br />Christinecal@<a href=""http://aol.com/"">aol.com</a> <br /><br />Omg thank you thank you!! Btw you are AMAZING!! 😭😭",Miss March,2019-05-30T23:01:18Z,0
"Congratulations, you are a winner!!! Can you please share your email address so we can get your shipping information? Thank you!!",Nicole Guerriero,2019-05-30T22:55:57Z,1
💕,Cany Glam Mommy,2019-05-22T19:49:39Z,0
I know the deadlines hit for the giveaway but I really wanna try the MILK PRIMER!! And you’re gorgeous,Noneya Business,2019-05-22T07:29:42Z,0
"Heyyy gurlll, love you always and forevahh <br /><br />Xoxo<br />143 :)",allthingscri x3,2019-05-22T01:46:54Z,0
would LOVE to try the Kat Von D lock it powder foundation!! it would be so helpful to just add some cover up quickly to any red spots and go!,Ari M,2019-05-21T22:18:32Z,0
Can’t wait to try the milk primer!,Lindsay Mastroianni,2019-05-21T15:00:13Z,0
Tried the Milk Makeup hydro grip primer thanks to you and I love it!,Araceli Suarez,2019-05-21T05:18:22Z,0
I want to try that primer! I have a problem with my makeup staying even with some primers!,Brianna Estrada,2019-05-21T03:04:19Z,0
I’m excited to the milk make up primer.,MsCristy7,2019-05-21T02:39:15Z,1
Love you! I’m most excited about that primer 😍😍 I need to try!,thrift sydie,2019-05-21T02:07:05Z,0
The hydro milk primer!,Taylor Nguyen,2019-05-20T05:41:02Z,0
"Milk hydro grip green primer, I&#39;d love to try. I&#39;m also getting older and my skin is changing big time. Luv ya girl",Mary Tracie,2019-05-20T04:33:52Z,0
The girls in Sephora are cool to you maybe because they watch you’re videos cause most of the employees are shit they look at you like you gonna steal something 😒,Gigi G,2019-05-20T03:42:26Z,0
Love this look💕 simple but pretty! I’ve used the Nars tinted moisturiser but not the blush or lip oil. Looking forward to trying them😊,t cooper,2019-05-20T02:25:10Z,0
I love that eyelid color 💕💞💓,ImHereCJ,2019-05-19T23:55:22Z,0
im most excited ab natasha denona palette! &amp; where is your necklace from? I love it!!,Julia Whitney,2019-05-19T15:51:39Z,0
I bought the milk gripping primer per your recommendation but it didn’t work for me unfortunately. :(,Josie Johnson,2019-05-19T03:19:24Z,0
Any foundation claiming to be  “flawless lumiere radiance perfecting” is bold and bossy and I love it. Can’t wait to try it!!!!,Helen Block,2019-05-19T02:19:11Z,0
The bouquet - instant manifestation!🙌🏼💄💋,The Roz Rodriguez,2019-05-18T02:55:45Z,0
I gotta try this milk primmer.,Jennifer Cowdrey,2019-05-16T00:44:09Z,0
you are such a pretty woman inside and out but I think that you have to change your eyebrow shape cause its very round and makes your face round too! ❤,feniw96,2019-05-15T08:22:31Z,0
If you say your makeup was locked... in Florida.. ITS LOCKED!! 😂😅,Daniel E,2019-05-15T06:07:56Z,5
you remind me of my best friend,Steven Reyes,2019-05-14T15:37:53Z,0
I’m would love to try the milk primer! I need something that’ll make my makeup last forever!,Kayla Allen,2019-05-14T11:41:02Z,1
"First, you look great. Product I&#39;m most excited about is the natasha denona palette 🤗",Linda Torres,2019-05-14T09:05:32Z,2
"Love this look Nicole it looks amazing but simple spring look, love watching your videos I would love to try the Milk Primer!!!! always trying to find ways to keep my makeup in place even more Florida girl as well lol..",Yadira Rivera,2019-05-13T14:42:13Z,0
That Nars lip tint OMG <br />I can’t wait to try,Jenai,2019-05-13T08:44:27Z,1
