comment,id,date,num_likes
NICOLE! Ohmygah! OG.. Triple OG! 😍,biapiaxyzia,2019-12-23T02:03:35Z,0
Where is your necklace from?,Marina Marchello,2019-07-28T00:36:21Z,0
"Wow. When you started talking about your cats birthday is the day when your Nana passed, I tripped. My Dog was born on my Grandfather&#39;s Birthday. But, the kicker~ May 10th, ..SWEAR! I have videos with him in it about his Birthday...lol. He&#39;s a 2 &amp; 1/2 lb Yorkie, turned 15 this past May, I am THE luckiest Mama ever! My baby boy is slowing down some now tho :(",Natalie N,2019-07-20T02:36:12Z,0
I miss your vlogs!!!,Diamond Salazar,2019-07-09T06:48:20Z,0
R,Msgotti78,2019-06-13T02:27:58Z,0
Love you nic 😍,Emily Iannucci,2019-06-09T06:14:42Z,0
"My grandpa went on the 10th of May, long time ago ❤️",Agnese Sztojka,2019-05-30T07:12:44Z,0
loving the short almond nails!!! 😍I&#39;m a long nails girl but seeing yours makes me really wanna get them short and almond do bad 😩,Deemy Flores,2019-05-28T17:23:58Z,0
Can you please do a color correcting under eye video please ! I have dark circles and always looking for new tricks !,Denise Alvarado,2019-05-25T01:27:28Z,0
i neeeeed to know what lip combo u have on 🥺😩 its so pretty,Jasmine Martinez,2019-05-23T04:17:26Z,0
I used to get strep throat a lot growing up. I find that if you buy the aloe plant and take the gooey stuff out and blend it with OJ and drink it 2-3x a day it cuts the recovery time in half. Also there&#39;s a supplement call Protandim that  I hear is great.,Vanessa Lynn,2019-05-22T17:01:23Z,0
So glad your faves are back!!!,MelissaQ,2019-05-22T04:27:45Z,0
You are NOT INTO HIGHLIGHTER ANYMORE 😱😱😱😱 what did i miss lol 🤣🤣 you’re killing me Nicole c’mon love highlighter,Rayma Cabral,2019-05-13T01:55:47Z,0
"Energetic, chatty, happy Nicole IS BACK !!!!! I been watching you forever and there’s a different light in you. Love it!!!!! ❤️❤️❤️❤️❤️",Rayma Cabral,2019-05-13T01:44:59Z,0
"Just found you, like today,  subbed!",Najeebah Swanson,2019-05-06T02:37:59Z,0
When are we getting series vlogs again ?,Jared Jayyy,2019-05-05T16:25:43Z,0
"We have the same birthday and our grandmas passed the same month and year, my mamaw passed may 1st 2018.",Loni Marie,2019-05-03T03:43:19Z,0
Nicole is the ONLY YouTuber that can have a 2 hour long video and I’d still watch it lol 😂😘,Jackiexobeauty,2019-05-01T01:59:34Z,0
Please do a skin care must have I need new products but I don’t know what to get!!❤️,Dorothy Jones,2019-04-29T20:03:10Z,0
